"var","categoria","Sin deuda","Menos de 10%","Entre 10 y 20%","Entre 20 y 30%","Entre 30 y 40%","Mas del 40%","No sabe"
"P17","Si",0.432,0.381,0.343,0.4,0.303,0.398,0.183
"P17","No",0.503,0.566,0.56,0.566,0.628,0.542,0.74
"P17","No sabe",0.065,0.053,0.097,0.034,0.069,0.06,0.077
"P18","Salva muchas vidas",0.235,0.241,0.222,0.168,0.251,0.135,0.26
"P18","Logra disminuir la cantidad de abortos que se producen",0.122,0.156,0.105,0.185,0.124,0.125,0.095
"P18","Representa una reasignación del gasto público en algo más necesario",0.163,0.131,0.171,0.159,0.148,0.136,0.267
"P18","Deja desprotegidas a las mujeres que lo hacen clandestinamente",0.217,0.205,0.201,0.224,0.237,0.26,0.137
"P18","Representa un retroceso en la lucha de los derechos de las mujeres",0.223,0.208,0.227,0.22,0.187,0.276,0.227
"P18","No sabe",0.04,0.059,0.074,0.044,0.053,0.068,0.014
"P20","Si",0.56,0.509,0.462,0.485,0.379,0.349,0.41
"P20","No",0.322,0.373,0.369,0.412,0.565,0.547,0.553
"P20","No sabe",0.118,0.118,0.169,0.103,0.056,0.104,0.037
"P21","Logra disminuir los cargos militantes presentes en el estado",0.253,0.222,0.207,0.157,0.227,0.207,0.256
"P21","Evita la manipulación de la información por parte del estado",0.186,0.149,0.187,0.168,0.118,0.136,0.111
"P21","Representa una reasignación del gasto público en algo más necesario",0.158,0.28,0.222,0.152,0.138,0.098,0.116
"P21","Constituye una grave violación al derecho de libertad de expresión en Argentina",0.232,0.214,0.201,0.313,0.314,0.349,0.229
"P21","Es parte de la persecución ideológica",0.144,0.125,0.14,0.167,0.153,0.201,0.181
"P21","No sabe",0.027,0.01,0.043,0.043,0.05,0.009,0.107
"P23","Si",0.608,0.589,0.56,0.593,0.493,0.359,0.492
"P23","No",0.287,0.338,0.346,0.367,0.443,0.533,0.384
"P23","No sabe",0.105,0.073,0.094,0.04,0.064,0.108,0.124
"P24","Es parte de una persecución ideológica",0.158,0.112,0.106,0.126,0.142,0.18,0.212
"P24","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados",0.174,0.204,0.205,0.233,0.347,0.305,0.223
"P24","Representa una reasignación del gasto público en algo mas necesario",0.245,0.224,0.276,0.229,0.177,0.16,0.135
"P24","Logra disminuir los cargos militantes presentes en el estado",0.277,0.319,0.298,0.264,0.191,0.204,0.241
"P24","Contribuye a la libertad de pensamiento",0.125,0.121,0.101,0.14,0.121,0.142,0.084
"P24","No sabe",0.021,0.02,0.014,0.008,0.022,0.009,0.105
"P27","Inflación",0.222,0.242,0.286,0.286,0.373,0.274,0.232
"P27","Desempleo",0.099,0.089,0.127,0.125,0.12,0.107,0.062
"P27","Corrupción",0.399,0.379,0.295,0.252,0.251,0.283,0.262
"P27","Inseguridad",0.107,0.113,0.12,0.107,0.089,0.079,0.136
"P27","Precio del dólar",0.012,0.018,0.028,0.026,0.031,0.014,0.035
"P27","Pobreza",0.08,0.099,0.075,0.136,0.067,0.124,0.095
"P27","Narcotráfico",0.018,0.008,0.005,0.003,0,0.013,0.03
"P27","Tarifas",0.014,0.009,0.027,0.031,0.017,0.032,0.018
"P27","Otro",0.044,0.034,0.033,0.028,0.047,0.059,0.091
"P27","No sabe",0.005,0.009,0.004,0.006,0.005,0.015,0.039
"P32","Gran excedente habitual",0.021,0.007,0.001,0.002,0.002,0.003,0
"P32","Gran excedente excepcional",0.007,0.001,0.002,0.001,0.002,0.002,0.04
"P32","Pequeño excedente habitual",0.083,0.035,0.016,0.017,0.019,0.102,0.019
"P32","Pequeño excedente excepcional",0.081,0.072,0.042,0.024,0.132,0.011,0.005
"P32","Alcanza gastos familia",0.187,0.146,0.121,0.199,0.084,0.053,0.038
"P32","No alcanza gastos familia",0.069,0.118,0.231,0.155,0.138,0.13,0.173
"P32","Solo NBFamiliares",0.281,0.393,0.296,0.26,0.233,0.202,0.249
"P32","No alcanza NBFamiliares",0.254,0.221,0.284,0.34,0.387,0.485,0.416
"P32","No sabe",0.017,0.007,0.007,0.002,0.003,0.012,0.06
"P33","Muy buena",0.091,0.049,0.024,0.028,0.011,0.028,0.009
"P33","Buena",0.258,0.196,0.102,0.102,0.063,0.043,0.062
"P33","Ni buena ni mala",0.442,0.479,0.491,0.387,0.342,0.251,0.352
"P33","Mala",0.168,0.245,0.335,0.408,0.423,0.426,0.398
"P33","Muy mala",0.029,0.028,0.045,0.067,0.16,0.238,0.119
"P33","No sabe",0.012,0.003,0.003,0.008,0.001,0.014,0.06
"P34","Mejor",0.128,0.128,0.107,0.076,0.092,0.074,0.043
"P34","Igual",0.393,0.346,0.339,0.27,0.185,0.144,0.277
"P34","Peor",0.462,0.503,0.529,0.601,0.681,0.726,0.536
"P34","No sabe",0.017,0.023,0.025,0.053,0.042,0.056,0.144
"P35","Mejor",0.41,0.336,0.321,0.28,0.263,0.237,0.196
"P35","Igual",0.209,0.214,0.211,0.14,0.164,0.126,0.149
"P35","Peor",0.317,0.373,0.36,0.502,0.483,0.532,0.453
"P35","No sabe",0.064,0.077,0.108,0.078,0.09,0.105,0.202
"P36","Muy buena",0.081,0.046,0.015,0.049,0.031,0.064,0.023
"P36","Buena",0.11,0.127,0.074,0.058,0.101,0.033,0.023
"P36","Ni buena ni mala",0.238,0.265,0.256,0.17,0.169,0.179,0.254
"P36","Mala",0.338,0.324,0.37,0.437,0.419,0.357,0.352
"P36","Muy mala",0.216,0.222,0.274,0.278,0.276,0.356,0.295
"P36","No sabe",0.017,0.016,0.011,0.008,0.004,0.011,0.053
"P37","Mejor",0.307,0.215,0.186,0.156,0.141,0.159,0.123
"P37","Igual",0.208,0.257,0.225,0.198,0.186,0.12,0.162
"P37","Peor",0.427,0.472,0.548,0.546,0.582,0.675,0.585
"P37","No sabe",0.058,0.056,0.041,0.1,0.091,0.046,0.13
"P38","Mejor",0.485,0.413,0.389,0.319,0.298,0.266,0.242
"P38","Igual",0.131,0.169,0.145,0.13,0.106,0.094,0.114
"P38","Peor",0.326,0.357,0.382,0.484,0.5,0.58,0.509
"P38","No sabe",0.058,0.061,0.084,0.067,0.096,0.06,0.135
"P39","Muy buena",0.351,0.279,0.228,0.205,0.241,0.208,0.151
"P39","Buena",0.182,0.23,0.203,0.189,0.129,0.123,0.161
"P39","Ni buena ni mala",0.147,0.169,0.181,0.174,0.143,0.141,0.245
"P39","Mala",0.14,0.14,0.177,0.191,0.193,0.167,0.24
"P39","Muy mala",0.163,0.167,0.196,0.226,0.276,0.335,0.182
"P39","No sabe",0.017,0.015,0.015,0.015,0.018,0.026,0.021
"P41","Muy buena",0.312,0.258,0.178,0.176,0.176,0.165,0.089
"P41","Buena",0.22,0.224,0.219,0.17,0.17,0.141,0.15
"P41","Ni buena ni mala",0.144,0.166,0.21,0.156,0.131,0.124,0.306
"P41","Mala",0.141,0.166,0.169,0.24,0.233,0.22,0.174
"P41","Muy mala",0.165,0.171,0.197,0.247,0.262,0.329,0.206
"P41","No sabe",0.018,0.015,0.027,0.011,0.028,0.021,0.075
"P42","Muy buena",0.242,0.213,0.156,0.133,0.113,0.131,0.076
"P42","Buena",0.241,0.205,0.184,0.166,0.16,0.118,0.147
"P42","Ni buena ni mala",0.177,0.223,0.266,0.193,0.224,0.196,0.25
"P42","Mala",0.135,0.132,0.15,0.225,0.23,0.183,0.196
"P42","Muy mala",0.185,0.207,0.213,0.277,0.263,0.352,0.284
"P42","No sabe",0.02,0.02,0.031,0.006,0.01,0.02,0.047
"P43","Muy buena",0.331,0.282,0.181,0.18,0.172,0.155,0.088
"P43","Buena",0.2,0.197,0.189,0.17,0.169,0.147,0.138
"P43","Ni buena ni mala",0.159,0.184,0.235,0.209,0.197,0.159,0.23
"P43","Mala",0.128,0.186,0.208,0.222,0.197,0.215,0.211
"P43","Muy mala",0.169,0.147,0.167,0.214,0.248,0.316,0.292
"P43","No sabe",0.013,0.004,0.02,0.005,0.017,0.008,0.041
"P44","Muy buena",0.039,0.039,0.039,0.054,0.069,0.07,0.065
"P44","Buena",0.064,0.089,0.057,0.097,0.087,0.107,0.134
"P44","Ni buena ni mala",0.148,0.161,0.197,0.267,0.243,0.204,0.242
"P44","Mala",0.283,0.276,0.324,0.222,0.215,0.245,0.251
"P44","Muy mala",0.463,0.433,0.378,0.358,0.384,0.363,0.285
"P44","No sabe",0.003,0.002,0.005,0.002,0.002,0.011,0.023
"P45","Muy buena",0.182,0.13,0.171,0.247,0.237,0.247,0.271
"P45","Buena",0.077,0.134,0.101,0.159,0.093,0.105,0.088
"P45","Ni buena ni mala",0.08,0.116,0.108,0.097,0.142,0.151,0.215
"P45","Mala",0.185,0.197,0.213,0.142,0.159,0.147,0.145
"P45","Muy mala",0.473,0.416,0.402,0.352,0.332,0.335,0.258
"P45","No sabe",0.003,0.007,0.005,0.003,0.037,0.015,0.023
"P46","Muy buena",0.154,0.126,0.092,0.07,0.106,0.076,0.059
"P46","Buena",0.196,0.208,0.168,0.129,0.167,0.102,0.121
"P46","Ni buena ni mala",0.235,0.236,0.199,0.221,0.18,0.166,0.27
"P46","Mala",0.18,0.206,0.274,0.226,0.248,0.232,0.216
"P46","Muy mala",0.231,0.216,0.26,0.35,0.296,0.419,0.302
"P46","No sabe",0.004,0.008,0.007,0.004,0.003,0.005,0.032
"P47","Muy buena",0.063,0.068,0.033,0.056,0.04,0.046,0.048
"P47","Buena",0.125,0.117,0.132,0.135,0.096,0.081,0.103
"P47","Ni buena ni mala",0.29,0.32,0.353,0.337,0.32,0.295,0.421
"P47","Mala",0.275,0.263,0.3,0.253,0.298,0.321,0.198
"P47","Muy mala",0.225,0.2,0.168,0.202,0.21,0.232,0.185
"P47","No sabe",0.022,0.032,0.014,0.017,0.036,0.025,0.045
"P48","Muy buena",0.103,0.066,0.086,0.129,0.146,0.185,0.156
"P48","Buena",0.095,0.128,0.136,0.148,0.154,0.114,0.126
"P48","Ni buena ni mala",0.137,0.168,0.193,0.215,0.208,0.211,0.294
"P48","Mala",0.211,0.225,0.236,0.137,0.185,0.166,0.123
"P48","Muy mala",0.451,0.41,0.344,0.365,0.291,0.316,0.28
"P48","No sabe",0.003,0.003,0.005,0.006,0.016,0.008,0.021
"P49","Muy buena",0.133,0.096,0.108,0.106,0.087,0.091,0.086
"P49","Buena",0.191,0.195,0.158,0.166,0.136,0.109,0.147
"P49","Ni buena ni mala",0.274,0.323,0.348,0.269,0.273,0.191,0.347
"P49","Mala",0.19,0.141,0.194,0.211,0.251,0.248,0.165
"P49","Muy mala",0.2,0.234,0.187,0.246,0.228,0.333,0.191
"P49","No sabe",0.012,0.011,0.005,0.002,0.025,0.028,0.064
"P50","Muy buena",0.18,0.151,0.211,0.238,0.273,0.261,0.209
"P50","Buena",0.073,0.119,0.084,0.099,0.126,0.156,0.088
"P50","Ni buena ni mala",0.114,0.143,0.134,0.187,0.181,0.15,0.332
"P50","Mala",0.146,0.197,0.214,0.133,0.088,0.103,0.107
"P50","Muy mala",0.474,0.375,0.338,0.332,0.326,0.315,0.235
"P50","No sabe",0.013,0.015,0.019,0.011,0.006,0.015,0.029
"P51","Muy buena",0.216,0.152,0.116,0.11,0.186,0.134,0.122
"P51","Buena",0.169,0.177,0.162,0.118,0.115,0.102,0.134
"P51","Ni buena ni mala",0.275,0.301,0.315,0.265,0.252,0.234,0.315
"P51","Mala",0.103,0.096,0.149,0.167,0.123,0.15,0.122
"P51","Muy mala",0.212,0.243,0.213,0.326,0.278,0.344,0.192
"P51","No sabe",0.025,0.031,0.045,0.014,0.046,0.036,0.115
"P52","Muy buena",0.436,0.354,0.304,0.252,0.274,0.236,0.191
"P52","Buena",0.14,0.158,0.14,0.131,0.128,0.103,0.146
"P52","Ni buena ni mala",0.103,0.139,0.166,0.114,0.104,0.118,0.217
"P52","Mala",0.094,0.114,0.143,0.153,0.18,0.124,0.166
"P52","Muy mala",0.221,0.232,0.247,0.337,0.298,0.415,0.258
"P52","No sabe",0.006,0.003,0,0.013,0.016,0.004,0.022
"P53","Muy buena",0.358,0.266,0.234,0.168,0.189,0.162,0.16
"P53","Buena",0.197,0.224,0.213,0.2,0.174,0.147,0.109
"P53","Ni buena ni mala",0.118,0.132,0.172,0.155,0.118,0.16,0.225
"P53","Mala",0.101,0.147,0.125,0.124,0.174,0.12,0.175
"P53","Muy mala",0.221,0.23,0.253,0.351,0.34,0.405,0.321
"P53","No sabe",0.005,0.001,0.003,0.002,0.005,0.006,0.01
"P54","Muy buena",0.112,0.098,0.1,0.118,0.113,0.12,0.108
"P54","Buena",0.114,0.114,0.15,0.112,0.164,0.162,0.08
"P54","Ni buena ni mala",0.271,0.288,0.343,0.34,0.301,0.318,0.408
"P54","Mala",0.171,0.181,0.189,0.128,0.142,0.13,0.126
"P54","Muy mala",0.265,0.261,0.185,0.266,0.209,0.192,0.2
"P54","No sabe",0.067,0.058,0.033,0.036,0.071,0.078,0.078
"P55","Muy buena",0.036,0.041,0.014,0.047,0.052,0.044,0.01
"P55","Buena",0.104,0.09,0.127,0.104,0.123,0.105,0.066
"P55","Ni buena ni mala",0.266,0.315,0.322,0.343,0.321,0.361,0.502
"P55","Mala",0.137,0.147,0.199,0.108,0.126,0.125,0.189
"P55","Muy mala",0.391,0.345,0.301,0.342,0.282,0.273,0.154
"P55","No sabe",0.066,0.062,0.037,0.056,0.096,0.092,0.079
"P56","Muy buena",0.034,0.039,0.058,0.033,0.043,0.034,0.01
"P56","Buena",0.118,0.128,0.112,0.086,0.111,0.111,0.056
"P56","Ni buena ni mala",0.33,0.351,0.408,0.449,0.441,0.396,0.47
"P56","Mala",0.212,0.232,0.2,0.165,0.167,0.22,0.193
"P56","Muy mala",0.252,0.202,0.19,0.234,0.185,0.184,0.143
"P56","No sabe",0.054,0.048,0.032,0.033,0.053,0.055,0.128
"P58","Muy buena",0.415,0.347,0.319,0.247,0.26,0.206,0.161
"P58","Buena",0.137,0.164,0.134,0.134,0.107,0.104,0.075
"P58","Ni buena ni mala",0.147,0.152,0.154,0.224,0.195,0.166,0.363
"P58","Mala",0.084,0.102,0.125,0.081,0.102,0.148,0.134
"P58","Muy mala",0.2,0.209,0.244,0.306,0.288,0.331,0.171
"P58","No sabe",0.017,0.026,0.024,0.008,0.048,0.045,0.096
"P59","Muy buena",0.132,0.099,0.104,0.131,0.117,0.097,0.053
"P59","Buena",0.201,0.219,0.176,0.118,0.175,0.159,0.082
"P59","Ni buena ni mala",0.389,0.382,0.392,0.42,0.369,0.391,0.548
"P59","Mala",0.151,0.137,0.161,0.104,0.174,0.147,0.149
"P59","Muy mala",0.097,0.112,0.119,0.185,0.114,0.149,0.075
"P59","No sabe",0.03,0.051,0.048,0.042,0.051,0.057,0.093
"P60","Muy buena",0.202,0.148,0.108,0.111,0.121,0.077,0.1
"P60","Buena",0.209,0.203,0.209,0.157,0.145,0.102,0.045
"P60","Ni buena ni mala",0.239,0.272,0.226,0.23,0.25,0.246,0.318
"P60","Mala",0.088,0.111,0.166,0.071,0.122,0.098,0.154
"P60","Muy mala",0.233,0.234,0.272,0.398,0.319,0.433,0.308
"P60","No sabe",0.029,0.032,0.019,0.033,0.043,0.044,0.075
"P61","Muy buena",0.19,0.118,0.11,0.1,0.133,0.06,0.066
"P61","Buena",0.132,0.199,0.139,0.072,0.088,0.074,0.057
"P61","Ni buena ni mala",0.34,0.35,0.382,0.38,0.337,0.382,0.364
"P61","Mala",0.08,0.108,0.149,0.112,0.145,0.13,0.109
"P61","Muy mala",0.153,0.15,0.151,0.274,0.165,0.258,0.236
"P61","No sabe",0.105,0.075,0.069,0.062,0.132,0.096,0.168
"P64","Muy buena",0.043,0.05,0.035,0.038,0.08,0.049,0.023
"P64","Buena",0.113,0.125,0.097,0.073,0.074,0.077,0.067
"P64","Ni buena ni mala",0.449,0.452,0.52,0.487,0.457,0.443,0.413
"P64","Mala",0.15,0.161,0.159,0.133,0.139,0.128,0.176
"P64","Muy mala",0.136,0.104,0.1,0.192,0.123,0.176,0.075
"P64","No sabe",0.109,0.108,0.089,0.077,0.127,0.127,0.246
"P65","Radio",0.15,0.145,0.139,0.118,0.153,0.114,0.111
"P65","Televisión",0.39,0.387,0.377,0.386,0.372,0.331,0.315
"P65","Diario",0.047,0.07,0.076,0.106,0.067,0.079,0.093
"P65","Medio digital",0.194,0.193,0.218,0.173,0.21,0.18,0.149
"P65","Redes Sociales",0.169,0.162,0.151,0.168,0.16,0.222,0.181
"P65","Ninguno en particular",0.05,0.043,0.037,0.049,0.038,0.073,0.151
"P65","No sabe",0,0,0.002,0,0,0.001,0
"P66","Muy buena",0.074,0.059,0.048,0.093,0.061,0.081,0.06
"P66","Buena",0.201,0.166,0.155,0.178,0.196,0.158,0.072
"P66","Ni buena ni mala",0.286,0.348,0.33,0.31,0.372,0.306,0.502
"P66","Mala",0.262,0.285,0.306,0.248,0.177,0.234,0.218
"P66","Muy mala",0.155,0.129,0.142,0.151,0.179,0.201,0.051
"P66","No sabe",0.022,0.013,0.019,0.02,0.015,0.02,0.097
"P67","Muy buena",0.044,0.028,0.011,0.032,0.021,0.038,0.021
"P67","Buena",0.108,0.087,0.067,0.092,0.089,0.073,0.062
"P67","Ni buena ni mala",0.302,0.287,0.25,0.279,0.304,0.287,0.503
"P67","Mala",0.276,0.333,0.353,0.274,0.284,0.245,0.186
"P67","Muy mala",0.254,0.26,0.298,0.306,0.284,0.334,0.14
"P67","No sabe",0.016,0.005,0.021,0.017,0.018,0.023,0.088
