"var","categoria","Radio","Televisión","Diario","Medio digital","Redes Sociales","Ninguno en particular","No sabe"
"P18","Representa un retroceso en la lucha de los derechos de las mujeres",0.241,0.213,0.234,0.204,0.296,0.347,0
"P18","No sabe",0.07,0.061,0.05,0.035,0.062,0.028,0
"P20","Si",0.339,0.474,0.414,0.492,0.495,0.325,0.581
"P20","No",0.51,0.396,0.475,0.4,0.439,0.5,0.419
"P20","No sabe",0.151,0.13,0.111,0.108,0.066,0.175,0
"P21","Logra disminuir los cargos militantes presentes en el estado",0.167,0.23,0.28,0.251,0.223,0.144,0.104
"P21","Evita la manipulación de la información por parte del estado",0.169,0.179,0.199,0.138,0.125,0.148,0.476
"P21","Representa una reasignación del gasto público en algo más necesario",0.117,0.189,0.085,0.166,0.179,0.09,0.263
"P21","Constituye una grave violación al derecho de libertad de expresión en Argentina",0.317,0.198,0.306,0.284,0.3,0.344,0.157
"P21","Es parte de la persecución ideológica",0.185,0.167,0.116,0.142,0.153,0.212,0
"P21","No sabe",0.045,0.037,0.014,0.019,0.02,0.062,0
"P23","Si",0.471,0.558,0.518,0.586,0.506,0.437,0.843
"P23","No",0.482,0.338,0.439,0.339,0.397,0.423,0.157
"P23","No sabe",0.047,0.104,0.043,0.075,0.097,0.14,0
"P24","Es parte de una persecución ideológica",0.168,0.117,0.279,0.143,0.1,0.3,0
"P24","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados",0.325,0.175,0.28,0.246,0.242,0.296,0.157
"P24","Representa una reasignación del gasto público en algo mas necesario",0.153,0.21,0.109,0.205,0.29,0.121,0.263
"P24","Logra disminuir los cargos militantes presentes en el estado",0.2,0.302,0.244,0.323,0.195,0.164,0.58
"P24","Contribuye a la libertad de pensamiento",0.123,0.173,0.079,0.078,0.152,0.115,0
"P24","No sabe",0.031,0.023,0.009,0.005,0.021,0.004,0
"P27","Inflación",0.309,0.258,0.271,0.237,0.286,0.2,0.662
"P27","Desempleo",0.145,0.107,0.088,0.101,0.067,0.08,0
"P27","Corrupción",0.278,0.312,0.373,0.344,0.297,0.4,0.1
"P27","Inseguridad",0.046,0.139,0.083,0.101,0.084,0.088,0
"P27","Precio del dólar",0.011,0.014,0.032,0.019,0.028,0.043,0
"P27","Pobreza",0.098,0.087,0.071,0.105,0.148,0.107,0.238
"P27","Narcotráfico",0.009,0.014,0.023,0.009,0.014,0.005,0
"P27","Tarifas",0.047,0.023,0.021,0.017,0.017,0.022,0
"P27","Otro",0.051,0.04,0.035,0.066,0.057,0.045,0
"P27","No sabe",0.006,0.006,0.003,0.001,0.002,0.01,0
"P31","Sin deuda",0.354,0.339,0.22,0.327,0.31,0.288,0.113
"P31","Menos de 10%",0.161,0.158,0.154,0.154,0.139,0.116,0.1
"P31","Entre 10 y 20%",0.12,0.119,0.13,0.134,0.101,0.079,0.549
"P31","Entre 20 y 30%",0.079,0.095,0.14,0.083,0.088,0.081,0
"P31","Entre 30 y 40%",0.088,0.079,0.076,0.086,0.072,0.054,0
"P31","Mas del 40%",0.158,0.168,0.214,0.178,0.239,0.248,0.238
"P31","No sabe",0.04,0.042,0.066,0.038,0.051,0.134,0
"P32","Gran excedente habitual",0.013,0.006,0.007,0.012,0.007,0.007,0
"P32","Gran excedente excepcional",0.002,0.005,0.003,0.004,0.008,0.028,0
"P32","Pequeño excedente habitual",0.053,0.051,0.096,0.074,0.058,0.046,0
"P32","Pequeño excedente excepcional",0.048,0.046,0.08,0.062,0.087,0.102,0
"P32","Alcanza gastos familia",0.165,0.107,0.179,0.162,0.111,0.14,0.113
"P32","No alcanza gastos familia",0.105,0.129,0.143,0.112,0.136,0.147,0.438
"P32","Solo NBFamiliares",0.24,0.324,0.247,0.324,0.303,0.225,0.211
"P32","No alcanza NBFamiliares",0.352,0.328,0.244,0.225,0.282,0.296,0.238
"P32","No sabe",0.022,0.004,0.001,0.025,0.008,0.009,0
"P33","Muy buena",0.09,0.046,0.036,0.048,0.05,0.027,0
"P33","Buena",0.133,0.159,0.149,0.161,0.17,0.134,0.101
"P33","Ni buena ni mala",0.396,0.4,0.397,0.39,0.361,0.437,0.551
"P33","Mala",0.269,0.3,0.306,0.316,0.289,0.3,0
"P33","Muy mala",0.097,0.085,0.087,0.07,0.128,0.096,0.348
"P33","No sabe",0.015,0.01,0.025,0.015,0.002,0.006,0
"P34","Mejor",0.099,0.087,0.197,0.147,0.095,0.077,0.1
"P34","Igual",0.255,0.334,0.237,0.255,0.33,0.289,0.438
"P34","Peor",0.606,0.551,0.522,0.542,0.537,0.588,0.462
"P34","No sabe",0.04,0.028,0.044,0.056,0.038,0.046,0
"P35","Mejor",0.259,0.361,0.258,0.359,0.301,0.281,0.1
"P35","Igual",0.178,0.194,0.221,0.148,0.186,0.134,0.438
"P35","Peor",0.503,0.361,0.452,0.446,0.428,0.456,0.462
"P35","No sabe",0.06,0.084,0.069,0.047,0.085,0.129,0
"P36","Muy buena",0.065,0.034,0.08,0.087,0.078,0.026,0
"P36","Buena",0.075,0.111,0.085,0.067,0.069,0.03,0.438
"P36","Ni buena ni mala",0.178,0.253,0.253,0.193,0.203,0.169,0
"P36","Mala",0.353,0.381,0.281,0.348,0.311,0.345,0.1
"P36","Muy mala",0.328,0.212,0.295,0.295,0.326,0.397,0.462
"P36","No sabe",0.001,0.009,0.006,0.01,0.013,0.033,0
"P37","Mejor",0.193,0.229,0.173,0.22,0.246,0.181,0.538
"P37","Igual",0.182,0.241,0.255,0.17,0.17,0.149,0
"P37","Peor",0.582,0.467,0.503,0.545,0.537,0.602,0.462
"P37","No sabe",0.043,0.063,0.069,0.065,0.047,0.068,0
"P38","Mejor",0.325,0.412,0.348,0.424,0.384,0.354,0.538
"P38","Igual",0.109,0.157,0.159,0.085,0.118,0.051,0
"P38","Peor",0.515,0.376,0.441,0.434,0.42,0.496,0.462
"P38","No sabe",0.051,0.055,0.052,0.057,0.078,0.099,0
"P39","Muy buena",0.232,0.276,0.221,0.301,0.35,0.201,0.1
"P39","Buena",0.174,0.205,0.234,0.161,0.133,0.137,0
"P39","Ni buena ni mala",0.137,0.155,0.14,0.126,0.126,0.184,0.438
"P39","Mala",0.18,0.152,0.202,0.156,0.132,0.163,0
"P39","Muy mala",0.266,0.197,0.202,0.251,0.237,0.284,0.462
"P39","No sabe",0.011,0.015,0.001,0.005,0.022,0.031,0
"P41","Muy buena",0.233,0.188,0.196,0.258,0.331,0.15,0.438
"P41","Buena",0.175,0.241,0.219,0.19,0.141,0.166,0.1
"P41","Ni buena ni mala",0.123,0.191,0.138,0.115,0.109,0.134,0
"P41","Mala",0.206,0.181,0.208,0.168,0.144,0.191,0
"P41","Muy mala",0.243,0.185,0.234,0.264,0.246,0.333,0.462
"P41","No sabe",0.02,0.014,0.005,0.005,0.029,0.026,0
"P42","Muy buena",0.179,0.148,0.136,0.238,0.234,0.105,0
"P42","Buena",0.139,0.241,0.262,0.134,0.171,0.184,0.1
"P42","Ni buena ni mala",0.18,0.23,0.224,0.183,0.157,0.173,0.438
"P42","Mala",0.171,0.171,0.15,0.153,0.134,0.151,0
"P42","Muy mala",0.308,0.193,0.226,0.289,0.284,0.34,0.462
"P42","No sabe",0.023,0.017,0.002,0.003,0.02,0.047,0
"P43","Muy buena",0.214,0.234,0.221,0.281,0.256,0.198,0
"P43","Buena",0.166,0.225,0.147,0.147,0.18,0.186,0.338
"P43","Ni buena ni mala",0.149,0.188,0.229,0.162,0.165,0.114,0.438
"P43","Mala",0.239,0.17,0.205,0.168,0.142,0.161,0.113
"P43","Muy mala",0.226,0.172,0.191,0.235,0.232,0.325,0.111
"P43","No sabe",0.006,0.011,0.007,0.007,0.025,0.016,0
"P44","Muy buena",0.043,0.053,0.069,0.046,0.06,0.01,0
"P44","Buena",0.085,0.102,0.064,0.048,0.081,0.074,0
"P44","Ni buena ni mala",0.217,0.186,0.154,0.195,0.11,0.158,0.113
"P44","Mala",0.29,0.268,0.23,0.283,0.249,0.27,0.211
"P44","Muy mala",0.359,0.391,0.479,0.424,0.487,0.46,0.676
"P44","No sabe",0.006,0,0.004,0.004,0.013,0.028,0
"P45","Muy buena",0.278,0.196,0.18,0.152,0.183,0.215,0.351
"P45","Buena",0.133,0.095,0.129,0.103,0.081,0.098,0
"P45","Ni buena ni mala",0.083,0.105,0.103,0.135,0.095,0.126,0.111
"P45","Mala",0.173,0.188,0.203,0.174,0.151,0.132,0.538
"P45","Muy mala",0.326,0.409,0.381,0.427,0.471,0.424,0
"P45","No sabe",0.007,0.007,0.004,0.009,0.019,0.005,0
"P46","Muy buena",0.135,0.145,0.136,0.085,0.077,0.061,0
"P46","Buena",0.136,0.197,0.17,0.15,0.152,0.127,0.1
"P46","Ni buena ni mala",0.156,0.196,0.242,0.245,0.269,0.212,0
"P46","Mala",0.252,0.213,0.183,0.179,0.176,0.203,0.438
"P46","Muy mala",0.317,0.246,0.266,0.336,0.313,0.378,0.462
"P46","No sabe",0.004,0.003,0.003,0.005,0.013,0.019,0
"P47","Muy buena",0.063,0.063,0.074,0.058,0.026,0.047,0
"P47","Buena",0.128,0.126,0.155,0.081,0.066,0.129,0.238
"P47","Ni buena ni mala",0.269,0.37,0.339,0.251,0.269,0.276,0.113
"P47","Mala",0.356,0.259,0.291,0.302,0.287,0.29,0.1
"P47","Muy mala",0.177,0.155,0.138,0.293,0.315,0.225,0.549
"P47","No sabe",0.007,0.027,0.003,0.015,0.037,0.033,0
"P48","Muy buena",0.142,0.136,0.1,0.075,0.103,0.086,0.238
"P48","Buena",0.156,0.122,0.127,0.121,0.102,0.109,0.113
"P48","Ni buena ni mala",0.19,0.181,0.189,0.169,0.135,0.214,0.111
"P48","Mala",0.196,0.191,0.229,0.213,0.157,0.194,0.438
"P48","Muy mala",0.299,0.368,0.352,0.421,0.496,0.391,0.1
"P48","No sabe",0.017,0.002,0.003,0.001,0.007,0.006,0
"P49","Muy buena",0.119,0.138,0.104,0.078,0.087,0.086,0
"P49","Buena",0.15,0.223,0.19,0.115,0.114,0.142,0
"P49","Ni buena ni mala",0.209,0.26,0.288,0.307,0.293,0.25,0.1
"P49","Mala",0.256,0.172,0.213,0.218,0.169,0.197,0.438
"P49","Muy mala",0.253,0.198,0.192,0.28,0.299,0.286,0.462
"P49","No sabe",0.013,0.009,0.013,0.002,0.038,0.039,0
"P50","Muy buena",0.302,0.206,0.221,0.202,0.177,0.213,0.462
"P50","Buena",0.116,0.114,0.09,0.093,0.081,0.149,0
"P50","Ni buena ni mala",0.109,0.144,0.13,0.125,0.145,0.107,0
"P50","Mala",0.151,0.158,0.196,0.169,0.085,0.094,0.438
"P50","Muy mala",0.301,0.369,0.361,0.409,0.478,0.426,0.1
"P50","No sabe",0.021,0.009,0.002,0.002,0.034,0.011,0
"P51","Muy buena",0.137,0.171,0.119,0.17,0.212,0.09,0
"P51","Buena",0.12,0.166,0.152,0.138,0.121,0.198,0
"P51","Ni buena ni mala",0.267,0.279,0.309,0.248,0.282,0.243,0.776
"P51","Mala",0.156,0.127,0.188,0.124,0.054,0.097,0
"P51","Muy mala",0.306,0.215,0.215,0.301,0.302,0.308,0.224
"P51","No sabe",0.014,0.042,0.017,0.019,0.029,0.064,0
"P52","Muy buena",0.262,0.358,0.209,0.38,0.379,0.257,0.1
"P52","Buena",0.146,0.135,0.198,0.098,0.121,0.125,0
"P52","Ni buena ni mala",0.119,0.121,0.178,0.097,0.112,0.15,0.438
"P52","Mala",0.142,0.144,0.128,0.123,0.049,0.108,0
"P52","Muy mala",0.324,0.236,0.277,0.3,0.327,0.355,0.462
"P52","No sabe",0.007,0.006,0.01,0.002,0.012,0.005,0
"P53","Muy buena",0.244,0.303,0.264,0.235,0.215,0.225,0.438
"P53","Buena",0.15,0.196,0.211,0.197,0.188,0.139,0.1
"P53","Ni buena ni mala",0.096,0.124,0.143,0.138,0.18,0.149,0.238
"P53","Mala",0.158,0.134,0.131,0.115,0.055,0.134,0
"P53","Muy mala",0.344,0.242,0.25,0.314,0.351,0.351,0.224
"P53","No sabe",0.008,0.001,0.001,0.001,0.011,0.002,0
"P54","Muy buena",0.168,0.106,0.142,0.105,0.087,0.116,0.113
"P54","Buena",0.145,0.135,0.065,0.145,0.121,0.098,0.238
"P54","Ni buena ni mala",0.254,0.31,0.36,0.305,0.287,0.322,0.111
"P54","Mala",0.194,0.168,0.152,0.169,0.101,0.138,0.538
"P54","Muy mala",0.202,0.226,0.276,0.227,0.311,0.186,0
"P54","No sabe",0.037,0.055,0.005,0.049,0.093,0.14,0
"P55","Muy buena",0.055,0.037,0.039,0.047,0.02,0.028,0
"P55","Buena",0.137,0.113,0.114,0.1,0.079,0.064,0.238
"P55","Ni buena ni mala",0.288,0.314,0.377,0.309,0.305,0.402,0.113
"P55","Mala",0.175,0.153,0.115,0.166,0.086,0.086,0.549
"P55","Muy mala",0.304,0.327,0.335,0.313,0.41,0.271,0.1
"P55","No sabe",0.041,0.056,0.02,0.065,0.1,0.149,0
"P56","Muy buena",0.07,0.036,0.026,0.03,0.011,0.07,0
"P56","Buena",0.109,0.16,0.141,0.098,0.053,0.074,0.111
"P56","Ni buena ni mala",0.33,0.409,0.478,0.316,0.363,0.363,0.351
"P56","Mala",0.305,0.17,0.161,0.264,0.175,0.167,0.538
"P56","Muy mala",0.161,0.178,0.183,0.251,0.322,0.207,0
"P56","No sabe",0.025,0.047,0.011,0.041,0.076,0.119,0
"P58","Muy buena",0.287,0.324,0.237,0.349,0.326,0.306,0.538
"P58","Buena",0.109,0.151,0.172,0.11,0.116,0.063,0
"P58","Ni buena ni mala",0.146,0.198,0.223,0.125,0.169,0.155,0
"P58","Mala",0.138,0.102,0.143,0.108,0.075,0.08,0
"P58","Muy mala",0.295,0.199,0.222,0.3,0.269,0.307,0.462
"P58","No sabe",0.025,0.026,0.003,0.008,0.045,0.089,0
"P59","Muy buena",0.13,0.091,0.103,0.137,0.129,0.106,0
"P59","Buena",0.155,0.208,0.11,0.179,0.169,0.118,0.538
"P59","Ni buena ni mala",0.354,0.43,0.452,0.345,0.401,0.384,0.351
"P59","Mala",0.215,0.121,0.17,0.167,0.11,0.152,0.111
"P59","Muy mala",0.133,0.097,0.153,0.145,0.126,0.11,0
"P59","No sabe",0.013,0.053,0.012,0.027,0.065,0.13,0
"P60","Muy buena",0.143,0.144,0.076,0.161,0.168,0.067,0
"P60","Buena",0.14,0.219,0.14,0.132,0.152,0.148,0.538
"P60","Ni buena ni mala",0.177,0.245,0.402,0.248,0.235,0.227,0
"P60","Mala",0.145,0.108,0.064,0.108,0.083,0.099,0
"P60","Muy mala",0.38,0.257,0.302,0.333,0.289,0.347,0.462
"P60","No sabe",0.015,0.027,0.016,0.018,0.073,0.112,0
"P61","Muy buena",0.153,0.131,0.066,0.122,0.142,0.097,0
"P61","Buena",0.094,0.151,0.17,0.112,0.076,0.075,0
"P61","Ni buena ni mala",0.334,0.372,0.458,0.325,0.369,0.291,0.889
"P61","Mala",0.139,0.112,0.103,0.142,0.067,0.107,0
"P61","Muy mala",0.224,0.144,0.194,0.211,0.21,0.221,0.111
"P61","No sabe",0.056,0.09,0.009,0.088,0.136,0.209,0
"P64","Muy buena",0.079,0.045,0.012,0.044,0.037,0.033,0
"P64","Buena",0.114,0.133,0.035,0.089,0.057,0.061,0.113
"P64","Ni buena ni mala",0.424,0.488,0.767,0.418,0.369,0.421,0.786
"P64","Mala",0.173,0.129,0.072,0.238,0.117,0.082,0.101
"P64","Muy mala",0.153,0.087,0.094,0.127,0.25,0.132,0
"P64","No sabe",0.057,0.118,0.02,0.084,0.17,0.271,0
"P66","Muy buena",0.127,0.08,0.055,0.043,0.048,0.042,0
"P66","Buena",0.179,0.229,0.132,0.144,0.12,0.105,0.11
"P66","Ni buena ni mala",0.287,0.329,0.451,0.288,0.343,0.287,0.348
"P66","Mala",0.28,0.22,0.227,0.328,0.236,0.288,0
"P66","Muy mala",0.111,0.128,0.102,0.187,0.237,0.127,0.542
"P66","No sabe",0.016,0.014,0.033,0.01,0.016,0.151,0
"P67","Muy buena",0.044,0.039,0.02,0.02,0.033,0.01,0
"P67","Buena",0.099,0.102,0.121,0.077,0.069,0.027,0
"P67","Ni buena ni mala",0.221,0.353,0.355,0.241,0.293,0.262,0.341
"P67","Mala",0.339,0.242,0.304,0.339,0.258,0.305,0.101
"P67","Muy mala",0.292,0.242,0.185,0.317,0.332,0.283,0.558
"P67","No sabe",0.005,0.022,0.015,0.006,0.015,0.113,0
