"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.893,0.098,0.188,0.166
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.067,0.511,0.619,0.56
"P28","En blanco",0.015,0.241,0.124,0.048
"P28","No sabe",0.025,0.15,0.069,0.226
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.331,0.238,0.577,0.538
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.044,0.683,0.095,0.082
"P29","En blanco",0.406,0.049,0.273,0.031
"P29","No sabe",0.219,0.03,0.055,0.349
"P38","Inflación",0.419,0.346,0.272,0.258
"P38","Desempleo",0.103,0.046,0.076,0.082
"P38","Corrupción",0.135,0.436,0.382,0.381
"P38","Inseguridad",0.139,0.116,0.146,0.161
"P38","Precio del dólar",0.056,0.008,0.019,0.019
"P38","Pobreza",0.072,0.023,0.063,0.02
"P38","Narcotráfico",0.014,0.002,0.007,0.009
"P38","Tarifas",0.004,0,0,0.014
"P38","Otro",0.048,0.021,0.034,0.027
"P38","No sabe",0.01,0.002,0.001,0.029
"GOBERNADOR","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.725,0.091,0.128,0.141
"GOBERNADOR","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.115,0.307,0.569,0.478
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.084,0.506,0.115,0.092
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.033,0.031,0.076,0.07
"GOBERNADOR","En blanco",0.031,0.05,0.094,0.085
"GOBERNADOR","No sabe",0.012,0.015,0.018,0.134
"CORTA_GOBERNADOR","Si",0.121,0.212,0.146,0.105
"CORTA_GOBERNADOR","No",0.879,0.788,0.854,0.895
"P10_imputada","Unión por la Patria",0.737,0.097,0.162,0.162
"P10_imputada","Juntos por el Cambio",0.126,0.266,0.596,0.55
"P10_imputada","De los liberales libertarios",0.08,0.567,0.075,0.071
"P10_imputada","De la Izquierda",0.041,0.034,0.074,0.126
"P10_imputada","Hacemos por nuestro país",0.006,0.013,0.031,0.017
"P10_imputada","Otro",0.005,0.02,0.026,0.047
"P10_imputada","En blanco",0.005,0.003,0.036,0.027
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.809,0.064,0.172,0.179
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.095,0.29,0.618,0.579
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.056,0.6,0.055,0.101
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.022,0.019,0.074,0.065
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.016,0.019,0.042,0.057
"P20_imputada","En blanco",0.002,0.008,0.039,0.019
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.733,0.093,0.129,0.158
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.117,0.311,0.577,0.539
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.084,0.515,0.117,0.104
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.034,0.031,0.079,0.081
"GOBERNADOR_imputada","En blanco",0.032,0.05,0.098,0.118
