"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P19","Para nada seguro",0.042,0.035,0.034,0.16,0.059,0.056,0.062
"P24","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.587,0.126,0.132,0.352,0.203,0,0.025
"P24","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.159,0.649,0.296,0.005,0.431,0.081,0.081
"P24","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.201,0.21,0.508,0.082,0.024,0.251,0.161
"P24","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.053,0.003,0.007,0.425,0.203,0,0
"P24","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0.006,0.057,0.107,0.029,0.042,0
"P24","Otros",0,0,0,0,0.03,0.333,0.044
"P24","En blanco",0,0,0,0,0,0.197,0.256
"P24","No sabe",0,0.006,0,0.029,0.08,0.096,0.433
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.586,0.032,0.148,0.813,0.329,0.127,0.12
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.292,0.911,0.708,0.038,0.452,0.467,0.506
"P31","En blanco",0.011,0.05,0.124,0.149,0.219,0.406,0.219
"P31","No sabe",0.111,0.007,0.02,0,0,0,0.155
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.212,0.625,0.391,0.095,0.601,0.554,0.474
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.307,0.365,0.534,0.068,0,0.091,0.067
"P32","En blanco",0.294,0.01,0.051,0.344,0.366,0.355,0.294
"P32","No sabe",0.187,0,0.024,0.493,0.033,0,0.165
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.742,0.099,0.122,0.766,0.323,0.096,0.142
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.2,0.47,0.864,0.195,0.236,0.369,0.26
"P33","En blanco",0.011,0.304,0,0.039,0.441,0.514,0.276
"P33","No sabe",0.047,0.127,0.014,0,0,0.021,0.322
"P34","Leandro Santoro por Union por la Patria",0.468,0.094,0.167,0.821,0.444,0.108,0.155
"P34","Jorge Macri por Juntos por el Cambio",0.239,0.86,0.741,0,0.528,0.558,0.551
"P34","En blanco",0.13,0.039,0.074,0.086,0.028,0.235,0.193
"P34","No sabe",0.163,0.007,0.018,0.093,0,0.099,0.101
"P35","Lo votaría",0.654,0.026,0.149,0.538,0.744,0.109,0.167
"P35","Puede que lo vote",0.08,0.11,0.074,0.377,0.222,0.206,0.111
"P35","Nunca lo votaría",0.214,0.86,0.777,0.085,0.034,0.685,0.579
"P35","No sabe",0.052,0.004,0,0,0,0,0.143
"P36","Lo votaría",0.203,0.669,0.592,0.134,0.057,0.451,0.379
"P36","Puede que lo vote",0.355,0.155,0.358,0.038,0,0.053,0.098
"P36","Nunca lo votaría",0.431,0.15,0.033,0.53,0.943,0.496,0.432
"P36","No sabe",0.011,0.026,0.017,0.298,0,0,0.091
"P37","Lo votaría",0.291,0.317,0.617,0.172,0,0.17,0.125
"P37","Puede que lo vote",0.27,0.133,0.286,0,0,0.262,0.154
"P37","Nunca lo votaría",0.428,0.515,0.09,0.574,1,0.568,0.614
"P37","No sabe",0.011,0.035,0.007,0.254,0,0,0.107
"P38","Lo votaría",0.114,0.049,0.082,0.455,0.705,0.104,0.023
"P38","Puede que lo vote",0.232,0.022,0.004,0.41,0.173,0.1,0.075
"P38","Nunca lo votaría",0.576,0.908,0.897,0.135,0.122,0.796,0.701
"P38","No sabe",0.078,0.021,0.017,0,0,0,0.201
"P39","Lo votaría",0.072,0.059,0.083,0.17,0.031,0,0
"P39","Puede que lo vote",0.329,0.039,0.098,0.359,0.362,0.168,0.367
"P39","Nunca lo votaría",0.556,0.851,0.819,0.439,0.607,0.807,0.339
"P39","No sabe",0.043,0.051,0,0.032,0,0.025,0.294
"P45","Lo votaría",0.505,0.015,0.083,0.772,0.903,0.061,0.15
"P45","Puede que lo vote",0.241,0.119,0.052,0.154,0,0.064,0.068
"P45","Nunca lo votaría",0.222,0.794,0.865,0.049,0.097,0.875,0.633
"P45","No sabe",0.032,0.072,0,0.025,0,0,0.149
"P46","Lo votaría",0.154,0.59,0.556,0.133,0.099,0.502,0.444
"P46","Puede que lo vote",0.191,0.268,0.242,0.06,0,0.103,0.087
"P46","Nunca lo votaría",0.621,0.135,0.195,0.807,0.901,0.395,0.39
"P46","No sabe",0.034,0.007,0.007,0,0,0,0.079
"P52","Si",0.185,0.467,0.399,0.369,0.551,0.451,0.149
"P52","No",0.815,0.533,0.601,0.631,0.449,0.549,0.851
