"var","categoria","A Karina Isabel Menendez por el Frente de todos","A David Mauricio Zencich por Juntos","A Flavia Luz Tesone por el Frente de Izquierda","A Martín Maximiliano Diaz por Avanza libertad","A Domingo Palma por “Vamos con vos""","A Juan Domingo Ochoa por Union Celeste y Blanco","A Gustavo Javier Marchesani por Vocación Social","A Claudio Alejandro Ferrari por Republicano Federal","Votaría en blanco o anularía"
"P19","Nicolás del Caño por el Frente de Izquierda",0.002,0.029,0,0,0.131,0,0,0,0
"P19","José Luis Espert por “Avanza Libertad”",0.027,0.009,0.181,0.06,0.01,0,0,0,0.064
"P19","Florencio Randazzo por “Vamos con vos”",0.034,0.009,0,0.09,0,0,0,0,0.075
"P19","Cynthia Hotton por “+Valores”",0.017,0,0.034,0,0,0.158,0,0,0
"P19","Ninguna en particular",0.042,0.032,0.091,0.258,0.02,0.123,0,0,0.255
"P19","No sabe",0.083,0.026,0.021,0.025,0.052,0,0.359,0.089,0.058
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.409,0.438,0.421,0.474,0.377,0.097,0.638,0,0.525
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.263,0.293,0.269,0.229,0.319,0.687,0,0,0.333
"P20","No alcanzan para cubrir los gastos totales de la familia",0.158,0.156,0.215,0.14,0.216,0.216,0.362,0.911,0.08
"P20","Alcanzan para cubrir los gastos totales de la familia",0.117,0.061,0.082,0.049,0.052,0,0,0,0.028
"P20","Tenemos un pequeño excedente, pero es excepcional",0.011,0.004,0,0.05,0,0,0,0,0
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.013,0.009,0,0.032,0.036,0,0,0,0
"P20","Tenemos un gran excedente pero es excepcional",0.002,0.02,0.013,0,0,0,0,0,0.016
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.018,0.011,0,0.026,0,0,0,0,0
"P20","No sabe",0.009,0.008,0,0,0,0,0,0.089,0.018
"P21","Muy buena",0.295,0.047,0.31,0.049,0.265,0,0,0,0
"P21","Buena",0.398,0.015,0.166,0,0.102,0,0,0.045,0.053
"P21","Ni buena ni mala",0.215,0.107,0.311,0.272,0.295,0.165,0,0,0.355
"P21","Mala",0.034,0.283,0.076,0.175,0.064,0.101,0.64,0,0.06
"P21","Muy mala",0.018,0.546,0.137,0.487,0.261,0.709,0,0.862,0.498
"P21","No sabe",0.04,0.002,0,0.017,0.013,0.025,0.36,0.093,0.034
"P22","Muy buena",0.631,0.038,0.402,0.086,0.288,0,0,0.047,0.02
"P22","Buena",0.219,0.011,0.066,0.022,0.093,0,0,0,0
"P22","Ni buena ni mala",0.081,0.088,0.091,0,0.134,0.196,0,0,0.221
"P22","Mala",0.034,0.105,0.219,0.223,0,0.081,0,0,0.138
"P22","Muy mala",0.019,0.753,0.222,0.669,0.471,0.698,0.64,0.856,0.587
"P22","No sabe",0.016,0.005,0,0,0.014,0.025,0.36,0.097,0.034
"P23","Muy buena",0.189,0.05,0.088,0.035,0.296,0,0,0,0
"P23","Buena",0.265,0.051,0.174,0.244,0.115,0,0,0,0.034
"P23","Ni buena ni mala",0.324,0.153,0.23,0.05,0.158,0.167,0,0.047,0.315
"P23","Mala",0.11,0.181,0.072,0.217,0.101,0.062,0,0.099,0.049
"P23","Muy mala",0.067,0.551,0.426,0.454,0.284,0.209,0.64,0.854,0.587
"P23","No sabe",0.045,0.014,0.01,0,0.046,0.562,0.36,0,0.015
"P24","Muy buena",0.048,0.159,0.019,0.024,0.013,0,0,0,0
"P24","Buena",0.02,0.32,0.238,0.122,0.008,0.075,0,0,0.141
"P24","Ni buena ni mala",0.049,0.299,0.029,0.271,0.224,0.245,0,0,0.09
"P24","Mala",0.204,0.143,0.203,0.111,0.295,0.59,0,0,0.219
"P24","Muy mala",0.65,0.078,0.472,0.472,0.46,0.064,0.646,0.903,0.524
"P24","No sabe",0.029,0.001,0.039,0,0,0.026,0.354,0.097,0.026
"P25","Muy buena",0.071,0.408,0.097,0.07,0.045,0.164,0.646,0,0.142
"P25","Buena",0.046,0.335,0.128,0.287,0.102,0,0,0.087,0.114
"P25","Ni buena ni mala",0.162,0.18,0.27,0.26,0.185,0.117,0,0,0.376
"P25","Mala",0.212,0.041,0.239,0.208,0.073,0,0,0,0.157
"P25","Muy mala",0.473,0.031,0.234,0.153,0.41,0.129,0,0.913,0.203
"P25","No sabe",0.036,0.005,0.032,0.022,0.185,0.59,0.354,0,0.008
