"var","categoria","Néstor Grindetti a gobernador y Fernando Burlando a vicegobernador por Juntos por el Cambio.","Diego Santilli a gobernador y su candidato a vicegobernador por Juntos por el Cambio.","Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por el Frente de Todos.","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.","No sabe"
"P19","A Guillermo Britos a gobernador y su candidato a vicegobernador por La Libertad Avanza.",0.118,0.067,0.067,0.727,0.022,0.036
"P19","A los candidatos a gobernador y vicegobernador por el Frente de Izquierda.",0.022,0.001,0.01,0.004,0.893,0.012
"P19","No sabe",0.037,0.04,0.049,0.052,0.032,0.785
"P22","Lo votaría",0.604,0.214,0.05,0.211,0.037,0.121
"P22","Puede que lo vote",0.142,0.318,0.05,0.156,0.104,0.165
"P22","Nunca lo votaría",0.193,0.279,0.78,0.406,0.605,0.332
"P22","No sabe",0.061,0.189,0.12,0.227,0.254,0.382
"P23","Lo votaría",0.284,0.676,0.025,0.089,0.065,0.041
"P23","Puede que lo vote",0.417,0.225,0.044,0.193,0.052,0.175
"P23","Nunca lo votaría",0.259,0.044,0.855,0.587,0.634,0.399
"P23","No sabe",0.04,0.055,0.076,0.131,0.249,0.385
"P24","Lo votaría",0.14,0.097,0.835,0.119,0.036,0.066
"P24","Puede que lo vote",0.122,0.059,0.04,0.025,0.199,0.057
"P24","Nunca lo votaría",0.722,0.829,0.116,0.809,0.595,0.657
"P24","No sabe",0.016,0.015,0.009,0.047,0.17,0.22
"P25","Lo votaría",0.075,0.042,0.079,0.461,0.011,0.04
"P25","Puede que lo vote",0.184,0.215,0.028,0.21,0.101,0.058
"P25","Nunca lo votaría",0.589,0.551,0.828,0.259,0.752,0.442
"P25","No sabe",0.152,0.192,0.065,0.07,0.136,0.46
"P26","Lo votaría",0.202,0.091,0.014,0.136,0.024,0.056
"P26","Puede que lo vote",0.251,0.249,0.023,0.179,0.072,0.085
"P26","Nunca lo votaría",0.362,0.399,0.863,0.467,0.615,0.337
"P26","No sabe",0.185,0.261,0.1,0.218,0.289,0.522
"P27","Lo votaría",0.145,0.085,0.007,0.039,0.023,0.104
"P27","Puede que lo vote",0.236,0.275,0.019,0.13,0.047,0.086
"P27","Nunca lo votaría",0.351,0.35,0.86,0.542,0.587,0.329
"P27","No sabe",0.268,0.29,0.114,0.289,0.343,0.481
"P28","Lo votaría",0.075,0.032,0.587,0.071,0.067,0.008
"P28","Puede que lo vote",0.062,0.056,0.217,0.093,0.027,0.029
"P28","Nunca lo votaría",0.829,0.869,0.17,0.712,0.678,0.637
"P28","No sabe",0.034,0.043,0.026,0.124,0.228,0.326
"P29","Lo votaría",0.215,0.067,0.063,0.121,0.017,0.024
"P29","Puede que lo vote",0.378,0.227,0.084,0.183,0.065,0.117
"P29","Nunca lo votaría",0.336,0.586,0.805,0.569,0.688,0.564
"P29","No sabe",0.071,0.12,0.048,0.127,0.23,0.295
"P30","Lo votaría",0.068,0.018,0.368,0.078,0.022,0.02
"P30","Puede que lo vote",0.099,0.041,0.303,0.074,0.111,0.017
"P30","Nunca lo votaría",0.767,0.907,0.29,0.726,0.542,0.668
"P30","No sabe",0.066,0.034,0.039,0.122,0.325,0.295
"P31","Si",0.635,0.525,0.563,0.552,0.782,0.518
"P31","No",0.365,0.475,0.437,0.448,0.218,0.482
