"var","categoria","Autoritaria","Inexperta negociando","Indecisa","Prudente","Hábil negociando","Firme y decidido"
"P38","Muy mala",0.475,0.314,0.029,0.023,0.005,0.002
"P38","No sabe",0.01,0.003,0,0,0.051,0.01
"P39","Muy buena",0.115,0.069,0.25,0.108,0.296,0.238
"P39","Buena",0.103,0.231,0.278,0.312,0.212,0.188
"P39","Ni buena ni mala",0.29,0.442,0.384,0.408,0.27,0.426
"P39","Mala",0.192,0.076,0.024,0.13,0.106,0.086
"P39","Muy mala",0.256,0.164,0.004,0.019,0.055,0.054
"P39","No sabe",0.044,0.018,0.06,0.023,0.061,0.008
"P40","Muy buena",0.066,0.103,0.159,0.107,0.276,0.369
"P40","Buena",0.033,0.134,0.387,0.25,0.226,0.278
"P40","Ni buena ni mala",0.147,0.29,0.326,0.461,0.264,0.228
"P40","Mala",0.201,0.118,0.028,0.121,0.096,0.039
"P40","Muy mala",0.536,0.341,0.029,0.014,0.087,0.01
"P40","No sabe",0.017,0.014,0.071,0.047,0.051,0.076
"P41","Muy buena",0.067,0.051,0.058,0.053,0.369,0.342
"P41","Buena",0.014,0.198,0.254,0.333,0.186,0.286
"P41","Ni buena ni mala",0.269,0.332,0.425,0.48,0.217,0.278
"P41","Mala",0.219,0.058,0.09,0.076,0.066,0.035
"P41","Muy mala",0.372,0.254,0.023,0,0.099,0.004
"P41","No sabe",0.059,0.107,0.15,0.058,0.063,0.055
