"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.051,0.147,0.065,0.092,0.732,0.055,0.044,0.057
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.096,0.024,0.019,0.14,0.536,0,0.042
"P22","En blanco",0.001,0.107,0.014,0.035,0.029,0.067,0.584,0.037
"P22","No sabe",0.049,0.2,0.02,0.175,0.024,0.166,0.198,0.722
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.853,0.314,0.031,0.067,0.026,0.26,0.117,0.08
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.03,0.054,0.829,0.549,0.032,0.013,0.055,0.076
"P23","Julio Zamora a intendente por un partido vecinal",0.079,0.376,0.083,0.091,0.198,0.055,0.09,0.14
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.052,0.019,0.063,0.669,0.248,0.028,0.037
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.046,0.019,0.015,0.021,0.224,0.221,0.033
"P23","En blanco",0.024,0.058,0.006,0.079,0.044,0.179,0.379,0.157
"P23","No sabe",0.009,0.1,0.013,0.136,0.01,0.021,0.11,0.477
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.746,0.326,0.032,0.051,0.024,0.193,0.271,0.247
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.044,0.446,0.094,0.066,0.019,0.07,0.016,0.027
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.049,0.087,0.772,0.146,0.052,0.044,0.069,0.049
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.122,0.055,0.057,0.653,0.079,0.246,0.122,0.024
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.027,0.015,0.029,0.813,0.072,0.052,0.044
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0,0.018,0.018,0.003,0.343,0.026,0.125
"P24","En blanco",0.002,0.014,0.009,0.019,0.002,0.01,0.401,0.076
"P24","No sabe",0.024,0.045,0.003,0.018,0.008,0.022,0.043,0.408
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.717,0.351,0.029,0.035,0.017,0.333,0.216,0.197
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.028,0.069,0.741,0.101,0.051,0.061,0.117,0.08
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.113,0.072,0.14,0.684,0.025,0,0.033,0.011
"P25","Julio Zamora a intendente por un partido vecinal",0.086,0.437,0.046,0.08,0.035,0.177,0.13,0.102
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.027,0.016,0.038,0.857,0.045,0.106,0.07
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.014,0.014,0.012,0,0.004,0.384,0.033,0.075
"P25","En blanco",0.001,0.002,0.009,0.03,0.001,0,0.365,0.03
"P25","No sabe",0.039,0.028,0.007,0.032,0.01,0,0,0.435
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.788,0.402,0.037,0.098,0.045,0.447,0.247,0.342
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.039,0.067,0.571,0.69,0.041,0.017,0.2,0.108
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.071,0.167,0.199,0.124,0.605,0.032,0.051,0.062
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.106,0.043,0.051,0.029,0.358,0,0.025
"P26","En blanco",0.012,0.088,0.05,0.006,0.238,0.087,0.333,0.019
"P26","No sabe",0.082,0.17,0.1,0.031,0.042,0.059,0.169,0.444
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.754,0.381,0.033,0.065,0.021,0.142,0.199,0.299
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.035,0.08,0.551,0.766,0.038,0.022,0.157,0.164
"P27","Julio Zamora a intendente por un partido vecinal",0.136,0.343,0.098,0.077,0.163,0.183,0.112,0.132
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.001,0.103,0.143,0.058,0.67,0.067,0.053,0.004
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.047,0.025,0,0.094,0.362,0.054,0.011
"P27","En blanco",0.036,0.014,0.068,0,0.012,0.224,0.425,0.167
"P27","No sabe",0.029,0.032,0.082,0.034,0.002,0,0,0.223
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.83,0.447,0.031,0.089,0.053,0.177,0.247,0.43
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.032,0.077,0.818,0.659,0.042,0.065,0.072,0.15
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.045,0.146,0.081,0.033,0.717,0.19,0.036,0.026
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.068,0.034,0.055,0.1,0.164,0,0
"P28","En blanco",0.015,0.115,0.012,0.062,0.071,0.239,0.486,0.012
"P28","No sabe",0.076,0.147,0.024,0.102,0.017,0.165,0.159,0.382
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.765,0.387,0.04,0.059,0.028,0.265,0.226,0.378
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.085,0.036,0.79,0.583,0.052,0.196,0.152,0.12
"P29","Julio Zamora a intendente por un partido vecinal",0.097,0.483,0.088,0.104,0.182,0.061,0.035,0.105
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0,0.066,0.062,0.023,0.66,0.037,0.035,0.004
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.013,0.003,0.044,0.07,0.422,0.104,0.047
"P29","En blanco",0.03,0.008,0.01,0.08,0.001,0.019,0.303,0.107
"P29","No sabe",0.022,0.007,0.007,0.107,0.007,0,0.145,0.239
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.815,0.315,0.016,0.023,0.005,0.089,0.255,0.309
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.019,0.1,0.548,0.089,0.039,0.038,0.023,0.056
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.05,0.04,0.29,0.735,0.059,0.198,0.15,0.066
"P30","Julio Zamora a intendente por un partido vecinal",0.096,0.492,0.053,0.079,0.057,0.121,0.109,0.209
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.046,0.049,0.035,0.821,0.11,0.065,0
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.013,0.007,0,0,0,0.278,0.037,0.01
"P30","En blanco",0,0,0.014,0.03,0.009,0,0.234,0.065
"P30","No sabe",0.005,0,0.03,0.009,0.01,0.166,0.127,0.285
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.756,0.409,0.076,0.081,0.014,0.068,0.281,0.358
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.031,0.126,0.606,0.666,0.091,0.039,0.068,0.176
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.114,0.076,0.198,0.148,0.636,0.054,0.13,0.008
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.026,0.067,0.006,0.03,0.022,0.339,0,0.074
"P31","En blanco",0.018,0.136,0.037,0.037,0.195,0.182,0.163,0.015
"P31","No sabe",0.055,0.186,0.077,0.038,0.042,0.318,0.358,0.369
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.751,0.302,0.045,0.04,0.013,0.069,0.247,0.376
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.014,0.106,0.607,0.755,0.108,0.031,0.189,0.105
"P32","Julio Zamora a intendente por un partido vecinal",0.196,0.408,0.132,0.081,0.161,0.084,0.177,0.098
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.013,0.07,0.104,0.041,0.578,0.293,0.028,0.061
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0.015,0.009,0.042,0.129,0.254,0.073,0
"P32","En blanco",0.013,0.044,0.056,0.026,0.006,0.269,0.286,0.073
"P32","No sabe",0.008,0.055,0.047,0.015,0.005,0,0,0.287
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.847,0.402,0.044,0.04,0.012,0.099,0.279,0.419
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.03,0.099,0.692,0.654,0.047,0.025,0.094,0.087
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.048,0.143,0.109,0.093,0.689,0.152,0.03,0.049
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0.059,0.024,0.009,0.132,0.279,0.044,0.062
"P33","En blanco",0.006,0.16,0.038,0.019,0.094,0,0.267,0.024
"P33","No sabe",0.064,0.137,0.093,0.185,0.026,0.445,0.286,0.359
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.808,0.364,0.047,0.022,0.013,0.072,0.205,0.35
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.021,0.056,0.702,0.584,0.056,0.027,0.1,0.094
"P34","Julio Zamora a intendente por un partido vecinal",0.106,0.336,0.105,0.144,0.151,0.121,0.155,0.108
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.004,0.062,0.036,0.077,0.659,0.054,0.03,0.069
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.024,0.026,0.012,0.106,0.471,0.076,0.017
"P34","En blanco",0.046,0.03,0.05,0.08,0.015,0.255,0.388,0.092
"P34","No sabe",0.013,0.128,0.034,0.081,0,0,0.046,0.27
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.722,0.25,0.043,0.02,0.026,0.105,0.26,0.302
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.126,0.449,0.117,0.093,0.039,0.034,0.074,0.047
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.01,0.065,0.495,0.151,0.056,0,0.079,0.051
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.105,0.125,0.219,0.572,0.083,0.019,0.083,0.087
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.01,0.075,0.103,0.779,0.333,0.065,0
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.006,0.016,0.02,0.006,0.489,0.128,0.029
"P35","En blanco",0.021,0.074,0.003,0.024,0.009,0,0.13,0.046
"P35","No sabe",0.014,0.021,0.032,0.017,0.002,0.02,0.181,0.438
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.827,0.295,0.032,0.02,0.012,0.137,0.141,0.317
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.006,0.057,0.487,0.057,0.05,0.07,0.101,0.074
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.053,0.073,0.271,0.717,0.046,0,0.054,0.116
"P36","Julio Zamora a intendente por un partido vecinal",0.101,0.354,0.086,0.118,0.038,0.025,0.297,0.116
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.083,0.052,0.084,0.825,0.074,0.121,0
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.002,0.02,0.004,0.003,0.694,0,0.01
"P36","En blanco",0.013,0.064,0.006,0,0.004,0,0.117,0.117
"P36","No sabe",0,0.072,0.046,0,0.022,0,0.169,0.25
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.82,0.392,0.051,0.084,0.012,0.139,0.162,0.364
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.019,0.1,0.62,0.587,0.081,0,0.155,0.132
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.081,0.114,0.16,0.167,0.654,0.144,0.032,0
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.138,0.018,0.054,0.051,0.322,0.029,0.029
"P37","En blanco",0.018,0.175,0.059,0.045,0.167,0.096,0.462,0.02
"P37","No sabe",0.059,0.081,0.092,0.063,0.035,0.299,0.16,0.455
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.83,0.417,0.051,0.026,0.02,0.136,0.196,0.283
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.036,0.045,0.665,0.682,0.083,0.045,0.154,0.152
"P38","Julio Zamora a intendente por un partido vecinal",0.102,0.348,0.066,0.122,0.169,0.126,0.192,0.103
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.091,0.094,0.075,0.601,0.12,0.032,0.009
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.004,0.067,0.034,0.03,0.111,0.292,0.067,0.019
"P38","En blanco",0.028,0.003,0.04,0.019,0.016,0.281,0.359,0.088
"P38","No sabe",0,0.029,0.05,0.046,0,0,0,0.346
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.864,0.447,0.035,0.056,0.012,0.108,0.225,0.305
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.063,0.068,0.758,0.629,0.069,0.046,0.119,0.18
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.033,0.165,0.086,0.049,0.679,0.179,0.087,0.027
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.036,0.033,0.038,0.13,0.331,0.066,0.01
"P39","En blanco",0.003,0.164,0.026,0.06,0.088,0.046,0.378,0.021
"P39","No sabe",0.037,0.12,0.062,0.168,0.022,0.29,0.125,0.457
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.608,0.227,0.222,0.22,0.046,0.073,0.202,0.257
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.287,0.219,0.583,0.395,0.043,0.036,0.154,0.187
"P40","Julio Zamora a intendente por un partido vecinal",0.066,0.405,0.073,0.149,0.205,0.098,0.105,0.144
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.013,0.047,0.074,0.597,0.049,0.038,0
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.033,0.007,0.042,0.091,0.392,0.117,0
"P40","En blanco",0.037,0.048,0.015,0.029,0.015,0.352,0.384,0.209
"P40","No sabe",0,0.055,0.053,0.091,0.003,0,0,0.203
"P41","Muy buena",0.476,0.146,0.098,0.015,0.042,0.074,0.069,0.133
"P41","Buena",0.294,0.1,0.136,0.128,0.015,0.037,0.176,0.087
"P41","Ni buena ni mala",0.171,0.344,0.075,0.322,0.15,0.316,0.053,0.161
"P41","Mala",0.036,0.099,0.197,0.185,0.186,0.116,0.328,0.107
"P41","Muy mala",0.018,0.273,0.486,0.345,0.592,0.457,0.274,0.412
"P41","No sabe",0.005,0.038,0.008,0.005,0.015,0,0.1,0.1
"P42","Muy buena",0.332,0.469,0.058,0.051,0.058,0,0.204,0.156
"P42","Buena",0.311,0.251,0.151,0.099,0.055,0.037,0.068,0.175
"P42","Ni buena ni mala",0.212,0.079,0.217,0.425,0.146,0.508,0.214,0.339
"P42","Mala",0.056,0.056,0.238,0.208,0.171,0,0.105,0.029
"P42","Muy mala",0.063,0.094,0.304,0.203,0.561,0.455,0.409,0.275
"P42","No sabe",0.026,0.051,0.032,0.014,0.009,0,0,0.026
"P43","Muy buena",0.126,0.038,0.201,0.259,0.128,0.031,0.177,0.103
"P43","Buena",0.11,0.128,0.364,0.34,0.095,0.114,0.048,0.14
"P43","Ni buena ni mala",0.218,0.211,0.251,0.303,0.342,0.037,0.122,0.242
"P43","Mala",0.25,0.125,0.036,0.048,0.107,0.111,0.066,0.01
"P43","Muy mala",0.209,0.469,0.118,0.013,0.296,0.707,0.52,0.365
"P43","No sabe",0.087,0.029,0.03,0.037,0.032,0,0.067,0.14
"P44","Muy buena",0.082,0.013,0.248,0.085,0.059,0.048,0.033,0.098
"P44","Buena",0.088,0.121,0.346,0.214,0.125,0.03,0.037,0.1
"P44","Ni buena ni mala",0.27,0.135,0.286,0.428,0.437,0.111,0.168,0.349
"P44","Mala",0.191,0.246,0.038,0.09,0.074,0.037,0.178,0.036
"P44","Muy mala",0.233,0.413,0.023,0.063,0.234,0.774,0.45,0.21
"P44","No sabe",0.136,0.072,0.059,0.12,0.071,0,0.134,0.207
"P45","Muy buena",0.277,0.351,0.065,0.048,0.061,0.034,0.094,0.131
"P45","Buena",0.331,0.361,0.23,0.106,0.094,0.047,0.207,0.237
"P45","Ni buena ni mala",0.191,0.121,0.253,0.447,0.24,0.177,0.437,0.356
"P45","Mala",0.087,0.04,0.237,0.195,0.168,0.047,0.205,0.211
"P45","Muy mala",0.057,0.084,0.185,0.2,0.422,0.407,0.057,0.043
"P45","No sabe",0.057,0.043,0.03,0.004,0.015,0.288,0,0.022
"P46","Que continúe el intendente Julio Zamora",0.215,0.423,0.104,0.03,0.052,0.102,0.099,0.171
"P46","Que continúe Julio Zamora pero con mejoras",0.352,0.328,0.124,0.169,0.116,0.346,0.396,0.247
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.243,0.121,0.155,0.237,0.159,0.03,0.036,0.2
"P46","Que cambie el intendente Julio Zamora",0.19,0.128,0.617,0.564,0.673,0.522,0.469,0.382
"P47","Es kirchnerista",0.146,0.311,0.202,0.081,0.232,0.257,0.04,0.111
"P47","Forma parte del Frente de Todos",0.383,0.344,0.251,0.382,0.198,0.039,0.366,0.113
"P47","Es un hombre de Massa",0.184,0.105,0.11,0.19,0.152,0.051,0.047,0.192
"P47","Es un peronista independiente de centro",0.104,0.138,0.155,0.088,0.157,0.324,0.164,0.103
"P47","Es un oportunista y está donde le conviene",0.097,0.046,0.202,0.129,0.213,0.329,0.241,0.325
"P47","No sabe",0.086,0.056,0.08,0.13,0.048,0,0.142,0.156
"P48","El tránsito",0.351,0.237,0.25,0.262,0.259,0.109,0.111,0.267
"P48","El arreglo de las calles",0.113,0.151,0.092,0.057,0.081,0.032,0.059,0.103
"P48","Los parques y espacios públicos",0.112,0.084,0.037,0.114,0.102,0,0,0.078
"P48","El sistema de salud",0.059,0.054,0.078,0.005,0.022,0.219,0.07,0
"P48","La limpieza de las calles",0.108,0.153,0.108,0.068,0.099,0.354,0.112,0.227
"P48","El deporte y la cultura",0.089,0.113,0.06,0.21,0.113,0.04,0.134,0.135
"P48","La obra pública",0.016,0.062,0.031,0.032,0.03,0,0.07,0.016
"P48","La luminaria",0.068,0.038,0.067,0.067,0.053,0,0.04,0.033
