"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Macri","Lavagna"
"Axel Kicillof","Neutra",0.078,0.056,0.098,0.105,0.074,0.061,0.08,0.058,0.093,0.072,0.048,0.1,0.182
"Axel Kicillof","Negativa",0.552,0.589,0.516,0.483,0.505,0.639,0.634,0.565,0.497,0.63,0.289,0.76,0.584
"Axel Kicillof","No sabe",0.012,0.016,0.009,0,0.019,0.012,0.01,0.026,0.011,0,0.015,0.003,0
"CFK","Positiva",0.343,0.299,0.386,0.417,0.33,0.346,0.284,0.301,0.39,0.31,0.63,0.143,0.052
"CFK","Neutra",0.058,0.064,0.052,0.06,0.058,0.045,0.077,0.077,0.037,0.071,0.053,0.061,0.076
"CFK","Negativa",0.592,0.633,0.552,0.497,0.609,0.607,0.635,0.622,0.558,0.617,0.317,0.79,0.872
"CFK","No sabe",0.007,0.004,0.01,0.026,0.003,0.002,0.004,0,0.015,0.002,0,0.006,0
"Sergio Massa","Positiva",0.234,0.195,0.273,0.195,0.255,0.221,0.243,0.251,0.254,0.184,0.381,0.122,0.071
"Sergio Massa","Neutra",0.145,0.169,0.121,0.214,0.121,0.159,0.105,0.167,0.117,0.168,0.198,0.076,0.504
"Sergio Massa","Negativa",0.615,0.632,0.599,0.591,0.624,0.606,0.634,0.566,0.628,0.645,0.419,0.793,0.425
"Sergio Massa","No sabe",0.006,0.004,0.007,0,0,0.014,0.018,0.016,0.001,0.003,0.002,0.009,0
"Alberto Fernández","Positiva",0.237,0.225,0.25,0.317,0.219,0.23,0.205,0.234,0.267,0.192,0.39,0.127,0.094
"Alberto Fernández","Neutra",0.131,0.128,0.134,0.14,0.146,0.118,0.099,0.17,0.094,0.152,0.184,0.079,0.213
"Alberto Fernández","Negativa",0.62,0.644,0.595,0.543,0.617,0.651,0.668,0.586,0.622,0.65,0.416,0.784,0.693
"Alberto Fernández","No sabe",0.012,0.003,0.021,0,0.018,0.001,0.028,0.01,0.017,0.006,0.01,0.01,0
