"var","categoria","Es kirchnerista","Forma parte del Frente de Todos","Es un hombre de Massa","Es un peronista independiente de centro","Es un oportunista y está donde le conviene","No sabe"
"P18","En blanco",0.003,0.019,0.005,0.018,0.022,0.026
"P18","No sabe",0.03,0.019,0.065,0.038,0.098,0.095
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.222,0.31,0.247,0.228,0.165,0.281
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.316,0.254,0.178,0.207,0.282,0.165
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.067,0.138,0.156,0.058,0.13,0.129
"P19","Julio Zamora a intendente por un partido vecinal",0.182,0.159,0.125,0.177,0.069,0.142
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.181,0.12,0.227,0.237,0.211,0.126
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.003,0.006,0,0.067,0.028,0
"P19","En blanco",0.015,0.006,0.015,0.014,0.035,0.043
"P19","No sabe",0.014,0.007,0.052,0.012,0.08,0.114
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.186,0.34,0.26,0.212,0.185,0.362
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.282,0.28,0.303,0.228,0.208,0.238
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.285,0.228,0.194,0.26,0.291,0.092
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.105,0.051,0.064,0.066,0.058,0.05
"P20","En blanco",0.046,0.036,0.133,0.162,0.129,0.054
"P20","No sabe",0.096,0.065,0.046,0.072,0.129,0.204
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.208,0.281,0.268,0.235,0.165,0.342
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.226,0.31,0.28,0.227,0.203,0.299
"P21","Julio Zamora a intendente por un partido vecinal",0.199,0.142,0.055,0.226,0.068,0.105
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.223,0.2,0.275,0.201,0.309,0.158
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.052,0.028,0.077,0.08,0.039,0
"P21","En blanco",0.047,0.012,0.043,0.014,0.107,0
"P21","No sabe",0.045,0.027,0.002,0.017,0.109,0.096
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.235,0.34,0.295,0.276,0.15,0.398
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.349,0.339,0.245,0.286,0.431,0.318
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.3,0.175,0.262,0.187,0.207,0.137
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.03,0.042,0.054,0.147,0.077,0.022
"P22","En blanco",0.025,0.029,0.032,0.023,0.036,0.048
"P22","No sabe",0.061,0.075,0.112,0.081,0.099,0.077
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.227,0.329,0.291,0.252,0.159,0.342
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.334,0.334,0.227,0.257,0.391,0.318
"P23","Julio Zamora a intendente por un partido vecinal",0.167,0.174,0.138,0.205,0.034,0.091
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.15,0.115,0.153,0.168,0.248,0.146
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.045,0.005,0.065,0.006,0.049,0.041
"P23","En blanco",0.038,0.026,0.072,0.105,0.046,0.022
"P23","No sabe",0.039,0.017,0.054,0.007,0.073,0.04
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.227,0.377,0.323,0.203,0.147,0.292
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.162,0.114,0.057,0.155,0.057,0.063
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.233,0.214,0.181,0.268,0.337,0.283
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.102,0.16,0.122,0.107,0.135,0.146
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.227,0.121,0.219,0.195,0.174,0.138
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.028,0.002,0.065,0.038,0.039,0.009
"P24","En blanco",0.018,0,0.027,0.008,0.017,0.007
"P24","No sabe",0.003,0.012,0.006,0.026,0.094,0.062
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.21,0.348,0.312,0.261,0.165,0.329
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.274,0.216,0.122,0.195,0.289,0.216
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.091,0.185,0.205,0.098,0.125,0.148
"P25","Julio Zamora a intendente por un partido vecinal",0.123,0.093,0.03,0.19,0.009,0.123
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.254,0.138,0.24,0.183,0.262,0.159
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.002,0.047,0.044,0.039,0
"P25","En blanco",0.025,0,0.025,0.016,0.017,0
"P25","No sabe",0.005,0.018,0.019,0.013,0.094,0.025
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.301,0.36,0.375,0.282,0.155,0.309
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.21,0.307,0.194,0.225,0.237,0.293
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.228,0.18,0.315,0.228,0.291,0.217
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.063,0.046,0,0.147,0.012,0.012
"P26","En blanco",0.093,0.059,0.046,0.075,0.132,0.013
"P26","No sabe",0.105,0.048,0.07,0.043,0.173,0.156
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.215,0.346,0.332,0.221,0.144,0.301
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.226,0.304,0.242,0.187,0.245,0.281
"P27","Julio Zamora a intendente por un partido vecinal",0.239,0.141,0.187,0.186,0.057,0.152
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.195,0.164,0.138,0.206,0.345,0.14
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.033,0.011,0.042,0.073,0.039,0.019
"P27","En blanco",0.044,0.01,0.027,0.081,0.128,0.027
"P27","No sabe",0.048,0.024,0.032,0.046,0.042,0.08
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.247,0.403,0.353,0.272,0.167,0.342
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.315,0.339,0.262,0.295,0.388,0.297
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.278,0.122,0.239,0.223,0.284,0.175
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.033,0.048,0.015,0.09,0.047,0
"P28","En blanco",0.064,0.035,0.029,0.055,0.034,0.041
"P28","No sabe",0.063,0.053,0.102,0.065,0.08,0.145
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.234,0.338,0.369,0.181,0.199,0.342
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.296,0.316,0.21,0.326,0.392,0.326
"P29","Julio Zamora a intendente por un partido vecinal",0.186,0.163,0.155,0.222,0.043,0.189
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.232,0.137,0.156,0.113,0.236,0.075
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.045,0.002,0.027,0.097,0.039,0.041
"P29","En blanco",0.007,0.015,0.064,0.054,0.037,0.02
"P29","No sabe",0,0.029,0.019,0.007,0.054,0.007
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.239,0.332,0.305,0.188,0.18,0.287
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.221,0.148,0.16,0.14,0.305,0.121
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.13,0.215,0.224,0.165,0.151,0.278
"P30","Julio Zamora a intendente por un partido vecinal",0.146,0.16,0.051,0.236,0.013,0.104
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.227,0.127,0.228,0.202,0.236,0.125
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.018,0,0.005,0.033,0.012,0
"P30","En blanco",0,0.016,0.027,0.003,0.017,0.041
"P30","No sabe",0.019,0.002,0,0.033,0.086,0.044
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.243,0.377,0.299,0.267,0.199,0.374
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.297,0.271,0.289,0.252,0.279,0.274
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.283,0.214,0.304,0.243,0.228,0.168
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.054,0.059,0.014,0.007,0.02,0
"P31","En blanco",0.077,0.036,0.037,0.14,0.121,0.05
"P31","No sabe",0.046,0.043,0.057,0.091,0.153,0.134
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.219,0.348,0.336,0.213,0.176,0.292
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.285,0.285,0.342,0.241,0.235,0.297
"P32","Julio Zamora a intendente por un partido vecinal",0.26,0.184,0.108,0.197,0.095,0.11
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.182,0.136,0.138,0.186,0.237,0.136
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.031,0.02,0.029,0.073,0.068,0.019
"P32","En blanco",0.009,0.023,0.043,0.071,0.084,0.047
"P32","No sabe",0.014,0.004,0.004,0.019,0.105,0.099
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.238,0.4,0.345,0.23,0.18,0.333
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.299,0.289,0.259,0.305,0.319,0.253
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.322,0.201,0.196,0.238,0.213,0.051
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.027,0.016,0.05,0.08,0.098,0.113
"P33","En blanco",0.078,0.035,0.031,0.065,0.057,0.022
"P33","No sabe",0.036,0.059,0.119,0.082,0.133,0.228
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.229,0.359,0.323,0.195,0.171,0.342
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.324,0.277,0.245,0.231,0.348,0.251
"P34","Julio Zamora a intendente por un partido vecinal",0.197,0.173,0.131,0.281,0.024,0.044
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.201,0.119,0.171,0.163,0.24,0.138
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.039,0.029,0.024,0.045,0.081,0.015
"P34","En blanco",0.003,0.016,0.078,0.044,0.046,0.13
"P34","No sabe",0.007,0.027,0.028,0.041,0.09,0.08
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.227,0.346,0.264,0.147,0.171,0.274
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.142,0.122,0.11,0.202,0.084,0.142
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.265,0.145,0.122,0.182,0.217,0.136
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.143,0.229,0.237,0.096,0.122,0.177
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.18,0.128,0.226,0.274,0.243,0.147
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.018,0.014,0.01,0.034,0.047,0.02
"P35","En blanco",0.013,0.006,0.025,0.041,0.03,0.041
"P35","No sabe",0.012,0.01,0.006,0.024,0.086,0.063
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.247,0.322,0.335,0.17,0.154,0.342
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.204,0.13,0.131,0.17,0.228,0.12
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.184,0.233,0.225,0.178,0.145,0.207
"P36","Julio Zamora a intendente por un partido vecinal",0.133,0.171,0.041,0.165,0.03,0.106
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.207,0.125,0.226,0.241,0.277,0.172
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.022,0,0.005,0.033,0.042,0
"P36","En blanco",0,0,0.027,0.043,0.017,0
"P36","No sabe",0.003,0.019,0.01,0,0.107,0.053
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.245,0.385,0.324,0.225,0.149,0.374
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.29,0.286,0.222,0.254,0.239,0.295
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.31,0.182,0.259,0.269,0.315,0.167
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.049,0.062,0.019,0.018,0.032,0.004
"P37","En blanco",0.051,0.038,0.115,0.146,0.095,0.041
"P37","No sabe",0.055,0.047,0.061,0.088,0.17,0.119
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.242,0.376,0.272,0.203,0.172,0.353
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.311,0.289,0.347,0.26,0.24,0.272
"P38","Julio Zamora a intendente por un partido vecinal",0.162,0.159,0.109,0.232,0.07,0.101
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.207,0.125,0.195,0.162,0.239,0.136
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.026,0.028,0.031,0.052,0.112,0.041
"P38","En blanco",0.023,0.009,0.046,0.079,0.048,0.02
"P38","No sabe",0.029,0.014,0,0.012,0.119,0.077
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.213,0.404,0.289,0.25,0.185,0.344
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.385,0.275,0.31,0.27,0.361,0.299
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.255,0.158,0.173,0.232,0.276,0.085
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.06,0.048,0.088,0.061,0.018,0.041
"P39","En blanco",0.042,0.042,0.043,0.089,0.062,0.056
"P39","No sabe",0.045,0.073,0.097,0.098,0.098,0.175
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.312,0.331,0.3,0.179,0.2,0.229
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.266,0.299,0.276,0.299,0.368,0.409
"P40","Julio Zamora a intendente por un partido vecinal",0.179,0.171,0.089,0.261,0.068,0.095
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.15,0.119,0.197,0.117,0.202,0.119
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.022,0.036,0.01,0.064,0.044,0
"P40","En blanco",0.044,0.021,0.017,0.08,0.066,0.082
"P40","No sabe",0.027,0.023,0.111,0,0.052,0.066
"P41","Muy buena",0.255,0.184,0.17,0.127,0.111,0.115
"P41","Buena",0.054,0.182,0.117,0.192,0.08,0.219
"P41","Ni buena ni mala",0.082,0.189,0.313,0.131,0.118,0.349
"P41","Mala",0.102,0.192,0.131,0.202,0.098,0.104
"P41","Muy mala",0.507,0.234,0.261,0.344,0.557,0.176
"P41","No sabe",0,0.019,0.008,0.004,0.036,0.037
"P42","Muy buena",0.321,0.23,0.081,0.149,0.028,0.121
"P42","Buena",0.049,0.298,0.125,0.217,0.042,0.205
"P42","Ni buena ni mala",0.071,0.178,0.362,0.192,0.243,0.5
"P42","Mala",0.148,0.104,0.189,0.183,0.18,0.074
"P42","Muy mala",0.392,0.168,0.193,0.248,0.502,0.035
"P42","No sabe",0.019,0.022,0.05,0.011,0.005,0.065
"P43","Muy buena",0.234,0.156,0.206,0.103,0.091,0.08
"P43","Buena",0.237,0.273,0.152,0.099,0.187,0.104
"P43","Ni buena ni mala",0.157,0.256,0.239,0.257,0.269,0.541
"P43","Mala",0.048,0.109,0.178,0.218,0.102,0.028
"P43","Muy mala",0.296,0.18,0.11,0.295,0.322,0.079
"P43","No sabe",0.028,0.026,0.115,0.028,0.029,0.168
"P44","Muy buena",0.232,0.082,0.093,0.104,0.101,0.062
"P44","Buena",0.261,0.22,0.123,0.146,0.139,0.114
"P44","Ni buena ni mala",0.174,0.316,0.402,0.269,0.363,0.438
"P44","Mala",0.064,0.125,0.155,0.175,0.069,0.082
"P44","Muy mala",0.23,0.186,0.06,0.245,0.258,0.052
"P44","No sabe",0.039,0.071,0.167,0.061,0.07,0.252
"P45","Muy buena",0.337,0.129,0.13,0.15,0.009,0.084
"P45","Buena",0.067,0.421,0.11,0.233,0.114,0.28
"P45","Ni buena ni mala",0.17,0.185,0.415,0.239,0.243,0.396
"P45","Mala",0.172,0.099,0.178,0.101,0.317,0.114
"P45","Muy mala",0.242,0.147,0.103,0.211,0.307,0.031
"P45","No sabe",0.012,0.019,0.064,0.066,0.01,0.095
"P46","Que continúe el intendente Julio Zamora",0.376,0.116,0.054,0.179,0.028,0.091
"P46","Que continúe Julio Zamora pero con mejoras",0.055,0.443,0.124,0.196,0.069,0.257
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.099,0.11,0.432,0.191,0.143,0.207
"P46","Que cambie el intendente Julio Zamora",0.47,0.331,0.39,0.434,0.76,0.445
"P48","El tránsito",0.627,0.208,0.215,0.276,0.066,0.202
"P48","El arreglo de las calles",0.012,0.227,0.019,0.034,0.064,0.132
"P48","Los parques y espacios públicos",0.024,0.058,0.243,0.096,0.011,0.136
"P48","El sistema de salud",0.035,0.052,0.006,0.134,0.054,0
"P48","La limpieza de las calles",0.044,0.118,0.071,0.134,0.234,0.087
"P48","El deporte y la cultura",0.045,0.115,0.132,0.168,0.07,0.112
"P48","La obra pública",0.042,0.048,0.031,0.018,0.002,0.014
"P48","La luminaria",0.043,0.077,0.029,0.026,0.111,0.025
"P48","No sabe",0.128,0.097,0.254,0.114,0.388,0.292
"P49","El tránsito",0.375,0.162,0.232,0.196,0.206,0.165
"P49","El arreglo de las calles",0.045,0.16,0.084,0.157,0.08,0.029
"P49","Los parques y espacios públicos",0.133,0.167,0.164,0.104,0.215,0.083
"P49","El sistema de salud",0.056,0.093,0.115,0.078,0.122,0.11
"P49","La limpieza de las calles",0.203,0.207,0.117,0.142,0.187,0.211
"P49","El deporte y la cultura",0.019,0.042,0.072,0.105,0.018,0.008
"P49","La obra pública",0.053,0.023,0.023,0.004,0.06,0.048
"P49","La luminaria",0,0.018,0.029,0.054,0.003,0.018
"P49","No sabe",0.116,0.128,0.164,0.16,0.109,0.328
"P50","Agua corriente y cloacas",0.576,0.38,0.381,0.327,0.433,0.344
"P50","Energía eléctrica",0.101,0.139,0.177,0.131,0.158,0.142
"P50","Red de gas natural",0.09,0.133,0.083,0.068,0.099,0.083
"P50","Recolección de residuos",0.121,0.127,0.137,0.145,0.148,0.147
"P50","Ninguno",0.112,0.221,0.222,0.329,0.162,0.284
"P51","Los robos",0.483,0.259,0.273,0.354,0.238,0.347
"P51","El narcotráfico",0.221,0.36,0.291,0.187,0.339,0.105
"P51","La ausencia de patrulleros y personal policial",0.083,0.122,0.122,0.157,0.18,0.132
"P51","Otro",0.101,0.156,0.179,0.091,0.226,0.148
"P51","Ninguno",0.112,0.103,0.135,0.211,0.017,0.268
"P52","Muy buena",0.222,0.084,0.096,0.026,0.057,0.042
"P52","Buena",0.122,0.162,0.151,0.106,0.134,0.168
"P52","Ni buena ni mala",0.035,0.214,0.108,0.183,0.037,0.209
"P52","Mala",0.071,0.177,0.068,0.093,0.082,0.124
"P52","Muy mala",0.55,0.363,0.501,0.581,0.69,0.457
"P52","No sabe",0,0,0.076,0.011,0,0
"P53","Muy buena",0.415,0.168,0.173,0.17,0.102,0.125
"P53","Buena",0.208,0.154,0.183,0.122,0.206,0.284
"P53","Ni buena ni mala",0.126,0.119,0.125,0.091,0.156,0.109
"P53","Mala",0.087,0.149,0.129,0.161,0.201,0.09
"P53","Muy mala",0.164,0.41,0.357,0.421,0.332,0.37
"P53","No sabe",0,0,0.033,0.035,0.003,0.022
"P54","Muy buena",0.281,0.34,0.27,0.258,0.132,0.278
"P54","Buena",0.078,0.088,0.05,0.034,0.081,0.112
"P54","Ni buena ni mala",0.035,0.055,0.113,0.048,0.029,0.102
"P54","Mala",0.029,0.027,0.144,0.112,0.04,0.038
"P54","Muy mala",0.574,0.483,0.423,0.514,0.718,0.47
"P54","No sabe",0.003,0.007,0,0.034,0,0
"P55","Muy buena",0.243,0.082,0.114,0.058,0.036,0.142
"P55","Buena",0.184,0.201,0.2,0.187,0.161,0.179
"P55","Ni buena ni mala",0.135,0.193,0.14,0.215,0.262,0.25
"P55","Mala",0.16,0.173,0.247,0.093,0.095,0.165
"P55","Muy mala",0.276,0.351,0.289,0.444,0.425,0.264
"P55","No sabe",0.002,0,0.01,0.003,0.021,0
"P56","Muy buena",0.182,0.117,0.155,0.084,0.048,0.108
"P56","Buena",0.031,0.138,0.134,0.176,0.078,0.192
"P56","Ni buena ni mala",0.094,0.174,0.174,0.117,0.101,0.244
"P56","Mala",0.08,0.115,0.167,0.096,0.063,0.073
"P56","Muy mala",0.613,0.454,0.37,0.524,0.71,0.319
"P56","No sabe",0,0.002,0,0.003,0,0.064
"P57","Muy buena",0.227,0.261,0.19,0.113,0.111,0.11
"P57","Buena",0.036,0.121,0.118,0.103,0.106,0.203
"P57","Ni buena ni mala",0.104,0.118,0.229,0.107,0.101,0.244
"P57","Mala",0.037,0.145,0.111,0.243,0.103,0.047
"P57","Muy mala",0.561,0.307,0.32,0.419,0.502,0.272
"P57","No sabe",0.035,0.048,0.032,0.015,0.077,0.124
"P58","Muy buena",0.436,0.196,0.186,0.277,0.225,0.253
