"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P36","No sabe",0.016,0.035,0.018,0.018,0.063
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.23,0.358,0.329,0.324,0.302
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.322,0.252,0.189,0.207,0.244
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.266,0.206,0.33,0.346,0.164
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.064,0.016,0.038,0.014,0.02
"P37","En blanco",0.053,0.111,0.086,0.086,0.083
"P37","No sabe",0.065,0.057,0.028,0.023,0.187
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.231,0.338,0.326,0.317,0.272
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.335,0.311,0.226,0.198,0.249
"P38","Julio Zamora a intendente por un partido vecinal",0.159,0.046,0.142,0.17,0.162
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.163,0.153,0.271,0.218,0.158
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.044,0.107,0.018,0.051,0.018
"P38","En blanco",0.036,0.017,0,0.027,0.063
"P38","No sabe",0.032,0.028,0.017,0.019,0.078
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.226,0.339,0.304,0.359,0.325
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.416,0.341,0.178,0.243,0.2
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.189,0.153,0.327,0.335,0.126
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.049,0.051,0.13,0.012,0.048
"P39","En blanco",0.055,0.082,0.02,0.016,0.073
"P39","No sabe",0.065,0.034,0.041,0.035,0.228
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.254,0.309,0.357,0.284,0.234
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.369,0.403,0.118,0.253,0.241
"P40","Julio Zamora a intendente por un partido vecinal",0.13,0.033,0.237,0.233,0.178
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.134,0.142,0.265,0.198,0.105
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.041,0.05,0.02,0.006,0.027
"P40","En blanco",0.032,0.042,0.003,0.011,0.115
"P40","No sabe",0.04,0.021,0,0.015,0.1
"P41","Muy buena",0.163,0.101,0.257,0.159,0.184
"P41","Buena",0.132,0.214,0.061,0.098,0.157
"P41","Ni buena ni mala",0.152,0.19,0.192,0.234,0.197
"P41","Mala",0.121,0.21,0.198,0.038,0.185
"P41","Muy mala",0.417,0.275,0.289,0.463,0.242
"P41","No sabe",0.015,0.01,0.003,0.008,0.035
"P42","Muy buena",0.179,0.119,0.088,0.221,0.205
"P42","Buena",0.132,0.163,0.254,0.169,0.193
"P42","Ni buena ni mala",0.221,0.227,0.2,0.185,0.259
"P42","Mala",0.132,0.239,0.142,0.084,0.145
"P42","Muy mala",0.32,0.209,0.316,0.301,0.17
"P42","No sabe",0.016,0.043,0,0.04,0.028
"P43","Muy buena",0.205,0.103,0.189,0.099,0.108
"P43","Buena",0.215,0.35,0.28,0.075,0.096
"P43","Ni buena ni mala",0.304,0.18,0.113,0.209,0.327
"P43","Mala",0.063,0.186,0.105,0.121,0.157
"P43","Muy mala",0.194,0.103,0.3,0.461,0.182
"P43","No sabe",0.019,0.078,0.013,0.035,0.13
"P44","Muy buena",0.16,0.123,0.057,0.113,0.064
"P44","Buena",0.21,0.207,0.201,0.204,0.076
"P44","Ni buena ni mala",0.348,0.287,0.286,0.175,0.371
"P44","Mala",0.062,0.141,0.145,0.146,0.137
"P44","Muy mala",0.16,0.145,0.284,0.267,0.161
"P44","No sabe",0.06,0.097,0.027,0.095,0.191
"P45","Muy buena",0.184,0.144,0.145,0.112,0.107
"P45","Buena",0.212,0.204,0.199,0.219,0.281
"P45","Ni buena ni mala",0.211,0.263,0.256,0.284,0.278
"P45","Mala",0.173,0.246,0.092,0.091,0.16
"P45","Muy mala",0.202,0.114,0.297,0.259,0.088
"P45","No sabe",0.018,0.029,0.011,0.035,0.086
"P46","Que continúe el intendente Julio Zamora",0.188,0.096,0.068,0.134,0.142
"P46","Que continúe Julio Zamora pero con mejoras",0.16,0.269,0.24,0.215,0.29
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.147,0.157,0.234,0.236,0.185
"P46","Que cambie el intendente Julio Zamora",0.505,0.478,0.458,0.415,0.383
"P47","Es kirchnerista",0.261,0.136,0.171,0.169,0.101
"P47","Forma parte del Frente de Todos",0.266,0.29,0.388,0.274,0.306
"P47","Es un hombre de Massa",0.13,0.18,0.119,0.145,0.15
"P47","Es un peronista independiente de centro",0.105,0.126,0.091,0.145,0.21
"P47","Es un oportunista y está donde le conviene",0.173,0.188,0.166,0.182,0.128
"P47","No sabe",0.065,0.08,0.065,0.085,0.105
"P48","El tránsito",0.297,0.268,0.218,0.222,0.278
"P48","El arreglo de las calles",0.078,0.141,0.095,0.097,0.106
"P48","Los parques y espacios públicos",0.058,0.133,0.099,0.099,0.082
"P48","El sistema de salud",0.051,0.039,0.022,0.088,0.044
"P48","La limpieza de las calles",0.083,0.088,0.222,0.187,0.096
"P48","El deporte y la cultura",0.108,0.074,0.11,0.098,0.125
"P48","La obra pública",0.023,0.008,0.099,0.031,0.026
"P48","La luminaria",0.045,0.114,0.057,0.062,0.049
"P48","No sabe",0.257,0.135,0.078,0.116,0.194
"P49","El tránsito",0.344,0.2,0.004,0.213,0.122
"P49","El arreglo de las calles",0.101,0.201,0.086,0.029,0.101
"P49","Los parques y espacios públicos",0.115,0.202,0.36,0.192,0.077
"P49","El sistema de salud",0.087,0.072,0.037,0.139,0.122
"P49","La limpieza de las calles",0.126,0.11,0.316,0.191,0.274
"P49","El deporte y la cultura",0.05,0.081,0.012,0.038,0.026
"P49","La obra pública",0.026,0.002,0.098,0.063,0.015
"P49","La luminaria",0.008,0.004,0.017,0.054,0.026
"P49","No sabe",0.143,0.128,0.07,0.081,0.237
"P51","Los robos",0.486,0.287,0.192,0.218,0.136
"P51","El narcotráfico",0.295,0.371,0.301,0.18,0.232
"P51","La ausencia de patrulleros y personal policial",0.065,0.114,0.296,0.219,0.131
"P51","Otro",0.097,0.136,0.113,0.319,0.179
"P51","Ninguno",0.057,0.092,0.098,0.064,0.322
"P52","Muy buena",0.151,0.087,0.092,0.036,0.033
"P52","Buena",0.106,0.228,0.087,0.078,0.219
"P52","Ni buena ni mala",0.103,0.124,0.144,0.144,0.179
"P52","Mala",0.105,0.131,0.113,0.133,0.092
"P52","Muy mala",0.533,0.409,0.53,0.584,0.468
"P52","No sabe",0.002,0.021,0.034,0.025,0.009
"P53","Muy buena",0.28,0.201,0.174,0.154,0.087
"P53","Buena",0.161,0.295,0.17,0.171,0.164
"P53","Ni buena ni mala",0.132,0.06,0.183,0.054,0.164
"P53","Mala",0.124,0.125,0.118,0.241,0.128
"P53","Muy mala",0.299,0.286,0.338,0.355,0.457
"P53","No sabe",0.004,0.033,0.017,0.025,0
"P54","Muy buena",0.252,0.244,0.311,0.285,0.288
"P54","Buena",0.061,0.059,0.094,0.094,0.089
"P54","Ni buena ni mala",0.058,0.084,0.022,0.011,0.087
"P54","Mala",0.054,0.107,0.025,0.055,0.05
"P54","Muy mala",0.572,0.496,0.548,0.555,0.464
"P54","No sabe",0.003,0.01,0,0,0.022
"P55","Muy buena",0.143,0.062,0.091,0.104,0.094
"P55","Buena",0.198,0.158,0.236,0.168,0.174
"P55","Ni buena ni mala",0.217,0.237,0.196,0.067,0.2
"P55","Mala",0.161,0.217,0.117,0.113,0.154
"P55","Muy mala",0.28,0.323,0.36,0.538,0.361
"P55","No sabe",0.001,0.003,0,0.01,0.017
"P56","Muy buena",0.105,0.084,0.126,0.084,0.186
"P56","Buena",0.109,0.106,0.065,0.194,0.113
"P56","Ni buena ni mala",0.134,0.186,0.198,0.121,0.126
"P56","Mala",0.091,0.175,0.125,0.055,0.088
"P56","Muy mala",0.56,0.449,0.474,0.538,0.471
"P56","No sabe",0.001,0,0.012,0.008,0.016
"P57","Muy buena",0.171,0.136,0.23,0.213,0.221
"P57","Buena",0.058,0.169,0.069,0.154,0.148
"P57","Ni buena ni mala",0.146,0.142,0.19,0.069,0.13
"P57","Mala",0.141,0.127,0.14,0.084,0.075
"P57","Muy mala",0.452,0.332,0.371,0.463,0.323
"P57","No sabe",0.032,0.094,0,0.017,0.103
"P58","Muy buena",0.331,0.235,0.25,0.219,0.165
"P58","Buena",0.18,0.148,0.237,0.196,0.175
"P58","Ni buena ni mala",0.13,0.136,0.126,0.064,0.106
"P58","Mala",0.062,0.084,0.147,0.102,0.157
"P58","Muy mala",0.291,0.365,0.232,0.419,0.392
"P58","No sabe",0.006,0.032,0.008,0,0.005
"P59","Muy buena",0.279,0.166,0.227,0.291,0.138
"P59","Buena",0.111,0.122,0.232,0.183,0.072
"P59","Ni buena ni mala",0.233,0.207,0.127,0.105,0.121
"P59","Mala",0.133,0.195,0.038,0.08,0.178
"P59","Muy mala",0.223,0.279,0.376,0.31,0.441
"P59","No sabe",0.021,0.031,0,0.031,0.05
"P60","Muy buena",0.219,0.246,0.38,0.286,0.299
"P60","Buena",0.066,0.086,0.035,0.16,0.138
"P60","Ni buena ni mala",0.077,0.102,0.079,0.054,0.076
"P60","Mala",0.08,0.099,0.096,0.052,0.041
"P60","Muy mala",0.554,0.436,0.396,0.441,0.429
"P60","No sabe",0.004,0.031,0.014,0.007,0.017
"P61","Muy buena",0.162,0.11,0.116,0.095,0.077
"P61","Buena",0.146,0.182,0.239,0.173,0.126
"P61","Ni buena ni mala",0.332,0.309,0.15,0.117,0.269
"P61","Mala",0.052,0.084,0.212,0.145,0.14
"P61","Muy mala",0.224,0.298,0.229,0.321,0.182
"P61","No sabe",0.084,0.017,0.054,0.149,0.206
"P62","Muy buena",0.157,0.076,0.082,0.035,0.057
"P62","Buena",0.241,0.216,0.254,0.239,0.181
"P62","Ni buena ni mala",0.308,0.241,0.166,0.145,0.301
"P62","Mala",0.129,0.092,0.19,0.138,0.206
"P62","Muy mala",0.124,0.364,0.244,0.409,0.164
"P62","No sabe",0.041,0.011,0.064,0.034,0.091
