"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.049,0.277,0.811,0.56,0.047,0,0.062,0.198
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.058,0.201,0.025,0.119,0.745,0.084,0.29,0.059
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.02,0.069,0.039,0.026,0.142,0.423,0,0.011
"P22","En blanco",0.02,0.035,0.008,0.064,0.015,0.054,0.281,0.079
"P22","No sabe",0.021,0.132,0.062,0.111,0.022,0.133,0.266,0.561
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.834,0.195,0.055,0.149,0.058,0.336,0.101,0.044
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.055,0.239,0.809,0.522,0.044,0.034,0.062,0.192
"P23","Julio Zamora a intendente por un partido vecinal",0.026,0.375,0.027,0.097,0.233,0.141,0.302,0.162
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.033,0.082,0.01,0.065,0.63,0.057,0.034,0.011
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.012,0.016,0.01,0.021,0.014,0.352,0.18,0.011
"P23","En blanco",0.016,0.042,0.057,0.049,0.012,0.023,0.321,0.176
"P23","No sabe",0.024,0.051,0.032,0.097,0.009,0.057,0,0.404
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.803,0.269,0.046,0.144,0.022,0.309,0.119,0.165
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.054,0.371,0.087,0.056,0.026,0.091,0.136,0.055
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.03,0.213,0.731,0.3,0.081,0.029,0.3,0.147
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.056,0.036,0.075,0.344,0.129,0.056,0.101,0.105
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.033,0.081,0.014,0.081,0.733,0,0.034,0.011
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.019,0.005,0.012,0.003,0.408,0.248,0
"P24","En blanco",0,0.006,0.014,0.02,0.004,0.054,0.062,0.063
"P24","No sabe",0.018,0.005,0.028,0.043,0.002,0.053,0,0.454
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.824,0.192,0.035,0.107,0.056,0.289,0.101,0.081
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.063,0.157,0.738,0.269,0.027,0.034,0.062,0.202
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.027,0.121,0.126,0.427,0.027,0.115,0.368,0.019
"P25","Julio Zamora a intendente por un partido vecinal",0.038,0.434,0.031,0.076,0.045,0.053,0.125,0.136
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.035,0.062,0.011,0.08,0.837,0.057,0.023,0.011
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0,0.013,0.004,0.006,0.398,0.248,0
"P25","En blanco",0.002,0.006,0.014,0.023,0,0.042,0.073,0.063
"P25","No sabe",0.011,0.028,0.032,0.014,0.002,0.012,0,0.488
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.845,0.281,0.073,0.223,0.03,0.318,0.018,0.128
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.045,0.244,0.539,0.511,0.021,0.03,0.134,0.136
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.058,0.151,0.195,0.174,0.644,0.091,0.301,0.006
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.081,0.036,0.012,0.097,0.271,0.079,0
"P26","En blanco",0.018,0.078,0.04,0.028,0.199,0.206,0.09,0.099
"P26","No sabe",0.019,0.165,0.117,0.052,0.009,0.084,0.378,0.631
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.765,0.217,0.037,0.174,0.03,0.032,0,0.112
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.069,0.218,0.575,0.544,0.035,0.057,0.134,0.158
"P27","Julio Zamora a intendente por un partido vecinal",0.111,0.323,0.103,0.138,0.174,0.098,0.392,0.089
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.136,0.169,0.053,0.685,0.204,0.023,0
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.04,0.025,0.038,0.042,0.516,0,0.058
"P27","En blanco",0.009,0.032,0.034,0.035,0.032,0.064,0.321,0.34
"P27","No sabe",0.014,0.034,0.057,0.018,0.002,0.029,0.13,0.243
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.829,0.309,0.072,0.22,0.04,0.012,0.119,0.215
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.067,0.299,0.79,0.563,0.033,0.091,0.062,0.165
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.055,0.108,0.023,0.095,0.749,0.152,0.38,0.006
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.068,0.042,0.003,0.136,0.215,0,0.016
"P28","En blanco",0.018,0.089,0.024,0.062,0.039,0.348,0.174,0.074
"P28","No sabe",0.031,0.127,0.049,0.057,0.003,0.182,0.265,0.524
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.796,0.196,0.076,0.188,0,0.164,0.101,0.184
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.097,0.284,0.788,0.515,0.062,0.147,0.029,0.213
"P29","Julio Zamora a intendente por un partido vecinal",0.068,0.406,0.043,0.108,0.219,0,0.392,0.124
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.093,0.063,0.104,0.627,0.038,0.056,0
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.005,0.014,0.018,0.07,0.516,0.101,0.017
"P29","En blanco",0.01,0.01,0.009,0.025,0.006,0.106,0.321,0.113
"P29","No sabe",0.006,0.006,0.007,0.042,0.016,0.029,0,0.349
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.884,0.118,0.007,0.165,0,0.03,0.101,0.082
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.051,0.201,0.727,0.06,0.02,0.152,0.297,0.023
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.005,0.165,0.174,0.611,0.074,0.086,0,0.083
"P30","Julio Zamora a intendente por un partido vecinal",0.039,0.464,0.076,0.047,0.048,0.141,0.158,0.233
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.02,0.035,0.014,0.081,0.858,0,0.011,0.011
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0,0,0,0.238,0.147,0
"P30","En blanco",0,0,0,0.023,0,0.076,0.286,0.006
"P30","No sabe",0.001,0.017,0.002,0.013,0,0.277,0,0.562
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.853,0.29,0.018,0.129,0.005,0.231,0.119,0.064
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.03,0.208,0.693,0.547,0.026,0,0.3,0.089
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.076,0.171,0.171,0.22,0.676,0.057,0,0.006
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.015,0.072,0.004,0.01,0.016,0.271,0,0.048
"P31","En blanco",0.003,0.085,0.036,0.062,0.261,0.088,0.304,0.033
"P31","No sabe",0.023,0.174,0.078,0.032,0.016,0.353,0.277,0.76
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.851,0.168,0.007,0.13,0,0.012,0.101,0.038
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.014,0.211,0.692,0.594,0.051,0.059,0.297,0.089
"P32","Julio Zamora a intendente por un partido vecinal",0.091,0.412,0.107,0.183,0.18,0.261,0.137,0.265
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.025,0.08,0.102,0.048,0.606,0.057,0.033,0
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0.021,0.013,0.008,0.159,0.214,0.029,0.011
"P32","En blanco",0.003,0.049,0.025,0.033,0.002,0.385,0.403,0.173
"P32","No sabe",0.011,0.059,0.054,0.004,0.002,0.012,0,0.424
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.9,0.252,0.021,0.16,0,0.012,0.386,0.101
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.017,0.279,0.816,0.49,0.03,0,0.029,0.019
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.069,0.128,0.069,0.151,0.704,0.056,0.033,0.056
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.084,0.027,0,0.098,0.396,0,0.011
"P33","En blanco",0.003,0.102,0.018,0.049,0.135,0.084,0.192,0.029
"P33","No sabe",0.011,0.155,0.049,0.15,0.033,0.452,0.36,0.784
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.886,0.155,0.001,0.242,0,0,0.101,0.057
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.026,0.284,0.826,0.428,0.013,0.057,0.029,0.041
"P34","Julio Zamora a intendente por un partido vecinal",0.074,0.323,0.085,0.091,0.211,0.02,0.137,0.196
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.014,0.079,0.048,0.068,0.644,0,0.033,0.011
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.027,0.004,0.039,0.132,0.367,0.018,0.023
"P34","En blanco",0,0.067,0.017,0.083,0,0.527,0.268,0.211
"P34","No sabe",0,0.065,0.019,0.049,0,0.029,0.414,0.461
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.922,0.163,0,0.119,0,0,0.1,0.011
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.015,0.196,0.666,0.051,0.012,0,0,0.028
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.006,0.134,0.226,0.629,0.017,0.028,0,0.05
"P36","Julio Zamora a intendente por un partido vecinal",0.041,0.409,0.046,0.108,0.054,0.124,0.102,0.239
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.013,0.031,0.032,0.078,0.909,0.028,0.1,0
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0,0.004,0.002,0.001,0.692,0.016,0
"P36","En blanco",0,0,0,0,0.002,0.074,0.65,0.077
"P36","No sabe",0,0.067,0.026,0.013,0.005,0.054,0.032,0.595
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.915,0.203,0.014,0.162,0,0.022,0.024,0.091
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.016,0.228,0.696,0.555,0.027,0.091,0,0.086
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.036,0.226,0.128,0.168,0.705,0,0.12,0.008
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.121,0.009,0.032,0.045,0.223,0.177,0.037
"P37","En blanco",0.008,0.108,0.078,0.04,0.193,0.124,0.328,0.079
"P37","No sabe",0.023,0.114,0.075,0.043,0.03,0.54,0.351,0.699
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.881,0.159,0.005,0.202,0,0.031,0.146,0.05
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.035,0.265,0.704,0.61,0.048,0.032,0,0.051
"P38","Julio Zamora a intendente por un partido vecinal",0.064,0.338,0.096,0.081,0.189,0.078,0.149,0.145
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.014,0.107,0.087,0.074,0.632,0.076,0,0
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.004,0.056,0.024,0,0.126,0.448,0.146,0.008
"P38","En blanco",0.002,0.031,0.041,0.012,0.005,0.335,0.559,0.147
"P38","No sabe",0,0.044,0.043,0.021,0,0,0,0.599
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.871,0.213,0.008,0.206,0.015,0.023,0.174,0.086
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.079,0.347,0.846,0.494,0.043,0,0,0.066
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.035,0.139,0.058,0.117,0.685,0.238,0.099,0.051
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.007,0.043,0.031,0.01,0.147,0.294,0,0
"P39","En blanco",0.005,0.124,0.029,0.037,0.1,0.082,0.293,0.01
"P39","No sabe",0.003,0.134,0.028,0.136,0.01,0.363,0.434,0.787
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.669,0.112,0.368,0.159,0.004,0.033,0,0.025
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.253,0.404,0.502,0.497,0.04,0.197,0.149,0.035
"P40","Julio Zamora a intendente por un partido vecinal",0.053,0.361,0.045,0.122,0.206,0.119,0.312,0.236
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.019,0.032,0.035,0.054,0.63,0,0,0
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.019,0,0.032,0.117,0.221,0,0
"P40","En blanco",0.004,0.048,0.028,0.041,0,0.43,0.39,0.303
"P40","No sabe",0,0.024,0.022,0.095,0.003,0,0.149,0.401
"P41","Muy buena",0.49,0.093,0.099,0.082,0.004,0.2,0,0.048
"P41","Buena",0.23,0.202,0.08,0.199,0.023,0,0.15,0.026
"P41","Ni buena ni mala",0.2,0.218,0.086,0.185,0.157,0.288,0.41,0.1
"P41","Mala",0.039,0.136,0.165,0.184,0.207,0.034,0.072,0.321
"P41","Muy mala",0.039,0.311,0.57,0.327,0.606,0.357,0.318,0.397
"P41","No sabe",0.002,0.04,0,0.023,0.003,0.121,0.05,0.108
"P42","Muy buena",0.309,0.346,0.074,0.099,0.028,0.329,0.152,0.073
"P42","Buena",0.302,0.172,0.093,0.229,0.053,0.063,0.045,0.139
"P42","Ni buena ni mala",0.215,0.122,0.227,0.311,0.15,0.2,0.509,0.357
"P42","Mala",0.077,0.094,0.288,0.106,0.197,0.034,0,0.093
"P42","Muy mala",0.071,0.239,0.278,0.235,0.563,0.374,0.227,0.303
"P42","No sabe",0.026,0.027,0.04,0.02,0.009,0,0.067,0.035
"P43","Muy buena",0.121,0.176,0.188,0.25,0.09,0,0.083,0
"P43","Buena",0.118,0.105,0.349,0.385,0.103,0.237,0,0.127
"P43","Ni buena ni mala",0.219,0.19,0.295,0.168,0.387,0.132,0.42,0.307
"P43","Mala",0.194,0.109,0.032,0.078,0.125,0.058,0.147,0.031
"P43","Muy mala",0.29,0.325,0.104,0.088,0.27,0.573,0.301,0.33
"P43","No sabe",0.058,0.095,0.032,0.031,0.025,0,0.049,0.205
"P44","Muy buena",0.094,0.084,0.279,0.109,0.051,0,0,0.046
"P44","Buena",0.096,0.214,0.311,0.245,0.147,0,0,0.065
"P44","Ni buena ni mala",0.241,0.202,0.236,0.362,0.448,0.315,0.633,0.39
"P44","Mala",0.202,0.176,0.027,0.07,0.089,0.103,0,0.015
"P44","Muy mala",0.279,0.218,0.107,0.037,0.209,0.53,0.301,0.226
"P44","No sabe",0.088,0.106,0.04,0.177,0.056,0.052,0.066,0.258
"P45","Muy buena",0.25,0.308,0.102,0.076,0.021,0,0.191,0.083
"P45","Buena",0.359,0.208,0.161,0.24,0.09,0.133,0.151,0.371
"P45","Ni buena ni mala",0.198,0.185,0.323,0.329,0.257,0.144,0.216,0.157
"P45","Mala",0.078,0.103,0.185,0.178,0.197,0.203,0.442,0.292
"P45","Muy mala",0.069,0.153,0.223,0.145,0.423,0.265,0,0
"P45","No sabe",0.046,0.043,0.006,0.032,0.012,0.255,0,0.097
"P46","Que continúe el intendente Julio Zamora",0.231,0.361,0.088,0.028,0.042,0.222,0.19,0.118
"P46","Que continúe Julio Zamora pero con mejoras",0.365,0.172,0.107,0.242,0.102,0.429,0.016,0.36
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.153,0.171,0.217,0.2,0.14,0.086,0.564,0.171
"P46","Que cambie el intendente Julio Zamora",0.251,0.296,0.588,0.53,0.716,0.263,0.23,0.351
"P47","Es kirchnerista",0.169,0.203,0.275,0.153,0.175,0.146,0.114,0.08
"P47","Forma parte del Frente de Todos",0.396,0.268,0.23,0.376,0.19,0.182,0.076,0.105
"P47","Es un hombre de Massa",0.155,0.124,0.1,0.199,0.172,0.064,0.17,0.033
"P47","Es un peronista independiente de centro",0.079,0.209,0.136,0.074,0.192,0.199,0.258,0.112
"P47","Es un oportunista y está donde le conviene",0.112,0.107,0.198,0.115,0.208,0.337,0.229,0.492
"P47","No sabe",0.089,0.089,0.061,0.083,0.063,0.072,0.153,0.178
"P48","El tránsito",0.34,0.298,0.306,0.197,0.223,0.131,0.24,0.271
"P48","El arreglo de las calles",0.143,0.103,0.064,0.138,0.05,0.063,0,0.012
"P48","Los parques y espacios públicos",0.105,0.09,0.039,0.055,0.118,0.016,0.092,0.085
"P48","El sistema de salud",0.037,0.055,0.033,0.06,0.035,0.35,0.049,0.036
"P48","La limpieza de las calles",0.12,0.135,0.131,0.056,0.084,0.282,0.18,0.306
"P48","El deporte y la cultura",0.071,0.101,0.083,0.15,0.12,0,0.363,0.037
"P48","La obra pública",0.014,0.03,0.06,0.026,0.033,0,0,0.027
"P48","La luminaria",0.063,0.063,0.048,0.104,0.039,0,0.027,0
"P48","No sabe",0.107,0.125,0.236,0.214,0.298,0.158,0.049,0.226
"P49","El tránsito",0.209,0.232,0.195,0.268,0.24,0.148,0.17,0.245
"P49","El arreglo de las calles",0.113,0.077,0.111,0.147,0.091,0,0.06,0.036
"P49","Los parques y espacios públicos",0.203,0.21,0.16,0.126,0.085,0.252,0.022,0.054
"P49","El sistema de salud",0.098,0.069,0.073,0.078,0.108,0.111,0.293,0.115
