"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.013,0.044,0.464,0.073,0.017,0,0.232,0.065
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.054,0.042,0.078,0.918,0.032,0.014,0.051
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.041,0.009,0,0.053,0.006,0.468,0,0
"P18","En blanco",0.011,0.007,0.003,0.017,0.007,0.017,0.4,0
"P18","No sabe",0.048,0.023,0.005,0.06,0.02,0.181,0.15,0.579
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.773,0.042,0.206,0.116,0.008,0.059,0.015,0.162
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.053,0.763,0.152,0.061,0.015,0.011,0.173,0.021
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.007,0.092,0.544,0.07,0.008,0.101,0.158,0.086
"P19","Julio Zamora a intendente por un partido vecinal",0.078,0.031,0.048,0.614,0.186,0.02,0.176,0.144
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.035,0.042,0.038,0.765,0.267,0,0.028
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.025,0,0,0.042,0.004,0.337,0.186,0
"P19","En blanco",0.026,0.011,0.004,0.047,0.011,0.044,0.244,0.156
"P19","No sabe",0.021,0.026,0.004,0.012,0.003,0.161,0.048,0.403
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.774,0.046,0.176,0.225,0.01,0.15,0.016,0.229
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.032,0.577,0.575,0.151,0.011,0.01,0.348,0.103
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.063,0.179,0.173,0.175,0.721,0.042,0.041,0.057
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.035,0.021,0.044,0.135,0.047,0.43,0.06,0.029
"P20","En blanco",0.052,0.052,0.012,0.037,0.181,0.051,0.37,0.035
"P20","No sabe",0.044,0.125,0.02,0.277,0.03,0.317,0.165,0.547
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.808,0.037,0.12,0.154,0.023,0.047,0.015,0.23
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.008,0.544,0.628,0.077,0.016,0.102,0.348,0.164
"P21","Julio Zamora a intendente por un partido vecinal",0.072,0.071,0.094,0.532,0.103,0.113,0.078,0.036
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.046,0.148,0.071,0.117,0.791,0.265,0.024,0.022
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.026,0.029,0.02,0.021,0.059,0.247,0.173,0.037
"P21","En blanco",0.012,0.052,0.041,0.052,0.002,0.199,0.246,0.155
"P21","No sabe",0.028,0.119,0.026,0.047,0.006,0.027,0.116,0.356
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.834,0.041,0.194,0.215,0.026,0.029,0.015,0.19
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.019,0.852,0.521,0.131,0.02,0.021,0.173,0.071
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.05,0.027,0.122,0.199,0.78,0.044,0.041,0.029
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.043,0.011,0.022,0.126,0.127,0.33,0.024,0.022
"P22","En blanco",0.016,0.015,0.039,0.063,0.03,0.064,0.375,0.035
"P22","No sabe",0.038,0.054,0.102,0.266,0.017,0.512,0.372,0.653
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.845,0.054,0.191,0.114,0.023,0.03,0.015,0.192
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.016,0.867,0.535,0.049,0.014,0.011,0.057,0.051
"P23","Julio Zamora a intendente por un partido vecinal",0.064,0.019,0.09,0.533,0.204,0.012,0,0.132
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.03,0.024,0.128,0.703,0.063,0,0
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.012,0.002,0.03,0.013,0.032,0.347,0.085,0
"P23","En blanco",0.025,0.012,0.067,0.06,0.017,0.51,0.43,0.112
"P23","No sabe",0.031,0.016,0.063,0.103,0.007,0.027,0.413,0.513
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.855,0.053,0.041,0.154,0.008,0.012,0.015,0.198
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.049,0.125,0.065,0.363,0.019,0.017,0.016,0.025
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.012,0.776,0.309,0.154,0.035,0,0.057,0.05
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.067,0.008,0.544,0.196,0.071,0.072,0.232,0.013
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0,0.022,0.024,0.05,0.858,0.03,0.036,0.039
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.01,0.013,0.003,0.007,0.842,0,0.013
"P24","En blanco",0.008,0,0.002,0.002,0,0,0.644,0.106
"P24","No sabe",0.008,0.006,0.002,0.078,0.002,0.027,0,0.556
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.849,0.034,0.232,0.217,0.039,0.188,0,0.175
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.005,0.634,0.565,0.061,0.004,0.012,0.406,0.063
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.091,0.171,0.134,0.104,0.662,0.012,0,0.147
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.028,0.01,0.014,0.223,0.015,0.284,0.121,0
"P26","En blanco",0.012,0.048,0.002,0.104,0.244,0.207,0.415,0.018
"P26","No sabe",0.015,0.103,0.053,0.291,0.036,0.297,0.058,0.597
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.83,0.012,0.152,0.063,0.031,0.017,0,0.207
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.015,0.613,0.622,0.061,0.009,0.015,0.317,0.174
"P27","Julio Zamora a intendente por un partido vecinal",0.086,0.082,0.12,0.622,0.131,0,0.174,0.045
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.011,0.126,0.024,0.114,0.723,0.242,0,0.006
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.03,0.02,0.022,0.022,0.089,0.251,0.073,0.031
"P27","En blanco",0.008,0.067,0.029,0.066,0.017,0.397,0.37,0.21
"P27","No sabe",0.02,0.08,0.031,0.052,0,0.078,0.066,0.327
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.864,0.048,0.167,0.29,0.04,0,0.04,0.249
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.02,0.849,0.585,0.091,0.03,0.026,0.118,0.139
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.063,0.023,0.107,0.165,0.74,0.17,0,0.062
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.012,0.027,0.009,0.109,0.103,0.181,0,0
"P28","En blanco",0.027,0.021,0.066,0.102,0.066,0.04,0.7,0
"P28","No sabe",0.014,0.032,0.066,0.243,0.021,0.583,0.142,0.55
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.844,0.043,0.132,0.117,0.023,0.332,0,0.147
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.064,0.851,0.546,0.048,0.023,0.013,0.068,0.181
"P29","Julio Zamora a intendente por un partido vecinal",0.059,0.049,0.109,0.7,0.185,0,0,0.059
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.037,0.053,0.096,0.67,0.072,0.143,0.028
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0.006,0.028,0.013,0.085,0.279,0.135,0.009
"P29","En blanco",0.007,0.01,0.046,0.015,0.002,0.276,0.461,0.146
"P29","No sabe",0.005,0.004,0.086,0.011,0.012,0.028,0.193,0.43
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.837,0.026,0.096,0.062,0.021,0,0.062,0.169
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.006,0.603,0.164,0.046,0.007,0.186,0,0.144
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.033,0.253,0.666,0.048,0.048,0.02,0.456,0.178
"P30","Julio Zamora a intendente por un partido vecinal",0.083,0.05,0.037,0.758,0.04,0.099,0,0.031
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.017,0.041,0.006,0.051,0.859,0.058,0.02,0.059
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0,0.002,0.005,0,0.492,0,0
"P30","En blanco",0.01,0.003,0.022,0,0.01,0.145,0.319,0
"P30","No sabe",0.013,0.024,0.007,0.03,0.015,0,0.143,0.419
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.809,0.065,0.081,0.233,0.036,0.186,0,0.133
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.013,0.684,0.57,0.129,0.044,0.02,0.508,0.203
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.093,0.138,0.218,0.136,0.666,0.02,0,0.063
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.012,0.005,0.032,0.122,0.029,0.283,0,0.025
"P31","En blanco",0.027,0.044,0.056,0.11,0.193,0,0.199,0.039
"P31","No sabe",0.046,0.064,0.043,0.27,0.032,0.491,0.293,0.537
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.81,0.058,0.093,0.034,0.04,0,0.049,0.101
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.012,0.651,0.675,0.049,0.059,0.098,0.377,0.196
"P32","Julio Zamora a intendente por un partido vecinal",0.082,0.088,0.133,0.747,0.152,0.172,0.178,0.11
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.051,0.097,0.023,0.08,0.608,0.059,0,0.029
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.009,0.009,0.032,0.011,0.133,0.284,0.053,0
"P32","En blanco",0.029,0.04,0.038,0.023,0.003,0.387,0.343,0.092
"P32","No sabe",0.007,0.057,0.006,0.056,0.005,0,0,0.472
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.888,0.052,0.083,0.158,0.046,0,0.052,0.158
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.004,0.741,0.615,0.157,0.01,0.022,0.06,0.177
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.029,0.08,0.106,0.244,0.718,0,0,0.103
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.025,0.011,0.013,0.069,0.116,0.485,0,0.02
"P33","En blanco",0.017,0.043,0.02,0.125,0.091,0.025,0.396,0.013
"P33","No sabe",0.037,0.073,0.163,0.247,0.019,0.468,0.492,0.529
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.85,0.082,0.076,0.087,0.036,0,0.05,0.158
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.003,0.759,0.553,0.04,0.022,0.021,0.059,0.157
"P34","Julio Zamora a intendente por un partido vecinal",0.071,0.046,0.114,0.593,0.157,0.023,0.177,0.111
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.025,0.037,0.029,0.068,0.679,0.156,0,0.03
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.026,0.015,0.038,0.022,0.091,0.437,0.032,0.026
"P34","En blanco",0.025,0.03,0.104,0.113,0.015,0.178,0.424,0.086
"P34","No sabe",0,0.031,0.086,0.077,0,0.185,0.258,0.432
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.744,0.074,0.051,0.093,0.044,0,0.05,0.082
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.089,0.095,0.119,0.551,0.039,0,0.059,0.107
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.02,0.547,0.153,0.049,0.009,0.112,0.178,0.152
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.065,0.212,0.549,0.127,0.067,0.041,0.317,0.068
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.04,0.025,0.042,0.09,0.831,0.067,0,0.011
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.022,0.004,0.019,0.011,0.006,0.474,0.071,0.007
"P35","En blanco",0.008,0.006,0.061,0.027,0.002,0.306,0.128,0
"P35","No sabe",0.012,0.037,0.006,0.052,0.002,0,0.197,0.573
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.861,0.084,0.078,0.043,0.029,0,0.048,0.115
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.001,0.539,0.135,0.046,0.009,0.115,0,0.184
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.027,0.259,0.586,0.043,0.053,0.04,0.558,0.143
"P36","Julio Zamora a intendente por un partido vecinal",0.052,0.03,0.102,0.695,0.017,0.022,0,0.05
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.03,0.033,0.037,0.096,0.865,0.064,0,0.032
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.025,0.006,0.003,0.003,0.001,0.447,0,0.008
"P36","En blanco",0,0.006,0.05,0.002,0.003,0.312,0.213,0.077
"P36","No sabe",0.004,0.043,0.009,0.072,0.023,0,0.181,0.391
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.856,0.064,0.088,0.179,0.043,0.023,0.048,0.097
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.004,0.66,0.551,0.124,0.046,0.021,0.38,0.274
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.058,0.141,0.142,0.184,0.674,0.167,0.181,0.088
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.007,0,0.072,0.146,0.053,0.227,0,0.03
"P37","En blanco",0.04,0.061,0.067,0.165,0.15,0,0.391,0.02
"P37","No sabe",0.035,0.074,0.08,0.202,0.034,0.562,0,0.491
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.9,0.05,0.065,0.064,0.032,0,0.045,0.117
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0,0.696,0.692,0.054,0.073,0.019,0.382,0.232
"P38","Julio Zamora a intendente por un partido vecinal",0.034,0.053,0.07,0.672,0.174,0.021,0.184,0.154
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.042,0.082,0.065,0.074,0.598,0.076,0,0.032
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.008,0.02,0.028,0.038,0.114,0.504,0.089,0
"P38","En blanco",0.016,0.035,0.044,0.056,0.009,0.38,0.3,0
"P38","No sabe",0,0.064,0.036,0.042,0,0,0,0.465
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.874,0.039,0.093,0.238,0.026,0.022,0.054,0.093
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.034,0.807,0.65,0.087,0.058,0.02,0.3,0.234
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.025,0.035,0.09,0.278,0.683,0.204,0,0.137
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.031,0.024,0.002,0.041,0.126,0.233,0,0.022
"P39","En blanco",0.011,0.035,0.052,0.13,0.094,0.11,0.325,0
"P39","No sabe",0.025,0.06,0.113,0.226,0.013,0.411,0.321,0.514
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.623,0.287,0.189,0.053,0.028,0.021,0.054,0.186
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.27,0.567,0.539,0.046,0.067,0.196,0.3,0.14
"P40","Julio Zamora a intendente por un partido vecinal",0.047,0.032,0.084,0.687,0.214,0.024,0,0.175
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.031,0.037,0.029,0.046,0.594,0.061,0,0.035
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.006,0.014,0.065,0.01,0.082,0.219,0,0
"P40","En blanco",0.023,0.026,0.013,0.124,0.012,0.232,0.324,0.271
"P40","No sabe",0,0.037,0.081,0.034,0.003,0.247,0.322,0.193
"P41","Muy buena",0.463,0.107,0.046,0.004,0.035,0.198,0,0.176
"P41","Buena",0.22,0.088,0.246,0.187,0.038,0,0,0.028
"P41","Ni buena ni mala",0.187,0.061,0.199,0.329,0.178,0.355,0.301,0.083
"P41","Mala",0.102,0.192,0.178,0.067,0.168,0,0.15,0.093
"P41","Muy mala",0.026,0.532,0.324,0.396,0.566,0.447,0.468,0.443
"P41","No sabe",0.002,0.02,0.007,0.017,0.015,0,0.081,0.177
"P42","Muy buena",0.294,0.058,0.062,0.564,0.04,0.223,0.054,0.073
"P42","Buena",0.308,0.132,0.118,0.254,0.075,0,0,0.085
"P42","Ni buena ni mala",0.238,0.233,0.363,0.029,0.141,0.22,0.3,0.352
"P42","Mala",0.096,0.237,0.188,0.017,0.158,0,0.225,0
"P42","Muy mala",0.044,0.314,0.237,0.125,0.58,0.444,0.396,0.369
"P42","No sabe",0.02,0.026,0.032,0.011,0.006,0.113,0.025,0.121
"P43","Muy buena",0.108,0.206,0.273,0.061,0.129,0,0.075,0.06
"P43","Buena",0.075,0.367,0.394,0.118,0.101,0.224,0.322,0.052
"P43","Ni buena ni mala",0.205,0.294,0.176,0.238,0.352,0.377,0.274,0.197
"P43","Mala",0.25,0.036,0.038,0.082,0.105,0.024,0,0.024
"P43","Muy mala",0.308,0.078,0.068,0.436,0.278,0.375,0.18,0.381
"P43","No sabe",0.054,0.019,0.051,0.065,0.035,0,0.149,0.286
"P44","Muy buena",0.063,0.273,0.119,0.061,0.058,0,0,0.049
"P44","Buena",0.061,0.33,0.334,0.136,0.136,0.021,0,0.033
"P44","Ni buena ni mala",0.242,0.245,0.33,0.191,0.44,0.716,0.645,0.408
"P44","Mala",0.237,0.037,0.061,0.132,0.078,0,0,0.024
"P44","Muy mala",0.299,0.056,0.047,0.317,0.228,0.263,0.103,0.199
"P44","No sabe",0.098,0.059,0.109,0.163,0.06,0,0.252,0.287
"P45","Muy buena",0.234,0.078,0.078,0.413,0.063,0,0,0.05
"P45","Buena",0.337,0.197,0.187,0.388,0.075,0,0.057,0.274
"P45","Ni buena ni mala",0.209,0.263,0.397,0.095,0.254,0.116,0.299,0.324
"P45","Mala",0.076,0.225,0.163,0.021,0.173,0.562,0.555,0.224
"P45","Muy mala",0.071,0.206,0.163,0.06,0.43,0.322,0,0.047
"P45","No sabe",0.073,0.031,0.012,0.023,0.005,0,0.089,0.081
"P46","Que continúe el intendente Julio Zamora",0.203,0.082,0.058,0.501,0.047,0.217,0.057,0.118
"P46","Que continúe Julio Zamora pero con mejoras",0.387,0.122,0.183,0.314,0.091,0,0.026,0.288
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.201,0.17,0.195,0.102,0.136,0.495,0.351,0.213
"P46","Que cambie el intendente Julio Zamora",0.209,0.626,0.564,0.083,0.726,0.288,0.566,0.381
"P47","Es kirchnerista",0.144,0.231,0.116,0.254,0.234,0.143,0.351,0.033
"P47","Forma parte del Frente de Todos",0.364,0.278,0.364,0.292,0.195,0.023,0,0.18
"P47","Es un hombre de Massa",0.167,0.08,0.206,0.048,0.174,0.301,0.273,0.102
"P47","Es un peronista independiente de centro",0.128,0.118,0.09,0.28,0.121,0.256,0.162,0.06
"P47","Es un oportunista y está donde le conviene",0.099,0.214,0.141,0.015,0.212,0.277,0.214,0.554
"P47","No sabe",0.098,0.079,0.083,0.111,0.064,0,0,0.071
"P48","El tránsito",0.302,0.282,0.236,0.365,0.278,0.083,0.026,0.028
"P48","El arreglo de las calles",0.139,0.08,0.14,0.057,0.063,0,0.026,0.052
"P48","Los parques y espacios públicos",0.093,0.049,0.087,0.026,0.111,0.124,0,0.191
"P48","El sistema de salud",0.072,0.043,0.024,0.05,0.015,0.343,0.079,0
"P48","La limpieza de las calles",0.174,0.111,0.077,0.029,0.075,0.024,0.338,0.356
"P48","El deporte y la cultura",0.048,0.083,0.132,0.202,0.119,0.343,0.057,0.061
"P48","La obra pública",0.018,0.021,0.045,0.092,0.026,0,0,0
"P48","La luminaria",0.055,0.083,0.063,0.048,0.053,0,0.045,0
"P48","No sabe",0.099,0.248,0.196,0.131,0.26,0.083,0.429,0.312
"P49","El tránsito",0.187,0.223,0.27,0.203,0.259,0.207,0.377,0.122
"P49","El arreglo de las calles",0.128,0.109,0.154,0.038,0.075,0,0,0.128
