"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.025,0.704,0.135,0.024,0.158,0.026,0.048
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.024,0.199,0.063,0.033,0.051,0.148,0.209
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.022,0.029,0.34,0.862,0.189,0.206,0.038
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.027,0.001,0.011,0.038,0.233,0.098,0.01
"P18","En blanco",0.006,0.003,0.01,0.002,0.123,0.111,0.027
"P18","No sabe",0.019,0.018,0.065,0.013,0.079,0.197,0.492
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.85,0.02,0.071,0.013,0,0.075,0.019
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.044,0.644,0.09,0.021,0.033,0.037,0.067
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.017,0.256,0.117,0.012,0.164,0.151,0.16
"P19","Julio Zamora a intendente por un partido vecinal",0.035,0.028,0.46,0.234,0.161,0.174,0.173
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.018,0.027,0.227,0.687,0.371,0.178,0.038
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0,0.002,0.03,0.092,0.126,0.033
"P19","En blanco",0.009,0.004,0.024,0.002,0.15,0.079,0.229
"P19","No sabe",0.016,0.021,0.009,0.001,0.029,0.18,0.281
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.837,0.048,0.174,0.01,0.082,0.018,0.018
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.038,0.658,0.094,0.024,0.121,0.202,0.273
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.049,0.164,0.41,0.739,0.009,0.173,0.043
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.037,0.005,0.082,0.07,0.325,0.087,0.015
"P20","En blanco",0.024,0.037,0.103,0.126,0.315,0.163,0.017
"P20","No sabe",0.015,0.088,0.137,0.031,0.148,0.357,0.634
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.881,0.009,0.069,0.009,0.006,0.008,0.074
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.01,0.693,0.069,0.029,0.065,0.221,0.23
"P21","Julio Zamora a intendente por un partido vecinal",0.072,0.033,0.51,0.06,0.215,0.114,0.078
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.011,0.127,0.261,0.861,0.122,0.149,0.034
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.024,0.056,0.023,0.464,0.091,0.008
"P21","En blanco",0.004,0.04,0.027,0.002,0.128,0.372,0.054
"P21","No sabe",0.018,0.074,0.008,0.016,0,0.045,0.522
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.927,0.015,0.151,0.003,0,0,0.064
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.004,0.923,0.099,0.035,0,0.094,0.085
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.037,0.022,0.537,0.726,0.009,0.109,0.037
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.014,0.015,0.043,0.207,0.311,0.067,0.004
"P22","En blanco",0.002,0.004,0.038,0.006,0.63,0.125,0.058
"P22","No sabe",0.016,0.021,0.132,0.023,0.05,0.605,0.752
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.729,0.021,0.223,0.013,0.056,0.148,0.109
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.063,0.093,0.171,0.028,0.105,0.151,0.11
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.019,0.7,0.183,0.029,0.081,0.063,0.01
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.148,0.166,0.089,0.124,0.078,0.117,0.187
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.012,0.281,0.797,0.27,0.077,0.028
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.004,0.014,0.005,0.231,0.296,0.031
"P24","En blanco",0.005,0,0.011,0,0.134,0.07,0.122
"P24","No sabe",0.019,0.004,0.028,0.004,0.045,0.078,0.403
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.766,0.015,0.117,0.01,0.119,0.121,0.128
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.042,0.676,0.03,0.036,0.017,0.052,0.056
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.096,0.268,0.091,0.019,0.16,0.18,0.143
"P25","Julio Zamora a intendente por un partido vecinal",0.042,0.018,0.399,0.075,0.051,0.121,0.173
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.018,0.011,0.317,0.851,0.268,0.072,0.022
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.003,0.001,0.002,0.009,0.345,0.252,0.011
"P25","En blanco",0.001,0.003,0,0,0.04,0.102,0.082
"P25","No sabe",0.032,0.008,0.044,0,0,0.1,0.385
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.831,0.028,0.148,0.038,0.207,0.241,0.222
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.028,0.677,0.059,0.048,0.085,0.15,0.204
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.07,0.153,0.354,0.651,0.075,0.098,0.113
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.021,0.015,0.091,0.055,0.25,0.083,0.04
"P26","En blanco",0.008,0.035,0.199,0.174,0.359,0.124,0.029
"P26","No sabe",0.042,0.092,0.149,0.034,0.024,0.304,0.392
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.797,0.025,0.11,0.031,0.068,0.167,0.178
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.038,0.669,0.044,0.015,0.094,0.171,0.368
"P27","Julio Zamora a intendente por un partido vecinal",0.111,0.066,0.495,0.117,0.139,0.095,0.068
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.1,0.239,0.749,0.248,0.058,0.036
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.012,0.035,0.08,0.416,0.116,0
"P27","En blanco",0.015,0.051,0.053,0.008,0.035,0.36,0.087
"P27","No sabe",0.019,0.077,0.024,0,0,0.033,0.263
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.858,0.026,0.195,0.04,0.133,0.219,0.311
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.024,0.874,0.102,0.031,0.162,0.102,0.174
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.057,0.023,0.409,0.723,0.275,0.094,0.03
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.025,0.054,0.147,0.157,0.059,0.009
"P28","En blanco",0.035,0.013,0.062,0.053,0.216,0.167,0.157
"P28","No sabe",0.026,0.039,0.178,0.006,0.057,0.359,0.319
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.797,0.027,0.079,0.034,0.279,0.287,0.291
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.094,0.85,0.062,0.025,0,0.078,0.13
"P29","Julio Zamora a intendente por un partido vecinal",0.047,0.048,0.605,0.132,0.086,0.136,0.164
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0,0.038,0.197,0.731,0.196,0.082,0.042
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.036,0.002,0.023,0.057,0.43,0.052,0.018
"P29","En blanco",0.012,0.013,0.018,0.006,0.009,0.288,0.059
"P29","No sabe",0.014,0.022,0.016,0.015,0,0.077,0.296
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.858,0.009,0.043,0.033,0.083,0.132,0.172
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.024,0.475,0.048,0.013,0.164,0.094,0.102
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.042,0.413,0.095,0.042,0.147,0.151,0.347
"P30","Julio Zamora a intendente por un partido vecinal",0.047,0.052,0.484,0.05,0.185,0.224,0.057
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.014,0.03,0.262,0.841,0.147,0.101,0.073
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.001,0,0.007,0.164,0.087,0
"P30","En blanco",0,0.006,0.032,0.004,0.11,0.119,0
"P30","No sabe",0.015,0.014,0.036,0.01,0,0.092,0.249
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.791,0.05,0.173,0.054,0.239,0.143,0.175
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.018,0.698,0.137,0.055,0.048,0.181,0.322
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.112,0.137,0.35,0.641,0.22,0.163,0.019
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.023,0.019,0.09,0.014,0.197,0,0.022
"P31","En blanco",0.024,0.043,0.099,0.195,0.222,0.081,0.086
"P31","No sabe",0.032,0.053,0.151,0.041,0.074,0.432,0.376
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.765,0.052,0.059,0.029,0.16,0.163,0.165
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.033,0.701,0.136,0.044,0.191,0.207,0.263
"P32","Julio Zamora a intendente por un partido vecinal",0.122,0.063,0.592,0.095,0.21,0.203,0.204
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.031,0.084,0.153,0.699,0.101,0.013,0.027
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.021,0.017,0.02,0.123,0.214,0.083,0.004
"P32","En blanco",0.021,0.037,0.038,0.004,0.115,0.239,0.046
"P32","No sabe",0.007,0.046,0.002,0.006,0.009,0.092,0.291
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.854,0.039,0.172,0.03,0.208,0.164,0.22
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.036,0.766,0.064,0.032,0.012,0.167,0.204
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.049,0.072,0.415,0.703,0.063,0.096,0.027
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.012,0.017,0.057,0.144,0.283,0.082,0.006
"P33","En blanco",0.015,0.034,0.117,0.07,0.121,0.134,0.05
"P33","No sabe",0.034,0.072,0.175,0.021,0.313,0.357,0.493
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.821,0.043,0.052,0.031,0.177,0.151,0.26
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.032,0.776,0.042,0.018,0.035,0.124,0.13
"P34","Julio Zamora a intendente por un partido vecinal",0.074,0.036,0.524,0.133,0.087,0.266,0.08
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.008,0.039,0.185,0.741,0.126,0.082,0.035
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.04,0.028,0.04,0.068,0.314,0.034,0
"P34","En blanco",0.022,0.042,0.099,0.009,0.261,0.173,0.112
"P34","No sabe",0.003,0.036,0.058,0,0,0.17,0.383
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.719,0.05,0.048,0.051,0.121,0.094,0.113
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.087,0.11,0.349,0.066,0.084,0.125,0.125
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.03,0.459,0.032,0.009,0.065,0.207,0.096
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.086,0.315,0.118,0.069,0.14,0.188,0.309
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.04,0.031,0.338,0.79,0.114,0.056,0.035
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.024,0.003,0.021,0.007,0.3,0.011,0.023
"P35","En blanco",0.008,0.005,0.048,0.005,0.159,0.161,0
"P35","No sabe",0.006,0.027,0.046,0.003,0.017,0.158,0.299
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.85,0.04,0.019,0.031,0.165,0.067,0.114
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.034,0.42,0.033,0.012,0.207,0.157,0.044
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.033,0.394,0.117,0.048,0.036,0.215,0.275
"P36","Julio Zamora a intendente por un partido vecinal",0.032,0.069,0.489,0.028,0.084,0.198,0.038
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.025,0.028,0.278,0.852,0.189,0.078,0.159
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.023,0.005,0.007,0.009,0.269,0.01,0
"P36","En blanco",0,0.005,0.048,0.005,0.036,0.17,0.044
"P36","No sabe",0.003,0.039,0.009,0.015,0.014,0.105,0.326
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.823,0.053,0.175,0.03,0.168,0.152,0.197
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.029,0.68,0.108,0.052,0.123,0.098,0.295
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.078,0.123,0.348,0.66,0.161,0.137,0.094
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.006,0.019,0.161,0.053,0.125,0,0.007
"P37","En blanco",0.032,0.044,0.114,0.158,0.266,0.183,0.135
"P37","No sabe",0.032,0.081,0.094,0.047,0.157,0.43,0.272
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.868,0.036,0.082,0.016,0.163,0.145,0.231
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.032,0.725,0.097,0.072,0.128,0.174,0.339
"P38","Julio Zamora a intendente por un partido vecinal",0.067,0.044,0.53,0.102,0.16,0.136,0.135
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.003,0.075,0.193,0.691,0.029,0.131,0.015
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.015,0.021,0.057,0.095,0.52,0.006,0
"P38","En blanco",0.015,0.037,0.019,0.017,0,0.295,0.058
"P38","No sabe",0,0.062,0.022,0.007,0,0.113,0.222
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.866,0.029,0.136,0.017,0.162,0.217,0.257
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.057,0.832,0.063,0.066,0,0.168,0.296
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.036,0.037,0.398,0.679,0.278,0.082,0.053
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.017,0.121,0.106,0.168,0.109,0
"P39","En blanco",0.021,0.025,0.095,0.101,0.262,0.104,0.011
"P39","No sabe",0.018,0.06,0.187,0.031,0.13,0.32,0.383
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.599,0.272,0.032,0.016,0.148,0.072,0.383
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.299,0.576,0.074,0.081,0.159,0.269,0.136
"P40","Julio Zamora a intendente por un partido vecinal",0.064,0.039,0.563,0.185,0.214,0.043,0.017
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.032,0.219,0.627,0.015,0.08,0.051
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.016,0.019,0.038,0.065,0.208,0.081,0
"P40","En blanco",0.02,0.016,0.048,0.022,0.05,0.393,0.12
"P40","No sabe",0,0.046,0.026,0.004,0.206,0.062,0.293
"P41","Muy buena",0.477,0.075,0.04,0.009,0.222,0.041,0.149
"P41","Buena",0.224,0.133,0.123,0.039,0.063,0.182,0.126
"P41","Ni buena ni mala",0.217,0.097,0.272,0.13,0.327,0.23,0.141
"P41","Mala",0.035,0.192,0.16,0.207,0.06,0.2,0.121
"P41","Muy mala",0.04,0.489,0.379,0.603,0.256,0.347,0.388
"P41","No sabe",0.007,0.014,0.026,0.012,0.072,0,0.075
"P42","Muy buena",0.322,0.046,0.359,0.014,0.273,0.111,0.105
"P42","Buena",0.289,0.122,0.222,0.072,0.044,0.115,0.173
"P42","Ni buena ni mala",0.219,0.272,0.119,0.121,0.363,0.159,0.513
"P42","Mala",0.066,0.217,0.07,0.185,0,0.294,0.075
"P42","Muy mala",0.076,0.309,0.23,0.603,0.204,0.289,0.123
"P42","No sabe",0.028,0.034,0,0.005,0.116,0.032,0.011
"P43","Muy buena",0.136,0.22,0.113,0.082,0.177,0.134,0.074
"P43","Buena",0.071,0.39,0.202,0.09,0.143,0.152,0.141
"P43","Ni buena ni mala",0.213,0.246,0.227,0.364,0.222,0.253,0.354
"P43","Mala",0.249,0.027,0.108,0.113,0.055,0.041,0
"P43","Muy mala",0.267,0.085,0.29,0.325,0.351,0.399,0.232
"P43","No sabe",0.064,0.032,0.06,0.026,0.052,0.021,0.199
"P44","Muy buena",0.095,0.217,0.087,0.029,0.044,0.03,0.033
"P44","Buena",0.043,0.362,0.196,0.12,0.015,0.138,0.034
"P44","Ni buena ni mala",0.255,0.268,0.317,0.408,0.553,0.355,0.37
"P44","Mala",0.23,0.036,0.13,0.106,0.044,0.037,0
"P44","Muy mala",0.26,0.043,0.181,0.267,0.307,0.399,0.216
"P44","No sabe",0.117,0.074,0.089,0.07,0.037,0.041,0.347
"P45","Muy buena",0.254,0.05,0.307,0.015,0.123,0.111,0.155
"P45","Buena",0.337,0.177,0.344,0.067,0.195,0.187,0.075
"P45","Ni buena ni mala",0.198,0.317,0.163,0.232,0.298,0.235,0.443
"P45","Mala",0.056,0.228,0.066,0.199,0.143,0.295,0.306
"P45","Muy mala",0.072,0.202,0.107,0.479,0.204,0.172,0.009
"P45","No sabe",0.083,0.026,0.013,0.008,0.037,0,0.012
"P46","Que continúe el intendente Julio Zamora",0.228,0.052,0.327,0.022,0.291,0.124,0.12
"P46","Que continúe Julio Zamora pero con mejoras",0.374,0.125,0.295,0.071,0.115,0.247,0.197
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.191,0.193,0.142,0.105,0.16,0.431,0.16
"P46","Que cambie el intendente Julio Zamora",0.207,0.63,0.236,0.802,0.434,0.198,0.523
"P47","Es kirchnerista",0.159,0.197,0.22,0.177,0.27,0.145,0.201
"P47","Forma parte del Frente de Todos",0.352,0.302,0.351,0.208,0.045,0.153,0.137
"P47","Es un hombre de Massa",0.16,0.105,0.143,0.141,0.302,0.217,0.217
"P47","Es un peronista independiente de centro",0.127,0.11,0.194,0.142,0.024,0.292,0.026
"P47","Es un oportunista y está donde le conviene",0.098,0.204,0.04,0.257,0.254,0.156,0.33
"P47","No sabe",0.104,0.082,0.052,0.075,0.105,0.037,0.089
"P48","El tránsito",0.328,0.239,0.321,0.254,0.256,0.095,0.297
"P48","El arreglo de las calles",0.131,0.092,0.083,0.09,0,0.09,0.039
"P48","Los parques y espacios públicos",0.121,0.064,0.108,0.016,0.192,0.114,0
"P48","El sistema de salud",0.052,0.041,0.087,0.008,0.249,0.022,0
"P48","La limpieza de las calles",0.157,0.108,0.081,0.07,0.064,0.151,0.22
"P48","El deporte y la cultura",0.065,0.104,0.108,0.131,0.024,0.298,0.061
"P48","La obra pública",0.015,0.026,0.086,0.005,0,0.105,0
"P48","La luminaria",0.056,0.08,0.036,0.065,0,0.02,0.054
"P48","No sabe",0.075,0.246,0.09,0.361,0.215,0.105,0.329
"P49","El tránsito",0.214,0.225,0.173,0.29,0.399,0.065,0.269
"P49","El arreglo de las calles",0.089,0.124,0.058,0.095,0,0.309,0.07
"P49","Los parques y espacios públicos",0.197,0.153,0.174,0.086,0.318,0.033,0.055
"P49","El sistema de salud",0.086,0.089,0.066,0.104,0.243,0.138,0.052
"P49","La limpieza de las calles",0.192,0.141,0.198,0.229,0.04,0.076,0.444
"P49","El deporte y la cultura",0.051,0.039,0.048,0.033,0,0.116,0
"P49","La obra pública",0.024,0.047,0.062,0.018,0,0.037,0
"P49","La luminaria",0.032,0.011,0.036,0.008,0,0,0.009
"P49","No sabe",0.115,0.171,0.185,0.137,0,0.226,0.101
"P50","Agua corriente y cloacas",0.33,0.529,0.403,0.356,0.498,0.314,0.457
"P50","Energía eléctrica",0.16,0.138,0.084,0.097,0.313,0.262,0.091
"P50","Red de gas natural",0.1,0.066,0.17,0.111,0.038,0.173,0.016
"P50","Recolección de residuos",0.176,0.094,0.122,0.213,0.063,0.055,0.055
"P50","Ninguno",0.234,0.173,0.221,0.223,0.088,0.196,0.381
"P51","Los robos",0.354,0.339,0.219,0.275,0.54,0.189,0.474
"P51","El narcotráfico",0.206,0.336,0.241,0.334,0.062,0.424,0.179
"P51","La ausencia de patrulleros y personal policial",0.128,0.082,0.287,0.092,0.157,0.115,0.094
"P51","Otro",0.179,0.148,0.113,0.157,0.216,0.007,0.239
"P51","Ninguno",0.133,0.095,0.14,0.142,0.025,0.265,0.014
"P52","Muy buena",0.233,0.066,0.05,0.007,0.045,0.068,0
"P52","Buena",0.211,0.046,0.27,0.045,0.201,0.228,0.201
"P52","Ni buena ni mala",0.275,0.077,0.136,0.026,0.016,0.164,0.054
"P52","Mala",0.144,0.081,0.098,0.04,0.297,0.209,0.182
