"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P19","En blanco",0.004,0.003,0.032,0.003,0.095,0.111,0.221
"P19","No sabe",0.014,0.012,0.005,0,0.051,0.294,0.268
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.866,0.063,0.19,0.01,0.028,0.05,0.071
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.019,0.815,0.135,0.063,0.048,0.035,0.098
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.04,0.073,0.365,0.734,0.05,0.083,0.069
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.021,0.014,0.089,0.077,0.252,0,0.004
"P20","En blanco",0.033,0.007,0.053,0.096,0.569,0.229,0.015
"P20","No sabe",0.021,0.028,0.168,0.02,0.053,0.603,0.743
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.939,0.021,0.221,0.003,0.031,0.022,0.078
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.009,0.837,0.114,0.131,0.084,0.228,0.328
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.015,0.018,0.444,0.645,0.134,0.079,0
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.009,0.046,0.184,0.358,0,0
"P22","En blanco",0.013,0.015,0.039,0.016,0.324,0.18,0.005
"P22","No sabe",0.022,0.1,0.136,0.021,0.069,0.491,0.589
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.927,0.012,0.156,0.012,0.03,0.022,0.079
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.01,0.804,0.069,0.138,0.17,0.255,0.308
"P23","Julio Zamora a intendente por un partido vecinal",0.037,0.041,0.557,0.148,0.209,0.091,0.018
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.023,0.088,0.649,0.115,0.01,0.047
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.008,0.046,0.013,0.337,0.083,0
"P23","En blanco",0.001,0.049,0.046,0.031,0.125,0.458,0.036
"P23","No sabe",0.018,0.063,0.038,0.009,0.014,0.081,0.512
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.753,0.032,0.208,0.035,0.108,0.098,0.137
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.05,0.082,0.236,0.027,0.223,0.114,0.107
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.024,0.534,0.193,0.149,0.191,0.345,0.304
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.115,0.296,0.102,0.098,0.024,0.005,0.052
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.013,0.009,0.172,0.665,0.272,0.01,0.053
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.018,0.023,0.02,0.134,0.14,0.062
"P24","En blanco",0.004,0.018,0.007,0.003,0.041,0.216,0.004
"P24","No sabe",0.037,0.011,0.059,0.003,0.007,0.072,0.281
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.779,0.009,0.141,0.047,0.161,0.075,0.113
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.03,0.506,0.118,0.132,0.155,0.273,0.423
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.064,0.375,0.102,0.04,0.067,0.14,0.06
"P25","Julio Zamora a intendente por un partido vecinal",0.061,0.034,0.426,0.05,0.053,0.13,0.079
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.019,0.014,0.171,0.698,0.314,0.011,0.021
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.011,0.022,0.028,0.156,0.124,0.011
"P25","En blanco",0.001,0.018,0.007,0.001,0.052,0.073,0.023
"P25","No sabe",0.041,0.033,0.013,0.004,0.042,0.174,0.27
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.868,0.053,0.231,0.057,0.108,0.067,0.122
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.009,0.808,0.1,0.025,0.055,0.088,0.33
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.063,0.072,0.222,0.686,0.067,0.136,0.071
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.02,0.098,0.057,0.295,0,0
"P26","En blanco",0.01,0.02,0.192,0.121,0.332,0.195,0.05
"P26","No sabe",0.044,0.027,0.157,0.054,0.143,0.514,0.427
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.823,0.042,0.136,0.04,0.116,0.069,0.138
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.041,0.831,0.054,0.024,0.059,0.089,0.236
"P27","Julio Zamora a intendente por un partido vecinal",0.08,0.036,0.508,0.158,0.108,0.171,0.119
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.037,0.171,0.682,0.188,0.019,0.014
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.019,0.006,0.029,0.072,0.298,0.097,0
"P27","En blanco",0.016,0.012,0.058,0.019,0.183,0.477,0.109
"P27","No sabe",0.015,0.036,0.044,0.005,0.048,0.078,0.384
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.877,0.051,0.232,0.044,0.188,0.115,0.285
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.019,0.806,0.15,0.156,0.11,0.324,0.456
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.026,0.019,0.317,0.623,0.208,0.119,0.032
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.02,0.081,0.094,0.214,0,0
"P28","En blanco",0.049,0.037,0.048,0.05,0.157,0.133,0.032
"P28","No sabe",0.027,0.067,0.172,0.033,0.123,0.309,0.195
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.846,0.034,0.122,0.065,0.205,0.115,0.163
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.042,0.756,0.193,0.145,0.216,0.333,0.469
"P29","Julio Zamora a intendente por un partido vecinal",0.05,0.072,0.474,0.146,0.152,0.227,0.121
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.005,0.027,0.167,0.57,0.12,0.033,0.004
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.036,0.014,0.01,0.045,0.251,0.028,0.019
"P29","En blanco",0.013,0.05,0.017,0.007,0.044,0.189,0.011
"P29","No sabe",0.008,0.047,0.017,0.022,0.012,0.075,0.213
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.86,0.018,0.164,0.019,0.111,0.065,0.153
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.017,0.358,0.075,0.115,0.266,0.321,0.376
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.034,0.539,0.053,0.089,0.049,0.066,0.159
"P30","Julio Zamora a intendente por un partido vecinal",0.048,0.039,0.485,0.079,0.163,0.182,0.061
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.025,0.018,0.184,0.669,0.183,0.021,0.006
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.012,0.003,0.001,0.128,0.028,0
"P30","En blanco",0,0.012,0.006,0.02,0.055,0.127,0
"P30","No sabe",0.016,0.004,0.03,0.008,0.045,0.19,0.245
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.827,0.069,0.213,0.048,0.148,0.065,0.176
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.019,0.757,0.134,0.093,0.227,0.208,0.352
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.086,0.104,0.276,0.628,0.155,0.041,0.025
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.004,0.014,0.112,0.033,0.132,0,0.013
"P31","En blanco",0.03,0.025,0.121,0.145,0.214,0.133,0.025
"P31","No sabe",0.034,0.031,0.144,0.053,0.124,0.553,0.409
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.795,0.072,0.103,0.026,0.173,0.067,0.154
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.024,0.807,0.067,0.131,0.145,0.206,0.27
"P32","Julio Zamora a intendente por un partido vecinal",0.121,0.062,0.653,0.116,0.102,0.156,0.048
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.007,0.012,0.117,0.641,0.143,0.014,0.019
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.024,0.01,0.046,0.067,0.3,0.024,0
"P32","En blanco",0.021,0.027,0.012,0.015,0.085,0.361,0.068
"P32","No sabe",0.008,0.01,0.002,0.004,0.052,0.172,0.441
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.9,0.042,0.187,0.033,0.2,0.152,0.21
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.03,0.761,0.116,0.132,0.171,0.156,0.347
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.028,0.052,0.326,0.608,0.151,0.095,0.008
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.004,0.087,0.125,0.235,0.016,0
"P33","En blanco",0.016,0.024,0.122,0.046,0.155,0.144,0.09
"P33","No sabe",0.026,0.117,0.162,0.056,0.088,0.437,0.345
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.861,0.047,0.142,0.034,0.198,0.046,0.137
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.026,0.761,0.071,0.133,0.126,0.19,0.297
"P34","Julio Zamora a intendente por un partido vecinal",0.067,0.057,0.501,0.13,0.162,0.17,0.013
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.028,0.158,0.583,0.168,0.02,0.008
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.021,0.006,0.037,0.091,0.241,0.029,0.04
"P34","En blanco",0.024,0.05,0.077,0.028,0.063,0.209,0.15
"P34","No sabe",0.001,0.051,0.014,0.001,0.042,0.336,0.355
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.723,0.045,0.18,0.035,0.127,0.063,0.096
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.09,0.117,0.315,0.066,0.196,0.123,0.149
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.032,0.356,0.043,0.142,0.147,0.224,0.319
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.095,0.4,0.097,0.107,0.083,0.067,0.154
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.021,0.027,0.262,0.644,0.223,0.02,0.008
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.022,0.008,0.042,0,0.162,0.032,0
"P35","En blanco",0.008,0.029,0.02,0.001,0.006,0.221,0
"P35","No sabe",0.009,0.018,0.041,0.005,0.056,0.25,0.274
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.813,0.035,0.204,0.022,0.167,0.044,0.096
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.024,0.31,0.053,0.149,0.201,0.212,0.282
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.04,0.526,0.032,0.087,0.074,0.093,0.112
"P36","Julio Zamora a intendente por un partido vecinal",0.047,0.066,0.451,0.055,0.083,0.165,0.019
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.048,0.032,0.211,0.665,0.316,0.013,0.008
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.024,0.003,0.029,0.001,0.122,0.018,0.015
"P36","En blanco",0,0.018,0.007,0.002,0.006,0.308,0
"P36","No sabe",0.004,0.01,0.013,0.019,0.031,0.147,0.468
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.83,0.07,0.229,0.039,0.225,0.047,0.132
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.018,0.753,0.112,0.113,0.084,0.11,0.365
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.064,0.115,0.268,0.628,0.142,0.023,0.021
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0.003,0.099,0.071,0.181,0.085,0
"P37","En blanco",0.046,0.017,0.126,0.13,0.327,0.15,0.09
"P37","No sabe",0.037,0.042,0.166,0.019,0.041,0.585,0.392
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.904,0.051,0.134,0.028,0.176,0.05,0.116
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.023,0.805,0.068,0.157,0.111,0.112,0.424
"P38","Julio Zamora a intendente por un partido vecinal",0.036,0.071,0.564,0.105,0.113,0.143,0.015
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.001,0.015,0.107,0.611,0.286,0,0.01
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.02,0.011,0.063,0.085,0.273,0.042,0
"P38","En blanco",0.016,0.027,0.025,0.007,0.007,0.397,0.099
"P38","No sabe",0,0.02,0.039,0.007,0.034,0.256,0.336
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.891,0.044,0.221,0.023,0.251,0.059,0.114
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.056,0.803,0.099,0.18,0.175,0.267,0.462
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.015,0.033,0.337,0.59,0.067,0.121,0.01
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.01,0.089,0.082,0.345,0.034,0
"P39","En blanco",0.019,0.023,0.081,0.086,0.127,0.143,0.077
"P39","No sabe",0.019,0.087,0.173,0.039,0.035,0.376,0.337
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.64,0.239,0.095,0.075,0.208,0.075,0.251
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.28,0.582,0.169,0.13,0.169,0.299,0.35
"P40","Julio Zamora a intendente por un partido vecinal",0.043,0.078,0.506,0.191,0.052,0.026,0.013
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.027,0.12,0.497,0.217,0.018,0.01
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.017,0.002,0.024,0.06,0.308,0.009,0
"P40","En blanco",0.018,0.033,0.063,0.009,0.017,0.409,0.137
"P40","No sabe",0,0.039,0.023,0.038,0.029,0.164,0.239
"P41","Muy buena",0.48,0.075,0.129,0.015,0.121,0.04,0.125
"P41","Buena",0.244,0.14,0.128,0.047,0.129,0.17,0.066
"P41","Ni buena ni mala",0.206,0.167,0.229,0.171,0.113,0.054,0.062
"P41","Mala",0.03,0.165,0.168,0.169,0.177,0.198,0.324
"P41","Muy mala",0.04,0.431,0.322,0.588,0.417,0.51,0.353
"P41","No sabe",0,0.022,0.024,0.01,0.043,0.028,0.07
"P42","Muy buena",0.283,0.042,0.515,0.029,0.163,0.101,0.043
"P42","Buena",0.334,0.145,0.133,0.103,0.071,0,0.14
"P42","Ni buena ni mala",0.222,0.334,0.066,0.153,0.165,0.175,0.455
"P42","Mala",0.067,0.193,0.089,0.205,0.188,0.121,0.083
"P42","Muy mala",0.066,0.241,0.189,0.496,0.413,0.594,0.247
"P42","No sabe",0.028,0.045,0.008,0.014,0,0.009,0.032
"P43","Muy buena",0.13,0.26,0.046,0.13,0.121,0.064,0.136
"P43","Buena",0.061,0.403,0.187,0.182,0.133,0.06,0.154
"P43","Ni buena ni mala",0.222,0.207,0.216,0.358,0.136,0.306,0.443
"P43","Mala",0.266,0.02,0.111,0.08,0.101,0.013,0.035
"P43","Muy mala",0.255,0.059,0.369,0.221,0.509,0.532,0.151
"P43","No sabe",0.066,0.051,0.071,0.029,0,0.025,0.081
"P44","Muy buena",0.09,0.175,0.071,0.089,0.114,0.05,0.211
"P44","Buena",0.032,0.341,0.194,0.176,0.122,0.074,0.2
"P44","Ni buena ni mala",0.267,0.318,0.205,0.414,0.133,0.482,0.351
"P44","Mala",0.234,0.042,0.137,0.079,0.101,0,0.007
"P44","Muy mala",0.233,0.029,0.308,0.176,0.53,0.315,0.106
"P44","No sabe",0.144,0.095,0.085,0.066,0,0.079,0.125
"P45","Muy buena",0.238,0.062,0.355,0.034,0.155,0.099,0.063
"P45","Buena",0.322,0.181,0.346,0.147,0.059,0.117,0.194
"P45","Ni buena ni mala",0.214,0.405,0.084,0.225,0.174,0.197,0.313
"P45","Mala",0.061,0.183,0.121,0.201,0.098,0.492,0.2
"P45","Muy mala",0.082,0.153,0.074,0.387,0.514,0.067,0.105
"P45","No sabe",0.083,0.016,0.02,0.006,0,0.028,0.125
"P46","Que continúe el intendente Julio Zamora",0.192,0.051,0.5,0.016,0.17,0.106,0.065
"P46","Que continúe Julio Zamora pero con mejoras",0.374,0.125,0.267,0.123,0.265,0.119,0.219
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.209,0.268,0.058,0.129,0.178,0.205,0.126
"P46","Que cambie el intendente Julio Zamora",0.225,0.556,0.175,0.732,0.387,0.57,0.59
"P47","Es kirchnerista",0.158,0.162,0.274,0.181,0.21,0.231,0.188
"P47","Forma parte del Frente de Todos",0.328,0.341,0.299,0.249,0.172,0.092,0.172
"P47","Es un hombre de Massa",0.16,0.158,0.059,0.175,0.245,0.166,0.008
"P47","Es un peronista independiente de centro",0.129,0.117,0.224,0.118,0.233,0.05,0.05
"P47","Es un oportunista y está donde le conviene",0.111,0.128,0.081,0.221,0.14,0.461,0.405
"P47","No sabe",0.114,0.094,0.063,0.056,0,0,0.177
"P48","El tránsito",0.315,0.234,0.398,0.24,0.247,0.123,0.2
"P48","El arreglo de las calles",0.135,0.096,0.05,0.11,0.096,0.009,0.024
"P48","Los parques y espacios públicos",0.129,0.057,0.045,0.079,0.193,0.056,0.012
"P48","El sistema de salud",0.057,0.029,0.077,0.031,0.071,0.028,0.132
"P48","La limpieza de las calles",0.153,0.116,0.103,0.044,0.189,0.239,0.146
"P48","El deporte y la cultura",0.053,0.141,0.148,0.11,0,0.138,0.079
"P48","La obra pública",0.016,0.041,0.03,0.023,0,0.133,0.024
"P48","La luminaria",0.062,0.081,0.05,0.049,0.036,0.057,0.011
"P48","No sabe",0.08,0.205,0.099,0.314,0.168,0.217,0.372
"P49","El tránsito",0.191,0.279,0.206,0.254,0.255,0.053,0.112
"P49","El arreglo de las calles",0.097,0.124,0.058,0.105,0.23,0.06,0.062
"P49","Los parques y espacios públicos",0.216,0.118,0.17,0.133,0.047,0.156,0.168
"P49","El sistema de salud",0.064,0.076,0.108,0.101,0.093,0.303,0.087
"P49","La limpieza de las calles",0.198,0.173,0.183,0.18,0.128,0.166,0.218
"P49","El deporte y la cultura",0.049,0.055,0.051,0.036,0.043,0,0.008
"P49","La obra pública",0.032,0.04,0.039,0.039,0,0.046,0
"P49","La luminaria",0.035,0.008,0.03,0.007,0.036,0.014,0
"P49","No sabe",0.118,0.127,0.155,0.145,0.168,0.202,0.345
"P50","Agua corriente y cloacas",0.307,0.532,0.343,0.441,0.464,0.404,0.395
"P50","Energía eléctrica",0.167,0.136,0.128,0.136,0.13,0.191,0.034
"P50","Red de gas natural",0.112,0.077,0.116,0.076,0.294,0.066,0.063
"P50","Recolección de residuos",0.158,0.103,0.183,0.172,0,0.044,0.064
"P50","Ninguno",0.256,0.152,0.23,0.175,0.112,0.295,0.444
"P51","Los robos",0.341,0.373,0.331,0.27,0.229,0.26,0.265
"P51","El narcotráfico",0.221,0.299,0.125,0.377,0.328,0.357,0.283
"P51","La ausencia de patrulleros y personal policial",0.119,0.115,0.248,0.078,0.194,0.049,0.178
"P51","Otro",0.196,0.135,0.12,0.154,0.078,0.079,0.215
"P51","Ninguno",0.123,0.078,0.176,0.121,0.171,0.255,0.059
"P52","Muy buena",0.261,0.044,0.047,0.009,0.094,0.176,0.038
"P52","Buena",0.212,0.06,0.274,0.086,0.189,0.175,0.016
"P52","Ni buena ni mala",0.251,0.081,0.17,0.069,0.187,0.016,0.013
