"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.552,0.095,0.075,0.264,0.222
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.07,0.614,0.088,0.134,0.165
"P27","Julio Zamora a intendente por un partido vecinal",0.225,0.069,0.132,0.13,0.148
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.03,0.126,0.602,0.042,0.204
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.045,0.019,0.058,0.1,0.052
"P27","En blanco",0.03,0.034,0.024,0.269,0.118
"P27","No sabe",0.048,0.043,0.021,0.061,0.091
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.62,0.144,0.087,0.373,0.26
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.111,0.679,0.138,0.112,0.203
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.064,0.092,0.61,0,0.287
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.034,0.02,0.078,0.08,0.073
"P28","En blanco",0.062,0.028,0.063,0.055,0.07
"P28","No sabe",0.109,0.037,0.024,0.38,0.107
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.583,0.113,0.059,0.42,0.247
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.118,0.644,0.144,0.084,0.269
"P29","Julio Zamora a intendente por un partido vecinal",0.198,0.089,0.205,0.096,0.083
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.036,0.094,0.495,0.017,0.193
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.011,0.07,0.091,0.075
"P29","En blanco",0.021,0.014,0.019,0.184,0.056
"P29","No sabe",0.026,0.035,0.008,0.108,0.077
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.568,0.077,0.062,0.26,0.274
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.04,0.379,0.106,0.125,0.148
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.057,0.424,0.103,0.017,0.12
"P30","Julio Zamora a intendente por un partido vecinal",0.294,0.021,0.05,0.104,0.039
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.015,0.067,0.671,0.036,0.246
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0,0,0.106,0.045
"P30","En blanco",0.002,0.007,0.007,0.13,0.055
"P30","No sabe",0.022,0.025,0.001,0.222,0.073
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.596,0.088,0.085,0.244,0.31
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.079,0.653,0.125,0.107,0.101
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.104,0.167,0.606,0.017,0.221
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.046,0.018,0.009,0.191,0.025
"P31","En blanco",0.061,0.017,0.142,0.036,0.186
"P31","No sabe",0.114,0.057,0.033,0.405,0.157
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.567,0.094,0.069,0.226,0.236
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.049,0.659,0.143,0.108,0.114
"P32","Julio Zamora a intendente por un partido vecinal",0.281,0.075,0.186,0.127,0.138
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.047,0.099,0.499,0.01,0.204
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.006,0.01,0.092,0.105,0.127
"P32","En blanco",0.035,0.026,0,0.193,0.103
"P32","No sabe",0.015,0.037,0.011,0.231,0.078
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.627,0.085,0.094,0.33,0.292
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.065,0.659,0.095,0.186,0.193
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.095,0.105,0.605,0.049,0.199
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.045,0.01,0.11,0.08,0.064
"P33","En blanco",0.056,0.045,0.065,0.008,0.063
"P33","No sabe",0.112,0.096,0.031,0.347,0.189
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.592,0.096,0.069,0.338,0.278
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.045,0.647,0.108,0.114,0.153
"P34","Julio Zamora a intendente por un partido vecinal",0.225,0.057,0.164,0.117,0.111
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.043,0.082,0.514,0.011,0.193
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.012,0.014,0.1,0.074,0.111
"P34","En blanco",0.077,0.053,0,0.09,0.068
