"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0,0.043,0.104,0.143,0.044
"P23","En blanco",0.035,0.026,0.02,0.106,0.089,0.172
"P23","No sabe",0.037,0.041,0.012,0,0.009,0.187
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.78,0.058,0.042,0.144,0.051,0.121
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.075,0.113,0.09,0.143,0.219,0.063
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.023,0.569,0.084,0.171,0.113,0.295
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.076,0.184,0.112,0.11,0.104,0.171
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.034,0.622,0.308,0.43,0.014
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.018,0.025,0.11,0.013,0.086
"P24","En blanco",0,0.013,0.002,0,0.07,0.039
"P24","No sabe",0.035,0.011,0.023,0.014,0,0.211
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.824,0.031,0.035,0.18,0.058,0.079
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.028,0.567,0.039,0.106,0.137,0.146
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.045,0.301,0.065,0.006,0.135,0.183
"P25","Julio Zamora a intendente por un partido vecinal",0.072,0.025,0.127,0.076,0.212,0.229
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.037,0.689,0.514,0.339,0.028
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.001,0.023,0.104,0.043,0.101
"P25","En blanco",0.002,0.013,0,0,0.076,0.047
"P25","No sabe",0.01,0.025,0.022,0.014,0,0.187
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.857,0.078,0.087,0.02,0.124,0.134
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.025,0.647,0.015,0.079,0.19,0.214
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.051,0.159,0.623,0.488,0.132,0.122
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.019,0.023,0.062,0.26,0.076,0.026
"P26","En blanco",0.018,0.014,0.155,0.153,0.441,0.042
"P26","No sabe",0.03,0.079,0.058,0,0.037,0.462
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.815,0.058,0.027,0,0.126,0.042
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.054,0.665,0.024,0.053,0.123,0.198
"P27","Julio Zamora a intendente por un partido vecinal",0.079,0.092,0.26,0.343,0.166,0.215
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.001,0.087,0.645,0.415,0.27,0.032
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.02,0.006,0.014,0.189,0.165,0.126
"P27","En blanco",0.018,0.042,0.028,0,0.137,0.202
"P27","No sabe",0.013,0.05,0.002,0,0.013,0.185
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.919,0.068,0.033,0.02,0.128,0.046
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.019,0.841,0.066,0.085,0.123,0.257
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.04,0.793,0.491,0.087,0.06
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.004,0.042,0.378,0.166,0.019
"P28","En blanco",0.034,0.022,0.037,0,0.377,0.081
"P28","No sabe",0.026,0.025,0.029,0.026,0.119,0.537
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.862,0.069,0.055,0.02,0.055,0.004
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.035,0.788,0.077,0.197,0.131,0.21
"P29","Julio Zamora a intendente por un partido vecinal",0.063,0.081,0.267,0.298,0.205,0.252
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.001,0.034,0.59,0.312,0.189,0.102
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.026,0.005,0.002,0.094,0.329,0.064
"P29","En blanco",0.011,0.005,0,0,0.091,0.231
"P29","No sabe",0.002,0.018,0.009,0.079,0,0.137
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.843,0.041,0.03,0.02,0.023,0.012
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.031,0.495,0.038,0.059,0.032,0.056
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.026,0.4,0.101,0.094,0.177,0.245
"P30","Julio Zamora a intendente por un partido vecinal",0.058,0.045,0.167,0.167,0.314,0.293
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.019,0.019,0.661,0.556,0.343,0.025
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0,0.104,0,0.057
"P30","En blanco",0.013,0,0,0,0.111,0.037
"P30","No sabe",0.01,0,0.003,0,0,0.275
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.871,0.062,0.042,0.045,0.114,0.044
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.01,0.709,0.047,0.144,0.192,0.264
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.07,0.155,0.682,0.564,0.062,0.06
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.019,0.014,0.03,0.154,0.031,0.056
"P31","En blanco",0.015,0.02,0.148,0.083,0.558,0.044
"P31","No sabe",0.015,0.04,0.051,0.01,0.043,0.532
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.856,0.054,0.005,0,0.027,0.04
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.003,0.717,0.076,0.146,0.18,0.234
"P32","Julio Zamora a intendente por un partido vecinal",0.103,0.067,0.337,0.302,0.229,0.274
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.004,0.077,0.548,0.385,0.1,0.034
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.01,0.009,0.031,0.14,0.36,0.026
"P32","En blanco",0.014,0.032,0.003,0,0.104,0.202
"P32","No sabe",0.01,0.044,0,0.027,0,0.19
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.917,0.073,0.017,0.02,0.01,0.007
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.046,0.813,0.028,0.061,0.032,0.109
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.028,0.044,0.809,0.509,0.057,0.056
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.008,0.121,0.321,0.088,0.015
"P33","En blanco",0.002,0.018,0.024,0.062,0.629,0.042
"P33","No sabe",0.004,0.044,0.001,0.027,0.184,0.771
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.903,0.056,0.001,0,0.023,0
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.007,0.826,0.016,0.101,0.032,0.096
"P34","Julio Zamora a intendente por un partido vecinal",0.085,0.049,0.354,0.181,0.22,0.18
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.005,0.029,0.57,0.552,0.143,0.036
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.003,0.045,0.166,0.433,0.012
"P34","En blanco",0,0.022,0.01,0,0.149,0.245
"P34","No sabe",0,0.015,0.004,0,0,0.431
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.756,0.067,0.046,0.037,0.023,0.009
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.087,0.138,0.086,0.108,0.277,0.186
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.004,0.482,0.051,0.112,0.092,0.056
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.121,0.28,0.104,0.037,0.116,0.269
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.01,0.027,0.669,0.576,0.349,0.022
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0,0.026,0.13,0.032,0.089
"P35","En blanco",0.011,0,0.01,0,0.105,0.097
"P35","No sabe",0.009,0.006,0.008,0,0.006,0.272
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.833,0.052,0.026,0,0.013,0.009
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.012,0.441,0.015,0.043,0.059,0.103
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.068,0.419,0.076,0.036,0.193,0.21
"P36","Julio Zamora a intendente por un partido vecinal",0.068,0.05,0.185,0.077,0.225,0.268
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.015,0.019,0.67,0.697,0.415,0.025
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0.024,0.121,0.008,0.063
"P36","En blanco",0,0,0.002,0,0.064,0.086
"P36","No sabe",0.004,0.019,0.002,0.026,0.023,0.236
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.901,0.071,0.011,0.017,0.028,0.004
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.007,0.696,0.028,0.093,0.144,0.28
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.057,0.144,0.781,0.31,0.052,0.061
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0.002,0.049,0.28,0.085,0.042
"P37","En blanco",0.028,0.023,0.073,0.281,0.691,0.056
"P37","No sabe",0.002,0.064,0.058,0.019,0,0.557
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.918,0.04,0.01,0,0.036,0
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.009,0.789,0.045,0.047,0.121,0.201
"P38","Julio Zamora a intendente por un partido vecinal",0.06,0.044,0.349,0.063,0.206,0.255
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.013,0.053,0.541,0.703,0.107,0.027
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.014,0.046,0.187,0.476,0
"P38","En blanco",0,0.021,0.009,0,0.054,0.229
"P38","No sabe",0,0.039,0,0,0,0.288
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.603,0.31,0.005,0.007,0,0.031
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.32,0.604,0.069,0.05,0.07,0.051
"P40","Julio Zamora a intendente por un partido vecinal",0.065,0.047,0.377,0.097,0.277,0.17
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.019,0.504,0.714,0.043,0.02
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.01,0,0.023,0.123,0.395,0
"P40","En blanco",0,0.004,0.02,0.009,0.172,0.356
"P40","No sabe",0,0.016,0.002,0,0.043,0.372
"P41","Muy buena",0.467,0.092,0.022,0.007,0,0.027
"P41","Buena",0.292,0.119,0.026,0.034,0.053,0.087
"P41","Ni buena ni mala",0.184,0.109,0.183,0.211,0.133,0.363
"P41","Mala",0.042,0.16,0.189,0.387,0.168,0.139
"P41","Muy mala",0.013,0.509,0.571,0.361,0.592,0.287
"P41","No sabe",0.002,0.011,0.009,0,0.054,0.097
"P42","Muy buena",0.339,0.057,0.123,0.058,0.127,0.211
"P42","Buena",0.331,0.128,0.09,0.079,0.085,0.089
"P42","Ni buena ni mala",0.208,0.272,0.137,0.098,0.125,0.392
"P42","Mala",0.068,0.222,0.162,0.269,0.05,0.051
"P42","Muy mala",0.029,0.293,0.476,0.47,0.564,0.233
"P42","No sabe",0.025,0.028,0.012,0.026,0.049,0.024
"P43","Muy buena",0.118,0.248,0.105,0.066,0.056,0.107
"P43","Buena",0.093,0.382,0.173,0.094,0.041,0.146
"P43","Ni buena ni mala",0.233,0.216,0.324,0.351,0.237,0.298
"P43","Mala",0.23,0.013,0.084,0.125,0.157,0.092
"P43","Muy mala",0.27,0.099,0.278,0.343,0.467,0.242
"P43","No sabe",0.056,0.042,0.036,0.021,0.042,0.115
"P44","Muy buena",0.082,0.231,0.064,0.057,0.017,0.016
"P44","Buena",0.07,0.36,0.178,0.108,0.039,0.043
"P44","Ni buena ni mala",0.252,0.258,0.398,0.359,0.237,0.527
"P44","Mala",0.229,0.032,0.097,0.098,0.032,0.081
"P44","Muy mala",0.25,0.045,0.195,0.303,0.574,0.166
"P44","No sabe",0.117,0.074,0.068,0.075,0.101,0.167
"P45","Muy buena",0.261,0.074,0.11,0.02,0.135,0.166
"P45","Buena",0.369,0.162,0.155,0.108,0.074,0.272
"P45","Ni buena ni mala",0.202,0.328,0.226,0.366,0.204,0.149
"P45","Mala",0.059,0.209,0.189,0.114,0.128,0.278
"P45","Muy mala",0.053,0.213,0.304,0.378,0.439,0.032
"P45","No sabe",0.056,0.014,0.016,0.014,0.02,0.103
"P46","Que continúe el intendente Julio Zamora",0.217,0.094,0.134,0.052,0.148,0.19
"P46","Que continúe Julio Zamora pero con mejoras",0.403,0.09,0.15,0.133,0.171,0.271
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.192,0.175,0.151,0.194,0.131,0.25
"P46","Que cambie el intendente Julio Zamora",0.188,0.641,0.565,0.621,0.55,0.289
"P47","Es kirchnerista",0.138,0.227,0.236,0.214,0.147,0.096
"P47","Forma parte del Frente de Todos",0.399,0.249,0.224,0.263,0.228,0.24
"P47","Es un hombre de Massa",0.146,0.144,0.126,0.246,0.118,0.164
"P47","Es un peronista independiente de centro",0.116,0.115,0.155,0.156,0.227,0.151
"P47","Es un oportunista y está donde le conviene",0.105,0.188,0.225,0.058,0.193,0.186
"P47","No sabe",0.096,0.077,0.034,0.063,0.087,0.163
"P48","El tránsito",0.319,0.281,0.25,0.248,0.162,0.225
"P48","El arreglo de las calles",0.149,0.079,0.087,0.017,0.088,0.054
"P48","Los parques y espacios públicos",0.102,0.052,0.087,0.128,0.171,0.034
"P48","El sistema de salud",0.048,0.034,0.078,0.077,0.04,0.031
"P48","La limpieza de las calles",0.134,0.125,0.085,0.083,0.038,0.167
"P48","El deporte y la cultura",0.078,0.112,0.118,0.035,0.106,0.169
"P48","La obra pública",0.013,0.026,0.051,0.031,0.03,0.047
"P48","La luminaria",0.054,0.081,0.048,0,0.113,0.016
"P48","No sabe",0.103,0.21,0.196,0.381,0.252,0.257
"P49","El tránsito",0.17,0.263,0.228,0.339,0.182,0.214
"P49","El arreglo de las calles",0.15,0.092,0.095,0.108,0.059,0.037
"P49","Los parques y espacios públicos",0.187,0.144,0.21,0.047,0.109,0.033
"P49","El sistema de salud",0.102,0.072,0.105,0.052,0.055,0.163
"P49","La limpieza de las calles",0.183,0.15,0.143,0.247,0.356,0.232
"P49","El deporte y la cultura",0.031,0.047,0.046,0.025,0.143,0.019
"P49","La obra pública",0.027,0.05,0.036,0,0,0.038
"P49","La luminaria",0.042,0.009,0.017,0,0,0.004
"P49","No sabe",0.108,0.173,0.12,0.182,0.096,0.26
"P50","Agua corriente y cloacas",0.326,0.552,0.384,0.391,0.426,0.306
"P50","Energía eléctrica",0.164,0.152,0.105,0.137,0.212,0.054
"P50","Red de gas natural",0.105,0.057,0.16,0.248,0.037,0.046
"P50","Recolección de residuos",0.168,0.105,0.221,0.03,0.041,0.053
"P50","Ninguno",0.237,0.134,0.13,0.194,0.284,0.541
"P51","Los robos",0.333,0.375,0.238,0.429,0.365,0.175
"P51","El narcotráfico",0.268,0.296,0.314,0.207,0.223,0.23
"P51","La ausencia de patrulleros y personal policial",0.137,0.09,0.179,0.07,0.077,0.196
"P51","Otro",0.157,0.145,0.17,0.108,0.155,0.134
"P51","Ninguno",0.105,0.094,0.099,0.186,0.18,0.265
"P52","Muy buena",0.209,0.097,0.005,0.011,0.072,0.004
"P52","Buena",0.266,0.065,0.08,0.12,0.038,0.218
"P52","Ni buena ni mala",0.281,0.057,0.059,0.048,0.078,0.154
"P52","Mala",0.15,0.067,0.094,0.092,0.128,0.173
"P52","Muy mala",0.068,0.713,0.762,0.729,0.613,0.447
"P52","No sabe",0.026,0.001,0,0,0.071,0.004
"P53","Muy buena",0.104,0.36,0.21,0.116,0.038,0.09
"P53","Buena",0.079,0.315,0.164,0.21,0.144,0.107
"P53","Ni buena ni mala",0.077,0.127,0.15,0.144,0.14,0.172
"P53","Mala",0.142,0.062,0.229,0.134,0.076,0.243
"P53","Muy mala",0.586,0.13,0.241,0.396,0.516,0.382
"P53","No sabe",0.012,0.006,0.006,0,0.086,0.006
"P54","Muy buena",0.735,0.054,0.075,0.129,0.079,0.146
"P54","Buena",0.066,0.053,0.068,0.048,0.134,0.171
"P54","Ni buena ni mala",0.078,0.024,0.026,0.121,0.089,0.128
"P54","Mala",0.028,0.102,0.069,0.015,0.014,0.031
"P54","Muy mala",0.093,0.759,0.762,0.687,0.684,0.472
"P54","No sabe",0,0.008,0,0,0,0.052
"P55","Muy buena",0.174,0.128,0.03,0.01,0,0.165
"P55","Buena",0.059,0.347,0.167,0.093,0.099,0.199
"P55","Ni buena ni mala",0.11,0.203,0.184,0.273,0.375,0.302
"P55","Mala",0.188,0.158,0.148,0.112,0.133,0.11
"P55","Muy mala",0.463,0.163,0.471,0.512,0.393,0.183
"P55","No sabe",0.006,0.001,0,0,0,0.041
"P56","Muy buena",0.321,0.049,0,0,0.027,0.102
"P56","Buena",0.283,0.067,0.043,0.01,0.015,0.045
"P56","Ni buena ni mala",0.23,0.064,0.08,0.287,0.164,0.208
"P56","Mala",0.04,0.166,0.073,0.051,0.153,0.134
"P56","Muy mala",0.126,0.651,0.798,0.646,0.641,0.472
"P56","No sabe",0,0.003,0.006,0.006,0,0.039
"P57","Muy buena",0.554,0.039,0.009,0.048,0.117,0.058
"P57","Buena",0.278,0.029,0.033,0.052,0.009,0.085
"P57","Ni buena ni mala",0.093,0.148,0.15,0.035,0.16,0.253
"P57","Mala",0.012,0.193,0.145,0.17,0.069,0.131
"P57","Muy mala",0.025,0.576,0.643,0.668,0.44,0.264
"P57","No sabe",0.038,0.015,0.02,0.027,0.205,0.209
"P58","Muy buena",0.114,0.48,0.237,0.205,0.037,0.161
"P58","Buena",0.052,0.272,0.222,0.189,0.165,0.196
