"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.077,0.521,0.132,0.068,0.145,0.17
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.033,0.301,0.099,0.086,0.044,0.042
"P19","Julio Zamora a intendente por un partido vecinal",0.065,0.069,0.225,0.35,0.224,0.311
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.025,0.049,0.421,0.238,0.476,0.045
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0.003,0.002,0.071,0.014,0.097
"P19","En blanco",0.029,0.015,0,0.013,0.036,0.059
"P19","No sabe",0.037,0.023,0,0,0.011,0.195
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.767,0.032,0.101,0.136,0.05,0.096
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.064,0.707,0.119,0.1,0.109,0.074
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.056,0.113,0.654,0.305,0.371,0.07
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.031,0.018,0.055,0.354,0.093,0.091
"P20","En blanco",0.025,0.037,0.061,0.012,0.348,0.126
"P20","No sabe",0.057,0.093,0.01,0.093,0.029,0.543
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.739,0.018,0.093,0.029,0.099,0.091
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.062,0.71,0.112,0.108,0.081,0.084
"P21","Julio Zamora a intendente por un partido vecinal",0.098,0.064,0.153,0.447,0.201,0.196
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.038,0.077,0.603,0.228,0.419,0.124
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.035,0.027,0.168,0.113,0.053
"P21","En blanco",0.01,0.032,0.007,0,0.072,0.242
"P21","No sabe",0.031,0.064,0.005,0.02,0.015,0.21
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.791,0.026,0.086,0.144,0.081,0.149
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.062,0.786,0.195,0.113,0.096,0.211
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.03,0.057,0.641,0.396,0.324,0.087
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.047,0.024,0.04,0.232,0.256,0.014
"P22","En blanco",0.013,0.016,0.026,0.033,0.217,0.05
"P22","No sabe",0.057,0.091,0.012,0.082,0.026,0.489
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.753,0.018,0.128,0.193,0.081,0.091
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.055,0.782,0.178,0.181,0.167,0.168
"P23","Julio Zamora a intendente por un partido vecinal",0.081,0.066,0.196,0.364,0.168,0.208
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.03,0.032,0.432,0.069,0.396,0.068
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.005,0.025,0.159,0.075,0.02
"P23","En blanco",0.027,0.036,0.037,0,0.056,0.242
"P23","No sabe",0.032,0.061,0.004,0.034,0.057,0.203
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.757,0.031,0.108,0.213,0.031,0.148
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.079,0.098,0.082,0.136,0.137,0.183
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.047,0.571,0.169,0.056,0.17,0.197
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.05,0.223,0.11,0.217,0.157,0.107
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.029,0.024,0.516,0.209,0.407,0.085
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.019,0.014,0.003,0.135,0.004,0.076
"P24","En blanco",0,0.024,0.003,0,0.04,0.044
"P24","No sabe",0.019,0.015,0.009,0.034,0.054,0.16
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.777,0.013,0.107,0.1,0.093,0.13
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.051,0.558,0.13,0.039,0.124,0.148
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.041,0.3,0.133,0.143,0.103,0.065
"P25","Julio Zamora a intendente por un partido vecinal",0.077,0.044,0.054,0.349,0.132,0.263
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.026,0.032,0.565,0.175,0.495,0.066
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.013,0.001,0.002,0.168,0,0.099
"P25","En blanco",0,0.027,0,0,0.036,0.043
"P25","No sabe",0.015,0.025,0.009,0.026,0.017,0.186
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.815,0.047,0.121,0.248,0.085,0.122
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.053,0.738,0.073,0.103,0.103,0.067
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.047,0.105,0.676,0.121,0.259,0.1
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.034,0.037,0.039,0.292,0.074,0.021
"P26","En blanco",0.022,0.02,0.056,0.121,0.455,0.084
"P26","No sabe",0.029,0.053,0.035,0.115,0.024,0.606
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.777,0.019,0.072,0.121,0.059,0.156
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.051,0.745,0.113,0.122,0.089,0.053
"P27","Julio Zamora a intendente por un partido vecinal",0.082,0.101,0.227,0.331,0.219,0.156
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.036,0.056,0.533,0.181,0.384,0.079
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.013,0.018,0.035,0.156,0.112,0.078
"P27","En blanco",0.015,0.024,0.018,0.025,0.083,0.285
"P27","No sabe",0.026,0.037,0.002,0.064,0.054,0.193
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.864,0.039,0.093,0.23,0.046,0.179
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.059,0.801,0.215,0.134,0.091,0.164
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.058,0.612,0.157,0.36,0.068
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.024,0.037,0.265,0.182,0
"P28","En blanco",0.011,0.023,0.032,0.082,0.272,0.11
"P28","No sabe",0.031,0.055,0.011,0.132,0.049,0.479
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.808,0.045,0.072,0.147,0.049,0.14
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.078,0.765,0.213,0.034,0.167,0.166
"P29","Julio Zamora a intendente por un partido vecinal",0.063,0.097,0.18,0.424,0.261,0.27
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.02,0.038,0.494,0.162,0.281,0.053
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0.01,0.018,0.175,0.162,0.049
"P29","En blanco",0.013,0.025,0.009,0.033,0.04,0.144
"P29","No sabe",0.011,0.02,0.014,0.025,0.04,0.178
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.806,0.008,0.116,0.029,0,0.084
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.035,0.46,0.085,0,0.08,0.129
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.057,0.454,0.161,0,0.094,0.045
"P30","Julio Zamora a intendente por un partido vecinal",0.081,0.064,0.071,0.654,0.163,0.287
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.008,0.563,0.149,0.587,0.055
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0,0,0.168,0,0.048
"P30","En blanco",0.005,0.004,0,0,0.076,0.081
"P30","No sabe",0.014,0.002,0.004,0,0,0.271
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.835,0.019,0.057,0.025,0.038,0.065
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.031,0.865,0.12,0,0.013,0.032
"P32","Julio Zamora a intendente por un partido vecinal",0.103,0.056,0.315,0.434,0.178,0.282
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.017,0.019,0.496,0.355,0.301,0.066
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.006,0.009,0.168,0.379,0.004
"P32","En blanco",0.004,0.013,0.001,0.018,0.084,0.27
"P32","No sabe",0.008,0.022,0.002,0,0.007,0.281
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.879,0.049,0.081,0.064,0,0.103
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.025,0.748,0.159,0.17,0.137,0.132
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.03,0.035,0.65,0.228,0.275,0.104
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.033,0.019,0.077,0.392,0.053,0.019
"P33","En blanco",0.004,0.054,0.011,0.014,0.394,0.028
"P33","No sabe",0.029,0.095,0.022,0.132,0.141,0.614
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.838,0.02,0.12,0,0.062,0.074
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.03,0.751,0.14,0.133,0.072,0.11
"P34","Julio Zamora a intendente por un partido vecinal",0.092,0.06,0.211,0.314,0.268,0.179
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.017,0.04,0.493,0.266,0.2,0.073
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.011,0.017,0.02,0.207,0.288,0.004
"P34","En blanco",0.01,0.043,0.014,0.08,0.11,0.257
"P34","No sabe",0.002,0.069,0.002,0,0,0.303
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.746,0.03,0.078,0.147,0.008,0.063
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.13,0.107,0.091,0.353,0.121,0.242
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.01,0.436,0.112,0.024,0.063,0.133
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.076,0.367,0.153,0.066,0.116,0.058
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.003,0.02,0.56,0.12,0.582,0.036
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.017,0,0.005,0.219,0.021,0.081
"P35","En blanco",0.009,0.026,0,0,0.074,0.066
"P35","No sabe",0.009,0.014,0.001,0.071,0.015,0.321
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.81,0.016,0.15,0.024,0,0.011
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.007,0.386,0.124,0.039,0.054,0.139
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.082,0.446,0.076,0.263,0.016,0.063
"P36","Julio Zamora a intendente por un partido vecinal",0.078,0.07,0.118,0.449,0.124,0.245
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.007,0.028,0.517,0,0.75,0.065
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.012,0.005,0.001,0.179,0.01,0.079
"P36","En blanco",0,0.027,0.002,0,0.046,0.097
"P36","No sabe",0.004,0.022,0.012,0.046,0,0.301
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.89,0.041,0.046,0.168,0,0.063
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.032,0.799,0.107,0.146,0.02,0.011
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.023,0.079,0.675,0.168,0.258,0.123
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.016,0.029,0.06,0.394,0.039,0.004
"P37","En blanco",0.02,0.019,0.078,0.081,0.613,0.049
"P37","No sabe",0.019,0.033,0.034,0.043,0.07,0.75
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.863,0.016,0.089,0.042,0.055,0.05
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.049,0.836,0.145,0.209,0.01,0
"P38","Julio Zamora a intendente por un partido vecinal",0.049,0.076,0.212,0.391,0.233,0.22
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.02,0.027,0.536,0.047,0.206,0.068
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.016,0.001,0.013,0.216,0.391,0.041
"P38","En blanco",0.003,0.011,0.005,0,0.105,0.295
"P38","No sabe",0,0.033,0,0.095,0,0.326
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.867,0.01,0.088,0.186,0.057,0.059
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.064,0.805,0.2,0.147,0.077,0.161
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.028,0.034,0.561,0.198,0.371,0.131
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.007,0.026,0.115,0.248,0.052,0.006
"P39","En blanco",0.021,0.039,0.014,0.057,0.394,0.031
"P39","No sabe",0.013,0.086,0.022,0.164,0.049,0.612
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.617,0.268,0.055,0.027,0.073,0.038
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.286,0.539,0.212,0.043,0.122,0.162
"P40","Julio Zamora a intendente por un partido vecinal",0.087,0.059,0.206,0.451,0.385,0.106
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.006,0.05,0.459,0.129,0.13,0.08
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.004,0.003,0.043,0.155,0.234,0.007
"P40","En blanco",0,0.033,0.004,0.098,0.056,0.369
"P40","No sabe",0,0.048,0.021,0.097,0,0.238
"P41","Muy buena",0.464,0.092,0.033,0.028,0.004,0.024
"P41","Buena",0.239,0.096,0.106,0.055,0.055,0.16
"P41","Ni buena ni mala",0.168,0.148,0.151,0.516,0.155,0.244
"P41","Mala",0.065,0.165,0.215,0.059,0.164,0.126
"P41","Muy mala",0.054,0.485,0.489,0.306,0.583,0.387
"P41","No sabe",0.01,0.014,0.006,0.036,0.039,0.059
"P42","Muy buena",0.313,0.068,0.091,0.392,0.11,0.205
"P42","Buena",0.292,0.134,0.107,0.185,0.118,0.092
"P42","Ni buena ni mala",0.229,0.307,0.133,0.056,0.155,0.269
"P42","Mala",0.071,0.213,0.207,0,0.112,0.058
"P42","Muy mala",0.057,0.25,0.462,0.331,0.485,0.337
"P42","No sabe",0.038,0.028,0,0.036,0.02,0.039
"P43","Muy buena",0.118,0.266,0.119,0.209,0.037,0.041
"P43","Buena",0.117,0.378,0.182,0.12,0.095,0.096
"P43","Ni buena ni mala",0.23,0.223,0.343,0.097,0.22,0.331
"P43","Mala",0.202,0.017,0.109,0.048,0.195,0.045
"P43","Muy mala",0.273,0.067,0.23,0.393,0.425,0.38
"P43","No sabe",0.06,0.049,0.017,0.133,0.028,0.107
"P44","Muy buena",0.084,0.196,0.11,0.083,0.029,0.05
"P44","Buena",0.077,0.302,0.236,0.033,0.1,0.108
"P44","Ni buena ni mala",0.261,0.281,0.425,0.25,0.241,0.364
"P44","Mala",0.231,0.032,0.082,0.017,0.099,0.065
"P44","Muy mala",0.253,0.072,0.105,0.478,0.406,0.277
"P44","No sabe",0.094,0.117,0.042,0.139,0.125,0.136
"P45","Muy buena",0.268,0.073,0.061,0.19,0.163,0.141
"P45","Buena",0.314,0.172,0.198,0.377,0.041,0.236
"P45","Ni buena ni mala",0.218,0.36,0.238,0.061,0.227,0.125
"P45","Mala",0.082,0.198,0.19,0,0.161,0.269
"P45","Muy mala",0.069,0.18,0.298,0.372,0.36,0.12
"P45","No sabe",0.049,0.017,0.015,0,0.048,0.109
"P46","Que continúe el intendente Julio Zamora",0.237,0.082,0.07,0.264,0.167,0.205
"P46","Que continúe Julio Zamora pero con mejoras",0.344,0.128,0.169,0.361,0.108,0.217
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.174,0.231,0.151,0.096,0.106,0.218
"P46","Que cambie el intendente Julio Zamora",0.245,0.559,0.61,0.279,0.619,0.36
"P47","Es kirchnerista",0.153,0.201,0.218,0.304,0.197,0.11
"P47","Forma parte del Frente de Todos",0.365,0.279,0.253,0.509,0.14,0.159
"P47","Es un hombre de Massa",0.148,0.153,0.184,0.06,0.075,0.107
"P47","Es un peronista independiente de centro",0.121,0.122,0.134,0.027,0.259,0.158
"P47","Es un oportunista y está donde le conviene",0.11,0.165,0.155,0.1,0.273,0.325
"P47","No sabe",0.103,0.08,0.056,0,0.056,0.141
"P48","El tránsito",0.337,0.244,0.268,0.197,0.315,0.137
"P48","El arreglo de las calles",0.131,0.07,0.075,0.059,0.051,0.18
"P48","Los parques y espacios públicos",0.095,0.062,0.1,0.075,0.089,0.046
"P48","El sistema de salud",0.059,0.04,0.065,0.131,0.014,0
"P48","La limpieza de las calles",0.139,0.108,0.047,0.039,0.192,0.24
"P48","El deporte y la cultura",0.049,0.135,0.113,0.24,0.085,0.13
"P48","La obra pública",0.024,0.03,0.004,0.187,0.018,0.075
"P48","La luminaria",0.053,0.089,0.05,0.015,0.073,0
"P48","No sabe",0.113,0.222,0.278,0.057,0.163,0.192
"P49","El tránsito",0.216,0.26,0.261,0.188,0.107,0.144
"P49","El arreglo de las calles",0.12,0.116,0.101,0.032,0.066,0.07
"P49","Los parques y espacios públicos",0.206,0.123,0.145,0.117,0.138,0.118
"P49","El sistema de salud",0.079,0.087,0.108,0.217,0.055,0.109
"P49","La limpieza de las calles",0.177,0.172,0.188,0.109,0.226,0.204
"P49","El deporte y la cultura",0.021,0.046,0.033,0.031,0.184,0.022
"P49","La obra pública",0.03,0.04,0.018,0.237,0.026,0
"P49","La luminaria",0.041,0.009,0.012,0.01,0.007,0.004
"P49","No sabe",0.11,0.147,0.134,0.059,0.191,0.329
"P50","Agua corriente y cloacas",0.341,0.508,0.431,0.395,0.42,0.321
"P50","Energía eléctrica",0.168,0.135,0.128,0.096,0.106,0.138
"P50","Red de gas natural",0.132,0.069,0.107,0.174,0.12,0.014
"P50","Recolección de residuos",0.135,0.106,0.161,0.178,0.202,0.075
"P50","Ninguno",0.224,0.182,0.173,0.157,0.152,0.452
"P51","Los robos",0.368,0.326,0.335,0.264,0.236,0.171
"P51","El narcotráfico",0.248,0.304,0.311,0.17,0.27,0.238
"P51","La ausencia de patrulleros y personal policial",0.154,0.083,0.148,0.199,0.102,0.144
"P51","Otro",0.121,0.161,0.118,0.268,0.262,0.18
"P51","Ninguno",0.109,0.126,0.088,0.099,0.13,0.267
"P52","Muy buena",0.216,0.055,0.019,0.055,0.076,0.063
"P52","Buena",0.282,0.056,0.065,0.204,0.028,0.235
"P52","Ni buena ni mala",0.23,0.05,0.09,0.42,0.056,0.133
"P52","Mala",0.165,0.097,0.068,0.102,0.065,0.134
"P52","Muy mala",0.096,0.734,0.744,0.208,0.775,0.398
"P52","No sabe",0.011,0.008,0.014,0.011,0,0.037
"P53","Muy buena",0.138,0.323,0.238,0.07,0.065,0.073
"P53","Buena",0.089,0.286,0.229,0.092,0.076,0.159
"P53","Ni buena ni mala",0.066,0.168,0.112,0.237,0.1,0.186
"P53","Mala",0.171,0.084,0.156,0.065,0.137,0.204
"P53","Muy mala",0.536,0.133,0.249,0.496,0.559,0.378
"P53","No sabe",0,0.006,0.016,0.04,0.063,0
"P54","Muy buena",0.673,0.067,0.101,0.405,0.073,0.118
"P54","Buena",0.065,0.071,0.031,0.046,0.127,0.219
"P54","Ni buena ni mala",0.078,0.05,0.029,0.165,0.047,0.066
"P54","Mala",0.046,0.1,0.06,0,0.025,0.004
"P54","Muy mala",0.133,0.71,0.777,0.384,0.728,0.534
"P54","No sabe",0.005,0.002,0.002,0,0,0.059
"P55","Muy buena",0.159,0.137,0.039,0.162,0.084,0.064
"P55","Buena",0.07,0.364,0.136,0.199,0.159,0.178
"P55","Ni buena ni mala",0.127,0.263,0.172,0.219,0.217,0.243
"P55","Mala",0.201,0.102,0.192,0.064,0.154,0.111
"P55","Muy mala",0.437,0.133,0.461,0.356,0.386,0.357
"P55","No sabe",0.006,0.001,0,0,0,0.047
"P56","Muy buena",0.302,0.064,0.014,0.08,0,0.069
"P56","Buena",0.249,0.073,0.039,0.214,0.065,0.027
"P56","Ni buena ni mala",0.239,0.064,0.106,0.183,0.139,0.19
"P56","Mala",0.051,0.164,0.092,0.235,0.107,0.029
"P56","Muy mala",0.159,0.633,0.74,0.288,0.689,0.641
"P56","No sabe",0,0.002,0.009,0,0,0.044
"P57","Muy buena",0.53,0.048,0.019,0.231,0.032,0.059
"P57","Buena",0.243,0.046,0.058,0.143,0.015,0.031
"P57","Ni buena ni mala",0.095,0.18,0.121,0.182,0.134,0.172
"P57","Mala",0.043,0.165,0.147,0.155,0.136,0.099
"P57","Muy mala",0.07,0.511,0.644,0.271,0.584,0.369
"P57","No sabe",0.019,0.05,0.011,0.018,0.099,0.27
