"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P16","A Julio Zamora por un partido vecinal",0.138,0.06,0.333,0.029,0.048,0.05,0.168
"P16","Al candidato de los liberales libertarios",0.018,0.067,0.247,0.634,0.405,0.2,0.101
"P16","A Paula Akerfeld por el Frente de Izquierda",0.037,0,0.005,0.004,0.094,0.207,0.112
"P16","No sabe",0.052,0.044,0.005,0.021,0.157,0.052,0.168
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.691,0.075,0.168,0,0.008,0.266,0.167
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.13,0.012,0.313,0.038,0.035,0.027,0.02
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.034,0.644,0.141,0.09,0.021,0.078,0.051
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.019,0.183,0.064,0.013,0.112,0.253,0.287
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.021,0.038,0.262,0.849,0.407,0.006,0.045
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.024,0.018,0.011,0.006,0.305,0.017,0
"P18","En blanco",0.012,0.008,0.004,0.003,0.045,0.163,0.067
"P18","No sabe",0.069,0.022,0.037,0.001,0.067,0.19,0.363
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.744,0.069,0.103,0.023,0.008,0.12,0.147
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.046,0.598,0.097,0.052,0.058,0.078,0.036
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.025,0.239,0.093,0.028,0.088,0.174,0.242
"P19","Julio Zamora a intendente por un partido vecinal",0.079,0.037,0.467,0.224,0.079,0.148,0.14
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.02,0.03,0.209,0.665,0.484,0.017,0.072
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.027,0,0.002,0.004,0.209,0.108,0.052
"P19","En blanco",0.023,0.009,0.023,0.003,0.055,0.165,0.035
"P19","No sabe",0.036,0.018,0.006,0.001,0.019,0.19,0.276
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.726,0.074,0.201,0.007,0.008,0.12,0.151
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.053,0.6,0.13,0.037,0.055,0.296,0.266
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.056,0.154,0.267,0.812,0.281,0.046,0.081
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.057,0.019,0.079,0.051,0.359,0.018,0.101
"P20","En blanco",0.053,0.05,0.152,0.083,0.278,0.136,0
"P20","No sabe",0.055,0.103,0.171,0.01,0.019,0.384,0.401
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.79,0.039,0.091,0.009,0.264,0.115,0.061
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.028,0.605,0.114,0.038,0.089,0.4,0.319
"P21","Julio Zamora a intendente por un partido vecinal",0.056,0.087,0.424,0.133,0.035,0.08,0.064
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.052,0.113,0.225,0.781,0.278,0.052,0.144
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.029,0.03,0.041,0.029,0.276,0.061,0.014
"P21","En blanco",0.017,0.048,0.065,0.009,0.033,0.275,0.093
"P21","No sabe",0.028,0.078,0.04,0.001,0.025,0.017,0.305
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.818,0.038,0.165,0.001,0.264,0.096,0.234
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.026,0.812,0.124,0.074,0.096,0.136,0.121
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.019,0.066,0.402,0.787,0.136,0.071,0.125
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.033,0.037,0.101,0.099,0.159,0.025,0
"P22","En blanco",0.037,0.006,0.034,0.031,0.196,0.16,0.008
"P22","No sabe",0.067,0.041,0.174,0.008,0.149,0.512,0.512
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.787,0.091,0.089,0.001,0.277,0.115,0.115
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.027,0.829,0.093,0.066,0.014,0.125,0.18
"P23","Julio Zamora a intendente por un partido vecinal",0.037,0.029,0.555,0.161,0.086,0.085,0.063
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.019,0.014,0.142,0.705,0.249,0.034,0.072
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.023,0,0.014,0.027,0.273,0.007,0
"P23","En blanco",0.054,0.014,0.049,0.027,0.076,0.528,0.12
"P23","No sabe",0.053,0.023,0.058,0.013,0.025,0.106,0.45
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.764,0.06,0.175,0.027,0.158,0.076,0.055
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.056,0.093,0.27,0.024,0.067,0.015,0.016
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.012,0.646,0.183,0.087,0.074,0.091,0.143
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.083,0.174,0.111,0.087,0.124,0.163,0.347
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.015,0.011,0.227,0.755,0.424,0.024,0.037
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.035,0.002,0.006,0.007,0.113,0.229,0.029
"P24","En blanco",0,0,0,0.012,0.032,0.219,0.08
"P24","No sabe",0.035,0.014,0.028,0.001,0.008,0.183,0.293
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.807,0.059,0.109,0.007,0.128,0.069,0.04
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.032,0.631,0.072,0.049,0.035,0.078,0.023
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.063,0.255,0.1,0.044,0.103,0.217,0.343
"P25","Julio Zamora a intendente por un partido vecinal",0.039,0.016,0.453,0.055,0.035,0.05,0.032
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.015,0.253,0.819,0.473,0.017,0.072
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.026,0.001,0,0.01,0.172,0.212,0.018
"P25","En blanco",0,0.003,0,0.011,0.046,0.197,0.07
"P25","No sabe",0.017,0.02,0.013,0.005,0.008,0.16,0.402
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.884,0.058,0.168,0.021,0.255,0.035,0.104
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.011,0.618,0.1,0.02,0.068,0.246,0.373
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.049,0.158,0.319,0.684,0.147,0.151,0.082
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.038,0.103,0.081,0.178,0,0
"P26","En blanco",0.018,0.034,0.112,0.17,0.309,0.155,0.008
"P26","No sabe",0.034,0.094,0.198,0.024,0.043,0.413,0.433
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.845,0.024,0.063,0.004,0.128,0.01,0.054
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.044,0.642,0.068,0.024,0.103,0.305,0.3
"P27","Julio Zamora a intendente por un partido vecinal",0.043,0.097,0.577,0.108,0.074,0.079,0.041
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.013,0.089,0.192,0.808,0.118,0,0.08
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0.021,0.031,0.056,0.521,0.007,0.037
"P27","En blanco",0.035,0.063,0.046,0,0.048,0.449,0.168
"P27","No sabe",0.01,0.064,0.023,0,0.008,0.15,0.32
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.925,0.039,0.163,0.008,0.225,0.01,0.075
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.01,0.852,0.112,0.071,0.021,0.098,0.159
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.011,0.04,0.493,0.688,0.048,0.017,0.045
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.034,0.02,0.163,0.111,0,0.072
"P28","En blanco",0.022,0.009,0.05,0.059,0.509,0.292,0.062
"P28","No sabe",0.028,0.026,0.162,0.011,0.086,0.583,0.587
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.829,0.052,0.068,0,0.031,0.102,0.058
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.048,0.441,0.087,0.037,0.084,0.102,0
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.043,0.396,0.102,0.09,0.068,0.261,0.336
"P30","Julio Zamora a intendente por un partido vecinal",0.058,0.055,0.493,0.048,0.069,0.081,0.062
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.011,0.028,0.239,0.8,0.331,0.044,0.122
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0.001,0.003,0.002,0.157,0.122,0
"P30","En blanco",0.01,0.01,0,0.003,0.099,0.165,0.021
"P30","No sabe",0,0.017,0.008,0.02,0.161,0.123,0.401
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.817,0.071,0.122,0.035,0.06,0.123,0.096
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.044,0.671,0.18,0.063,0.083,0.224,0.166
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.06,0.162,0.289,0.706,0.133,0.071,0.098
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.017,0.003,0.094,0.032,0.179,0.035,0.025
"P31","En blanco",0.014,0.042,0.139,0.133,0.398,0.1,0.096
"P31","No sabe",0.048,0.051,0.176,0.031,0.147,0.447,0.519
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.809,0.068,0.04,0,0.069,0.099,0.148
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.038,0.687,0.113,0.082,0.08,0.28,0.231
"P32","Julio Zamora a intendente por un partido vecinal",0.105,0.091,0.567,0.166,0.016,0.061,0.059
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.02,0.066,0.209,0.637,0.058,0.063,0.134
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.004,0.009,0.02,0.098,0.517,0.061,0
"P32","En blanco",0.017,0.036,0.014,0.011,0.26,0.268,0.097
"P32","No sabe",0.007,0.043,0.037,0.006,0,0.168,0.331
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.878,0.044,0.184,0,0.121,0.092,0.09
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.04,0.748,0.114,0.04,0.089,0.096,0.13
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.024,0.079,0.374,0.693,0.09,0.058,0.155
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.031,0.02,0.059,0.129,0.156,0,0.02
"P33","En blanco",0.003,0.029,0.11,0.084,0.258,0.159,0.014
"P33","No sabe",0.024,0.08,0.159,0.054,0.286,0.595,0.591
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.864,0.083,0.049,0.001,0.104,0.114,0.105
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.04,0.727,0.068,0.048,0.034,0.096,0.131
"P34","Julio Zamora a intendente por un partido vecinal",0.047,0.056,0.585,0.103,0.077,0.036,0.028
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.017,0.035,0.138,0.734,0.083,0.025,0.099
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.014,0.032,0.017,0.078,0.419,0.042,0
"P34","En blanco",0.018,0.031,0.056,0.035,0.283,0.259,0.255
"P34","No sabe",0,0.036,0.087,0.001,0,0.428,0.382
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.709,0.082,0.112,0.018,0.077,0.105,0.051
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.09,0.123,0.345,0.07,0.02,0.052,0.026
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.043,0.421,0.045,0.059,0.061,0.056,0.04
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.113,0.292,0.12,0.103,0.083,0.173,0.254
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.042,0.29,0.738,0.384,0.051,0.114
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.012,0.01,0,0.005,0.297,0.092,0.022
"P35","En blanco",0.008,0.002,0.056,0.007,0.06,0.289,0
"P35","No sabe",0.025,0.028,0.032,0,0.018,0.182,0.493
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.818,0.117,0.054,0,0.072,0.064,0.039
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.034,0.379,0.054,0.073,0.123,0.048,0
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.07,0.367,0.069,0.072,0.077,0.298,0.294
"P36","Julio Zamora a intendente por un partido vecinal",0.038,0.058,0.478,0.051,0,0.057,0.035
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.023,0.035,0.245,0.776,0.415,0.025,0.15
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.013,0.005,0.002,0.004,0.283,0.019,0.013
"P36","En blanco",0,0.005,0.044,0.004,0.03,0.299,0.088
"P36","No sabe",0.004,0.034,0.054,0.02,0,0.19,0.381
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.84,0.07,0.145,0.003,0.127,0.147,0.088
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.025,0.672,0.145,0.095,0.034,0.083,0.173
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.069,0.131,0.36,0.626,0.186,0.134,0
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.01,0,0.104,0.085,0.143,0,0.156
"P37","En blanco",0.027,0.051,0.109,0.147,0.402,0.135,0.108
"P37","No sabe",0.029,0.076,0.137,0.044,0.108,0.501,0.475
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.87,0.055,0.058,0.008,0.124,0.106,0.061
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.058,0.703,0.088,0.143,0.051,0.133,0.242
"P38","Julio Zamora a intendente por un partido vecinal",0.04,0.061,0.582,0.106,0,0.134,0.034
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.006,0.068,0.218,0.645,0.134,0.024,0.123
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.015,0.017,0.029,0.082,0.576,0,0
"P38","En blanco",0.011,0.036,0.005,0.016,0.115,0.412,0.138
"P38","No sabe",0,0.06,0.02,0,0,0.191,0.402
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.876,0.034,0.13,0.003,0.203,0.106,0.029
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.073,0.799,0.174,0.064,0.037,0.051,0.234
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.037,0.05,0.362,0.718,0.012,0,0.073
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.032,0.101,0.094,0.121,0,0.16
"P39","En blanco",0.01,0.024,0.078,0.065,0.477,0.166,0
"P39","No sabe",0.001,0.061,0.155,0.056,0.15,0.677,0.504
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.618,0.278,0.043,0.014,0.066,0.06,0.033
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.329,0.575,0.092,0.068,0.082,0.149,0.119
"P40","Julio Zamora a intendente por un partido vecinal",0.041,0.044,0.554,0.196,0.079,0.034,0.05
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.005,0.036,0.197,0.616,0.039,0,0.183
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.006,0.031,0.063,0.454,0.051,0
"P40","En blanco",0.005,0.023,0.062,0.012,0.217,0.485,0.137
"P40","No sabe",0,0.038,0.021,0.031,0.063,0.221,0.478
"P41","Muy buena",0.474,0.063,0.068,0.005,0.112,0.048,0.068
"P41","Buena",0.265,0.145,0.082,0.02,0.081,0.041,0
"P41","Ni buena ni mala",0.184,0.072,0.349,0.125,0.258,0.338,0.261
"P41","Mala",0.047,0.184,0.177,0.209,0.031,0.088,0.292
"P41","Muy mala",0.026,0.521,0.309,0.631,0.453,0.42,0.24
"P41","No sabe",0.004,0.015,0.015,0.01,0.065,0.065,0.139
"P42","Muy buena",0.305,0.03,0.399,0.039,0.119,0.087,0.033
"P42","Buena",0.322,0.106,0.216,0.065,0,0.09,0.05
"P42","Ni buena ni mala",0.226,0.278,0.148,0.118,0.226,0.262,0.481
"P42","Mala",0.065,0.217,0.098,0.202,0.107,0.113,0.068
"P42","Muy mala",0.045,0.341,0.139,0.569,0.471,0.426,0.342
"P42","No sabe",0.037,0.028,0,0.007,0.077,0.022,0.026
"P43","Muy buena",0.132,0.208,0.106,0.131,0.136,0.06,0.116
"P43","Buena",0.12,0.35,0.186,0.15,0.019,0.092,0.118
"P43","Ni buena ni mala",0.199,0.263,0.288,0.304,0.25,0.361,0.253
"P43","Mala",0.227,0.022,0.121,0.08,0.116,0.114,0.033
"P43","Muy mala",0.263,0.116,0.247,0.311,0.467,0.341,0.136
"P43","No sabe",0.059,0.041,0.052,0.024,0.012,0.032,0.344
"P44","Muy buena",0.084,0.208,0.081,0.045,0.138,0,0.023
"P44","Buena",0.083,0.339,0.147,0.147,0,0.053,0.16
"P44","Ni buena ni mala",0.263,0.276,0.324,0.436,0.189,0.557,0.292
"P44","Mala",0.218,0.038,0.137,0.064,0.026,0.096,0.069
"P44","Muy mala",0.238,0.058,0.21,0.24,0.605,0.202,0.143
"P44","No sabe",0.114,0.081,0.101,0.068,0.042,0.092,0.313
"P45","Muy buena",0.246,0.074,0.289,0.023,0.101,0.011,0
"P45","Buena",0.314,0.157,0.327,0.14,0.037,0.237,0.17
"P45","Ni buena ni mala",0.246,0.305,0.249,0.171,0.186,0.136,0.407
"P45","Mala",0.086,0.214,0.054,0.221,0.035,0.548,0.203
"P45","Muy mala",0.063,0.208,0.064,0.445,0.487,0.052,0.22
"P45","No sabe",0.045,0.042,0.017,0,0.154,0.016,0
"P46","Que continúe el intendente Julio Zamora",0.222,0.066,0.347,0.022,0.163,0.012,0
"P46","Que continúe Julio Zamora pero con mejoras",0.368,0.116,0.233,0.129,0.255,0.097,0.284
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.209,0.18,0.188,0.085,0.093,0.6,0.049
"P46","Que cambie el intendente Julio Zamora",0.201,0.638,0.232,0.764,0.489,0.291,0.667
"P47","Es kirchnerista",0.157,0.177,0.221,0.262,0.234,0.046,0
"P47","Forma parte del Frente de Todos",0.346,0.291,0.299,0.237,0.014,0.145,0.38
"P47","Es un hombre de Massa",0.193,0.099,0.146,0.138,0.111,0.311,0.131
"P47","Es un peronista independiente de centro",0.087,0.141,0.191,0.092,0.369,0.243,0.043
"P47","Es un oportunista y está donde le conviene",0.117,0.207,0.045,0.234,0.179,0.201,0.418
"P47","No sabe",0.1,0.085,0.098,0.037,0.093,0.054,0.028
"P48","El tránsito",0.317,0.264,0.284,0.251,0.212,0.15,0.168
"P48","El arreglo de las calles",0.151,0.078,0.06,0.106,0.024,0,0.077
"P48","Los parques y espacios públicos",0.104,0.051,0.088,0.041,0.3,0.132,0.085
"P48","El sistema de salud",0.066,0.037,0.071,0.019,0.122,0.035,0
"P48","La limpieza de las calles",0.134,0.112,0.08,0.101,0.219,0.11,0.153
"P48","El deporte y la cultura",0.056,0.101,0.191,0.095,0.022,0.294,0.077
"P48","La obra pública",0.029,0.015,0.08,0.027,0,0,0
"P48","La luminaria",0.056,0.087,0.028,0.055,0.04,0.032,0
"P48","No sabe",0.087,0.255,0.118,0.305,0.061,0.247,0.44
"P49","El tránsito",0.21,0.245,0.117,0.266,0.316,0.154,0.524
"P49","El arreglo de las calles",0.116,0.126,0.043,0.118,0.093,0.058,0.028
"P49","Los parques y espacios públicos",0.205,0.145,0.167,0.091,0.115,0.077,0.128
"P49","El sistema de salud",0.058,0.087,0.094,0.125,0.131,0.334,0
"P49","La limpieza de las calles",0.182,0.145,0.182,0.264,0.178,0.09,0.203
"P49","El deporte y la cultura",0.045,0.031,0.082,0.005,0.127,0.056,0.077
"P49","La obra pública",0.039,0.034,0.041,0.035,0,0.012,0
"P49","La luminaria",0.031,0.011,0.035,0.007,0,0,0
"P49","No sabe",0.114,0.176,0.239,0.089,0.04,0.219,0.04
"P50","Agua corriente y cloacas",0.323,0.525,0.438,0.351,0.421,0.361,0.468
"P50","Energía eléctrica",0.208,0.114,0.058,0.153,0.228,0.112,0
"P50","Red de gas natural",0.113,0.073,0.096,0.161,0,0.047,0.093
"P50","Recolección de residuos",0.164,0.096,0.144,0.191,0.039,0.115,0
"P50","Ninguno",0.192,0.192,0.264,0.144,0.312,0.365,0.439
"P51","Los robos",0.327,0.36,0.208,0.316,0.351,0.367,0.368
"P51","El narcotráfico",0.265,0.32,0.227,0.306,0.133,0.333,0.154
"P51","La ausencia de patrulleros y personal policial",0.141,0.098,0.227,0.102,0.035,0.02,0.241
"P51","Otro",0.155,0.143,0.131,0.163,0.268,0.032,0.237
"P51","Ninguno",0.112,0.079,0.207,0.113,0.213,0.248,0
"P52","Muy buena",0.215,0.058,0.048,0.019,0.141,0.065,0
"P52","Buena",0.292,0.043,0.202,0.032,0.022,0.279,0
"P52","Ni buena ni mala",0.238,0.051,0.152,0.083,0.092,0.21,0.073
"P52","Mala",0.163,0.075,0.149,0.067,0.014,0.052,0.239
"P52","Muy mala",0.064,0.773,0.447,0.799,0.63,0.394,0.673
