"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P14","No sabe",0.065,0.072,0.201,0.056,0.263,0.462,0.33
"P16","A Malena Galmarini por el Frente de Todos",0.62,0.074,0.221,0.046,0.237,0.228,0.112
"P16","A Segundo Cernadas por Juntos por el Cambio",0.079,0.629,0.093,0.169,0.044,0.215,0.267
"P16","A Nicolás Massot por Juntos por el Cambio",0.089,0.207,0.072,0.106,0.057,0.06,0.159
"P16","A Julio Zamora por un partido vecinal",0.122,0.018,0.355,0.064,0.022,0.116,0.026
"P16","Al candidato de los liberales libertarios",0.02,0.044,0.223,0.585,0.485,0.216,0.035
"P16","A Paula Akerfeld por el Frente de Izquierda",0.01,0,0.026,0.007,0.074,0.083,0.229
"P16","No sabe",0.06,0.028,0.01,0.023,0.081,0.082,0.172
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.73,0.014,0.291,0.02,0.03,0.088,0.057
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.115,0.041,0.237,0.042,0.035,0.117,0.155
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.04,0.552,0.18,0.145,0.05,0.346,0.311
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.014,0.272,0.043,0.023,0.093,0.064,0.039
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.01,0.087,0.195,0.712,0.638,0.034,0.027
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.003,0.011,0.038,0.131,0.154,0
"P18","En blanco",0.012,0.01,0.014,0.002,0.023,0.099,0
"P18","No sabe",0.073,0.021,0.029,0.018,0,0.098,0.411
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.802,0.026,0.206,0.037,0.03,0.016,0.068
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.068,0.496,0.1,0.139,0.061,0.304,0.247
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.01,0.35,0.06,0.016,0.087,0.052,0.055
"P19","Julio Zamora a intendente por un partido vecinal",0.021,0.066,0.447,0.241,0.043,0.188,0.155
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.023,0.039,0.155,0.565,0.692,0.035,0.016
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.003,0.01,0.002,0.067,0.275,0
"P19","En blanco",0.027,0.017,0.019,0,0.02,0.05,0
"P19","No sabe",0.045,0.003,0.003,0,0,0.08,0.459
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.792,0.036,0.284,0.016,0.03,0.03,0.057
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.054,0.698,0.13,0.051,0.108,0.063,0.133
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.053,0.139,0.242,0.765,0.441,0.116,0.011
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.025,0.028,0.106,0.051,0.15,0.28,0
"P20","En blanco",0.028,0.033,0.086,0.106,0.256,0.185,0.048
"P20","No sabe",0.048,0.066,0.152,0.011,0.015,0.326,0.751
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.8,0.025,0.187,0.011,0.155,0.145,0.057
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.063,0.724,0.083,0.017,0.055,0.166,0.065
"P21","Julio Zamora a intendente por un partido vecinal",0.052,0.035,0.51,0.093,0.146,0.043,0.007
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.022,0.112,0.148,0.838,0.354,0.087,0.027
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.024,0.021,0.022,0.032,0.266,0.083,0.054
"P21","En blanco",0.011,0.033,0.037,0.003,0.024,0.39,0.198
"P21","No sabe",0.028,0.05,0.013,0.006,0,0.086,0.592
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.858,0.023,0.218,0.02,0.139,0.145,0.105
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.04,0.77,0.131,0.128,0.099,0.329,0.324
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.013,0.084,0.395,0.68,0.304,0.037,0.011
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.024,0.025,0.05,0.152,0.338,0,0.023
"P22","En blanco",0.013,0.022,0.073,0.015,0.063,0.187,0.006
"P22","No sabe",0.052,0.076,0.133,0.005,0.057,0.302,0.531
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.822,0.036,0.201,0.051,0.139,0.16,0.057
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.055,0.758,0.102,0.139,0.11,0.273,0.356
"P23","Julio Zamora a intendente por un partido vecinal",0.03,0.071,0.464,0.122,0.066,0.136,0.007
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.018,0.027,0.088,0.661,0.468,0.015,0.027
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.018,0.03,0.015,0.124,0.074,0.007
"P23","En blanco",0.027,0.036,0.052,0.003,0.088,0.278,0.114
"P23","No sabe",0.033,0.054,0.063,0.009,0.005,0.064,0.432
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.772,0.034,0.266,0.048,0.021,0.29,0.057
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.067,0.09,0.198,0.042,0.105,0.078,0.195
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.04,0.573,0.13,0.14,0.05,0.255,0.326
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.073,0.226,0.133,0.104,0.096,0.107,0
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.023,0.034,0.176,0.653,0.607,0.015,0.034
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.013,0.018,0.005,0.107,0.195,0
"P24","En blanco",0,0.015,0.012,0.003,0.014,0.06,0.063
"P24","No sabe",0.02,0.015,0.067,0.005,0,0,0.325
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.851,0.012,0.132,0.084,0.059,0.211,0.057
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.045,0.523,0.106,0.119,0.044,0.216,0.331
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.047,0.353,0.104,0.019,0.101,0.136,0.023
"P25","Julio Zamora a intendente por un partido vecinal",0.013,0.019,0.431,0.047,0.025,0.06,0.157
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.03,0.046,0.177,0.72,0.634,0.015,0.027
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.007,0.018,0.006,0.123,0.185,0
"P25","En blanco",0.002,0.017,0.012,0,0.014,0.103,0
"P25","No sabe",0.012,0.023,0.02,0.005,0,0.074,0.405
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.856,0.068,0.283,0.034,0.139,0.139,0.048
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.046,0.719,0.071,0.01,0.038,0.183,0.176
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.045,0.128,0.266,0.736,0.18,0.15,0.068
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.021,0.097,0.094,0.199,0,0
"P26","En blanco",0.011,0.022,0.117,0.093,0.422,0.2,0.007
"P26","No sabe",0.034,0.042,0.166,0.033,0.022,0.328,0.701
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.831,0.019,0.105,0.033,0.163,0.136,0.148
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.051,0.775,0.07,0.01,0.095,0.161,0.141
"P27","Julio Zamora a intendente por un partido vecinal",0.038,0.064,0.527,0.187,0.049,0.02,0.064
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.073,0.174,0.735,0.403,0.048,0.027
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.027,0.017,0.024,0.252,0.258,0
"P27","En blanco",0.021,0.016,0.073,0.003,0.038,0.312,0.283
"P27","No sabe",0.037,0.026,0.034,0.008,0,0.065,0.337
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.89,0.042,0.231,0.035,0.195,0.126,0.253
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.054,0.802,0.144,0.111,0.061,0.264,0.258
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.005,0.073,0.34,0.726,0.068,0.02,0.027
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.026,0.028,0.087,0.466,0,0
"P28","En blanco",0.009,0.021,0.095,0.021,0.21,0.37,0
"P28","No sabe",0.042,0.036,0.162,0.02,0,0.22,0.462
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.866,0.042,0.172,0.033,0.027,0.126,0.057
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.075,0.772,0.152,0.114,0.061,0.273,0.348
"P29","Julio Zamora a intendente por un partido vecinal",0.023,0.066,0.494,0.187,0.07,0.054,0.158
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0,0.053,0.158,0.62,0.382,0.045,0.027
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.011,0.003,0.012,0.421,0.234,0
"P29","En blanco",0.01,0.029,0.01,0.01,0.039,0.19,0.127
"P29","No sabe",0.017,0.027,0.011,0.024,0,0.078,0.283
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.884,0.003,0.169,0.01,0.013,0.054,0.064
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.038,0.415,0.046,0.096,0.132,0.231,0.415
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.05,0.527,0.095,0.047,0,0.01,0.049
"P30","Julio Zamora a intendente por un partido vecinal",0.015,0.025,0.496,0.09,0.055,0.07,0.017
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.028,0.17,0.755,0.669,0.023,0
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0,0.002,0,0.122,0.103,0
"P30","En blanco",0.006,0,0.001,0,0.009,0.271,0
"P30","No sabe",0.006,0.002,0.021,0.002,0,0.238,0.455
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.894,0.034,0.169,0.029,0.013,0.028,0.064
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.018,0.841,0.081,0.028,0.035,0.083,0.155
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.05,0.109,0.428,0.688,0.049,0.008,0.016
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0,0.077,0.065,0.123,0.015,0
"P31","En blanco",0.012,0.004,0.089,0.153,0.771,0.19,0.017
"P31","No sabe",0.023,0.012,0.156,0.037,0.009,0.676,0.748
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.95,0.033,0.154,0.018,0,0.076,0.111
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.006,0.781,0.123,0.086,0.117,0.184,0.274
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.012,0.046,0.43,0.67,0.163,0.027,0.019
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.006,0.017,0.036,0.188,0.149,0,0
"P33","En blanco",0.003,0.036,0.087,0.013,0.543,0.12,0
"P33","No sabe",0.023,0.087,0.17,0.025,0.028,0.593,0.596
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.953,0.004,0.122,0.019,0.014,0.076,0.116
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.009,0.77,0.065,0.094,0.078,0.235,0.22
"P34","Julio Zamora a intendente por un partido vecinal",0.023,0.033,0.562,0.114,0.14,0.065,0.011
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.001,0.062,0.112,0.724,0.187,0.009,0
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.011,0.049,0.047,0.566,0.021,0
"P34","En blanco",0.014,0.052,0.078,0.002,0.015,0.46,0.066
"P34","No sabe",0,0.068,0.012,0,0,0.134,0.587
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.814,0.013,0.128,0.038,0.03,0.015,0.077
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.083,0.104,0.297,0.063,0.06,0.157,0.206
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.004,0.419,0.095,0.098,0.048,0.097,0.231
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.084,0.382,0.172,0.049,0.028,0.139,0.02
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.039,0.202,0.741,0.71,0.009,0.011
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0.005,0.031,0.007,0.101,0.2,0.007
"P35","En blanco",0.008,0.025,0.017,0.004,0.014,0.217,0
"P35","No sabe",0.006,0.013,0.058,0,0.009,0.166,0.448
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.922,0,0.139,0.021,0.013,0.015,0.063
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.001,0.381,0.043,0.111,0.118,0.274,0.169
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.056,0.479,0.068,0.052,0.009,0.136,0.047
"P36","Julio Zamora a intendente por un partido vecinal",0.016,0.043,0.512,0.007,0.055,0.019,0
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.059,0.202,0.771,0.695,0.058,0.011
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0.004,0.021,0.001,0.097,0.171,0.024
"P36","En blanco",0,0.028,0.001,0.003,0.013,0.219,0.063
"P36","No sabe",0.004,0.006,0.014,0.034,0,0.108,0.623
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.931,0.034,0.132,0.008,0.016,0.105,0.098
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.023,0.777,0.115,0.048,0.046,0.064,0.097
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.035,0.128,0.332,0.756,0.104,0.012,0.013
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.013,0.13,0.05,0.165,0,0
"P37","En blanco",0.005,0.02,0.127,0.108,0.567,0.35,0.034
"P37","No sabe",0.004,0.028,0.164,0.03,0.102,0.469,0.758
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.939,0.019,0.091,0.008,0.017,0.089,0.078
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.045,0.857,0.061,0.083,0.049,0.066,0.17
"P38","Julio Zamora a intendente por un partido vecinal",0.015,0.049,0.588,0.094,0.033,0.023,0.013
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.036,0.168,0.765,0.142,0,0.013
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.009,0.044,0.022,0.702,0.128,0.033
"P38","En blanco",0.001,0.003,0.032,0.017,0.057,0.63,0.013
"P38","No sabe",0,0.027,0.016,0.011,0,0.064,0.68
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.918,0.003,0.182,0.008,0.071,0.113,0.084
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.06,0.805,0.123,0.148,0.066,0.257,0.39
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.004,0.055,0.39,0.672,0.151,0.013,0
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.026,0.087,0.118,0.168,0,0.038
"P39","En blanco",0.005,0.036,0.075,0.035,0.488,0.15,0
"P39","No sabe",0.013,0.075,0.143,0.019,0.056,0.467,0.488
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.665,0.265,0.043,0.062,0.025,0.048,0.128
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.297,0.543,0.181,0.081,0.099,0.373,0.369
"P40","Julio Zamora a intendente por un partido vecinal",0.028,0.045,0.508,0.171,0.136,0.104,0
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.046,0.126,0.653,0.107,0,0.014
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.003,0.048,0.013,0.592,0,0
"P40","En blanco",0.006,0.029,0.068,0.009,0.041,0.321,0.253
"P40","No sabe",0,0.069,0.026,0.011,0,0.154,0.236
"P41","Muy buena",0.489,0.09,0.061,0.023,0,0.022,0.042
"P41","Buena",0.236,0.094,0.17,0.008,0.146,0.241,0.133
"P41","Ni buena ni mala",0.183,0.129,0.263,0.153,0.085,0.351,0.053
"P41","Mala",0.063,0.186,0.108,0.229,0.07,0.152,0.202
"P41","Muy mala",0.023,0.481,0.372,0.577,0.699,0.206,0.486
"P41","No sabe",0.006,0.02,0.026,0.01,0,0.028,0.084
"P42","Muy buena",0.298,0.056,0.403,0.032,0.012,0.022,0
"P42","Buena",0.312,0.094,0.243,0.053,0.04,0.116,0.14
"P42","Ni buena ni mala",0.247,0.316,0.07,0.121,0.134,0.399,0.312
"P42","Mala",0.064,0.219,0.054,0.235,0.168,0.092,0.154
"P42","Muy mala",0.048,0.268,0.23,0.545,0.637,0.371,0.378
"P42","No sabe",0.031,0.047,0,0.014,0.009,0,0.016
"P43","Muy buena",0.122,0.313,0.03,0.132,0.012,0.009,0.032
"P43","Buena",0.118,0.359,0.238,0.106,0.064,0.193,0.029
"P43","Ni buena ni mala",0.218,0.211,0.254,0.36,0.221,0.357,0.394
"P43","Mala",0.23,0.011,0.098,0.127,0.191,0.022,0
"P43","Muy mala",0.246,0.056,0.331,0.245,0.512,0.393,0.42
"P43","No sabe",0.066,0.05,0.049,0.03,0,0.026,0.125
"P44","Muy buena",0.086,0.206,0.049,0.127,0,0.026,0.086
"P44","Buena",0.086,0.303,0.207,0.098,0.099,0.248,0.199
"P44","Ni buena ni mala",0.249,0.291,0.364,0.399,0.144,0.525,0.252
"P44","Mala",0.223,0.037,0.085,0.115,0.096,0,0.067
"P44","Muy mala",0.251,0.049,0.187,0.203,0.636,0.134,0.296
"P44","No sabe",0.105,0.114,0.108,0.058,0.025,0.067,0.1
"P45","Muy buena",0.255,0.067,0.277,0.044,0.062,0.008,0
"P45","Buena",0.33,0.152,0.34,0.092,0.03,0.138,0.331
"P45","Ni buena ni mala",0.215,0.364,0.252,0.183,0.094,0.16,0.225
"P45","Mala",0.076,0.204,0.06,0.242,0.124,0.452,0.198
"P45","Muy mala",0.064,0.197,0.053,0.424,0.69,0.103,0.16
"P45","No sabe",0.06,0.016,0.018,0.015,0,0.139,0.086
"P46","Que continúe el intendente Julio Zamora",0.218,0.058,0.371,0.034,0.023,0.052,0
"P46","Que continúe Julio Zamora pero con mejoras",0.338,0.103,0.343,0.051,0.278,0.244,0.239
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.204,0.249,0.149,0.069,0.099,0.232,0.154
"P46","Que cambie el intendente Julio Zamora",0.24,0.59,0.137,0.846,0.6,0.472,0.607
"P47","Es kirchnerista",0.151,0.19,0.289,0.202,0.152,0.041,0.079
"P47","Forma parte del Frente de Todos",0.367,0.291,0.312,0.232,0.148,0.158,0.038
"P47","Es un hombre de Massa",0.181,0.179,0.095,0.12,0.113,0.151,0.017
"P47","Es un peronista independiente de centro",0.106,0.116,0.157,0.149,0.255,0.228,0.08
"P47","Es un oportunista y está donde le conviene",0.107,0.138,0.093,0.231,0.292,0.33,0.537
"P47","No sabe",0.088,0.086,0.054,0.066,0.04,0.092,0.249
"P48","El tránsito",0.339,0.263,0.306,0.239,0.084,0.136,0.197
"P48","El arreglo de las calles",0.13,0.071,0.104,0.102,0.036,0.118,0
"P48","Los parques y espacios públicos",0.115,0.076,0.092,0.02,0.249,0.03,0
"P48","El sistema de salud",0.038,0.023,0.129,0.019,0.113,0,0.102
"P48","La limpieza de las calles",0.138,0.095,0.081,0.044,0.186,0.341,0.307
"P48","El deporte y la cultura",0.056,0.103,0.147,0.13,0.072,0.203,0.05
"P48","La obra pública",0.03,0.03,0.048,0.027,0.02,0,0
"P48","La luminaria",0.056,0.086,0.023,0.075,0.03,0,0.051
"P48","No sabe",0.098,0.253,0.07,0.344,0.21,0.172,0.293
"P49","El tránsito",0.204,0.271,0.172,0.286,0.152,0.141,0.146
"P49","El arreglo de las calles",0.129,0.113,0.061,0.072,0.15,0.199,0.016
"P49","Los parques y espacios públicos",0.205,0.135,0.184,0.106,0.023,0.131,0.136
"P49","El sistema de salud",0.073,0.08,0.101,0.134,0.013,0.15,0.147
"P49","La limpieza de las calles",0.165,0.156,0.206,0.149,0.359,0.227,0.314
"P49","El deporte y la cultura",0.036,0.045,0.038,0.048,0.182,0,0
"P49","La obra pública",0.028,0.041,0.034,0.049,0.02,0.008,0
"P49","La luminaria",0.032,0.004,0.03,0.009,0.014,0,0.052
"P49","No sabe",0.128,0.155,0.174,0.147,0.087,0.144,0.189
"P50","Agua corriente y cloacas",0.346,0.508,0.437,0.348,0.366,0.445,0.467
"P50","Energía eléctrica",0.168,0.131,0.08,0.151,0.186,0.197,0.103
"P50","Red de gas natural",0.127,0.084,0.11,0.108,0.089,0,0.052
"P50","Recolección de residuos",0.161,0.097,0.139,0.185,0.206,0.009,0.038
"P50","Ninguno",0.198,0.18,0.234,0.208,0.153,0.349,0.34
"P51","Los robos",0.317,0.384,0.247,0.295,0.31,0.395,0.22
"P51","El narcotráfico",0.281,0.283,0.194,0.329,0.298,0.242,0.375
"P51","La ausencia de patrulleros y personal policial",0.145,0.08,0.246,0.076,0.098,0.039,0.247
"P51","Otro",0.147,0.141,0.177,0.155,0.197,0.076,0.158
"P51","Ninguno",0.11,0.112,0.136,0.145,0.097,0.248,0
"P52","Muy buena",0.236,0.056,0.032,0.018,0.043,0.158,0
"P52","Buena",0.271,0.042,0.227,0.029,0,0.189,0.145
"P52","Ni buena ni mala",0.217,0.064,0.194,0.051,0.161,0.124,0.059
"P52","Mala",0.155,0.094,0.149,0.036,0.069,0.034,0.222
"P52","Muy mala",0.093,0.732,0.396,0.866,0.701,0.495,0.574
"P52","No sabe",0.028,0.012,0.002,0,0.026,0,0
"P53","Muy buena",0.142,0.337,0.168,0.17,0.066,0.108,0.154
"P53","Buena",0.087,0.292,0.181,0.231,0.019,0.013,0.225
