"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P18","No sabe",0.048,0.032,0.052,0,0,0.237,0.268
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.548,0.274,0.115,0.007,0,0.007,0
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.257,0.444,0.066,0.052,0.036,0.075,0.26
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.073,0.189,0.098,0.016,0.158,0.106,0.195
"P19","Julio Zamora a intendente por un partido vecinal",0.03,0.027,0.45,0.282,0.08,0.221,0.153
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.013,0.049,0.242,0.64,0.627,0.045,0.078
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.002,0.018,0.003,0.066,0.21,0
"P19","En blanco",0.028,0.009,0.004,0,0.033,0.099,0.023
"P19","No sabe",0.047,0.006,0.007,0,0,0.237,0.291
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.588,0.243,0.158,0.004,0,0.094,0
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.222,0.481,0.14,0.044,0.121,0.058,0.397
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.06,0.129,0.394,0.716,0.402,0.102,0.016
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.02,0.053,0.105,0.09,0.166,0.121,0
"P20","En blanco",0.041,0.043,0.106,0.131,0.301,0.111,0.168
"P20","No sabe",0.069,0.051,0.097,0.015,0.01,0.514,0.419
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.592,0.236,0.076,0.004,0.12,0.101,0
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.218,0.482,0.137,0.046,0.016,0.18,0.248
"P21","Julio Zamora a intendente por un partido vecinal",0.045,0.072,0.459,0.107,0.087,0.178,0.077
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.061,0.096,0.301,0.767,0.378,0.044,0.216
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.034,0.025,0.016,0.068,0.39,0.017,0.033
"P21","En blanco",0.011,0.039,0.007,0.005,0.009,0.35,0.163
"P21","No sabe",0.039,0.05,0.004,0.003,0,0.13,0.263
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.621,0.247,0.158,0.004,0.12,0.196,0
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.277,0.617,0.128,0.103,0.013,0.178,0.34
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.022,0.029,0.449,0.838,0.082,0.007,0.093
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.013,0.053,0.1,0.05,0.531,0.017,0
"P22","En blanco",0.031,0.01,0.052,0,0.17,0.112,0.1
"P22","No sabe",0.036,0.044,0.113,0.005,0.084,0.49,0.467
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.589,0.267,0.122,0.004,0.12,0.117,0
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.301,0.58,0.082,0.067,0.161,0.109,0.356
"P23","Julio Zamora a intendente por un partido vecinal",0.016,0.033,0.524,0.2,0.141,0.139,0.089
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.009,0.043,0.206,0.685,0.29,0.075,0.016
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0.016,0.046,0.003,0.178,0.034,0.161
"P23","En blanco",0.013,0.043,0.015,0.027,0.11,0.42,0.077
"P23","No sabe",0.056,0.018,0.005,0.014,0,0.106,0.301
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.61,0.216,0.121,0.046,0.033,0.158,0.076
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.045,0.12,0.265,0.025,0.191,0.093,0
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.209,0.405,0.098,0.099,0.06,0.256,0.406
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.077,0.173,0.222,0.088,0,0.04,0.193
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.038,0.223,0.732,0.566,0.022,0.008
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0.028,0.009,0.002,0.15,0.112,0.077
"P24","En blanco",0,0.013,0.002,0,0,0.088,0.091
"P24","No sabe",0.037,0.007,0.06,0.008,0,0.231,0.149
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.612,0.241,0.09,0.058,0.046,0.135,0
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.226,0.405,0.049,0.056,0.083,0.125,0.201
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.098,0.253,0.084,0.028,0.258,0.04,0.295
"P25","Julio Zamora a intendente por un partido vecinal",0.017,0.014,0.434,0.028,0.025,0.244,0.077
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.02,0.044,0.298,0.813,0.454,0.051,0.016
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.014,0.004,0.009,0.134,0.112,0.138
"P25","En blanco",0.003,0.013,0,0,0,0.095,0.11
"P25","No sabe",0.022,0.016,0.041,0.008,0,0.198,0.163
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.666,0.255,0.221,0.004,0.169,0.102,0.1
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.205,0.479,0.151,0.025,0.037,0.067,0.287
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.056,0.166,0.311,0.726,0.17,0.115,0.025
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.01,0.146,0.074,0.244,0.034,0
"P26","En blanco",0.025,0.024,0.121,0.158,0.247,0.159,0.135
"P26","No sabe",0.048,0.066,0.05,0.013,0.133,0.523,0.453
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.606,0.263,0.099,0.004,0.145,0.029,0
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.236,0.496,0.086,0.025,0.146,0.099,0.261
"P27","Julio Zamora a intendente por un partido vecinal",0.046,0.064,0.507,0.187,0.161,0.228,0
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.043,0.083,0.26,0.74,0.167,0.047,0.086
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.028,0.002,0,0.041,0.361,0.118,0.174
"P27","En blanco",0.022,0.047,0.038,0,0.02,0.479,0.038
"P27","No sabe",0.019,0.045,0.01,0.003,0,0,0.441
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.648,0.288,0.205,0.004,0.22,0.037,0
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.269,0.601,0.168,0.049,0.037,0.149,0.442
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.065,0.39,0.828,0.069,0.055,0.03
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0,0.081,0.094,0.292,0.041,0.008
"P28","En blanco",0.035,0.025,0.06,0.025,0.358,0.205,0
"P28","No sabe",0.034,0.021,0.096,0,0.024,0.513,0.52
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.646,0.313,0.083,0.01,0.016,0.029,0
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.304,0.572,0.093,0.075,0.05,0.151,0.295
"P29","Julio Zamora a intendente por un partido vecinal",0.023,0.044,0.568,0.198,0.125,0.199,0.077
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.036,0.22,0.679,0.283,0.044,0.125
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.011,0.021,0.01,0.482,0.181,0.061
"P29","En blanco",0.007,0.015,0.007,0,0.044,0.33,0.175
"P29","No sabe",0.003,0.009,0.008,0.028,0,0.066,0.267
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.626,0.276,0.048,0.004,0.016,0.007,0
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.216,0.368,0.007,0.023,0.084,0,0
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.121,0.303,0.115,0.089,0.186,0.171,0.455
"P30","Julio Zamora a intendente por un partido vecinal",0.016,0.011,0.533,0.055,0.089,0.3,0.163
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.02,0.021,0.272,0.824,0.49,0.03,0.016
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0,0,0.135,0.119,0
"P30","En blanco",0,0.013,0.021,0,0,0.081,0.077
"P30","No sabe",0.001,0.008,0.004,0.005,0,0.292,0.289
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.657,0.278,0.179,0.013,0.028,0,0
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.261,0.478,0.111,0.092,0.024,0.195,0.33
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.048,0.168,0.346,0.756,0.292,0.022,0.129
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.004,0.098,0.028,0.134,0.067,0.076
"P31","En blanco",0.02,0.031,0.209,0.069,0.506,0.095,0
"P31","No sabe",0.011,0.041,0.057,0.042,0.016,0.621,0.465
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.649,0.264,0.052,0.004,0.016,0.037,0
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.261,0.487,0.087,0.085,0.024,0.173,0.478
"P32","Julio Zamora a intendente por un partido vecinal",0.026,0.101,0.599,0.146,0.226,0.25,0.11
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.036,0.044,0.195,0.731,0.058,0.033,0.047
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.004,0.013,0.039,0.03,0.676,0.037,0
"P32","En blanco",0.007,0.048,0.028,0,0,0.272,0.151
"P32","No sabe",0.017,0.043,0,0.004,0,0.198,0.214
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.661,0.3,0.128,0.004,0.016,0.015,0
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.303,0.546,0.125,0.04,0.1,0.036,0.186
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.007,0.076,0.437,0.768,0.183,0.13,0.085
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.01,0.021,0.101,0.148,0.134,0.01,0
"P33","En blanco",0.004,0.016,0.082,0.035,0.543,0.165,0.064
"P33","No sabe",0.015,0.041,0.127,0.005,0.024,0.644,0.665
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.663,0.312,0.009,0.004,0.016,0,0
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.295,0.572,0.08,0.021,0,0.052,0.125
"P34","Julio Zamora a intendente por un partido vecinal",0.014,0.061,0.668,0.085,0.172,0.123,0.076
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.011,0.013,0.187,0.843,0.07,0.029,0.078
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.022,0.003,0.034,0.742,0.086,0.028
"P34","En blanco",0.005,0.012,0.033,0.013,0,0.418,0.191
"P34","No sabe",0.012,0.008,0.02,0,0,0.292,0.502
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.607,0.209,0.093,0.032,0.016,0.023,0
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.05,0.165,0.312,0.027,0.067,0.129,0.077
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.235,0.292,0.055,0.042,0,0.108,0.1
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.099,0.281,0.147,0.063,0.152,0.156,0.414
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.003,0.025,0.28,0.836,0.631,0,0.016
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.014,0.018,0,0.134,0.205,0
"P35","En blanco",0,0.01,0.044,0,0,0.173,0.077
"P35","No sabe",0.003,0.004,0.051,0,0,0.206,0.316
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.641,0.264,0.027,0.004,0,0.023,0
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.194,0.291,0.03,0.011,0.1,0,0.161
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.125,0.361,0.15,0.066,0.024,0.149,0.33
"P36","Julio Zamora a intendente por un partido vecinal",0.011,0.031,0.495,0.018,0.201,0.307,0.076
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.02,0.019,0.28,0.894,0.541,0.007,0.016
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.017,0.006,0,0.134,0.119,0.013
"P36","En blanco",0,0,0.002,0.004,0,0.175,0.077
"P36","No sabe",0.009,0.017,0.01,0.003,0,0.22,0.327
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.655,0.27,0.139,0.004,0.024,0.007,0.061
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.282,0.439,0.159,0.036,0,0.149,0.304
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.024,0.181,0.434,0.739,0.137,0.007,0.146
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.003,0.066,0.078,0.247,0.021,0.077
"P37","En blanco",0.033,0.032,0.139,0.136,0.592,0.119,0
"P37","No sabe",0.004,0.075,0.063,0.007,0,0.697,0.412
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.654,0.32,0.029,0.004,0,0,0
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.286,0.53,0.073,0.063,0,0.165,0.325
"P38","Julio Zamora a intendente por un partido vecinal",0.016,0.026,0.647,0.086,0.156,0.239,0.085
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.02,0.042,0.18,0.803,0.217,0.028,0.009
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.009,0.02,0.063,0.034,0.627,0.031,0.061
"P38","En blanco",0.008,0.029,0.008,0.01,0,0.315,0.089
"P38","No sabe",0.007,0.033,0,0,0,0.222,0.431
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.642,0.31,0.135,0.004,0.084,0,0
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.343,0.61,0.1,0.039,0,0.028,0.125
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.004,0.045,0.521,0.683,0.128,0.086,0.009
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.001,0.008,0.034,0.246,0.172,0.01,0
"P39","En blanco",0,0.013,0.108,0.016,0.616,0.21,0.061
"P39","No sabe",0.01,0.014,0.102,0.012,0,0.666,0.805
"P41","Muy buena",0.481,0.119,0.01,0,0,0.007,0.038
"P41","Buena",0.113,0.294,0.062,0.006,0.123,0.094,0
"P41","Ni buena ni mala",0.126,0.122,0.36,0.164,0.024,0.245,0.348
"P41","Mala",0.058,0.144,0.114,0.299,0.041,0.183,0.259
"P41","Muy mala",0.217,0.311,0.439,0.527,0.758,0.361,0.278
"P41","No sabe",0.005,0.01,0.015,0.004,0.054,0.11,0.077
"P42","Muy buena",0.276,0.099,0.278,0.002,0.19,0.273,0.077
"P42","Buena",0.208,0.212,0.245,0.055,0.063,0.041,0.026
"P42","Ni buena ni mala",0.265,0.225,0.172,0.114,0.01,0.251,0.577
"P42","Mala",0.11,0.203,0.025,0.255,0.1,0,0.12
"P42","Muy mala",0.102,0.244,0.265,0.557,0.637,0.405,0.139
"P42","No sabe",0.039,0.017,0.015,0.017,0,0.03,0.061
"P43","Muy buena",0.21,0.162,0.038,0.152,0.024,0.123,0.162
"P43","Buena",0.169,0.33,0.23,0.068,0.113,0.027,0.095
"P43","Ni buena ni mala",0.216,0.212,0.302,0.351,0.135,0.341,0.41
"P43","Mala",0.14,0.127,0.055,0.121,0.186,0.025,0
"P43","Muy mala",0.197,0.137,0.346,0.273,0.542,0.366,0.159
"P43","No sabe",0.068,0.032,0.029,0.035,0,0.118,0.174
"P44","Muy buena",0.171,0.158,0.058,0.059,0,0.016,0.012
"P44","Buena",0.12,0.316,0.203,0.094,0.113,0,0.063
"P44","Ni buena ni mala",0.233,0.272,0.332,0.477,0.037,0.366,0.658
"P44","Mala",0.156,0.112,0.095,0.104,0.038,0.044,0
"P44","Muy mala",0.2,0.074,0.249,0.176,0.788,0.359,0.076
"P44","No sabe",0.12,0.068,0.063,0.09,0.024,0.215,0.191
"P45","Muy buena",0.213,0.105,0.227,0.029,0.061,0.214,0.084
"P45","Buena",0.252,0.222,0.351,0.071,0.168,0.17,0.212
"P45","Ni buena ni mala",0.273,0.304,0.184,0.242,0.048,0.087,0.338
"P45","Mala",0.116,0.183,0.073,0.2,0.032,0.395,0.262
"P45","Muy mala",0.11,0.148,0.156,0.437,0.691,0.014,0.028
"P45","No sabe",0.036,0.038,0.009,0.021,0,0.12,0.076
"P46","Que continúe el intendente Julio Zamora",0.21,0.103,0.261,0.004,0.073,0.263,0.087
"P46","Que continúe Julio Zamora pero con mejoras",0.249,0.182,0.357,0.052,0.375,0.207,0.202
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.171,0.226,0.113,0.144,0.06,0.238,0.308
"P46","Que cambie el intendente Julio Zamora",0.37,0.489,0.269,0.8,0.492,0.292,0.403
"P47","Es kirchnerista",0.214,0.161,0.224,0.187,0.128,0.181,0.121
"P47","Forma parte del Frente de Todos",0.348,0.276,0.327,0.228,0.328,0.131,0.154
"P47","Es un hombre de Massa",0.161,0.131,0.087,0.193,0.044,0.056,0.391
"P47","Es un peronista independiente de centro",0.088,0.13,0.235,0.105,0.273,0.24,0
"P47","Es un oportunista y está donde le conviene",0.121,0.195,0.075,0.222,0.227,0.243,0.204
"P47","No sabe",0.068,0.107,0.052,0.065,0,0.149,0.13
"P48","El tránsito",0.356,0.246,0.354,0.182,0.124,0.059,0.301
"P48","El arreglo de las calles",0.106,0.116,0.064,0.063,0.249,0.039,0.065
"P48","Los parques y espacios públicos",0.068,0.08,0.096,0.081,0.247,0.008,0.098
"P48","El sistema de salud",0.047,0.055,0.074,0.021,0.104,0.047,0
"P48","La limpieza de las calles",0.119,0.134,0.104,0.079,0.024,0.314,0
"P48","El deporte y la cultura",0.079,0.09,0.163,0.12,0.049,0.102,0.141
"P48","La obra pública",0.016,0.024,0.051,0.035,0,0.113,0
"P48","La luminaria",0.083,0.059,0.029,0.065,0,0.083,0
"P48","No sabe",0.126,0.196,0.065,0.354,0.203,0.235,0.395
"P49","El tránsito",0.198,0.235,0.199,0.309,0.144,0.016,0.393
"P49","El arreglo de las calles",0.088,0.138,0.058,0.104,0.29,0.059,0.014
"P49","Los parques y espacios públicos",0.209,0.154,0.214,0.065,0.045,0.028,0.099
"P49","El sistema de salud",0.066,0.08,0.116,0.118,0.045,0.174,0.148
"P49","La limpieza de las calles",0.163,0.162,0.193,0.207,0.197,0.373,0.103
"P49","El deporte y la cultura",0.042,0.04,0.041,0.033,0.224,0,0.04
"P49","La obra pública",0.043,0.035,0.006,0.049,0,0,0.079
"P49","La luminaria",0.028,0.012,0.038,0.01,0,0,0
"P49","No sabe",0.163,0.144,0.135,0.105,0.055,0.35,0.124
"P50","Agua corriente y cloacas",0.388,0.501,0.359,0.37,0.523,0.294,0.388
"P50","Energía eléctrica",0.159,0.184,0.03,0.132,0.214,0.129,0.068
"P50","Red de gas natural",0.131,0.038,0.156,0.175,0.062,0.007,0
"P50","Recolección de residuos",0.141,0.112,0.208,0.176,0.024,0.032,0.048
"P50","Ninguno",0.181,0.165,0.247,0.147,0.177,0.538,0.496
"P51","Los robos",0.362,0.364,0.187,0.332,0.447,0.126,0.266
"P51","El narcotráfico",0.272,0.272,0.279,0.304,0.191,0.266,0.331
"P51","La ausencia de patrulleros y personal policial",0.118,0.099,0.253,0.115,0.059,0.057,0.165
"P51","Otro",0.121,0.18,0.175,0.124,0.187,0.139,0.129
"P51","Ninguno",0.127,0.085,0.106,0.125,0.116,0.412,0.109
"P52","Muy buena",0.216,0.099,0.03,0.006,0.015,0.026,0
"P52","Buena",0.156,0.172,0.132,0.061,0.063,0.185,0.16
"P52","Ni buena ni mala",0.217,0.08,0.143,0.047,0.304,0.152,0.068
"P52","Mala",0.109,0.106,0.144,0.031,0.094,0.307,0.12
"P52","Muy mala",0.287,0.531,0.549,0.849,0.524,0.33,0.583
"P52","No sabe",0.015,0.012,0.002,0.006,0,0,0.069
"P53","Muy buena",0.24,0.269,0.144,0.182,0.03,0,0.077
"P53","Buena",0.149,0.23,0.152,0.198,0.025,0.189,0.226
"P53","Ni buena ni mala",0.099,0.093,0.062,0.164,0.303,0.223,0.315
"P53","Mala",0.129,0.089,0.209,0.216,0.056,0.228,0.032
