"var","categoria","A Segundo Cernadas","A Nicolás Massot"
"P19","Julio Zamora a intendente por un partido vecinal",0.061,0.06
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.155,0.049
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0
"P19","En blanco",0.01,0.008
"P19","No sabe",0.037,0.004
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.08,0.107
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.573,0.664
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.169,0.103
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.023,0.007
"P20","En blanco",0.058,0.044
"P20","No sabe",0.097,0.075
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.055,0.084
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.615,0.601
"P21","Julio Zamora a intendente por un partido vecinal",0.053,0.085
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.174,0.086
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.02,0.022
"P21","En blanco",0.025,0.028
"P21","No sabe",0.058,0.094
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.041,0.101
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.716,0.711
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.152,0.085
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.027
"P22","En blanco",0.013,0.006
"P22","No sabe",0.067,0.07
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.033,0.129
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.657,0.682
"P23","Julio Zamora a intendente por un partido vecinal",0.088,0.058
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.113,0.024
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.004
"P23","En blanco",0.046,0.058
"P23","No sabe",0.063,0.045
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.035,0.076
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.062,0.104
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.427,0.568
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.285,0.207
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.138,0.017
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.004
"P24","En blanco",0.019,0.005
"P24","No sabe",0.019,0.019
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.026,0.081
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.423,0.581
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.313,0.208
"P25","Julio Zamora a intendente por un partido vecinal",0.027,0.057
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.161,0.02
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.007
"P25","En blanco",0.015,0.022
"P25","No sabe",0.035,0.024
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.066,0.127
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.588,0.612
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.18,0.08
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.026,0.049
"P26","En blanco",0.101,0.038
"P26","No sabe",0.039,0.094
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.062,0.117
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.582,0.6
"P27","Julio Zamora a intendente por un partido vecinal",0.082,0.094
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.198,0.038
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.021,0.009
"P27","En blanco",0.012,0.054
"P27","No sabe",0.043,0.088
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.061,0.129
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.672,0.715
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.162,0.073
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.002
"P28","En blanco",0.053,0.02
"P28","No sabe",0.03,0.061
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.05,0.085
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.613,0.766
"P29","Julio Zamora a intendente por un partido vecinal",0.095,0.089
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.147,0.011
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0.015
"P29","En blanco",0.033,0.017
"P29","No sabe",0.045,0.017
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.021,0.072
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.258,0.462
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.551,0.313
"P30","Julio Zamora a intendente por un partido vecinal",0.024,0.122
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.133,0.009
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0
"P30","En blanco",0.006,0
"P30","No sabe",0.007,0.022
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.07,0.072
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.634,0.633
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.207,0.129
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.049,0.017
"P31","En blanco",0.022,0.058
"P31","No sabe",0.018,0.091
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.038,0.067
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.69,0.597
"P32","Julio Zamora a intendente por un partido vecinal",0.111,0.159
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.144,0.053
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.017
"P32","En blanco",0.011,0.022
"P32","No sabe",0.003,0.085
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.038,0.062
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.624,0.68
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.188,0.134
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.008
"P33","En blanco",0.051,0.013
"P33","No sabe",0.099,0.103
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.024,0.093
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.671,0.665
"P34","Julio Zamora a intendente por un partido vecinal",0.07,0.125
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.152,0.02
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.015,0.034
"P34","En blanco",0.056,0.041
"P34","No sabe",0.012,0.022
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.018,0.06
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.105,0.106
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.295,0.511
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.402,0.227
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.165,0.071
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0
"P35","En blanco",0.005,0.018
"P35","No sabe",0.01,0.007
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.024,0.07
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.255,0.453
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.536,0.328
"P36","Julio Zamora a intendente por un partido vecinal",0.065,0.096
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.096,0.006
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.011
"P36","En blanco",0.002,0
"P36","No sabe",0.02,0.036
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.04,0.118
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.709,0.604
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.189,0.127
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.03,0.003
"P37","En blanco",0.008,0.029
"P37","No sabe",0.024,0.119
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.036,0.066
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.775,0.69
"P38","Julio Zamora a intendente por un partido vecinal",0.096,0.115
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.073,0.028
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.033
"P38","En blanco",0.01,0.018
"P38","No sabe",0.008,0.05
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.029,0.071
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.741,0.752
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.106,0.113
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.041,0.01
"P39","En blanco",0.034,0.022
"P39","No sabe",0.049,0.032
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.258,0.265
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.433,0.506
"P40","Julio Zamora a intendente por un partido vecinal",0.103,0.107
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.167,0.002
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.003
"P40","En blanco",0.021,0.069
"P40","No sabe",0.015,0.048
"P41","Muy buena",0.043,0.148
"P41","Buena",0.066,0.127
"P41","Ni buena ni mala",0.237,0.068
"P41","Mala",0.165,0.151
"P41","Muy mala",0.466,0.506
"P41","No sabe",0.023,0
"P42","Muy buena",0.021,0.215
"P42","Buena",0.059,0.08
"P42","Ni buena ni mala",0.301,0.149
"P42","Mala",0.263,0.211
"P42","Muy mala",0.309,0.324
"P42","No sabe",0.047,0.021
"P43","Muy buena",0.342,0.186
"P43","Buena",0.339,0.305
"P43","Ni buena ni mala",0.212,0.306
"P43","Mala",0.009,0.005
"P43","Muy mala",0.058,0.161
"P43","No sabe",0.04,0.037
"P44","Muy buena",0.159,0.278
"P44","Buena",0.212,0.411
"P44","Ni buena ni mala",0.478,0.114
"P44","Mala",0.033,0.043
"P44","Muy mala",0.037,0.077
"P44","No sabe",0.081,0.077
"P45","Muy buena",0.048,0.179
"P45","Buena",0.096,0.211
"P45","Ni buena ni mala",0.436,0.216
"P45","Mala",0.19,0.124
"P45","Muy mala",0.224,0.261
"P45","No sabe",0.006,0.009
"P46","Que continúe el intendente Julio Zamora",0.024,0.207
"P46","Que continúe Julio Zamora pero con mejoras",0.081,0.075
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.256,0.132
"P46","Que cambie el intendente Julio Zamora",0.639,0.586
"P47","Es kirchnerista",0.169,0.306
"P47","Forma parte del Frente de Todos",0.359,0.199
"P47","Es un hombre de Massa",0.145,0.114
"P47","Es un peronista independiente de centro",0.065,0.171
"P47","Es un oportunista y está donde le conviene",0.156,0.172
"P47","No sabe",0.106,0.038
"P48","El tránsito",0.191,0.238
"P48","El arreglo de las calles",0.103,0.086
"P48","Los parques y espacios públicos",0.081,0.06
"P48","El sistema de salud",0.02,0.101
"P48","La limpieza de las calles",0.101,0.048
"P48","El deporte y la cultura",0.139,0.042
"P48","La obra pública",0.087,0.085
"P48","La luminaria",0.088,0.068
"P48","No sabe",0.19,0.272
"P49","El tránsito",0.215,0.344
"P49","El arreglo de las calles",0.063,0.108
"P49","Los parques y espacios públicos",0.13,0.175
"P49","El sistema de salud",0.057,0.063
"P49","La limpieza de las calles",0.197,0.063
"P49","El deporte y la cultura",0.048,0.053
"P49","La obra pública",0.073,0.027
"P49","La luminaria",0.004,0.013
"P49","No sabe",0.213,0.154
"P50","Agua corriente y cloacas",0.412,0.645
"P50","Energía eléctrica",0.229,0.111
"P50","Red de gas natural",0.169,0.028
"P50","Recolección de residuos",0.078,0.129
"P50","Ninguno",0.112,0.087
"P51","Los robos",0.269,0.421
"P51","El narcotráfico",0.247,0.222
"P51","La ausencia de patrulleros y personal policial",0.188,0.137
"P51","Otro",0.173,0.137
"P51","Ninguno",0.123,0.083
"P52","Muy buena",0.03,0.106
"P52","Buena",0.029,0.028
"P52","Ni buena ni mala",0.139,0.062
"P52","Mala",0.06,0.107
"P52","Muy mala",0.741,0.681
"P52","No sabe",0.001,0.016
"P53","Muy buena",0.304,0.393
"P53","Buena",0.23,0.257
"P53","Ni buena ni mala",0.129,0.22
"P53","Mala",0.109,0.055
"P53","Muy mala",0.217,0.075
"P53","No sabe",0.011,0
"P54","Muy buena",0.031,0.106
"P54","Buena",0.044,0.076
"P54","Ni buena ni mala",0.048,0.047
"P54","Mala",0.08,0.085
"P54","Muy mala",0.794,0.683
"P54","No sabe",0.003,0.003
"P55","Muy buena",0.135,0.115
"P55","Buena",0.338,0.349
"P55","Ni buena ni mala",0.247,0.237
"P55","Mala",0.15,0.079
"P55","Muy mala",0.13,0.217
"P55","No sabe",0,0.003
"P56","Muy buena",0.037,0.073
"P56","Buena",0.055,0.048
"P56","Ni buena ni mala",0.139,0.07
"P56","Mala",0.173,0.127
"P56","Muy mala",0.594,0.679
"P56","No sabe",0.002,0.003
"P57","Muy buena",0.01,0.103
"P57","Buena",0.046,0.025
"P57","Ni buena ni mala",0.143,0.174
"P57","Mala",0.217,0.131
"P57","Muy mala",0.566,0.536
"P57","No sabe",0.018,0.031
"P58","Muy buena",0.483,0.549
"P58","Buena",0.295,0.211
"P58","Ni buena ni mala",0.109,0.089
"P58","Mala",0.033,0.037
"P58","Muy mala",0.074,0.114
"P58","No sabe",0.006,0
"P59","Muy buena",0.187,0.155
"P59","Buena",0.115,0.129
"P59","Ni buena ni mala",0.348,0.358
"P59","Mala",0.182,0.225
"P59","Muy mala",0.125,0.117
"P59","No sabe",0.043,0.016
"P60","Muy buena",0.042,0.063
"P60","Buena",0.018,0.053
"P60","Ni buena ni mala",0.118,0.128
"P60","Mala",0.089,0.164
"P60","Muy mala",0.733,0.588
"P60","No sabe",0,0.004
"P61","Muy buena",0.155,0.228
"P61","Buena",0.255,0.313
"P61","Ni buena ni mala",0.275,0.246
"P61","Mala",0.082,0.008
"P61","Muy mala",0.129,0.151
"P61","No sabe",0.104,0.054
"P62","Muy buena",0.195,0.206
"P62","Buena",0.446,0.449
"P62","Ni buena ni mala",0.245,0.271
"P62","Mala",0.046,0.031
"P62","Muy mala",0.043,0.023
"P62","No sabe",0.025,0.02
