"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.13,0.037,0.05,0.324,0.201,0.087
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.045,0.615,0.186,0.113,0.181,0.263
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.029,0.231,0.077,0.136,0.054,0.072
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.062,0.584,0.247,0.394,0.077
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0,0.009,0.112,0.016,0.048
"P18","En blanco",0.009,0.01,0.002,0.011,0.088,0.028
"P18","No sabe",0.065,0.027,0,0.036,0.012,0.262
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.748,0.023,0.087,0.021,0.094,0.05
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.082,0.572,0.132,0.034,0.106,0.213
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.024,0.286,0.106,0.093,0.069,0.086
"P19","Julio Zamora a intendente por un partido vecinal",0.057,0.071,0.221,0.443,0.246,0.21
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.022,0.024,0.446,0.338,0.398,0.077
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0,0.008,0.049,0.037,0.099
"P19","En blanco",0.019,0.019,0,0.022,0.038,0.019
"P19","No sabe",0.043,0.005,0,0,0.012,0.246
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.786,0.031,0.072,0.043,0.045,0.148
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.059,0.734,0.14,0.056,0.099,0.1
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.039,0.107,0.603,0.307,0.392,0.152
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.041,0.025,0.051,0.414,0.094,0.047
"P20","En blanco",0.034,0.023,0.123,0.031,0.3,0.049
"P20","No sabe",0.041,0.08,0.011,0.149,0.07,0.504
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.752,0.019,0.076,0.032,0.145,0.109
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.062,0.741,0.132,0.021,0.051,0.118
"P21","Julio Zamora a intendente por un partido vecinal",0.099,0.054,0.152,0.304,0.188,0.231
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.028,0.093,0.605,0.37,0.33,0.044
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.032,0.013,0.026,0.18,0.16,0.019
"P21","En blanco",0.007,0.019,0.005,0.093,0.08,0.29
"P21","No sabe",0.02,0.061,0.004,0,0.046,0.189
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.84,0.027,0.074,0.032,0.08,0.092
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.059,0.818,0.209,0.034,0.138,0.286
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.011,0.045,0.612,0.548,0.308,0.115
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.023,0.013,0.049,0.305,0.206,0.056
"P22","En blanco",0.016,0.021,0.006,0,0.231,0.016
"P22","No sabe",0.051,0.076,0.05,0.081,0.037,0.435
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.776,0.031,0.096,0.043,0.105,0.096
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.055,0.798,0.17,0.141,0.16,0.274
"P23","Julio Zamora a intendente por un partido vecinal",0.081,0.056,0.211,0.528,0.183,0.141
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.031,0.454,0.197,0.289,0.079
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0.013,0.02,0.083,0.087,0.048
"P23","En blanco",0.024,0.017,0.029,0,0.1,0.22
"P23","No sabe",0.032,0.054,0.02,0.008,0.076,0.142
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.777,0.033,0.069,0.185,0.09,0.141
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.064,0.105,0.108,0.168,0.15,0.1
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.04,0.567,0.146,0.127,0.194,0.326
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.074,0.226,0.112,0.126,0.168,0.032
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.018,0.017,0.525,0.241,0.312,0.068
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.013,0.014,0.12,0,0.126
"P24","En blanco",0,0.019,0.013,0,0.032,0.032
"P24","No sabe",0.021,0.02,0.013,0.033,0.054,0.175
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.81,0.004,0.071,0.043,0.132,0.108
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.048,0.558,0.14,0,0.159,0.18
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.043,0.302,0.091,0.251,0.113,0.126
"P25","Julio Zamora a intendente por un partido vecinal",0.056,0.043,0.075,0.322,0.178,0.203
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.028,0.034,0.582,0.247,0.343,0.071
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.002,0.002,0.015,0.112,0,0.126
"P25","En blanco",0.002,0.021,0.012,0,0.067,0
"P25","No sabe",0.011,0.036,0.014,0.025,0.008,0.186
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.852,0.063,0.097,0.052,0.153,0.077
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.049,0.734,0.098,0.079,0.155,0.087
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.046,0.098,0.603,0.352,0.29,0.133
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.034,0.057,0.231,0.105,0.011
"P26","En blanco",0.017,0.021,0.114,0.083,0.289,0.127
"P26","No sabe",0.027,0.05,0.031,0.203,0.008,0.565
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.802,0.027,0.058,0.052,0.105,0.014
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.069,0.74,0.114,0.011,0.152,0.124
"P27","Julio Zamora a intendente por un partido vecinal",0.083,0.088,0.21,0.379,0.226,0.222
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0,0.062,0.571,0.351,0.274,0.11
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.02,0.01,0.119,0.148,0.07
"P27","En blanco",0.016,0.021,0.033,0.025,0.095,0.273
"P27","No sabe",0.012,0.042,0.004,0.063,0,0.187
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.885,0.045,0.088,0.052,0.096,0.052
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.063,0.845,0.203,0.017,0.112,0.262
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0,0.045,0.644,0.303,0.236,0.124
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.01,0.019,0.36,0.196,0.057
"P28","En blanco",0.015,0.023,0.016,0.11,0.333,0.05
"P28","No sabe",0.037,0.032,0.03,0.158,0.027,0.455
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.814,0.027,0.088,0.071,0.091,0.089
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.074,0.801,0.183,0,0.19,0.261
"P29","Julio Zamora a intendente por un partido vecinal",0.071,0.08,0.233,0.364,0.188,0.219
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.058,0.449,0.328,0.278,0.077
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0.005,0.03,0.123,0.169,0.042
"P29","En blanco",0.014,0.009,0.017,0,0.045,0.154
"P29","No sabe",0.009,0.02,0,0.114,0.039,0.158
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.817,0.008,0.073,0.032,0.058,0.067
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.03,0.457,0.105,0.112,0.102,0.186
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.05,0.472,0.144,0.139,0.029,0.082
"P30","Julio Zamora a intendente por un partido vecinal",0.077,0.053,0.113,0.316,0.214,0.242
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.004,0.007,0.564,0.226,0.489,0.068
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0,0.112,0,0.049
"P30","En blanco",0.013,0,0,0,0.077,0.041
"P30","No sabe",0.009,0.003,0.001,0.063,0.031,0.265
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.891,0.036,0.03,0.115,0.069,0.059
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.039,0.842,0.098,0.191,0.063,0.099
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.037,0.097,0.714,0.346,0.218,0.09
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.016,0.016,0.021,0.267,0.027,0.013
"P31","En blanco",0,0.006,0.092,0.074,0.575,0.061
"P31","No sabe",0.017,0.003,0.045,0.007,0.048,0.678
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.857,0.024,0.042,0.011,0.016,0.011
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.033,0.842,0.163,0.093,0.066,0.086
"P32","Julio Zamora a intendente por un partido vecinal",0.078,0.077,0.259,0.546,0.263,0.314
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.004,0.027,0.512,0.182,0.194,0.05
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.007,0.02,0.168,0.283,0.048
"P32","En blanco",0.014,0.01,0.002,0,0.164,0.204
"P32","No sabe",0.012,0.013,0.002,0,0.014,0.287
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.923,0.03,0.064,0.104,0.02,0.063
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.037,0.793,0.169,0.017,0.155,0.179
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.02,0.027,0.641,0.473,0.238,0.083
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.005,0.086,0.217,0.128,0.055
"P33","En blanco",0.001,0.041,0.008,0.108,0.372,0.042
"P33","No sabe",0.019,0.104,0.032,0.081,0.087,0.578
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.873,0.01,0.054,0.011,0.081,0.063
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.032,0.793,0.172,0.017,0.13,0.142
"P34","Julio Zamora a intendente por un partido vecinal",0.089,0.064,0.24,0.244,0.259,0.14
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.001,0.031,0.511,0.292,0.197,0.074
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.022,0.002,0.269,0.215,0.042
"P34","En blanco",0.005,0.034,0.008,0.074,0.11,0.238
"P34","No sabe",0,0.046,0.013,0.093,0.008,0.301
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.791,0.016,0.041,0.011,0.024,0.064
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.088,0.11,0.128,0.37,0.161,0.159
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.008,0.459,0.099,0.039,0.159,0.143
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.098,0.377,0.134,0.14,0.083,0.084
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.019,0.585,0.202,0.423,0.06
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.007,0,0.112,0.031,0.124
"P35","En blanco",0.002,0,0.012,0.093,0.084,0.084
"P35","No sabe",0.011,0.012,0.001,0.033,0.035,0.282
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.83,0.006,0.082,0,0.008,0.055
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.003,0.437,0.105,0,0.084,0.093
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.089,0.446,0.15,0.017,0.103,0.081
"P36","Julio Zamora a intendente por un partido vecinal",0.071,0.083,0.082,0.526,0.148,0.241
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.011,0.578,0.252,0.566,0.064
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.002,0,0.112,0.005,0.107
"P36","En blanco",0,0,0.002,0.093,0.05,0.103
"P36","No sabe",0.004,0.015,0.001,0,0.036,0.256
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.895,0.02,0.051,0.014,0.087,0.008
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.049,0.894,0.108,0.02,0.008,0.09
"P38","Julio Zamora a intendente por un partido vecinal",0.056,0.05,0.288,0.192,0.147,0.209
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.019,0.518,0.451,0.259,0.015
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0.018,0.24,0.361,0.05
"P38","En blanco",0,0.005,0,0,0.138,0.288
"P38","No sabe",0,0.012,0.017,0.083,0,0.34
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.91,0.008,0.071,0.043,0.097,0.009
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.074,0.827,0.186,0.021,0.083,0.239
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.007,0.021,0.645,0.282,0.165,0.14
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.017,0.063,0.405,0.158,0.012
"P39","En blanco",0.005,0.031,0.012,0.139,0.44,0
"P39","No sabe",0.001,0.096,0.023,0.11,0.057,0.6
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.63,0.302,0.028,0.015,0.106,0.013
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.286,0.517,0.227,0.028,0.113,0.279
"P40","Julio Zamora a intendente por un partido vecinal",0.07,0.088,0.256,0.269,0.234,0.109
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.021,0.444,0.322,0.233,0.013
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0,0.02,0.252,0.25,0
"P40","En blanco",0.001,0.026,0.001,0.028,0.064,0.388
"P40","No sabe",0.008,0.046,0.024,0.086,0,0.198
"P41","Muy buena",0.467,0.101,0.018,0.015,0.004,0.087
"P41","Buena",0.253,0.109,0.085,0.025,0.099,0.113
"P41","Ni buena ni mala",0.2,0.116,0.202,0.241,0.128,0.209
"P41","Mala",0.05,0.152,0.194,0.07,0.225,0.209
"P41","Muy mala",0.028,0.499,0.493,0.649,0.508,0.314
"P41","No sabe",0.002,0.023,0.008,0,0.036,0.068
"P42","Muy buena",0.329,0.069,0.062,0.306,0.108,0.265
"P42","Buena",0.314,0.138,0.093,0.239,0.106,0.05
"P42","Ni buena ni mala",0.226,0.305,0.156,0.06,0.157,0.245
"P42","Mala",0.066,0.185,0.176,0.029,0.187,0.18
"P42","Muy mala",0.038,0.27,0.491,0.366,0.429,0.24
"P42","No sabe",0.027,0.033,0.022,0,0.013,0.02
"P43","Muy buena",0.123,0.291,0.117,0.073,0.01,0.061
"P43","Buena",0.122,0.392,0.172,0.158,0.052,0.127
"P43","Ni buena ni mala",0.226,0.183,0.36,0.275,0.219,0.337
"P43","Mala",0.194,0.015,0.119,0.068,0.174,0.065
"P43","Muy mala",0.269,0.066,0.21,0.379,0.519,0.316
"P43","No sabe",0.066,0.053,0.022,0.047,0.026,0.094
"P44","Muy buena",0.085,0.232,0.093,0.015,0.022,0.041
"P44","Buena",0.102,0.309,0.199,0.152,0.087,0.093
"P44","Ni buena ni mala",0.234,0.286,0.445,0.22,0.202,0.42
"P44","Mala",0.235,0.028,0.071,0.094,0.086,0.087
"P44","Muy mala",0.245,0.042,0.136,0.472,0.462,0.215
"P44","No sabe",0.099,0.103,0.056,0.047,0.141,0.144
"P45","Muy buena",0.261,0.099,0.058,0.145,0.14,0.139
"P45","Buena",0.352,0.193,0.129,0.399,0.063,0.219
"P45","Ni buena ni mala",0.216,0.33,0.297,0.058,0.184,0.128
"P45","Mala",0.069,0.19,0.165,0,0.206,0.365
"P45","Muy mala",0.057,0.165,0.328,0.398,0.374,0.059
"P45","No sabe",0.045,0.023,0.023,0,0.033,0.09
"P46","Que continúe el intendente Julio Zamora",0.232,0.086,0.064,0.208,0.154,0.261
"P46","Que continúe Julio Zamora pero con mejoras",0.38,0.137,0.127,0.333,0.147,0.167
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.161,0.182,0.212,0.069,0.119,0.254
"P46","Que cambie el intendente Julio Zamora",0.227,0.595,0.597,0.39,0.58,0.318
"P47","Es kirchnerista",0.159,0.203,0.232,0.243,0.126,0.125
"P47","Forma parte del Frente de Todos",0.382,0.307,0.209,0.47,0.142,0.165
"P47","Es un hombre de Massa",0.164,0.123,0.152,0.073,0.223,0.109
"P47","Es un peronista independiente de centro",0.105,0.129,0.145,0.063,0.26,0.143
"P47","Es un oportunista y está donde le conviene",0.085,0.148,0.208,0.142,0.205,0.34
"P47","No sabe",0.105,0.09,0.054,0.009,0.044,0.118
"P48","El tránsito",0.348,0.247,0.299,0.202,0.164,0.144
"P48","El arreglo de las calles",0.142,0.079,0.067,0.197,0.049,0.077
"P48","Los parques y espacios públicos",0.105,0.045,0.109,0.078,0.117,0.009
"P48","El sistema de salud",0.043,0.029,0.058,0.115,0.01,0.121
"P48","La limpieza de las calles",0.128,0.09,0.064,0.034,0.232,0.245
"P48","El deporte y la cultura",0.065,0.126,0.128,0.115,0.073,0.121
"P48","La obra pública",0.012,0.044,0.027,0.044,0.021,0.058
"P48","La luminaria",0.056,0.088,0.049,0,0.065,0.02
"P48","No sabe",0.101,0.252,0.199,0.215,0.269,0.205
"P49","El tránsito",0.213,0.262,0.258,0.236,0.2,0.053
"P49","El arreglo de las calles",0.136,0.103,0.072,0.12,0.166,0.02
"P49","Los parques y espacios públicos",0.189,0.132,0.17,0.09,0.033,0.185
"P49","El sistema de salud",0.098,0.082,0.083,0.042,0.125,0.143
"P49","La limpieza de las calles",0.168,0.193,0.153,0.301,0.222,0.186
"P49","El deporte y la cultura",0.02,0.032,0.068,0.014,0.132,0.021
"P49","La obra pública",0.028,0.036,0.042,0.088,0.01,0.022
"P49","La luminaria",0.042,0.003,0.007,0.028,0.007,0.03
"P49","No sabe",0.106,0.157,0.147,0.081,0.105,0.34
"P50","Agua corriente y cloacas",0.335,0.501,0.437,0.686,0.294,0.337
"P50","Energía eléctrica",0.175,0.132,0.113,0.057,0.206,0.1
"P50","Red de gas natural",0.115,0.07,0.13,0.098,0.114,0.034
"P50","Recolección de residuos",0.153,0.105,0.184,0.048,0.154,0.039
"P50","Ninguno",0.222,0.192,0.136,0.111,0.232,0.49
"P51","Los robos",0.363,0.359,0.247,0.363,0.337,0.223
"P51","El narcotráfico",0.265,0.267,0.325,0.349,0.219,0.226
"P51","La ausencia de patrulleros y personal policial",0.147,0.103,0.157,0.048,0.07,0.169
"P51","Otro",0.114,0.166,0.18,0.124,0.21,0.101
"P51","Ninguno",0.111,0.105,0.091,0.116,0.164,0.281
"P52","Muy buena",0.225,0.071,0.004,0,0.088,0.062
"P52","Buena",0.299,0.044,0.062,0.176,0.064,0.209
"P52","Ni buena ni mala",0.245,0.064,0.084,0.226,0.036,0.14
"P52","Mala",0.14,0.086,0.081,0.141,0.092,0.185
"P52","Muy mala",0.076,0.732,0.744,0.432,0.72,0.404
"P52","No sabe",0.015,0.003,0.025,0.025,0,0
"P53","Muy buena",0.139,0.332,0.219,0.121,0.099,0.073
"P53","Buena",0.098,0.297,0.211,0,0.137,0.151
"P53","Ni buena ni mala",0.064,0.132,0.149,0.203,0.084,0.213
"P53","Mala",0.142,0.096,0.177,0.093,0.099,0.223
"P53","Muy mala",0.557,0.134,0.226,0.583,0.52,0.34
"P53","No sabe",0,0.009,0.018,0,0.061,0
"P54","Muy buena",0.714,0.049,0.09,0.204,0.127,0.136
"P54","Buena",0.063,0.072,0.034,0.125,0.106,0.192
"P54","Ni buena ni mala",0.069,0.036,0.072,0.058,0.036,0.065
"P54","Mala",0.042,0.066,0.072,0.021,0.042,0.076
"P54","Muy mala",0.112,0.767,0.732,0.592,0.689,0.473
"P54","No sabe",0,0.01,0,0,0,0.058
"P55","Muy buena",0.165,0.156,0.028,0.106,0.081,0.063
"P55","Buena",0.063,0.382,0.167,0.172,0.086,0.148
"P55","Ni buena ni mala",0.102,0.234,0.209,0.281,0.196,0.304
"P55","Mala",0.222,0.097,0.188,0.015,0.134,0.11
"P55","Muy mala",0.442,0.13,0.408,0.426,0.503,0.33
"P55","No sabe",0.006,0.001,0,0,0,0.045
"P56","Muy buena",0.317,0.082,0.002,0,0,0.063
"P56","Buena",0.255,0.062,0.084,0.048,0.031,0.019
"P56","Ni buena ni mala",0.244,0.049,0.099,0.262,0.145,0.203
"P56","Mala",0.068,0.167,0.086,0.03,0.129,0.047
"P56","Muy mala",0.116,0.636,0.723,0.66,0.695,0.625
"P56","No sabe",0,0.004,0.006,0,0,0.043
"P57","Muy buena",0.564,0.038,0.002,0.145,0.037,0.098
"P57","Buena",0.229,0.052,0.05,0.071,0.039,0.112
"P57","Ni buena ni mala",0.093,0.143,0.156,0.029,0.191,0.207
"P57","Mala",0.037,0.192,0.133,0.249,0.069,0.088
"P57","Muy mala",0.041,0.518,0.628,0.491,0.6,0.344
"P57","No sabe",0.036,0.057,0.031,0.015,0.064,0.151
"P58","Muy buena",0.116,0.495,0.254,0.104,0.145,0.179
