"var","categoria","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","A Nicolás Massot por Juntos por el Cambio","A Julio Zamora por un partido vecinal","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.672,0.114,0.161,0.232,0.027,0.05,0.151
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.096,0.382,0.47,0.07,0.074,0.016,0.077
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.057,0.286,0.145,0.041,0.035,0.08,0.058
"P19","Julio Zamora a intendente por un partido vecinal",0.039,0.079,0.067,0.423,0.269,0.007,0.041
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.084,0.094,0.141,0.08,0.522,0.2,0.168
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.012,0,0,0.04,0.011,0.296,0.048
"P19","En blanco",0.02,0.017,0.007,0.056,0.025,0.023,0.206
"P19","No sabe",0.02,0.028,0.009,0.058,0.037,0.328,0.251
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.69,0.127,0.138,0.291,0.048,0.197,0.122
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.086,0.554,0.472,0.109,0.041,0.034,0.062
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.104,0.171,0.267,0.153,0.666,0.057,0.157
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.03,0.028,0.044,0.085,0.044,0.352,0.024
"P20","En blanco",0.061,0.043,0.027,0.097,0.101,0.065,0.19
"P20","No sabe",0.029,0.077,0.052,0.265,0.1,0.295,0.445
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.718,0.114,0.125,0.226,0.052,0.03,0.156
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.053,0.569,0.434,0.087,0.052,0.017,0.122
"P21","Julio Zamora a intendente por un partido vecinal",0.085,0.045,0.083,0.391,0.131,0.125,0.045
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.078,0.149,0.232,0.119,0.66,0.115,0.174
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.034,0.011,0.019,0.038,0.025,0.364,0.089
"P21","En blanco",0.006,0.037,0.049,0.085,0.032,0.306,0.093
"P21","No sabe",0.026,0.075,0.058,0.054,0.048,0.043,0.321
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.74,0.104,0.141,0.328,0.071,0.018,0.169
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.072,0.64,0.596,0.115,0.085,0.027,0.159
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.078,0.121,0.184,0.184,0.639,0.011,0.051
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.046,0.02,0.052,0.063,0.09,0.417,0.169
"P22","En blanco",0.025,0.025,0.008,0.1,0.025,0.095,0.046
"P22","No sabe",0.039,0.09,0.019,0.21,0.09,0.432,0.406
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.725,0.11,0.198,0.22,0.054,0.05,0.147
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.059,0.615,0.594,0.123,0.087,0.029,0.144
"P23","Julio Zamora a intendente por un partido vecinal",0.095,0.071,0.098,0.376,0.177,0.01,0.047
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.065,0.085,0.073,0.09,0.556,0.124,0.154
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0,0.004,0.06,0.023,0.329,0.06
"P23","En blanco",0.015,0.026,0.012,0.082,0.065,0.327,0.169
"P23","No sabe",0.025,0.093,0.021,0.049,0.038,0.131,0.279
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.631,0.078,0.139,0.334,0.042,0.105,0.239
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.084,0.1,0.037,0.228,0.029,0.052,0.06
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.064,0.43,0.567,0.152,0.115,0.01,0.179
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.127,0.236,0.144,0.097,0.083,0.01,0.136
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.055,0.087,0.095,0.067,0.664,0.08,0.134
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.011,0.013,0.014,0.029,0.494,0.084
"P24","En blanco",0.009,0.022,0.002,0.027,0.017,0.072,0.028
"P24","No sabe",0.026,0.036,0.003,0.081,0.021,0.177,0.14
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.628,0.08,0.17,0.269,0.038,0.096,0.275
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.069,0.41,0.517,0.094,0.097,0.03,0.206
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.092,0.305,0.185,0.068,0.044,0,0.072
"P25","Julio Zamora a intendente por un partido vecinal",0.075,0.068,0.016,0.442,0.042,0.022,0.027
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.077,0.094,0.077,0.063,0.701,0.07,0.17
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.002,0.006,0.009,0.036,0.527,0.051
"P25","En blanco",0.006,0.017,0.003,0.003,0.006,0.008,0.091
"P25","No sabe",0.049,0.024,0.026,0.052,0.036,0.247,0.108
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.691,0.126,0.204,0.354,0.052,0.256,0.25
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.047,0.567,0.427,0.134,0.062,0,0.163
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.132,0.148,0.18,0.128,0.618,0.037,0.132
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.019,0.031,0.044,0.109,0.031,0.158,0.084
"P26","En blanco",0.05,0.049,0.065,0.091,0.153,0.159,0.161
"P26","No sabe",0.061,0.079,0.08,0.184,0.084,0.39,0.21
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.676,0.102,0.071,0.329,0.042,0.085,0.21
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.076,0.599,0.499,0.065,0.052,0.021,0.12
"P27","Julio Zamora a intendente por un partido vecinal",0.106,0.068,0.196,0.383,0.157,0.056,0.035
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.06,0.133,0.11,0.052,0.642,0.174,0.107
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.026,0.019,0.03,0.031,0.062,0.185,0.173
"P27","En blanco",0.033,0.031,0.035,0.067,0.039,0.41,0.125
"P27","No sabe",0.023,0.048,0.059,0.073,0.006,0.069,0.23
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.736,0.14,0.107,0.43,0.059,0.091,0.322
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.074,0.638,0.617,0.166,0.086,0.026,0.197
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.083,0.098,0.212,0.122,0.609,0.13,0.158
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.034,0.019,0.005,0.038,0.107,0.122,0.09
"P28","En blanco",0.036,0.059,0.044,0.061,0.065,0.074,0.071
"P28","No sabe",0.037,0.046,0.015,0.183,0.074,0.557,0.162
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.677,0.129,0.109,0.328,0.027,0.42,0.333
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.092,0.577,0.69,0.146,0.103,0,0.284
"P29","Julio Zamora a intendente por un partido vecinal",0.108,0.084,0.112,0.411,0.192,0.031,0.016
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.055,0.122,0.072,0.04,0.552,0.025,0.079
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.03,0.008,0.012,0.015,0.077,0.135,0.127
"P29","En blanco",0.018,0.04,0,0.012,0.031,0.238,0.033
"P29","No sabe",0.02,0.04,0.005,0.048,0.018,0.151,0.128
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.713,0.059,0.171,0.237,0.03,0.112,0.323
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.063,0.289,0.51,0.053,0.061,0.158,0.058
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.082,0.496,0.191,0.05,0.032,0.026,0.058
"P30","Julio Zamora a intendente por un partido vecinal",0.049,0.045,0.026,0.616,0.075,0.052,0.142
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.061,0.083,0.084,0.022,0.745,0.043,0.104
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.001,0,0.006,0.018,0.164,0.047
"P30","En blanco",0.019,0.011,0.012,0,0.018,0.086,0.033
"P30","No sabe",0.013,0.016,0.006,0.016,0.021,0.359,0.235
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.674,0.093,0.164,0.329,0.045,0.251,0.396
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.073,0.62,0.492,0.125,0.067,0.026,0.167
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.167,0.163,0.213,0.113,0.592,0.018,0.092
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.013,0.02,0,0.127,0.011,0.201,0.049
"P31","En blanco",0.028,0.035,0.079,0.114,0.195,0.027,0.064
"P31","No sabe",0.045,0.069,0.052,0.192,0.09,0.477,0.232
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.651,0.084,0.199,0.281,0.028,0.115,0.384
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.076,0.656,0.455,0.039,0.062,0,0.176
"P32","Julio Zamora a intendente por un partido vecinal",0.152,0.065,0.106,0.532,0.209,0.194,0.041
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.031,0.115,0.152,0.094,0.538,0.056,0.092
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.04,0.008,0.021,0.008,0.111,0.137,0.082
"P32","En blanco",0.034,0.033,0.019,0.038,0.045,0.139,0.076
"P32","No sabe",0.016,0.039,0.048,0.008,0.007,0.359,0.149
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.752,0.063,0.183,0.326,0.044,0.114,0.436
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.083,0.636,0.585,0.082,0.052,0,0.057
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.103,0.099,0.137,0.234,0.614,0.029,0.071
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.025,0.034,0.057,0.095,0.327,0.17
"P33","En blanco",0.022,0.051,0.018,0.134,0.075,0,0.068
"P33","No sabe",0.037,0.126,0.043,0.167,0.12,0.53,0.198
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.74,0.079,0.186,0.233,0.037,0.072,0.376
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.072,0.602,0.508,0.071,0.062,0.068,0.057
"P34","Julio Zamora a intendente por un partido vecinal",0.086,0.06,0.087,0.526,0.173,0.028,0.035
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.033,0.109,0.083,0.066,0.557,0.051,0.223
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.028,0.013,0.083,0.019,0.068,0.254,0.1
"P34","En blanco",0.035,0.061,0,0.085,0.07,0.129,0.087
"P34","No sabe",0.006,0.076,0.053,0,0.033,0.398,0.122
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.612,0.055,0.224,0.276,0.053,0.082,0.161
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.088,0.132,0.063,0.358,0.107,0.073,0.108
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.037,0.31,0.38,0.078,0.059,0,0.149
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.139,0.393,0.128,0.043,0.05,0,0.144
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.082,0.082,0.145,0.099,0.677,0.046,0.116
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.031,0.006,0,0.014,0.013,0.252,0.053
"P35","En blanco",0.008,0,0.058,0.025,0.034,0.1,0.033
"P35","No sabe",0.003,0.022,0.002,0.107,0.007,0.447,0.236
"P36","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.702,0.05,0.25,0.305,0.037,0.098,0.178
"P36","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.059,0.274,0.357,0.07,0.049,0,0.106
"P36","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.072,0.467,0.17,0.023,0.021,0.041,0.182
"P36","Julio Zamora a intendente por un partido vecinal",0.055,0.06,0.039,0.545,0.102,0.033,0.028
"P36","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.084,0.082,0.101,0.036,0.746,0.018,0.207
"P36","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.024,0.001,0.011,0.008,0.003,0.257,0.057
"P36","En blanco",0,0.004,0.059,0.002,0.028,0.21,0.033
"P36","No sabe",0.004,0.062,0.013,0.011,0.014,0.343,0.209
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.698,0.078,0.196,0.394,0.05,0.08,0.345
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.076,0.627,0.485,0.103,0.027,0.028,0.09
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.122,0.176,0.169,0.143,0.585,0.063,0.096
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.023,0.008,0.068,0.1,0.048,0.117,0.058
"P37","En blanco",0.039,0.043,0.043,0.13,0.18,0.028,0.251
"P37","No sabe",0.042,0.068,0.039,0.13,0.11,0.684,0.16
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.747,0.078,0.189,0.3,0.029,0.077,0.346
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.085,0.724,0.492,0.014,0.05,0.052,0.065
"P38","Julio Zamora a intendente por un partido vecinal",0.081,0.054,0.103,0.542,0.128,0.039,0.039
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.041,0.074,0.129,0.026,0.604,0.072,0.164
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.024,0.005,0.026,0.03,0.125,0.227,0.134
"P38","En blanco",0.017,0.028,0.032,0.047,0.056,0.107,0.096
"P38","No sabe",0.005,0.037,0.029,0.041,0.008,0.426,0.156
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.725,0.077,0.179,0.414,0.018,0.126,0.368
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.12,0.698,0.568,0.083,0.105,0.058,0.046
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.074,0.093,0.168,0.205,0.552,0.249,0.111
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.02,0.009,0.048,0.049,0.114,0.089,0.168
"P39","En blanco",0.027,0.046,0.017,0.104,0.1,0,0.102
"P39","No sabe",0.034,0.077,0.02,0.145,0.111,0.478,0.205
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.528,0.245,0.372,0.163,0.036,0.093,0.207
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.275,0.497,0.445,0.173,0.101,0.236,0.235
"P40","Julio Zamora a intendente por un partido vecinal",0.081,0.088,0.064,0.487,0.195,0.044,0.042
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.044,0.078,0.071,0.029,0.524,0.023,0.174
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.037,0,0.039,0.046,0.063,0.072,0.082
"P40","En blanco",0.02,0.028,0.009,0.075,0.069,0.411,0.033
"P40","No sabe",0.015,0.064,0,0.027,0.012,0.121,0.227
"P41","Muy buena",0.397,0.099,0.186,0.111,0.025,0.249,0.05
"P41","Buena",0.214,0.118,0.131,0.183,0.059,0.042,0.169
"P41","Ni buena ni mala",0.243,0.15,0.074,0.25,0.134,0,0.244
"P41","Mala",0.024,0.188,0.111,0.121,0.247,0.03,0.278
"P41","Muy mala",0.117,0.429,0.486,0.304,0.526,0.635,0.173
"P41","No sabe",0.005,0.016,0.012,0.031,0.009,0.044,0.086
"P42","Muy buena",0.232,0.077,0.102,0.518,0.066,0.223,0.073
"P42","Buena",0.281,0.1,0.098,0.358,0.07,0,0.201
"P42","Ni buena ni mala",0.278,0.254,0.249,0.065,0.157,0.141,0.305
"P42","Mala",0.063,0.251,0.157,0.005,0.18,0,0.185
"P42","Muy mala",0.121,0.29,0.36,0.051,0.518,0.591,0.154
"P42","No sabe",0.025,0.028,0.034,0.003,0.009,0.045,0.082
"P43","Muy buena",0.107,0.309,0.188,0.068,0.043,0.03,0.058
"P43","Buena",0.079,0.325,0.394,0.139,0.117,0.209,0.163
"P43","Ni buena ni mala",0.263,0.219,0.204,0.251,0.363,0,0.315
"P43","Mala",0.191,0.02,0.041,0.119,0.183,0.111,0.079
"P43","Muy mala",0.293,0.086,0.15,0.394,0.245,0.604,0.248
"P43","No sabe",0.067,0.041,0.023,0.029,0.049,0.046,0.137
"P44","Muy buena",0.061,0.168,0.284,0.092,0.044,0.029,0.051
"P44","Buena",0.069,0.244,0.426,0.115,0.159,0,0.141
"P44","Ni buena ni mala",0.331,0.357,0.167,0.174,0.37,0.516,0.305
"P44","Mala",0.158,0.063,0.054,0.163,0.123,0.089,0.088
"P44","Muy mala",0.278,0.049,0.042,0.356,0.225,0.366,0.229
"P44","No sabe",0.103,0.119,0.027,0.1,0.079,0,0.186
"P45","Muy buena",0.129,0.132,0.099,0.46,0.051,0,0.063
"P45","Buena",0.331,0.129,0.237,0.443,0.075,0.172,0.189
"P45","Ni buena ni mala",0.274,0.286,0.307,0.06,0.262,0.108,0.284
"P45","Mala",0.066,0.247,0.125,0.018,0.224,0.551,0.119
"P45","Muy mala",0.126,0.196,0.232,0.003,0.366,0.169,0.191
"P45","No sabe",0.074,0.01,0,0.016,0.022,0,0.154
"P46","Que continúe el intendente Julio Zamora",0.109,0.085,0.088,0.553,0.068,0.261,0.069
"P46","Que continúe Julio Zamora pero con mejoras",0.348,0.094,0.164,0.42,0.091,0.021,0.357
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.252,0.221,0.155,0.019,0.107,0.409,0.198
"P46","Que cambie el intendente Julio Zamora",0.291,0.6,0.593,0.008,0.734,0.309,0.376
"P47","Es kirchnerista",0.123,0.208,0.219,0.246,0.221,0,0.137
"P47","Forma parte del Frente de Todos",0.368,0.258,0.303,0.413,0.184,0,0.176
"P47","Es un hombre de Massa",0.165,0.163,0.138,0.045,0.138,0.302,0.19
"P47","Es un peronista independiente de centro",0.099,0.109,0.116,0.255,0.173,0.021,0.12
"P47","Es un oportunista y está donde le conviene",0.151,0.183,0.182,0.012,0.189,0.644,0.146
"P47","No sabe",0.094,0.079,0.042,0.029,0.095,0.033,0.231
"P48","El tránsito",0.245,0.263,0.274,0.408,0.292,0.022,0.17
"P48","El arreglo de las calles",0.114,0.056,0.173,0.045,0.099,0.047,0.181
"P48","Los parques y espacios públicos",0.122,0.05,0.097,0.052,0.079,0.082,0.098
"P48","El sistema de salud",0.053,0.043,0.021,0.039,0.045,0.204,0.105
"P48","La limpieza de las calles",0.155,0.086,0.091,0.128,0.075,0.331,0.159
"P48","El deporte y la cultura",0.072,0.105,0.088,0.136,0.123,0.148,0.137
"P48","La obra pública",0.012,0.062,0.006,0.085,0,0,0
"P48","La luminaria",0.074,0.067,0.061,0.04,0.05,0,0.024
"P48","No sabe",0.153,0.268,0.189,0.067,0.237,0.166,0.126
"P49","El tránsito",0.124,0.247,0.298,0.201,0.294,0.047,0.348
"P49","El arreglo de las calles",0.113,0.082,0.184,0.101,0.064,0,0.18
"P49","Los parques y espacios públicos",0.17,0.152,0.235,0.151,0.084,0.258,0.091
"P49","El sistema de salud",0.076,0.086,0.074,0.079,0.091,0.461,0.136
"P49","La limpieza de las calles",0.236,0.169,0.061,0.229,0.194,0.149,0.097
"P49","El deporte y la cultura",0.03,0.047,0.027,0.047,0.084,0,0
"P49","La obra pública",0.037,0.053,0.044,0.028,0.012,0,0.007
"P49","La luminaria",0.033,0.016,0,0.034,0.009,0,0.011
"P49","No sabe",0.181,0.148,0.077,0.13,0.168,0.085,0.13
"P50","Agua corriente y cloacas",0.343,0.518,0.548,0.379,0.381,0.193,0.256
"P50","Energía eléctrica",0.129,0.15,0.062,0.119,0.128,0.457,0.265
"P50","Red de gas natural",0.112,0.098,0.149,0.053,0.089,0.053,0.107
"P50","Recolección de residuos",0.184,0.063,0.094,0.17,0.214,0,0.04
"P50","Ninguno",0.232,0.171,0.147,0.279,0.188,0.297,0.332
"P51","Los robos",0.34,0.351,0.408,0.153,0.312,0.249,0.309
"P51","El narcotráfico",0.251,0.309,0.289,0.271,0.304,0.149,0.193
"P51","La ausencia de patrulleros y personal policial",0.146,0.124,0.071,0.218,0.077,0.129,0.188
"P51","Otro",0.166,0.122,0.16,0.118,0.159,0.29,0.199
"P51","Ninguno",0.097,0.094,0.072,0.24,0.148,0.183,0.111
"P52","Muy buena",0.16,0.118,0.029,0.084,0.019,0.035,0.146
"P52","Buena",0.243,0.035,0.108,0.207,0.082,0.602,0.108
"P52","Ni buena ni mala",0.22,0.088,0.116,0.196,0.048,0.069,0.118
"P52","Mala",0.142,0.068,0.059,0.264,0.064,0.147,0.078
"P52","Muy mala",0.208,0.69,0.688,0.239,0.782,0.147,0.49
"P52","No sabe",0.027,0.001,0,0.01,0.005,0,0.06
