"var","categoria","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Julio Zamora a intendente por un partido vecinal","A los candidatos a gobernador y a intendente de la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P14","A Paula Akerfeld por el Frente de Izquierda",0.021,0.053,0,0.073,0.008,0.128,0.269,0.233
"P14","No sabe",0.042,0.129,0.117,0.304,0.08,0.196,0.325,0.307
"P16","A Malena Galmarini por el Frente de Todos",0.673,0.108,0.115,0.13,0.11,0.377,0,0.031
"P16","A Segundo Cernadas por Juntos por el Cambio",0.043,0.451,0.672,0.128,0.096,0.02,0.049,0.398
"P16","A Nicolás Massot por Juntos por el Cambio",0.109,0.299,0.125,0.042,0.06,0.074,0.37,0.043
"P16","A Julio Zamora por un partido vecinal",0.117,0.051,0.015,0.517,0.019,0.047,0.012,0.031
"P16","Al candidato de los liberales libertarios",0.024,0.062,0.024,0.167,0.673,0.027,0.265,0.072
"P16","A Paula Akerfeld por el Frente de Izquierda",0.008,0,0.005,0.006,0.002,0.323,0.236,0.201
"P16","No sabe",0.026,0.029,0.044,0.01,0.04,0.132,0.068,0.224
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.777,0.01,0.084,0.233,0,0,0.174,0
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.112,0.041,0.046,0.332,0.043,0.013,0.348,0.203
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.027,0.8,0.39,0.182,0.061,0.269,0.071,0.298
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.006,0.035,0.385,0.093,0.036,0.02,0,0
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.009,0.073,0.058,0.072,0.846,0.034,0.043,0.123
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.008,0,0.004,0.006,0.637,0,0
"P18","En blanco",0.007,0.009,0.004,0.036,0.008,0,0.081,0.062
"P18","No sabe",0.054,0.024,0.033,0.048,0,0.027,0.283,0.314
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.836,0.045,0.106,0.092,0.003,0,0,0
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.059,0.732,0.382,0.08,0.027,0.074,0,0.197
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.002,0.116,0.396,0.091,0.022,0.215,0.407,0.045
"P19","Julio Zamora a intendente por un partido vecinal",0.021,0.04,0.055,0.634,0.249,0.034,0,0.238
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.024,0.029,0.038,0.066,0.691,0.145,0.032,0.108
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.008,0,0.01,0.002,0.505,0.194,0.061
"P19","En blanco",0.009,0.02,0.019,0.027,0.006,0,0.084,0
"P19","No sabe",0.045,0.01,0.004,0,0,0.027,0.283,0.351
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.82,0.011,0.106,0.257,0.001,0.195,0,0.027
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.038,0.553,0.658,0.144,0.053,0.094,0.033,0.126
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.033,0.218,0.146,0.228,0.668,0.013,0.406,0.139
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.044,0.055,0.031,0.112,0.069,0.617,0,0
"P20","En blanco",0.031,0.053,0.015,0.074,0.197,0.054,0.104,0.054
"P20","No sabe",0.034,0.11,0.044,0.185,0.012,0.027,0.457,0.654
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.811,0.045,0.068,0.117,0.065,0.377,0,0.028
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.029,0.486,0.723,0.134,0.036,0.037,0.207,0.064
"P21","Julio Zamora a intendente por un partido vecinal",0.099,0.049,0.026,0.543,0.14,0.228,0.049,0.047
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.219,0.112,0.105,0.696,0.013,0.021,0.109
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.052,0.017,0.027,0.058,0.261,0.012,0.031
"P21","En blanco",0.007,0.065,0.025,0.066,0.003,0.047,0.711,0.177
"P21","No sabe",0.015,0.084,0.029,0.008,0.002,0.037,0,0.544
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.851,0.051,0.058,0.243,0.033,0.377,0,0.027
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.029,0.802,0.728,0.143,0.048,0.094,0.033,0.301
"P22","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.067,0.017,0.07,0.283,0.72,0,0.406,0.072
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.015,0.024,0.059,0.139,0.469,0,0.048
"P22","En blanco",0.013,0.032,0.008,0.07,0.057,0.034,0.13,0
"P22","No sabe",0.018,0.083,0.112,0.202,0.003,0.026,0.431,0.552
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.887,0.067,0.058,0.083,0.036,0.377,0,0.028
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.039,0.79,0.651,0.169,0.038,0.074,0.071,0.286
"P23","Julio Zamora a intendente por un partido vecinal",0.009,0.031,0.096,0.595,0.187,0.054,0.337,0.031
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.018,0.013,0.046,0.039,0.658,0.081,0.044,0.063
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.036,0.005,0.019,0.023,0.388,0.046,0.01
"P23","En blanco",0.01,0.047,0.057,0.077,0.017,0.026,0.384,0.123
"P23","No sabe",0.022,0.016,0.087,0.018,0.041,0,0.118,0.459
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.828,0.053,0.066,0.266,0.02,0.39,0,0.028
"P24","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.051,0.135,0.088,0.301,0.025,0.021,0.082,0.207
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.024,0.728,0.371,0.187,0.079,0.074,0.337,0.243
"P24","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.056,0.048,0.326,0.122,0.105,0.02,0,0.089
"P24","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.019,0.009,0.066,0.081,0.731,0.013,0.044,0.072
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.011,0.024,0.002,0,0.469,0.292,0.016
"P24","En blanco",0,0,0.039,0,0.001,0.013,0.245,0
"P24","No sabe",0.016,0.016,0.02,0.041,0.039,0,0,0.345
"P25","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.848,0.002,0.044,0.128,0.04,0.39,0,0.027
"P25","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.063,0.779,0.328,0.056,0.034,0.074,0.07,0.243
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.037,0.122,0.464,0.119,0.024,0.02,0.337,0.031
"P25","Julio Zamora a intendente por un partido vecinal",0.016,0.033,0.027,0.649,0.049,0.021,0.012,0.203
"P25","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.021,0.012,0.064,0.03,0.842,0.013,0.032,0.12
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.014,0.004,0.004,0.006,0.469,0.292,0
"P25","En blanco",0.002,0,0.043,0,0,0,0.139,0.062
"P25","No sabe",0.013,0.038,0.026,0.014,0.005,0.013,0.118,0.314
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.853,0.097,0.116,0.236,0.068,0.39,0,0.028
"P26","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.029,0.521,0.649,0.153,0.031,0.094,0,0.17
"P26","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.069,0.222,0.101,0.167,0.645,0.013,0.418,0.063
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.023,0.041,0.159,0.044,0.261,0,0.031
"P26","En blanco",0.016,0.05,0.041,0.051,0.203,0.229,0.139,0.085
"P26","No sabe",0.027,0.087,0.052,0.234,0.009,0.013,0.443,0.623
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.789,0.023,0.117,0.081,0.032,0.013,0,0.203
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.054,0.566,0.668,0.119,0.062,0.094,0,0.16
"P27","Julio Zamora a intendente por un partido vecinal",0.11,0.073,0.051,0.569,0.161,0.047,0.349,0.037
"P27","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.174,0.079,0.093,0.683,0.215,0.07,0.069
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.045,0.006,0.015,0.057,0.617,0.046,0.101
"P27","En blanco",0.017,0.059,0.043,0.097,0.003,0.014,0.384,0.216
"P27","No sabe",0.009,0.06,0.036,0.026,0.002,0,0.151,0.214
"P28","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.878,0.084,0.116,0.243,0.032,0.013,0,0.231
"P28","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.047,0.826,0.705,0.191,0.027,0.074,0.07,0.183
"P28","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.039,0.016,0.064,0.206,0.701,0.215,0.381,0.094
"P28","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.009,0.021,0.053,0.147,0.274,0,0
"P28","En blanco",0.016,0.035,0.03,0.092,0.085,0.377,0.139,0.062
"P28","No sabe",0.02,0.03,0.064,0.215,0.008,0.047,0.41,0.43
"P29","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.829,0.065,0.119,0.096,0.032,0.208,0,0.028
"P29","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.121,0.753,0.638,0.15,0.05,0.074,0.071,0.266
"P29","Julio Zamora a intendente por un partido vecinal",0.03,0.058,0.064,0.658,0.185,0.02,0.348,0.225
"P29","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0,0.084,0.072,0.076,0.634,0.034,0.032,0.092
"P29","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0.032,0.018,0,0.077,0.617,0.058,0
"P29","En blanco",0.006,0.008,0.043,0.012,0.003,0.027,0.373,0.123
"P29","No sabe",0.004,0,0.046,0.008,0.019,0.02,0.118,0.266
"P30","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.914,0.002,0.061,0.062,0.003,0,0,0.027
"P30","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.037,0.865,0.117,0.008,0.008,0.269,0.37,0.271
"P30","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.027,0.073,0.705,0.147,0.039,0.02,0,0.107
"P30","Julio Zamora a intendente por un partido vecinal",0.016,0.055,0.054,0.745,0.037,0.034,0.012,0.02
"P30","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.006,0.005,0.025,0.012,0.902,0.013,0.032,0.072
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0,0,0,0.287,0.174,0
"P30","En blanco",0,0,0.024,0.002,0.011,0,0.294,0
"P30","No sabe",0,0,0.014,0.024,0,0.377,0.118,0.503
"P31","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.848,0.015,0.144,0.202,0.01,0.195,0,0.028
"P31","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.015,0.655,0.663,0.155,0.034,0.074,0.337,0.142
"P31","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.131,0.206,0.111,0.254,0.614,0.02,0.02,0.078
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.007,0.04,0.101,0,0.261,0,0.031
"P31","En blanco",0,0.032,0.008,0.094,0.314,0.047,0.2,0
"P31","No sabe",0.004,0.085,0.034,0.194,0.028,0.403,0.443,0.721
"P32","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.885,0.001,0.091,0.037,0,0.013,0,0.028
"P32","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0,0.675,0.742,0.099,0.074,0.057,0.37,0.045
"P32","Julio Zamora a intendente por un partido vecinal",0.091,0.053,0.074,0.825,0.179,0.215,0.012,0.068
"P32","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.012,0.116,0.048,0.009,0.575,0.014,0.02,0.139
"P32","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.002,0.038,0.002,0.023,0.159,0.261,0.032,0
"P32","En blanco",0.002,0.075,0.033,0.007,0.011,0.39,0.448,0.115
"P32","No sabe",0.008,0.042,0.01,0,0.002,0.05,0.118,0.605
"P33","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.914,0.025,0.108,0.176,0,0.013,0.337,0.028
"P33","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.001,0.846,0.627,0.144,0.052,0.037,0.033,0.048
"P33","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.078,0.034,0.077,0.303,0.67,0.013,0.02,0.119
"P33","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.012,0.021,0.029,0.121,0.456,0,0.016
"P33","En blanco",0,0.025,0.058,0.113,0.142,0.02,0.142,0
"P33","No sabe",0.007,0.058,0.109,0.235,0.015,0.461,0.468,0.789
"P34","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.951,0.002,0.104,0.014,0.033,0,0,0.028
"P34","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.002,0.862,0.626,0.12,0.013,0.074,0.033,0.063
"P34","Julio Zamora a intendente por un partido vecinal",0.047,0.048,0.079,0.652,0.16,0.034,0.012,0.075
"P34","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.037,0.06,0.034,0.666,0,0.02,0.06
"P34","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.011,0.017,0.037,0.114,0.455,0.02,0.031
"P34","En blanco",0,0.024,0.061,0.125,0.011,0.417,0.286,0.123
"P34","No sabe",0,0.016,0.053,0.018,0.003,0.02,0.629,0.62
"P35","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.843,0.026,0.01,0.093,0.016,0.037,0,0
"P35","Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.076,0.176,0.105,0.474,0.02,0,0,0.235
"P35","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0,0.718,0.214,0.064,0.025,0.037,0,0.11
"P35","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.072,0.058,0.638,0.162,0.064,0.02,0,0.059
"P35","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.016,0.02,0.093,0.861,0.013,0.02,0.026
"P35","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0.003,0.024,0.003,0.872,0.084,0.031
"P35","En blanco",0.008,0,0,0.021,0.011,0.021,0.766,0.019
"P35","No sabe",0.001,0.006,0.01,0.069,0,0,0.13,0.52
"P37","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.905,0.005,0.135,0.179,0,0.048,0,0.037
"P37","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.006,0.742,0.605,0.185,0.014,0.029,0,0.122
"P37","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.068,0.152,0.174,0.156,0.659,0,0.026,0.009
"P37","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0.003,0.186,0.053,0.29,0.215,0
"P37","En blanco",0.002,0.046,0.045,0.107,0.244,0.026,0.235,0.096
"P37","No sabe",0.019,0.055,0.038,0.187,0.03,0.607,0.524,0.736
"P38","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.941,0.026,0.097,0.035,0.025,0,0,0.074
"P38","Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.032,0.686,0.76,0.123,0.013,0.05,0,0.106
"P38","Julio Zamora a intendente por un partido vecinal",0.025,0.059,0.076,0.636,0.145,0.026,0,0.009
"P38","A los candidatos a gobernador y a intendente de la Libertad Avanza",0,0.097,0.021,0.111,0.661,0.026,0.031,0.051
"P38","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.033,0.002,0.023,0.152,0.543,0.09,0
"P38","En blanco",0.002,0.056,0.019,0.039,0.004,0.355,0.693,0.113
"P38","No sabe",0,0.043,0.025,0.033,0,0,0.186,0.647
"P39","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.916,0.024,0.104,0.181,0.022,0,0,0.04
"P39","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.059,0.866,0.661,0.138,0.029,0,0,0.191
"P39","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.019,0.018,0.076,0.325,0.655,0.285,0.042,0.014
"P39","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.013,0.009,0.033,0.169,0.354,0,0.041
"P39","En blanco",0.003,0.021,0.055,0.111,0.114,0.027,0.304,0.041
"P39","No sabe",0.003,0.058,0.095,0.212,0.011,0.334,0.654,0.673
"P40","Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.673,0.341,0.176,0.028,0.028,0,0,0.072
"P40","Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.306,0.559,0.56,0.085,0.028,0.309,0,0.161
"P40","Julio Zamora a intendente por un partido vecinal",0.015,0.027,0.11,0.642,0.198,0.048,0.029,0.042
"P40","A los candidatos a gobernador y a intendente de la Libertad Avanza",0.002,0.01,0.049,0.025,0.645,0,0.044,0.014
"P40","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.023,0.004,0.066,0.096,0.288,0,0
"P40","En blanco",0.004,0,0.035,0.127,0.002,0.325,0.673,0.312
"P40","No sabe",0,0.04,0.066,0.027,0.003,0.03,0.254,0.399
"P41","Muy buena",0.504,0.148,0.051,0.005,0,0.262,0,0.069
"P41","Buena",0.233,0.122,0.168,0.156,0.031,0,0,0.081
"P41","Ni buena ni mala",0.195,0.102,0.179,0.295,0.136,0.316,0.417,0
"P41","Mala",0.044,0.1,0.174,0.158,0.236,0.029,0.085,0.359
"P41","Muy mala",0.022,0.516,0.402,0.355,0.597,0.393,0.362,0.356
"P41","No sabe",0.002,0.012,0.026,0.031,0,0,0.136,0.135
"P42","Muy buena",0.311,0.068,0.045,0.541,0.005,0.292,0.029,0.023
"P42","Buena",0.303,0.133,0.128,0.25,0.072,0,0.029,0.051
"P42","Ni buena ni mala",0.242,0.242,0.309,0.092,0.135,0.263,0.404,0.283
"P42","Mala",0.064,0.188,0.217,0.034,0.198,0.053,0,0.236
"P42","Muy mala",0.052,0.313,0.275,0.083,0.581,0.392,0.509,0.374
"P42","No sabe",0.028,0.056,0.026,0,0.009,0,0.029,0.033
"P43","Muy buena",0.119,0.216,0.303,0.061,0.062,0.03,0.029,0.103
"P43","Buena",0.108,0.278,0.403,0.221,0.086,0.288,0,0.042
"P43","Ni buena ni mala",0.216,0.291,0.188,0.214,0.367,0.081,0.452,0.33
"P43","Mala",0.235,0.041,0.02,0.102,0.127,0,0,0.042
"P43","Muy mala",0.259,0.124,0.04,0.345,0.338,0.601,0.435,0.33
"P43","No sabe",0.063,0.05,0.046,0.057,0.02,0,0.084,0.153
"P44","Muy buena",0.081,0.318,0.128,0.042,0.051,0.03,0,0.01
"P44","Buena",0.089,0.242,0.309,0.254,0.105,0.021,0,0.19
"P44","Ni buena ni mala",0.262,0.277,0.34,0.168,0.42,0.315,0.775,0.362
"P44","Mala",0.217,0.042,0.039,0.132,0.102,0.053,0,0.065
"P44","Muy mala",0.251,0.064,0.06,0.279,0.251,0.581,0.047,0.234
"P44","No sabe",0.1,0.057,0.124,0.125,0.071,0,0.178,0.139
"P45","Muy buena",0.254,0.089,0.076,0.37,0.019,0.027,0.055,0.009
"P45","Buena",0.337,0.177,0.153,0.447,0.072,0,0,0.271
"P45","Ni buena ni mala",0.233,0.263,0.363,0.128,0.252,0.072,0.098,0.231
"P45","Mala",0.078,0.208,0.207,0.007,0.195,0.267,0.754,0.288
"P45","Muy mala",0.042,0.235,0.191,0.033,0.453,0.367,0,0.064
"P45","No sabe",0.056,0.028,0.01,0.015,0.009,0.267,0.093,0.137
"P46","Que continúe el intendente Julio Zamora",0.233,0.106,0.03,0.466,0.007,0.306,0.056,0.037
"P46","Que continúe Julio Zamora pero con mejoras",0.353,0.154,0.131,0.377,0.088,0.276,0.028,0.162
"P46","Que cambie Julio Zamora pero que se mantengan los avances",0.199,0.141,0.234,0.084,0.151,0.073,0.66,0.298
"P46","Que cambie el intendente Julio Zamora",0.215,0.599,0.605,0.073,0.754,0.345,0.256,0.503
"P47","Es kirchnerista",0.175,0.232,0.173,0.215,0.194,0.254,0,0.016
"P47","Forma parte del Frente de Todos",0.35,0.225,0.335,0.424,0.18,0,0,0.189
"P47","Es un hombre de Massa",0.186,0.117,0.166,0.052,0.166,0.043,0.318,0.048
"P47","Es un peronista independiente de centro",0.087,0.139,0.121,0.192,0.162,0.277,0.455,0
"P47","Es un oportunista y está donde le conviene",0.096,0.228,0.12,0.042,0.228,0.426,0.227,0.599
"P47","No sabe",0.106,0.059,0.085,0.075,0.07,0,0,0.148
"P48","El tránsito",0.361,0.264,0.214,0.279,0.262,0.03,0.083,0.175
"P48","El arreglo de las calles",0.114,0.072,0.109,0.139,0.072,0,0.028,0.058
"P48","Los parques y espacios públicos",0.112,0.069,0.084,0.042,0.096,0.022,0,0
"P48","El sistema de salud",0.054,0.026,0.028,0.086,0.013,0.489,0.042,0.153
"P48","La limpieza de las calles",0.126,0.155,0.07,0.075,0.105,0.284,0.098,0.28
"P48","El deporte y la cultura",0.051,0.058,0.14,0.174,0.113,0,0.619,0.087
"P48","La obra pública",0.015,0.045,0.043,0.082,0.004,0,0,0
"P48","La luminaria",0.06,0.051,0.101,0.038,0.047,0,0.047,0
"P48","No sabe",0.107,0.26,0.211,0.085,0.288,0.175,0.083,0.247
"P49","El tránsito",0.21,0.221,0.274,0.128,0.281,0.208,0.055,0.117
"P49","El arreglo de las calles",0.106,0.127,0.123,0.104,0.089,0,0.028,0
"P49","Los parques y espacios públicos",0.201,0.16,0.122,0.178,0.09,0.335,0.042,0.178
"P49","El sistema de salud",0.075,0.092,0.078,0.109,0.103,0.03,0.359,0.153
"P49","La limpieza de las calles",0.187,0.103,0.184,0.146,0.224,0.283,0.13,0.381
"P49","El deporte y la cultura",0.032,0.03,0.052,0.036,0.07,0,0,0.058
