"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P14","Los votaría",0.427,0.271,0.046,0.101
"P14","Puede que los vote",0.312,0.46,0.077,0.1
"P14","Nunca los votaría",0.163,0.184,0.846,0.159
"P14","No sabe",0.098,0.085,0.031,0.64
"P15","Los votaría",0.131,0.07,0.263,0.057
"P15","Puede que los vote",0.104,0.112,0.19,0.054
"P15","Nunca los votaría",0.739,0.792,0.496,0.416
"P15","No sabe",0.026,0.026,0.051,0.473
"P16","Los votaría",0.362,0.299,0.083,0.081
"P16","Puede que los vote",0.342,0.318,0.108,0.188
"P16","Nunca los votaría",0.232,0.281,0.778,0.228
"P16","No sabe",0.064,0.102,0.031,0.503
"P17","Los votaría",0.47,0.123,0.022,0.021
"P17","Puede que los vote",0.31,0.57,0.051,0.142
"P17","Nunca los votaría",0.172,0.169,0.916,0.17
"P17","No sabe",0.048,0.138,0.011,0.667
"P18","Los votaría",0.511,0.386,0.071,0.19
"P18","Puede que los vote",0.28,0.329,0.09,0.193
"P18","Nunca los votaría",0.153,0.217,0.82,0.152
"P18","No sabe",0.056,0.068,0.019,0.465
"P19","Los votaría",0.099,0.099,0.35,0.102
"P19","Puede que los vote",0.096,0.077,0.15,0.101
"P19","Nunca los votaría",0.772,0.787,0.48,0.439
"P19","No sabe",0.033,0.037,0.02,0.358
"P20","Los votaría",0.423,0.411,0.135,0.157
"P20","Puede que los vote",0.286,0.277,0.1,0.215
"P20","Nunca los votaría",0.247,0.273,0.746,0.221
"P20","No sabe",0.044,0.039,0.019,0.407
"P21","Ricardo López Murphy",0.306,0.301,0.111,0.151
"P21","Rodolfo Suárez",0.065,0.098,0.012,0.08
"P21","Rodrigo de Loredo",0.114,0.114,0.168,0.13
"P21","Maximiliano Abad",0.034,0.016,0.023,0.16
"P21","Luis Naidenoff",0.044,0.043,0.012,0.029
"P21","Martín Tetaz",0.123,0.111,0.034,0.05
"P21","José Luis Espert",0.186,0.163,0.087,0.089
"P21","No sabe",0.128,0.154,0.553,0.311
"P22","Gustavo Valdés",0.088,0.086,0.016,0.022
"P22","Gerardo Morales",0.216,0.235,0.034,0.186
"P22","María Eugenia Vidal",0.237,0.226,0.106,0.127
"P22","Cristian Ritondo",0.036,0.048,0.023,0.089
"P22","Emilio Monzó",0.06,0.043,0.022,0.026
"P22","Martín Lousteau",0.211,0.185,0.048,0.088
"P22","Juan Schiaretti",0.037,0.045,0.039,0.068
"P22","Soledad Acuña",0.051,0.039,0.276,0.051
"P22","No sabe",0.064,0.093,0.436,0.343
"P23","Wado De Pedro",0.054,0.066,0.325,0.118
"P23","Victoria Tolosa Paz",0.107,0.105,0.106,0.085
"P23","Sergio Uñac",0.062,0.056,0.065,0.036
"P23","Fernanda Raverta",0.032,0.018,0.022,0.079
"P23","Anabel Fernández Sagasti",0.022,0.01,0.039,0.016
"P23","Gustavo Bordet",0.037,0.027,0.013,0.037
"P23","Juan Manzur",0.037,0.054,0.045,0.045
"P23","No sabe",0.649,0.664,0.385,0.584
"P24","Si",0.558,0.532,0.504,0.431
"P24","No",0.442,0.468,0.496,0.569
