"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P14","Puede que los vote",0.262,0.551,0.052,0.169
"P14","Nunca los votaría",0.184,0.201,0.903,0.265
"P14","No sabe",0.066,0.137,0.011,0.532
"P15","Los votaría",0.12,0.042,0.295,0.045
"P15","Puede que los vote",0.06,0.094,0.233,0.066
"P15","Nunca los votaría",0.787,0.838,0.415,0.585
"P15","No sabe",0.033,0.026,0.057,0.304
"P16","Los votaría",0.551,0.081,0.042,0.043
"P16","Puede que los vote",0.228,0.54,0.058,0.198
"P16","Nunca los votaría",0.181,0.265,0.873,0.299
"P16","No sabe",0.04,0.114,0.027,0.46
"P17","Los votaría",0.262,0.146,0.041,0.056
"P17","Puede que los vote",0.362,0.43,0.084,0.119
"P17","Nunca los votaría",0.303,0.329,0.845,0.394
"P17","No sabe",0.073,0.095,0.03,0.431
"P18","Los votaría",0.615,0.203,0.051,0.053
"P18","Puede que los vote",0.19,0.519,0.042,0.244
"P18","Nunca los votaría",0.153,0.202,0.887,0.352
"P18","No sabe",0.042,0.076,0.02,0.351
"P19","Los votaría",0.106,0.057,0.402,0.041
"P19","Puede que los vote",0.063,0.059,0.182,0.081
"P19","Nunca los votaría",0.812,0.836,0.39,0.629
"P19","No sabe",0.019,0.048,0.026,0.249
"P20","Los votaría",0.622,0.215,0.087,0.096
"P20","Puede que los vote",0.148,0.523,0.056,0.246
"P20","Nunca los votaría",0.203,0.22,0.837,0.329
"P20","No sabe",0.027,0.042,0.02,0.329
"P21","Ricardo López Murphy",0.318,0.317,0.067,0.238
"P21","Rodolfo Suárez",0.046,0.128,0.014,0.035
"P21","Rodrigo de Loredo",0.2,0.101,0.132,0.125
"P21","Maximiliano Abad",0.019,0.022,0.023,0.138
"P21","Luis Naidenoff",0.038,0.038,0.014,0.028
"P21","Martín Tetaz",0.097,0.112,0.041,0.043
"P21","José Luis Espert",0.18,0.154,0.08,0.108
"P21","No sabe",0.102,0.128,0.629,0.285
"P22","Gustavo Valdés",0.06,0.087,0.019,0.065
"P22","Gerardo Morales",0.158,0.212,0.063,0.146
"P22","María Eugenia Vidal",0.236,0.221,0.096,0.127
"P22","Cristian Ritondo",0.062,0.031,0.014,0.089
"P22","Emilio Monzó",0.047,0.043,0.023,0.03
"P22","Martín Lousteau",0.126,0.143,0.087,0.135
"P22","Juan Schiaretti",0.045,0.048,0.035,0.048
"P22","Soledad Acuña",0.072,0.048,0.28,0.099
"P22","No sabe",0.194,0.167,0.383,0.261
"P23","Wado De Pedro",0.069,0.065,0.361,0.04
"P23","Victoria Tolosa Paz",0.077,0.084,0.129,0.105
"P23","Sergio Uñac",0.056,0.065,0.063,0.05
"P23","Fernanda Raverta",0.02,0.018,0.028,0.051
"P23","Anabel Fernández Sagasti",0.014,0.027,0.036,0.023
"P23","Gustavo Bordet",0.017,0.031,0.019,0.031
"P23","Juan Manzur",0.044,0.034,0.058,0.013
"P23","No sabe",0.703,0.676,0.306,0.687
"P24","Si",0.514,0.543,0.518,0.448
"P24","No",0.486,0.457,0.482,0.552
