"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P10","Puede que los vote",0.215,0.503,0.085,0.176
"P10","Nunca los votaría",0.154,0.165,0.82,0.199
"P10","No sabe",0.043,0.173,0.03,0.531
"P11","Los votaría",0.143,0.027,0.25,0.024
"P11","Puede que los vote",0.049,0.107,0.228,0.102
"P11","Nunca los votaría",0.783,0.809,0.467,0.518
"P11","No sabe",0.025,0.057,0.055,0.356
"P12","Los votaría",0.662,0.253,0.072,0.037
"P12","Puede que los vote",0.16,0.504,0.077,0.162
"P12","Nunca los votaría",0.165,0.167,0.831,0.255
"P12","No sabe",0.013,0.076,0.02,0.546
"P13","Los votaría",0.278,0.262,0.078,0.149
"P13","Puede que los vote",0.4,0.375,0.128,0.193
"P13","Nunca los votaría",0.288,0.298,0.771,0.209
"P13","No sabe",0.034,0.065,0.023,0.449
"P14","Los votaría",0.516,0.122,0.03,0.062
"P14","Puede que los vote",0.249,0.54,0.099,0.146
"P14","Nunca los votaría",0.185,0.194,0.845,0.205
"P14","No sabe",0.05,0.144,0.026,0.587
"P15","Los votaría",0.137,0.039,0.252,0.004
"P15","Puede que los vote",0.062,0.123,0.215,0.087
"P15","Nunca los votaría",0.789,0.794,0.48,0.435
"P15","No sabe",0.012,0.044,0.053,0.474
"P16","Los votaría",0.562,0.104,0.036,0.041
"P16","Puede que los vote",0.235,0.549,0.077,0.133
"P16","Nunca los votaría",0.163,0.235,0.859,0.207
"P16","No sabe",0.04,0.112,0.028,0.619
"P17","Los votaría",0.278,0.158,0.037,0.072
"P17","Puede que los vote",0.37,0.395,0.104,0.177
"P17","Nunca los votaría",0.286,0.329,0.822,0.255
"P17","No sabe",0.066,0.118,0.037,0.496
"P18","Los votaría",0.656,0.205,0.039,0.127
"P18","Puede que los vote",0.153,0.562,0.073,0.171
"P18","Nunca los votaría",0.16,0.179,0.858,0.19
"P18","No sabe",0.031,0.054,0.03,0.512
"P19","Los votaría",0.215,0.034,0.329,0.034
"P19","Puede que los vote",0.028,0.144,0.159,0.14
"P19","Nunca los votaría",0.738,0.777,0.495,0.363
"P19","No sabe",0.019,0.045,0.017,0.463
"P21","Ricardo López Murphy",0.401,0.262,0.073,0.099
"P21","Rodolfo Suárez",0.021,0.198,0.007,0.006
"P21","Rodrigo de Loredo",0.09,0.089,0.198,0.063
"P21","Maximiliano Abad",0.014,0.008,0.021,0.307
"P21","Luis Naidenoff",0.04,0.034,0.016,0.019
"P21","Martín Tetaz",0.084,0.121,0.045,0.054
"P21","José Luis Espert",0.236,0.157,0.059,0.064
"P21","No sabe",0.114,0.131,0.581,0.388
"P22","Gustavo Valdés",0.061,0.052,0.04,0.01
"P22","Gerardo Morales",0.173,0.215,0.063,0.14
"P22","María Eugenia Vidal",0.208,0.243,0.111,0.089
"P22","Cristian Ritondo",0.062,0.036,0.018,0.073
"P22","Emilio Monzó",0.052,0.038,0.025,0.02
"P22","Martín Lousteau",0.123,0.132,0.092,0.182
"P22","Juan Schiaretti",0.058,0.035,0.034,0.049
"P22","Soledad Acuña",0.097,0.065,0.241,0.148
"P22","No sabe",0.166,0.184,0.376,0.289
"P23","Wado De Pedro",0.096,0.056,0.319,0.113
"P23","Victoria Tolosa Paz",0.094,0.1,0.116,0.069
"P23","Sergio Uñac",0.04,0.077,0.07,0.014
"P23","Fernanda Raverta",0.026,0.015,0.024,0.083
"P23","Anabel Fernández Sagasti",0.022,0.015,0.034,0.03
"P23","Gustavo Bordet",0.013,0.034,0.021,0.03
"P23","Juan Manzur",0.041,0.026,0.059,0.01
"P23","No sabe",0.668,0.677,0.357,0.651
"P24","Si",0.554,0.529,0.505,0.389
"P24","No",0.446,0.471,0.495,0.611
