"var","categoria","Ricardo López Murphy","Rodolfo Suárez","Rodrigo de Loredo","Maximiliano Abad","Luis Naidenoff","Martín Tetaz","José Luis Espert","No sabe"
"P15","Puede que los vote",0.075,0.134,0.107,0.15,0.111,0.076,0.077,0.257
"P15","Nunca los votaría",0.814,0.656,0.72,0.495,0.785,0.814,0.806,0.363
"P15","No sabe",0.025,0.085,0.038,0.283,0.033,0.022,0.027,0.083
"P16","Los votaría",0.354,0.209,0.166,0.121,0.6,0.325,0.234,0.033
"P16","Puede que los vote",0.356,0.458,0.174,0.134,0.21,0.304,0.305,0.068
"P16","Nunca los votaría",0.224,0.181,0.607,0.433,0.179,0.319,0.402,0.829
"P16","No sabe",0.066,0.152,0.053,0.312,0.011,0.052,0.059,0.07
"P17","Los votaría",0.241,0.183,0.091,0.058,0.306,0.197,0.136,0.04
"P17","Puede que los vote",0.353,0.413,0.203,0.158,0.429,0.366,0.347,0.088
"P17","Nunca los votaría",0.328,0.23,0.653,0.478,0.231,0.379,0.426,0.808
"P17","No sabe",0.078,0.174,0.053,0.306,0.034,0.058,0.091,0.064
"P18","Los votaría",0.485,0.276,0.203,0.1,0.384,0.496,0.339,0.025
"P18","Puede que los vote",0.278,0.461,0.166,0.172,0.339,0.222,0.269,0.075
"P18","Nunca los votaría",0.188,0.183,0.586,0.429,0.236,0.244,0.319,0.859
"P18","No sabe",0.049,0.08,0.045,0.299,0.041,0.038,0.073,0.041
"P19","Los votaría",0.116,0.072,0.153,0.093,0.11,0.121,0.112,0.428
"P19","Puede que los vote",0.041,0.231,0.065,0.137,0.055,0.075,0.082,0.199
"P19","Nunca los votaría",0.827,0.625,0.776,0.48,0.795,0.794,0.772,0.32
"P19","No sabe",0.016,0.072,0.006,0.29,0.04,0.01,0.034,0.053
"P20","Los votaría",0.532,0.119,0.159,0.118,0.4,0.31,0.492,0.079
"P20","Puede que los vote",0.248,0.795,0.112,0.05,0.24,0.319,0.234,0.064
"P20","Nunca los votaría",0.196,0.08,0.708,0.358,0.325,0.335,0.25,0.808
"P20","No sabe",0.024,0.006,0.021,0.474,0.035,0.036,0.024,0.049
"P22","Gustavo Valdés",0.165,0.068,0.006,0.037,0.013,0.065,0.012,0.006
"P22","Gerardo Morales",0.188,0.273,0.117,0.255,0.199,0.206,0.133,0.037
"P22","María Eugenia Vidal",0.201,0.292,0.327,0.168,0.124,0.191,0.202,0.037
"P22","Cristian Ritondo",0.056,0.012,0.03,0.218,0.028,0.043,0.072,0.002
"P22","Emilio Monzó",0.042,0.047,0.017,0.045,0.387,0.029,0.033,0.01
"P22","Martín Lousteau",0.111,0.103,0.115,0.072,0.071,0.298,0.167,0.064
"P22","Juan Schiaretti",0.037,0.01,0.02,0.007,0.026,0.036,0.14,0.027
"P22","Soledad Acuña",0.028,0.016,0.031,0.042,0.045,0.025,0.084,0.386
"P22","No sabe",0.172,0.179,0.337,0.156,0.107,0.107,0.157,0.431
"P23","Wado De Pedro",0.077,0.101,0.146,0.121,0.063,0.095,0.077,0.384
"P23","Victoria Tolosa Paz",0.104,0.112,0.098,0.103,0.062,0.047,0.118,0.117
"P23","Sergio Uñac",0.052,0.12,0.186,0.007,0.008,0.055,0.038,0.028
"P23","Fernanda Raverta",0.023,0.009,0.009,0.207,0.071,0.011,0.021,0.022
"P23","Anabel Fernández Sagasti",0.02,0.03,0.015,0.117,0.07,0.01,0.023,0.031
"P23","Gustavo Bordet",0.013,0.051,0.035,0.067,0,0.022,0.044,0.008
"P23","Juan Manzur",0.028,0.048,0.022,0.034,0.028,0.037,0.067,0.061
"P23","No sabe",0.683,0.529,0.489,0.344,0.698,0.723,0.612,0.349
"P24","Si",0.522,0.504,0.509,0.599,0.528,0.602,0.474,0.511
"P24","No",0.478,0.496,0.491,0.401,0.472,0.398,0.526,0.489
