"var","categoria","Wado De Pedro","Victoria Tolosa Paz","Sergio Uñac","Fernanda Raverta","Anabel Fernández Sagasti","Gustavo Bordet","Juan Manzur","No sabe"
"P08","Nunca los votaría",0.835,0.581,0.492,0.516,0.615,0.413,0.59,0.283
"P08","No sabe",0.014,0.072,0.059,0.141,0.06,0.103,0.02,0.096
"P09","Los votaría",0.043,0.163,0.162,0.16,0.134,0.267,0.173,0.238
"P09","Puede que los vote",0.082,0.221,0.251,0.145,0.103,0.229,0.24,0.281
"P09","Nunca los votaría",0.86,0.571,0.551,0.496,0.705,0.407,0.57,0.392
"P09","No sabe",0.015,0.045,0.036,0.199,0.058,0.097,0.017,0.089
"P10","Los votaría",0.062,0.165,0.181,0.197,0.115,0.2,0.232,0.304
"P10","Puede que los vote",0.055,0.169,0.214,0.117,0.172,0.149,0.147,0.281
"P10","Nunca los votaría",0.874,0.586,0.564,0.488,0.608,0.416,0.608,0.306
"P10","No sabe",0.009,0.08,0.041,0.198,0.105,0.235,0.013,0.109
"P11","Los votaría",0.359,0.256,0.171,0.202,0.255,0.074,0.422,0.059
"P11","Puede que los vote",0.334,0.23,0.172,0.157,0.246,0.239,0.168,0.06
"P11","Nunca los votaría",0.219,0.452,0.625,0.448,0.383,0.586,0.397,0.836
"P11","No sabe",0.088,0.062,0.032,0.193,0.116,0.101,0.013,0.045
"P12","Los votaría",0.068,0.166,0.243,0.205,0.124,0.161,0.224,0.369
"P12","Puede que los vote",0.071,0.196,0.132,0.087,0.177,0.364,0.196,0.23
"P12","Nunca los votaría",0.848,0.595,0.61,0.523,0.664,0.378,0.536,0.341
"P12","No sabe",0.013,0.043,0.015,0.185,0.035,0.097,0.044,0.06
"P13","Los votaría",0.044,0.17,0.171,0.205,0.133,0.288,0.134,0.212
"P13","Puede que los vote",0.082,0.253,0.235,0.18,0.091,0.313,0.295,0.33
"P13","Nunca los votaría",0.844,0.535,0.563,0.455,0.745,0.31,0.521,0.399
"P13","No sabe",0.03,0.042,0.031,0.16,0.031,0.089,0.05,0.059
"P14","Los votaría",0.044,0.116,0.155,0.198,0.124,0.123,0.106,0.26
"P14","Puede que los vote",0.046,0.196,0.234,0.12,0.062,0.346,0.169,0.308
"P14","Nunca los votaría",0.886,0.623,0.576,0.512,0.694,0.408,0.638,0.334
"P14","No sabe",0.024,0.065,0.035,0.17,0.12,0.123,0.087,0.098
"P15","Los votaría",0.384,0.273,0.141,0.229,0.211,0.193,0.35,0.046
"P15","Puede que los vote",0.3,0.261,0.141,0.204,0.285,0.12,0.194,0.071
"P15","Nunca los votaría",0.232,0.405,0.691,0.384,0.423,0.585,0.419,0.841
"P15","No sabe",0.084,0.061,0.027,0.183,0.081,0.102,0.037,0.042
"P16","Los votaría",0.05,0.115,0.197,0.16,0.123,0.169,0.169,0.267
"P16","Puede que los vote",0.074,0.16,0.128,0.079,0.114,0.203,0.228,0.292
"P16","Nunca los votaría",0.853,0.669,0.638,0.563,0.66,0.533,0.591,0.351
"P16","No sabe",0.023,0.056,0.037,0.198,0.103,0.095,0.012,0.09
"P17","Los votaría",0.045,0.123,0.178,0.117,0.076,0.073,0.046,0.161
"P17","Puede que los vote",0.065,0.196,0.187,0.153,0.17,0.301,0.336,0.322
"P17","Nunca los votaría",0.873,0.592,0.577,0.559,0.704,0.499,0.562,0.42
"P17","No sabe",0.017,0.089,0.058,0.171,0.05,0.127,0.056,0.097
"P18","Los votaría",0.059,0.125,0.238,0.274,0.162,0.128,0.188,0.344
"P18","Puede que los vote",0.058,0.177,0.104,0.08,0.117,0.312,0.168,0.264
"P18","Nunca los votaría",0.879,0.659,0.607,0.508,0.66,0.47,0.577,0.326
"P18","No sabe",0.004,0.039,0.051,0.138,0.061,0.09,0.067,0.066
"P19","Los votaría",0.652,0.281,0.204,0.31,0.337,0.13,0.36,0.047
"P19","Puede que los vote",0.198,0.225,0.115,0.095,0.199,0.142,0.174,0.067
"P19","Nunca los votaría",0.15,0.458,0.673,0.394,0.425,0.646,0.416,0.836
"P19","No sabe",0,0.036,0.008,0.201,0.039,0.082,0.05,0.05
"P20","Los votaría",0.122,0.231,0.169,0.267,0.207,0.155,0.229,0.339
"P20","Puede que los vote",0.051,0.174,0.232,0.104,0.104,0.289,0.103,0.243
"P20","Nunca los votaría",0.802,0.565,0.589,0.481,0.638,0.491,0.658,0.359
"P20","No sabe",0.025,0.03,0.01,0.148,0.051,0.065,0.01,0.059
"P21","Ricardo López Murphy",0.075,0.194,0.169,0.174,0.144,0.114,0.119,0.263
"P21","Rodolfo Suárez",0.023,0.049,0.091,0.017,0.049,0.109,0.048,0.047
"P21","Rodrigo de Loredo",0.098,0.128,0.42,0.049,0.073,0.224,0.066,0.132
"P21","Maximiliano Abad",0.017,0.029,0.003,0.236,0.125,0.091,0.022,0.02
"P21","Luis Naidenoff",0.008,0.015,0.003,0.071,0.065,0,0.015,0.035
"P21","Martín Tetaz",0.032,0.031,0.062,0.03,0.025,0.072,0.056,0.098
"P21","José Luis Espert",0.047,0.141,0.078,0.104,0.107,0.255,0.183,0.151
"P21","No sabe",0.7,0.413,0.174,0.319,0.412,0.135,0.491,0.254
"P22","Gustavo Valdés",0.037,0.046,0.01,0.026,0.077,0.026,0.03,0.058
"P22","Gerardo Morales",0.052,0.312,0.098,0.05,0.131,0.067,0.129,0.123
"P22","María Eugenia Vidal",0.077,0.068,0.573,0.17,0.065,0.06,0.123,0.173
"P22","Cristian Ritondo",0.012,0.014,0,0.279,0.02,0.052,0.029,0.039
"P22","Emilio Monzó",0.015,0.006,0.021,0.073,0.131,0.018,0.051,0.04
"P22","Martín Lousteau",0.049,0.126,0.011,0.062,0.059,0.682,0.101,0.129
"P22","Juan Schiaretti",0.026,0.012,0.04,0.011,0.015,0.007,0.073,0.056
"P22","Soledad Acuña",0.31,0.135,0.125,0.147,0.172,0.048,0.153,0.136
"P22","No sabe",0.422,0.281,0.122,0.182,0.33,0.04,0.311,0.246
"P24","Si",0.559,0.481,0.486,0.564,0.469,0.564,0.571,0.506
"P24","No",0.441,0.519,0.514,0.436,0.531,0.436,0.429,0.494
