"var","categoria","Gustavo Valdés","Gerardo Morales","María Eugenia Vidal","Cristian Ritondo","Emilio Monzó","Martín Lousteau","Juan Schiaretti","Soledad Acuña","No sabe"
"P15","Puede que los vote",0.121,0.115,0.07,0.051,0.073,0.149,0.101,0.24,0.216
"P15","Nunca los votaría",0.767,0.745,0.787,0.743,0.735,0.716,0.773,0.417,0.472
"P15","No sabe",0.004,0.06,0.029,0.119,0.075,0.029,0.041,0.072,0.073
"P16","Los votaría",0.295,0.301,0.286,0.347,0.328,0.165,0.207,0.086,0.092
"P16","Puede que los vote",0.226,0.347,0.289,0.217,0.249,0.26,0.258,0.061,0.157
"P16","Nunca los votaría",0.371,0.281,0.375,0.291,0.353,0.462,0.426,0.816,0.683
"P16","No sabe",0.108,0.071,0.05,0.145,0.07,0.113,0.109,0.037,0.068
"P17","Los votaría",0.309,0.237,0.22,0.09,0.158,0.108,0.138,0.06,0.027
"P17","Puede que los vote",0.306,0.436,0.358,0.331,0.458,0.367,0.246,0.062,0.087
"P17","Nunca los votaría",0.281,0.22,0.369,0.398,0.348,0.379,0.512,0.862,0.814
"P17","No sabe",0.104,0.107,0.053,0.181,0.036,0.146,0.104,0.016,0.072
"P18","Los votaría",0.432,0.367,0.363,0.451,0.367,0.296,0.244,0.076,0.098
"P18","Puede que los vote",0.238,0.31,0.299,0.185,0.232,0.253,0.232,0.048,0.124
"P18","Nunca los votaría",0.302,0.264,0.29,0.257,0.357,0.363,0.449,0.866,0.712
"P18","No sabe",0.028,0.059,0.048,0.107,0.044,0.088,0.075,0.01,0.066
"P19","Los votaría",0.168,0.105,0.094,0.227,0.138,0.098,0.196,0.417,0.338
"P19","Puede que los vote",0.05,0.097,0.063,0.039,0.059,0.142,0.12,0.178,0.16
"P19","Nunca los votaría",0.736,0.77,0.811,0.638,0.788,0.727,0.617,0.375,0.455
"P19","No sabe",0.046,0.028,0.032,0.096,0.015,0.033,0.067,0.03,0.047
"P20","Los votaría",0.342,0.364,0.338,0.459,0.395,0.285,0.365,0.15,0.152
"P20","Puede que los vote",0.209,0.322,0.281,0.189,0.206,0.217,0.157,0.071,0.12
"P20","Nunca los votaría",0.439,0.263,0.356,0.258,0.372,0.424,0.425,0.739,0.682
"P20","No sabe",0.01,0.051,0.025,0.094,0.027,0.074,0.053,0.04,0.046
"P21","Ricardo López Murphy",0.703,0.3,0.249,0.311,0.245,0.194,0.174,0.033,0.12
"P21","Rodolfo Suárez",0.068,0.102,0.084,0.015,0.063,0.042,0.011,0.005,0.029
"P21","Rodrigo de Loredo",0.018,0.134,0.289,0.121,0.072,0.144,0.067,0.027,0.168
"P21","Maximiliano Abad",0.023,0.059,0.03,0.177,0.038,0.019,0.005,0.007,0.016
"P21","Luis Naidenoff",0.007,0.041,0.02,0.02,0.292,0.016,0.016,0.007,0.01
"P21","Martín Tetaz",0.1,0.117,0.084,0.086,0.06,0.187,0.061,0.01,0.026
"P21","José Luis Espert",0.031,0.135,0.159,0.254,0.121,0.187,0.423,0.062,0.069
"P21","No sabe",0.05,0.112,0.085,0.016,0.109,0.211,0.243,0.849,0.562
"P23","Wado De Pedro",0.158,0.086,0.099,0.07,0.09,0.089,0.129,0.37,0.311
"P23","Victoria Tolosa Paz",0.103,0.263,0.044,0.044,0.018,0.118,0.03,0.083,0.106
"P23","Sergio Uñac",0.013,0.048,0.218,0,0.038,0.006,0.058,0.045,0.026
"P23","Fernanda Raverta",0.014,0.01,0.028,0.211,0.055,0.014,0.006,0.022,0.017
"P23","Anabel Fernández Sagasti",0.045,0.029,0.011,0.016,0.107,0.014,0.01,0.028,0.033
"P23","Gustavo Bordet",0.012,0.012,0.008,0.033,0.011,0.131,0.004,0.006,0.003
"P23","Juan Manzur",0.029,0.048,0.036,0.039,0.07,0.042,0.081,0.041,0.052
"P23","No sabe",0.626,0.504,0.556,0.587,0.611,0.586,0.682,0.405,0.452
"P24","Si",0.537,0.511,0.507,0.542,0.695,0.508,0.5,0.467,0.534
"P24","No",0.463,0.489,0.493,0.458,0.305,0.492,0.5,0.533,0.466
