"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P13","Nunca los votaría",0.153,0.206,0.855,0.185
"P13","No sabe",0.038,0.03,0.018,0.428
"P15","Los votaría",0.163,0.027,0.281,0.008
"P15","Puede que los vote",0.024,0.141,0.212,0.028
"P15","Nunca los votaría",0.796,0.816,0.456,0.609
"P15","No sabe",0.017,0.016,0.051,0.355
"P16","Los votaría",0.758,0.116,0.044,0.081
"P16","Puede que los vote",0.13,0.607,0.06,0.218
"P16","Nunca los votaría",0.093,0.216,0.866,0.148
"P16","No sabe",0.019,0.061,0.03,0.553
"P17","Los votaría",0.396,0.138,0.031,0.072
"P17","Puede que los vote",0.397,0.482,0.067,0.206
"P17","Nunca los votaría",0.161,0.295,0.874,0.204
"P17","No sabe",0.046,0.085,0.028,0.518
"P18","Los votaría",0.816,0.28,0.024,0.171
"P18","Puede que los vote",0.119,0.526,0.053,0.273
"P18","Nunca los votaría",0.041,0.152,0.903,0.11
"P18","No sabe",0.024,0.042,0.02,0.446
"P19","Los votaría",0.11,0.057,0.378,0.034
"P19","Puede que los vote",0.037,0.08,0.172,0.067
"P19","Nunca los votaría",0.829,0.825,0.426,0.653
"P19","No sabe",0.024,0.038,0.024,0.246
"P20","Los votaría",0.763,0.286,0.087,0.154
"P20","Puede que los vote",0.129,0.444,0.066,0.32
"P20","Nunca los votaría",0.09,0.237,0.828,0.17
"P20","No sabe",0.018,0.033,0.019,0.356
"P21","Ricardo López Murphy",0.378,0.337,0.069,0.201
"P21","Rodolfo Suárez",0.079,0.085,0.013,0.08
"P21","Rodrigo de Loredo",0.138,0.133,0.159,0.085
"P21","Maximiliano Abad",0.017,0.017,0.026,0.125
"P21","Luis Naidenoff",0.05,0.038,0.013,0.023
"P21","Martín Tetaz",0.095,0.108,0.039,0.097
"P21","José Luis Espert",0.193,0.179,0.069,0.163
"P21","No sabe",0.05,0.103,0.612,0.226
"P22","Gustavo Valdés",0.075,0.092,0.019,0.029
"P22","Gerardo Morales",0.197,0.199,0.058,0.175
"P22","María Eugenia Vidal",0.258,0.225,0.102,0.132
"P22","Cristian Ritondo",0.07,0.034,0.016,0.086
"P22","Emilio Monzó",0.05,0.047,0.022,0.04
"P22","Martín Lousteau",0.104,0.154,0.086,0.184
"P22","Juan Schiaretti",0.055,0.039,0.035,0.056
"P22","Soledad Acuña",0.058,0.045,0.276,0.036
"P22","No sabe",0.133,0.165,0.386,0.262
"P23","Wado De Pedro",0.05,0.042,0.347,0.063
"P23","Victoria Tolosa Paz",0.068,0.093,0.125,0.087
"P23","Sergio Uñac",0.053,0.064,0.067,0.027
"P23","Fernanda Raverta",0.028,0.014,0.025,0.056
"P23","Anabel Fernández Sagasti",0.019,0.008,0.037,0.042
"P23","Gustavo Bordet",0.015,0.034,0.017,0.034
"P23","Juan Manzur",0.027,0.035,0.056,0.051
"P23","No sabe",0.74,0.71,0.326,0.64
"P24","Si",0.506,0.558,0.508,0.485
"P24","No",0.494,0.442,0.492,0.515
