"var","categoria","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba","A los candidatos  a gobernador y vicegobernador del Frente de Todos","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba","A los candidatos a gobernador y vicegobernador del Frente de Izquierda","Votaría en blanco","No sabe"
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.081,0.76,0.07,0.045,0.082,0.031,0.248,0.134
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.001,0.039,0.86,0.014,0.012,0.005,0.036,0.014
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.013,0.012,0.004,0.797,0.068,0.019,0,0.004
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.007,0.006,0,0.018,0.677,0,0.034,0.004
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.001,0.007,0.029,0.007,0,0.833,0.015,0.005
"P17","Votaría en blanco",0,0.018,0,0.003,0.008,0,0.523,0.054
"P17","No sabe",0.013,0.046,0.005,0.046,0.056,0.032,0.086,0.705
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.845,0.073,0.036,0.128,0.116,0.05,0.057,0.107
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.048,0.83,0.048,0.043,0.027,0.066,0.204,0.122
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.003,0.041,0.882,0.003,0.088,0.03,0,0.003
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.026,0.006,0.008,0.786,0.007,0,0.063,0.008
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.01,0.005,0,0.017,0.757,0.012,0.006,0.012
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.006,0.014,0.009,0,0,0.821,0.013,0
"P18","Votaría en blanco",0.025,0.01,0.002,0.002,0,0,0.592,0.015
"P18","No sabe",0.037,0.021,0.015,0.021,0.005,0.021,0.065,0.733
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.849,0.046,0.029,0.094,0.167,0.11,0.125,0.11
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.019,0.934,0.062,0.024,0.031,0.046,0.062,0.08
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.001,0.008,0.878,0.007,0.009,0.057,0.013,0.005
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.039,0,0.003,0.864,0.06,0,0.048,0.004
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.011,0.001,0,0.004,0.668,0.018,0.03,0.006
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.001,0.001,0.01,0,0,0.757,0,0.006
"P20","Votaría en blanco",0.034,0.002,0.008,0.002,0.059,0,0.663,0.013
"P20","No sabe",0.046,0.008,0.01,0.005,0.006,0.012,0.059,0.776
"P21","Lo votaría",0.594,0.174,0.025,0.145,0.184,0.112,0.246,0.124
"P21","Puede que lo vote",0.298,0.254,0.056,0.298,0.287,0.062,0.194,0.249
"P21","Nunca lo votaría",0.103,0.572,0.911,0.489,0.491,0.787,0.479,0.457
"P21","No sabe",0.005,0,0.008,0.068,0.038,0.039,0.081,0.17
"P22","Lo votaría",0.15,0.723,0.079,0.079,0.148,0.097,0.197,0.166
"P22","Puede que lo vote",0.183,0.189,0.326,0.25,0.204,0.073,0.34,0.299
"P22","Nunca lo votaría",0.662,0.088,0.588,0.654,0.615,0.789,0.406,0.395
"P22","No sabe",0.005,0,0.007,0.017,0.033,0.041,0.057,0.14
"P23","Lo votaría",0.62,0.165,0.033,0.11,0.095,0.059,0.099,0.054
"P23","Puede que lo vote",0.242,0.151,0.08,0.298,0.138,0.06,0.226,0.208
"P23","Nunca lo votaría",0.13,0.666,0.879,0.56,0.743,0.84,0.613,0.568
"P23","No sabe",0.008,0.018,0.008,0.032,0.024,0.041,0.062,0.17
"P24","Lo votaría",0.129,0.089,0.356,0.051,0.094,0.14,0.04,0.017
"P24","Puede que lo vote",0.094,0.239,0.261,0.154,0.122,0.219,0.22,0.172
"P24","Nunca lo votaría",0.774,0.668,0.38,0.789,0.784,0.628,0.709,0.741
"P24","No sabe",0.003,0.004,0.003,0.006,0,0.013,0.031,0.07
"P25","Muy buena",0.471,0.086,0.055,0.191,0.167,0.049,0.068,0.106
"P25","Buena",0.248,0.174,0.058,0.141,0.169,0.136,0.176,0.168
"P25","Ni buena ni mala",0.242,0.41,0.172,0.398,0.365,0.262,0.428,0.353
"P25","Mala",0.017,0.151,0.244,0.118,0.207,0.27,0.058,0.103
"P25","Muy mala",0.005,0.131,0.446,0.097,0.056,0.26,0.162,0.117
"P25","No sabe",0.017,0.048,0.025,0.055,0.036,0.023,0.108,0.153
"P26","Muy buena",0.483,0.056,0.018,0.115,0.072,0.083,0.075,0.066
"P26","Buena",0.346,0.134,0.035,0.185,0.152,0.044,0.134,0.153
"P26","Ni buena ni mala",0.126,0.224,0.071,0.342,0.254,0.056,0.318,0.273
"P26","Mala",0.023,0.259,0.215,0.211,0.371,0.255,0.24,0.181
"P26","Muy mala",0.015,0.301,0.652,0.119,0.151,0.557,0.213,0.221
"P26","No sabe",0.007,0.026,0.009,0.028,0,0.005,0.02,0.106
"P27","Muy buena",0.115,0.53,0.092,0.069,0.125,0.081,0.139,0.18
"P27","Buena",0.137,0.274,0.175,0.135,0.14,0.103,0.178,0.293
"P27","Ni buena ni mala",0.361,0.112,0.294,0.273,0.377,0.218,0.309,0.21
"P27","Mala",0.236,0.032,0.218,0.298,0.209,0.126,0.179,0.097
"P27","Muy mala",0.137,0.037,0.202,0.203,0.144,0.458,0.174,0.134
"P27","No sabe",0.014,0.015,0.019,0.022,0.005,0.014,0.021,0.086
"P28","Muy buena",0.134,0.138,0.033,0.103,0.444,0.027,0.037,0.054
"P28","Buena",0.127,0.117,0.09,0.114,0.308,0.07,0.133,0.243
"P28","Ni buena ni mala",0.413,0.419,0.259,0.31,0.172,0.268,0.479,0.278
"P28","Mala",0.09,0.084,0.176,0.199,0.052,0.129,0.099,0.117
"P28","Muy mala",0.082,0.087,0.308,0.128,0.013,0.318,0.155,0.09
"P28","No sabe",0.154,0.155,0.134,0.146,0.011,0.188,0.097,0.218
"P29","Muy buena",0.032,0.086,0.163,0.016,0.142,0.048,0.061,0.045
"P29","Buena",0.023,0.194,0.323,0.017,0.013,0.151,0.024,0.086
"P29","Ni buena ni mala",0.103,0.219,0.249,0.047,0.15,0.202,0.359,0.203
"P29","Mala",0.157,0.222,0.118,0.158,0.221,0.219,0.153,0.202
"P29","Muy mala",0.644,0.234,0.126,0.721,0.463,0.375,0.382,0.395
"P29","No sabe",0.041,0.045,0.021,0.041,0.011,0.005,0.021,0.069
"P30","Muy buena",0.014,0.231,0.756,0.008,0.055,0.259,0.123,0.064
"P30","Buena",0.019,0.15,0.106,0.002,0.081,0.126,0.072,0.074
"P30","Ni buena ni mala",0.037,0.108,0.073,0.043,0.107,0.134,0.089,0.166
"P30","Mala",0.13,0.159,0.041,0.098,0.186,0.092,0.189,0.175
"P30","Muy mala",0.787,0.33,0.024,0.846,0.571,0.384,0.505,0.497
"P30","No sabe",0.013,0.022,0,0.003,0,0.005,0.022,0.024
"P31","Muy buena",0.351,0.095,0.109,0.141,0.142,0.103,0.176,0.091
"P31","Buena",0.252,0.114,0.022,0.196,0.105,0.038,0.18,0.157
"P31","Ni buena ni mala",0.18,0.134,0.027,0.216,0.16,0.037,0.118,0.218
"P31","Mala",0.075,0.258,0.106,0.171,0.22,0.125,0.146,0.168
"P31","Muy mala",0.136,0.376,0.73,0.272,0.373,0.692,0.358,0.345
"P31","No sabe",0.006,0.023,0.006,0.004,0,0.005,0.022,0.021
"P32","Muy buena",0.212,0.075,0.02,0.086,0.038,0.099,0.166,0.071
"P32","Buena",0.345,0.143,0.027,0.076,0.204,0.011,0.161,0.175
"P32","Ni buena ni mala",0.283,0.293,0.05,0.276,0.291,0.141,0.149,0.291
"P32","Mala",0.084,0.203,0.205,0.253,0.266,0.11,0.205,0.146
"P32","Muy mala",0.056,0.248,0.681,0.284,0.201,0.633,0.289,0.265
"P32","No sabe",0.02,0.038,0.017,0.025,0,0.006,0.03,0.052
"P33","Muy buena",0.043,0.126,0.118,0.024,0.046,0.078,0.041,0.014
"P33","Buena",0.07,0.224,0.331,0.021,0.129,0.088,0.084,0.105
"P33","Ni buena ni mala",0.089,0.261,0.302,0.126,0.144,0.215,0.239,0.246
"P33","Mala",0.218,0.164,0.133,0.153,0.24,0.207,0.206,0.225
"P33","Muy mala",0.554,0.202,0.104,0.657,0.441,0.406,0.4,0.355
"P33","No sabe",0.026,0.023,0.012,0.019,0,0.006,0.03,0.055
"P34","Muy buena",0.484,0.133,0.034,0.208,0.173,0.038,0.149,0.141
"P34","Buena",0.221,0.098,0.057,0.258,0.286,0.076,0.167,0.146
"P34","Ni buena ni mala",0.1,0.211,0.049,0.217,0.105,0.119,0.152,0.287
"P34","Mala",0.077,0.198,0.114,0.136,0.215,0.11,0.243,0.103
"P34","Muy mala",0.101,0.345,0.74,0.175,0.221,0.651,0.267,0.261
"P34","No sabe",0.017,0.015,0.006,0.006,0,0.006,0.022,0.062
"P35","Muy buena",0.163,0.464,0.06,0.115,0.098,0.081,0.145,0.166
"P35","Buena",0.213,0.245,0.108,0.189,0.193,0.097,0.172,0.219
"P35","Ni buena ni mala",0.282,0.136,0.142,0.28,0.26,0.099,0.225,0.244
"P35","Mala",0.171,0.072,0.302,0.17,0.271,0.192,0.276,0.125
"P35","Muy mala",0.155,0.076,0.388,0.218,0.141,0.525,0.159,0.199
"P35","No sabe",0.016,0.007,0,0.028,0.037,0.006,0.023,0.047
"P36","Muy buena",0.179,0.143,0.023,0.578,0.06,0.009,0.158,0.152
"P36","Buena",0.164,0.134,0.008,0.126,0.167,0.063,0.048,0.151
"P36","Ni buena ni mala",0.34,0.241,0.066,0.207,0.341,0.039,0.154,0.292
"P36","Mala",0.161,0.158,0.12,0.042,0.207,0.039,0.37,0.133
"P36","Muy mala",0.119,0.295,0.783,0.026,0.159,0.844,0.243,0.207
"P36","No sabe",0.037,0.029,0,0.021,0.066,0.006,0.027,0.065
"P37","Muy buena",0.169,0.058,0.023,0.098,0.099,0.135,0.074,0.077
"P37","Buena",0.291,0.115,0.023,0.101,0.155,0.079,0.09,0.181
"P37","Ni buena ni mala",0.307,0.409,0.222,0.339,0.556,0.133,0.296,0.322
"P37","Mala",0.097,0.168,0.277,0.122,0.115,0.142,0.238,0.181
"P37","Muy mala",0.086,0.164,0.425,0.267,0.075,0.468,0.209,0.135
"P37","No sabe",0.05,0.086,0.03,0.073,0,0.043,0.093,0.104
"P38","Muy buena",0.106,0.033,0.023,0.018,0.047,0.064,0.066,0.057
"P38","Buena",0.234,0.066,0.031,0.035,0.178,0.056,0.033,0.09
"P38","Ni buena ni mala",0.355,0.398,0.171,0.324,0.367,0.199,0.284,0.31
"P38","Mala",0.11,0.141,0.158,0.119,0.199,0.074,0.262,0.177
"P38","Muy mala",0.092,0.171,0.581,0.335,0.1,0.526,0.212,0.146
"P38","No sabe",0.103,0.191,0.036,0.169,0.109,0.081,0.143,0.22
"P39","Muy buena",0.138,0.056,0.027,0.032,0.133,0.1,0.124,0.068
"P39","Buena",0.217,0.107,0.062,0.086,0.141,0.051,0.041,0.128
"P39","Ni buena ni mala",0.37,0.44,0.267,0.322,0.378,0.226,0.271,0.322
"P39","Mala",0.121,0.099,0.233,0.145,0.171,0.191,0.228,0.159
"P39","Muy mala",0.073,0.114,0.307,0.266,0.15,0.38,0.17,0.133
"P39","No sabe",0.081,0.184,0.104,0.149,0.027,0.052,0.166,0.19
