"var","categoria","A Rodrigo De Loredo por Juntos por el Cambio","A Martín Llaryora por Hacemos por Córdoba","Al candidato del Frente de Todos","Al candidato de los liberales libertarios con el apoyo de Javier Milei","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba","Al candidato del Frente de Izquierda","Votaría en blanco","No sabe"
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.003,0.003,0.014,0,0.03,0.712,0.013,0.007
"P20","Votaría en blanco",0.017,0.029,0.01,0.006,0.045,0,0.496,0.056
"P20","No sabe",0.035,0.039,0.021,0.012,0.114,0.036,0.145,0.565
"P21","Lo votaría",0.695,0.147,0.05,0.041,0.113,0.02,0.09,0.107
"P21","Puede que lo vote",0.263,0.255,0.108,0.337,0.303,0.115,0.213,0.285
"P21","Nunca lo votaría",0.039,0.594,0.834,0.556,0.534,0.804,0.571,0.476
"P21","No sabe",0.003,0.004,0.008,0.066,0.05,0.061,0.126,0.132
"P22","Lo votaría",0.172,0.702,0.109,0.043,0.061,0.006,0.08,0.092
"P22","Puede que lo vote",0.183,0.185,0.332,0.259,0.253,0.11,0.195,0.318
"P22","Nunca lo votaría",0.642,0.109,0.552,0.689,0.642,0.822,0.669,0.466
"P22","No sabe",0.003,0.004,0.007,0.009,0.044,0.062,0.056,0.124
"P23","Lo votaría",0.492,0.191,0.091,0.206,0.305,0.095,0.383,0.297
"P23","Puede que lo vote",0.28,0.146,0.094,0.239,0.186,0.038,0.121,0.167
"P23","Nunca lo votaría",0.22,0.639,0.807,0.522,0.482,0.805,0.44,0.412
"P23","No sabe",0.008,0.024,0.008,0.033,0.027,0.062,0.056,0.124
"P24","Lo votaría",0.107,0.099,0.362,0.058,0.045,0.115,0.106,0.063
"P24","Puede que lo vote",0.121,0.206,0.267,0.115,0.158,0.253,0.142,0.191
"P24","Nunca lo votaría",0.767,0.688,0.371,0.814,0.797,0.617,0.741,0.705
"P24","No sabe",0.005,0.007,0,0.013,0,0.015,0.011,0.041
"P25","Muy buena",0.517,0.089,0.052,0.09,0.083,0.012,0.109,0.09
"P25","Buena",0.246,0.176,0.09,0.151,0.188,0.169,0.065,0.156
"P25","Ni buena ni mala",0.214,0.397,0.199,0.452,0.445,0.282,0.41,0.425
"P25","Mala",0.004,0.158,0.215,0.139,0.161,0.252,0.145,0.104
"P25","Muy mala",0.005,0.13,0.411,0.108,0.085,0.251,0.149,0.111
"P25","No sabe",0.014,0.05,0.033,0.06,0.038,0.034,0.122,0.114
"P26","Muy buena",0.411,0.067,0.047,0.159,0.214,0.092,0.372,0.25
"P26","Buena",0.33,0.141,0.068,0.177,0.181,0.064,0.101,0.231
"P26","Ni buena ni mala",0.157,0.212,0.091,0.306,0.247,0.104,0.199,0.205
"P26","Mala",0.059,0.267,0.187,0.193,0.214,0.283,0.047,0.089
"P26","Muy mala",0.035,0.286,0.605,0.13,0.144,0.451,0.226,0.154
"P26","No sabe",0.008,0.027,0.002,0.035,0,0.006,0.055,0.071
"P27","Muy buena",0.1,0.545,0.089,0.054,0.086,0.062,0.065,0.132
"P27","Buena",0.141,0.271,0.207,0.146,0.123,0.072,0.072,0.213
"P27","Ni buena ni mala",0.363,0.09,0.321,0.285,0.379,0.312,0.303,0.279
"P27","Mala",0.252,0.037,0.191,0.25,0.178,0.151,0.239,0.16
"P27","Muy mala",0.136,0.038,0.18,0.222,0.208,0.379,0.309,0.141
"P27","No sabe",0.008,0.019,0.012,0.043,0.026,0.024,0.012,0.075
"P28","Muy buena",0.13,0.145,0.049,0.068,0.493,0.013,0.042,0.035
"P28","Buena",0.142,0.109,0.105,0.102,0.288,0.062,0.147,0.164
"P28","Ni buena ni mala",0.385,0.413,0.29,0.339,0.141,0.354,0.468,0.387
"P28","Mala",0.104,0.087,0.137,0.197,0.046,0.187,0.111,0.066
"P28","Muy mala",0.093,0.089,0.277,0.115,0.032,0.275,0.1,0.128
"P28","No sabe",0.146,0.157,0.142,0.179,0,0.109,0.132,0.22
"P29","Muy buena",0.029,0.086,0.169,0.021,0.038,0.063,0.08,0.036
"P29","Buena",0.023,0.18,0.334,0.001,0.052,0.158,0.02,0.068
"P29","Ni buena ni mala",0.11,0.21,0.246,0.062,0.123,0.307,0.157,0.194
"P29","Mala",0.163,0.217,0.108,0.17,0.227,0.165,0.153,0.193
"P29","Muy mala",0.645,0.261,0.126,0.693,0.56,0.292,0.517,0.415
"P29","No sabe",0.03,0.046,0.017,0.053,0,0.015,0.073,0.094
"P30","Muy buena",0.018,0.237,0.691,0.004,0.035,0.196,0.077,0.054
"P30","Buena",0.022,0.116,0.15,0.002,0.011,0.166,0.111,0.095
"P30","Ni buena ni mala",0.033,0.111,0.056,0.042,0.06,0.197,0.04,0.194
"P30","Mala",0.128,0.167,0.019,0.13,0.176,0.116,0.15,0.137
"P30","Muy mala",0.791,0.349,0.084,0.812,0.718,0.319,0.562,0.484
"P30","No sabe",0.008,0.02,0,0.01,0,0.006,0.06,0.036
"P31","Muy buena",0.352,0.134,0.093,0.111,0.059,0.037,0.227,0.081
"P31","Buena",0.245,0.132,0.042,0.202,0.156,0.042,0.063,0.15
"P31","Ni buena ni mala",0.178,0.11,0.066,0.208,0.247,0.047,0.093,0.296
"P31","Mala",0.074,0.244,0.093,0.164,0.276,0.076,0.235,0.189
"P31","Muy mala",0.148,0.355,0.704,0.306,0.262,0.792,0.347,0.272
"P31","No sabe",0.003,0.025,0.002,0.009,0,0.006,0.035,0.012
"P32","Muy buena",0.213,0.102,0.016,0.071,0.117,0.039,0.019,0.074
"P32","Buena",0.315,0.154,0.062,0.107,0.184,0.022,0.211,0.211
"P32","Ni buena ni mala",0.278,0.283,0.098,0.237,0.32,0.101,0.209,0.341
"P32","Mala",0.104,0.18,0.197,0.242,0.175,0.113,0.31,0.136
"P32","Muy mala",0.075,0.238,0.62,0.307,0.204,0.719,0.212,0.183
"P32","No sabe",0.015,0.043,0.007,0.036,0,0.006,0.039,0.055
"P33","Muy buena",0.041,0.117,0.129,0.028,0.038,0.048,0.024,0.032
"P33","Buena",0.062,0.222,0.322,0.012,0.101,0.159,0.014,0.134
"P33","Ni buena ni mala",0.099,0.249,0.321,0.113,0.068,0.263,0.185,0.197
"P33","Mala",0.209,0.168,0.098,0.177,0.26,0.193,0.303,0.245
"P33","Muy mala",0.567,0.213,0.122,0.641,0.533,0.322,0.434,0.367
"P33","No sabe",0.022,0.031,0.008,0.029,0,0.015,0.04,0.025
"P34","Muy buena",0.483,0.145,0.039,0.168,0.227,0.049,0.277,0.166
"P34","Buena",0.21,0.111,0.083,0.267,0.145,0.131,0.197,0.171
"P34","Ni buena ni mala",0.109,0.204,0.084,0.197,0.124,0.079,0.067,0.267
"P34","Mala",0.067,0.191,0.11,0.164,0.233,0.071,0.273,0.126
"P34","Muy mala",0.115,0.325,0.684,0.191,0.264,0.664,0.173,0.249
"P34","No sabe",0.016,0.024,0,0.013,0.007,0.006,0.013,0.021
"P35","Muy buena",0.171,0.455,0.045,0.11,0.06,0.039,0.104,0.168
"P35","Buena",0.212,0.26,0.117,0.177,0.205,0.02,0.102,0.212
"P35","Ni buena ni mala",0.284,0.13,0.183,0.264,0.372,0.125,0.176,0.235
"P35","Mala",0.168,0.079,0.277,0.19,0.176,0.282,0.282,0.136
"P35","Muy mala",0.153,0.064,0.373,0.221,0.182,0.528,0.323,0.208
"P35","No sabe",0.012,0.012,0.005,0.038,0.005,0.006,0.013,0.041
"P36","Muy buena",0.184,0.16,0.025,0.588,0.122,0.067,0.057,0.123
"P36","Buena",0.152,0.129,0.047,0.126,0.118,0.009,0.122,0.203
"P36","Ni buena ni mala",0.348,0.238,0.099,0.198,0.369,0.025,0.2,0.199
"P36","Mala",0.156,0.174,0.101,0.042,0.063,0.095,0.358,0.153
"P36","Muy mala",0.131,0.263,0.728,0.018,0.224,0.798,0.245,0.272
"P36","No sabe",0.029,0.036,0,0.028,0.104,0.006,0.018,0.05
"P37","Muy buena",0.183,0.065,0.034,0.066,0.11,0.124,0.025,0.048
"P37","Buena",0.287,0.116,0.022,0.118,0.225,0.074,0.137,0.169
"P37","Ni buena ni mala",0.325,0.385,0.267,0.306,0.301,0.255,0.271,0.344
"P37","Mala",0.078,0.179,0.247,0.126,0.151,0.1,0.393,0.185
"P37","Muy mala",0.089,0.159,0.41,0.293,0.144,0.387,0.141,0.146
"P37","No sabe",0.038,0.096,0.02,0.091,0.069,0.06,0.033,0.108
"P38","Muy buena",0.119,0.024,0.045,0.015,0.056,0.036,0.038,0.024
"P38","Buena",0.214,0.085,0.028,0.032,0.182,0.068,0.109,0.124
"P38","Ni buena ni mala",0.378,0.393,0.199,0.255,0.214,0.266,0.185,0.344
"P38","Mala",0.083,0.146,0.16,0.173,0.177,0.094,0.397,0.138
"P38","Muy mala",0.101,0.171,0.526,0.36,0.161,0.437,0.147,0.173
"P38","No sabe",0.105,0.181,0.042,0.165,0.21,0.099,0.124,0.197
"P39","Muy buena",0.143,0.064,0.029,0.014,0.165,0.149,0.022,0.052
"P39","Buena",0.193,0.126,0.055,0.086,0.117,0.085,0.148,0.156
"P39","Ni buena ni mala",0.374,0.431,0.328,0.301,0.301,0.215,0.175,0.329
"P39","Mala",0.112,0.116,0.185,0.179,0.145,0.17,0.332,0.133
"P39","Muy mala",0.091,0.1,0.306,0.27,0.141,0.33,0.17,0.122
"P39","No sabe",0.087,0.163,0.097,0.15,0.131,0.051,0.153,0.208
