"var","categoria","A Gustavo Menendez por el Frente de Todos","A David Zencich por Juntos por el Cambio","Al candidato de Javier Milei","A Cristian Franco por el Frente de Izquierda","A otro candidato"
"P25","Buena",0.197,0.192,0.056,0.177,0.194
"P25","Ni buena ni mala",0.265,0.218,0.218,0.334,0.352
"P25","Mala",0.051,0.287,0.379,0.255,0.154
"P25","Muy mala",0.148,0.117,0.218,0.139,0.108
"P25","No sabe",0.062,0.106,0.034,0.066,0.152
"P26","Muy buena",0.192,0.005,0.051,0.007,0.018
"P26","Buena",0.223,0.186,0.063,0.383,0.153
"P26","Ni buena ni mala",0.332,0.339,0.33,0.252,0.318
"P26","Mala",0.065,0.282,0.441,0.213,0.285
"P26","Muy mala",0.144,0.148,0.106,0.129,0.187
"P26","No sabe",0.044,0.04,0.009,0.016,0.039
"P27","Frente de Todos y el peronismo",0.688,0.095,0.125,0.446,0.243
"P27","Cambiemos",0.183,0.661,0.081,0,0.095
"P27","Liberales",0.07,0.174,0.544,0.115,0.049
"P27","Izquierda",0.007,0.018,0.065,0.332,0.287
"P27","No sabe",0.052,0.052,0.185,0.107,0.326
"P29","A Alberto Fernández",0.356,0.008,0,0.431,0.238
"P29","A Sergio Massa",0.158,0.235,0.388,0.018,0.173
"P29","A algún candidato del peronismo",0.203,0.321,0.448,0.067,0.145
"P29","A algún candidato del kirchnerismo",0.283,0.436,0.164,0.484,0.444
"P30","A Alberto Fernández",0.358,0,0.364,0.423,0.018
"P30","A Sergio Massa",0.111,0.193,0.379,0.019,0.46
"P30","A algún candidato del peronismo",0.167,0.342,0.086,0.07,0.127
"P30","A Cristina Fernández de Kirchner",0.364,0.465,0.171,0.488,0.395
"P31","A Horacio Rodriguez Larreta",0.289,0.37,0.767,0,0.241
"P31","A Mauricio Macri",0.564,0.224,0.014,0,0.404
"P31","A Patricia Bullrich",0.113,0.35,0.219,0,0.02
"P31","A Facundo Manes",0,0.049,0,0,0.288
"P31","A Martín Lousteau",0.034,0.007,0,0,0.047
"P32","Seguro lo votaria",0.577,0.155,0.839,0,0.402
"P32","Quizás lo votaría",0.129,0.372,0.161,0,0.047
"P32","Nunca lo votaría",0.294,0.473,0,0,0.551
"P33","Muy buena",0.196,0.053,0.037,0.028,0.115
"P33","Buena",0.171,0.109,0.057,0.108,0.14
"P33","Ni buena ni mala",0.311,0.131,0.255,0.218,0.226
"P33","Mala",0.134,0.352,0.151,0.392,0.151
"P33","Muy mala",0.17,0.355,0.485,0.254,0.342
"P33","No sabe",0.018,0,0.015,0,0.026
"P34","Muy buena",0.077,0.225,0.109,0.016,0.004
"P34","Buena",0.069,0.337,0.146,0.101,0.048
"P34","Ni buena ni mala",0.089,0.182,0.221,0.104,0.088
"P34","Mala",0.258,0.169,0.238,0.028,0.239
"P34","Muy mala",0.466,0.087,0.256,0.751,0.596
"P34","No sabe",0.041,0,0.03,0,0.025
"P35","Muy buena",0.594,0.109,0.158,0.47,0.259
"P35","Buena",0.098,0.081,0.072,0.327,0.065
"P35","Ni buena ni mala",0.093,0.041,0.106,0.019,0.255
"P35","Mala",0.017,0.161,0.116,0.026,0.129
"P35","Muy mala",0.193,0.608,0.545,0.158,0.265
"P35","No sabe",0.005,0,0.003,0,0.027
"P36","Muy buena",0.183,0.298,0.159,0.11,0.057
"P36","Buena",0.036,0.262,0.16,0.166,0.085
"P36","Ni buena ni mala",0.187,0.22,0.261,0.287,0.184
"P36","Mala",0.223,0.122,0.247,0.117,0.204
"P36","Muy mala",0.327,0.096,0.166,0.32,0.436
"P36","No sabe",0.044,0.002,0.007,0,0.034
"P37","Muy buena",0.211,0.086,0.036,0.204,0.152
"P37","Buena",0.283,0.114,0.074,0.08,0.206
"P37","Ni buena ni mala",0.254,0.127,0.272,0.431,0.256
"P37","Mala",0.112,0.21,0.148,0.056,0.218
"P37","Muy mala",0.123,0.461,0.457,0.229,0.152
"P37","No sabe",0.017,0.002,0.013,0,0.016
"P38","Muy buena",0.106,0.451,0.281,0.117,0.058
"P38","Buena",0.072,0.226,0.144,0.037,0.037
"P38","Ni buena ni mala",0.107,0.142,0.284,0.158,0.117
"P38","Mala",0.208,0.057,0.093,0.029,0.167
"P38","Muy mala",0.479,0.124,0.179,0.643,0.557
"P38","No sabe",0.028,0,0.019,0.016,0.064
"P39","Muy buena",0.126,0.16,0.521,0.031,0.05
"P39","Buena",0.068,0.167,0.18,0.127,0.021
"P39","Ni buena ni mala",0.173,0.39,0.093,0.044,0.252
"P39","Mala",0.187,0.137,0.087,0.045,0.106
"P39","Muy mala",0.42,0.104,0.117,0.753,0.486
"P39","No sabe",0.026,0.042,0.002,0,0.085
