"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de la Izquierda","A otro candidato","No sabe"
"P19","Muy mala",0.016,0.141,0.401,0.235,0.23,0.024
"P19","No sabe",0.029,0.057,0.011,0,0.052,0.211
"P20","Que continúe el intendente Julio Zamora",0.367,0.073,0.097,0.017,0.144,0.24
"P20","Que continúe Julio Zamora pero con mejoras",0.462,0.141,0.101,0.192,0.139,0.452
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.097,0.189,0.122,0.222,0.337,0.159
"P20","Que cambie el intendente Julio Zamora",0.074,0.597,0.68,0.569,0.38,0.149
"P21","Es kirchnerista",0.17,0.159,0.143,0,0.012,0.171
"P21","Forma parte del Frente de Todos",0.403,0.191,0.149,0.151,0.127,0.1
"P21","Es un hombre de Massa",0.2,0.162,0.037,0.416,0.14,0.241
"P21","Es un peronista independiente de centro",0.091,0.151,0.284,0.026,0.246,0.043
"P21","Es un oportunista y está donde le conviene",0.029,0.255,0.348,0.316,0.301,0.082
"P21","No sabe",0.107,0.082,0.039,0.091,0.174,0.363
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.142,0.117,0.377,0.108,0.387,0.2
"P22","Son aliados tácticos pero lo ocultan",0.078,0.134,0.269,0.06,0.074,0.158
"P22","Son adversarios políticos",0.471,0.524,0.167,0.681,0.085,0.121
"P22","No sabe",0.309,0.225,0.187,0.151,0.454,0.521
"P23","Son lo mismo, ambos son de Massa",0.179,0.276,0.433,0.575,0.135,0.124
"P23","Son aliados en el Frente de Todos pero compiten",0.459,0.274,0.329,0.287,0.316,0.33
"P23","Son enemigos porque Zamora traicionó a Massa",0.114,0.315,0.081,0.011,0.088,0.113
"P23","No sabe",0.248,0.135,0.157,0.127,0.461,0.433
"P24","La seguridad",0.241,0.274,0.444,0.23,0.465,0.236
"P24","El tránsito",0.158,0.091,0.041,0.036,0.036,0.009
"P24","El arreglo de las calles",0.128,0.085,0.002,0,0.039,0.205
"P24","El estado de las escuelas y la educación",0.087,0.006,0,0,0.009,0.015
"P24","El sistema de salud",0.055,0.033,0.14,0.005,0,0.072
"P24","El deporte y la cultura",0.152,0.106,0.085,0.295,0.094,0.099
"P24","La obra pública",0.052,0,0.003,0.037,0.055,0.004
"P24","La luminaria",0.052,0.12,0.083,0.258,0.081,0.059
"P24","No sabe",0.075,0.285,0.202,0.139,0.221,0.301
"P25","La seguridad",0.177,0.142,0.267,0.043,0.051,0.183
"P25","El tránsito",0.081,0.11,0.237,0,0.137,0.016
"P25","El arreglo de las calles",0.196,0.279,0.206,0.43,0.18,0.16
"P25","El estado de las escuelas y la educación",0.083,0.123,0.076,0.146,0.211,0.096
"P25","El sistema de salud",0.208,0.144,0.159,0.127,0.165,0.271
"P25","El deporte y la cultura",0.076,0.057,0,0,0.089,0.013
"P25","La obra pública",0.024,0.062,0.02,0,0.027,0.027
"P25","La luminaria",0.03,0.006,0.022,0.192,0,0
"P25","No sabe",0.125,0.077,0.013,0.062,0.14,0.234
"P26","Agua corriente y cloacas",0.382,0.462,0.411,0.602,0.358,0.375
"P26","Energía eléctrica",0.104,0.149,0.25,0.076,0.118,0.095
"P26","Red de gas natural",0.125,0.077,0.017,0.195,0.023,0.026
"P26","Recolección de residuos",0.139,0.148,0.135,0.041,0.128,0.065
"P26","Ninguno",0.25,0.164,0.187,0.086,0.373,0.439
"P27","Los robos",0.253,0.232,0.292,0.313,0.14,0.416
"P27","El narcotráfico",0.238,0.367,0.235,0.267,0.258,0.184
"P27","La ausencia de patrulleros y personal policial",0.128,0.21,0.204,0.143,0.092,0.106
"P27","Otro",0.161,0.107,0.057,0.229,0.462,0.15
"P27","Ninguno",0.22,0.084,0.212,0.048,0.048,0.144
"P28","Frente de Todos y el peronismo",0.702,0.09,0.009,0.307,0.299,0.231
"P28","Cambiemos",0.111,0.571,0.088,0.199,0.276,0.095
"P28","Liberales Libertarios",0.061,0.211,0.894,0.013,0.077,0.111
"P28","Izquierda",0.042,0.027,0,0.481,0,0.029
"P28","No sabe",0.084,0.101,0.009,0,0.348,0.534
"P30","A Alberto Fernández",0.351,0.121,0.04,0,0.1,0.11
"P30","A Sergio Massa",0.337,0.22,0.175,0.108,0.064,0.444
"P30","A algún candidato del peronismo",0.118,0.609,0.625,0,0.574,0.446
"P30","A algún candidato del kirchnerismo",0.194,0.05,0.16,0.892,0.262,0
"P31","A Alberto Fernández",0.297,0.231,0.17,0,0.083,0.644
"P31","A Sergio Massa",0.294,0.119,0.213,0.089,0.789,0.314
"P31","A algún candidato del peronismo",0.055,0.563,0.617,0,0.072,0.042
"P31","A Cristina Fernández de Kirchner",0.354,0.087,0,0.911,0.056,0
"P32","A Horacio Rodriguez Larreta",0.299,0.28,0.155,0.373,0.112,0.182
"P32","A Mauricio Macri",0.058,0.318,0.181,0,0.386,0.405
"P32","A Patricia Bullrich",0.025,0.305,0.63,0.396,0.421,0.078
"P32","A Facundo Manes",0.363,0.087,0.034,0.181,0.052,0.208
"P32","A Gerardo Morales",0.255,0.01,0,0.05,0.029,0.127
"P33","Seguro lo votaria",0.063,0.299,0.689,0.056,0.025,0.031
"P33","Quizás lo votaría",0.148,0.26,0.062,0.341,0.479,0.555
"P33","Nunca lo votaría",0.789,0.441,0.249,0.603,0.496,0.414
"P34","Muy buena",0.173,0.06,0.093,0.231,0.024,0.116
"P34","Buena",0.251,0.058,0.011,0,0.258,0.256
"P34","Ni buena ni mala",0.318,0.105,0.17,0.236,0.073,0.256
"P34","Mala",0.119,0.15,0.04,0.227,0.09,0.112
"P34","Muy mala",0.139,0.617,0.686,0.306,0.524,0.217
"P34","No sabe",0,0.01,0,0,0.031,0.043
"P35","Muy buena",0.051,0.347,0.324,0,0,0.037
"P35","Buena",0.047,0.279,0.235,0,0.279,0.159
"P35","Ni buena ni mala",0.163,0.162,0.087,0.286,0.294,0.192
"P35","Mala",0.166,0.111,0.142,0.391,0.079,0.257
"P35","Muy mala",0.566,0.097,0.212,0.323,0.276,0.294
"P35","No sabe",0.007,0.004,0,0,0.072,0.061
"P36","Muy buena",0.554,0.078,0.182,0.144,0.028,0.078
"P36","Buena",0.109,0.058,0.008,0.241,0.19,0.221
"P36","Ni buena ni mala",0.136,0.067,0,0.049,0.049,0.364
"P36","Mala",0.032,0.044,0.04,0.073,0.072,0.05
"P36","Muy mala",0.169,0.75,0.77,0.493,0.541,0.244
"P36","No sabe",0,0.003,0,0,0.12,0.043
"P37","Muy buena",0.146,0.172,0.031,0,0.037,0.016
"P37","Buena",0.066,0.376,0.107,0.466,0.067,0.129
"P37","Ni buena ni mala",0.249,0.17,0.139,0,0.639,0.54
"P37","Mala",0.168,0.053,0.218,0.253,0.041,0.03
"P37","Muy mala",0.324,0.223,0.505,0.248,0.165,0.091
"P37","No sabe",0.047,0.006,0,0.033,0.051,0.194
"P38","Muy buena",0.228,0.039,0.02,0,0.085,0.082
"P38","Buena",0.238,0.092,0,0.232,0.029,0.21
"P38","Ni buena ni mala",0.269,0.164,0.134,0.085,0.269,0.454
"P38","Mala",0.179,0.149,0.062,0.304,0.045,0.055
"P38","Muy mala",0.086,0.553,0.781,0.379,0.5,0.148
"P38","No sabe",0,0.003,0.003,0,0.072,0.051
"P39","Muy buena",0.074,0.481,0.378,0,0.051,0.038
"P39","Buena",0.062,0.184,0.262,0.233,0.201,0.085
"P39","Ni buena ni mala",0.146,0.159,0.215,0.291,0.392,0.306
"P39","Mala",0.124,0.032,0.055,0.053,0.031,0.321
"P39","Muy mala",0.585,0.138,0.09,0.423,0.253,0.071
"P39","No sabe",0.009,0.006,0,0,0.072,0.179
"P40","Muy buena",0.099,0.205,0.712,0,0,0.021
"P40","Buena",0.051,0.219,0.236,0.015,0.014,0.083
"P40","Ni buena ni mala",0.116,0.278,0.029,0.237,0.512,0.444
"P40","Mala",0.15,0.166,0.023,0.332,0.209,0.087
"P40","Muy mala",0.541,0.119,0,0.416,0.15,0.273
"P40","No sabe",0.043,0.013,0,0,0.115,0.092
