"var","categoria","Es kirchnerista","Forma parte del Frente de Todos","Es un hombre de Massa","Es un peronista independiente de centro","Es un oportunista y está donde le conviene","No sabe"
"P17","No sabe",0.277,0.483,0.428,0.312,0.385,0.466
"P18","Muy buena",0.176,0.058,0.103,0.124,0.169,0.025
"P18","Buena",0.065,0.13,0.128,0.044,0.069,0.05
"P18","Ni buena ni mala",0.466,0.327,0.399,0.51,0.317,0.388
"P18","Mala",0.072,0.129,0.073,0.104,0.08,0.02
"P18","Muy mala",0.093,0.132,0.068,0.049,0.211,0.164
"P18","No sabe",0.128,0.224,0.229,0.169,0.154,0.353
"P19","Muy buena",0.33,0.258,0.298,0.119,0.035,0.23
"P19","Buena",0.2,0.321,0.278,0.142,0.048,0.26
"P19","Ni buena ni mala",0.156,0.253,0.175,0.349,0.239,0.268
"P19","Mala",0.131,0.144,0.154,0.16,0.307,0.064
"P19","Muy mala",0.178,0.019,0.04,0.216,0.357,0.021
"P19","No sabe",0.005,0.005,0.055,0.014,0.014,0.157
"P20","Que continúe el intendente Julio Zamora",0.426,0.222,0.231,0.089,0.035,0.164
"P20","Que continúe Julio Zamora pero con mejoras",0.034,0.426,0.374,0.205,0.15,0.389
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.16,0.123,0.18,0.194,0.083,0.21
"P20","Que cambie el intendente Julio Zamora",0.38,0.229,0.215,0.512,0.732,0.237
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.346,0.095,0.112,0.204,0.258,0.114
"P22","Son aliados tácticos pero lo ocultan",0.058,0.169,0.076,0.192,0.159,0.093
"P22","Son adversarios políticos",0.406,0.424,0.625,0.288,0.363,0.192
"P22","No sabe",0.19,0.312,0.187,0.316,0.22,0.601
"P23","Son lo mismo, ambos son de Massa",0.372,0.137,0.453,0.109,0.289,0.113
"P23","Son aliados en el Frente de Todos pero compiten",0.254,0.509,0.357,0.438,0.233,0.26
"P23","Son enemigos porque Zamora traicionó a Massa",0.169,0.153,0.022,0.205,0.304,0.151
"P23","No sabe",0.205,0.201,0.168,0.248,0.174,0.476
"P24","La seguridad",0.366,0.279,0.225,0.482,0.249,0.154
"P24","El tránsito",0.081,0.06,0.203,0.069,0.025,0.152
"P24","El arreglo de las calles",0.082,0.104,0.17,0.047,0.068,0.051
"P24","El estado de las escuelas y la educación",0.068,0.033,0.008,0.012,0.007,0.12
"P24","El sistema de salud",0.12,0.06,0.01,0.024,0.084,0.035
"P24","El deporte y la cultura",0.039,0.225,0.152,0.142,0.074,0.057
"P24","La obra pública",0.003,0.035,0.029,0.033,0.014,0.032
"P24","La luminaria",0.074,0.099,0.059,0.049,0.128,0.125
"P24","No sabe",0.167,0.105,0.144,0.142,0.351,0.274
"P25","La seguridad",0.221,0.145,0.09,0.069,0.21,0.32
"P25","El tránsito",0.108,0.133,0.014,0.101,0.209,0.02
"P25","El arreglo de las calles",0.153,0.143,0.342,0.267,0.237,0.283
"P25","El estado de las escuelas y la educación",0.104,0.153,0.078,0.125,0.071,0.083
"P25","El sistema de salud",0.091,0.18,0.282,0.191,0.171,0.131
"P25","El deporte y la cultura",0.035,0.078,0.06,0.077,0.005,0.035
"P25","La obra pública",0.056,0.048,0.031,0.009,0.037,0
"P25","La luminaria",0.04,0.014,0.061,0.023,0.002,0.008
"P25","No sabe",0.192,0.106,0.042,0.138,0.058,0.12
"P26","Agua corriente y cloacas",0.361,0.4,0.442,0.447,0.468,0.39
"P26","Energía eléctrica",0.283,0.098,0.031,0.121,0.179,0.164
"P26","Red de gas natural",0.014,0.073,0.237,0.032,0.047,0.052
"P26","Recolección de residuos",0.022,0.153,0.11,0.141,0.197,0.122
"P26","Ninguno",0.32,0.276,0.18,0.259,0.109,0.272
"P27","Los robos",0.361,0.183,0.291,0.265,0.167,0.441
"P27","El narcotráfico",0.286,0.306,0.318,0.178,0.287,0.191
"P27","La ausencia de patrulleros y personal policial",0.147,0.173,0.046,0.119,0.314,0.147
"P27","Otro",0.065,0.165,0.168,0.215,0.153,0.108
"P27","Ninguno",0.141,0.173,0.177,0.223,0.079,0.113
"P28","Frente de Todos y el peronismo",0.276,0.503,0.498,0.213,0.094,0.296
"P28","Cambiemos",0.337,0.222,0.207,0.246,0.354,0.152
"P28","Liberales Libertarios",0.249,0.15,0.12,0.313,0.363,0.231
"P28","Izquierda",0,0.069,0.104,0.026,0.038,0.031
"P28","No sabe",0.138,0.056,0.071,0.202,0.151,0.29
"P30","A Alberto Fernández",0.242,0.206,0.482,0.078,0.084,0.165
"P30","A Sergio Massa",0.266,0.288,0.062,0.199,0.383,0.237
"P30","A algún candidato del peronismo",0.337,0.291,0.248,0.694,0.291,0.538
"P30","A algún candidato del kirchnerismo",0.155,0.215,0.208,0.029,0.242,0.06
"P31","A Alberto Fernández",0.191,0.221,0.592,0,0.362,0.323
"P31","A Sergio Massa",0.273,0.208,0.084,0.202,0.228,0.34
"P31","A algún candidato del peronismo",0.336,0.245,0.324,0.785,0.205,0.106
"P31","A Cristina Fernández de Kirchner",0.2,0.326,0,0.013,0.205,0.231
"P32","A Horacio Rodriguez Larreta",0.502,0.338,0.245,0.042,0.09,0.4
"P32","A Mauricio Macri",0.142,0.076,0.342,0.399,0.212,0.085
"P32","A Patricia Bullrich",0.218,0.151,0.144,0.316,0.64,0.059
"P32","A Facundo Manes",0.019,0.367,0.106,0.243,0.047,0.111
"P32","A Gerardo Morales",0.119,0.068,0.163,0,0.011,0.345
"P33","Seguro lo votaria",0.476,0.073,0.222,0.506,0.197,0.12
"P33","Quizás lo votaría",0.136,0.261,0.278,0.182,0.312,0.111
"P33","Nunca lo votaría",0.388,0.666,0.5,0.312,0.491,0.769
"P34","Muy buena",0.223,0.105,0.161,0.049,0.02,0.163
"P34","Buena",0.16,0.246,0.09,0.192,0.021,0.148
"P34","Ni buena ni mala",0.073,0.237,0.243,0.33,0.118,0.286
"P34","Mala",0.068,0.119,0.178,0.067,0.107,0.188
"P34","Muy mala",0.476,0.282,0.328,0.359,0.734,0.161
"P34","No sabe",0,0.011,0,0.003,0,0.054
"P35","Muy buena",0.185,0.11,0.162,0.327,0.239,0.03
"P35","Buena",0.176,0.174,0.184,0.222,0.139,0.076
"P35","Ni buena ni mala",0.085,0.142,0.144,0.197,0.173,0.332
"P35","Mala",0.372,0.147,0.111,0.077,0.122,0.159
"P35","Muy mala",0.182,0.423,0.394,0.177,0.321,0.305
"P35","No sabe",0,0.004,0.005,0,0.006,0.098
"P36","Muy buena",0.234,0.434,0.138,0.304,0.119,0.275
"P36","Buena",0.021,0.082,0.285,0.096,0.031,0.059
"P36","Ni buena ni mala",0.152,0.069,0.137,0.137,0.013,0.212
"P36","Mala",0.027,0.032,0.093,0.035,0.039,0.021
"P36","Muy mala",0.566,0.383,0.347,0.422,0.795,0.338
"P36","No sabe",0,0,0,0.006,0.003,0.095
"P37","Muy buena",0.184,0.135,0.109,0.086,0.087,0.027
"P37","Buena",0.168,0.155,0.203,0.191,0.226,0.228
"P37","Ni buena ni mala",0.16,0.22,0.332,0.299,0.187,0.319
"P37","Mala",0.241,0.136,0.09,0.031,0.064,0.21
"P37","Muy mala",0.17,0.345,0.186,0.393,0.414,0.126
"P37","No sabe",0.077,0.009,0.08,0,0.022,0.09
"P38","Muy buena",0.132,0.125,0.044,0.114,0.069,0.194
"P38","Buena",0.144,0.202,0.151,0.174,0.025,0.151
"P38","Ni buena ni mala",0.186,0.153,0.468,0.211,0.1,0.269
"P38","Mala",0.047,0.199,0.14,0.147,0.064,0.233
"P38","Muy mala",0.491,0.321,0.197,0.351,0.737,0.07
"P38","No sabe",0,0,0,0.003,0.005,0.083
"P39","Muy buena",0.263,0.197,0.227,0.431,0.217,0.067
"P39","Buena",0.133,0.149,0.121,0.099,0.252,0.094
"P39","Ni buena ni mala",0.144,0.171,0.321,0.209,0.179,0.129
"P39","Mala",0.128,0.104,0.026,0.105,0.093,0.152
"P39","Muy mala",0.332,0.377,0.279,0.156,0.249,0.378
"P39","No sabe",0,0.002,0.026,0,0.01,0.18
"P40","Muy buena",0.162,0.091,0.113,0.431,0.357,0.159
"P40","Buena",0.349,0.106,0.131,0.047,0.091,0.029
"P40","Ni buena ni mala",0.115,0.214,0.23,0.246,0.212,0.263
"P40","Mala",0.149,0.103,0.208,0.159,0.128,0.11
"P40","Muy mala",0.225,0.483,0.237,0.112,0.194,0.302
"P40","No sabe",0,0.003,0.081,0.005,0.018,0.137
