"var","categoria","A Julio Zamora por el Frente de Todos","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","A Nicolás Massot por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P21","Es kirchnerista",0.182,0.075,0.181,0.152,0.128,0.061,0.083
"P21","Forma parte del Frente de Todos",0.351,0.263,0.201,0.209,0.106,0.19,0.217
"P21","Es un hombre de Massa",0.242,0.124,0.153,0.03,0.145,0.491,0.113
"P21","Es un peronista independiente de centro",0.121,0.133,0.175,0.1,0.21,0.012,0.048
"P21","Es un oportunista y está donde le conviene",0.011,0.166,0.211,0.352,0.385,0.19,0.214
"P21","No sabe",0.093,0.239,0.079,0.157,0.026,0.056,0.325
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.131,0.18,0.082,0.193,0.361,0.392,0.215
"P22","Son aliados tácticos pero lo ocultan",0.07,0.212,0.112,0.268,0.177,0.062,0.056
"P22","Son adversarios políticos",0.451,0.277,0.597,0.345,0.181,0.401,0.323
"P22","No sabe",0.348,0.331,0.209,0.194,0.281,0.145,0.406
"P23","Son lo mismo, ambos son de Massa",0.196,0.11,0.308,0.21,0.435,0.469,0.148
"P23","Son aliados en el Frente de Todos pero compiten",0.434,0.475,0.29,0.319,0.274,0.351,0.203
"P23","Son enemigos porque Zamora traicionó a Massa",0.052,0.226,0.27,0.425,0.074,0.052,0.225
"P23","No sabe",0.318,0.189,0.132,0.046,0.217,0.128,0.424
"P24","La seguridad",0.254,0.27,0.304,0.26,0.454,0.29,0.118
"P24","El tránsito",0.182,0.102,0.058,0.016,0.04,0.07,0
"P24","El arreglo de las calles",0.157,0.031,0.061,0.103,0.01,0.274,0.055
"P24","El estado de las escuelas y la educación",0.063,0.094,0.009,0.003,0,0.018,0.002
"P24","El sistema de salud",0.044,0.045,0.058,0.032,0.112,0.006,0.074
"P24","El deporte y la cultura",0.137,0.155,0.152,0.04,0.166,0.094,0.009
"P24","La obra pública",0.054,0.007,0.006,0.02,0,0.041,0.021
"P24","La luminaria",0.042,0.036,0.131,0.216,0.043,0.063,0.255
"P24","No sabe",0.067,0.26,0.221,0.31,0.175,0.144,0.466
"P25","La seguridad",0.123,0.294,0.172,0.051,0.201,0.08,0.225
"P25","El tránsito",0.057,0.118,0.092,0.126,0.263,0.03,0.013
"P25","El arreglo de las calles",0.198,0.2,0.288,0.454,0.232,0.103,0.085
"P25","El estado de las escuelas y la educación",0.119,0.07,0.108,0.106,0.103,0.162,0.067
"P25","El sistema de salud",0.222,0.109,0.147,0.094,0.169,0.331,0.251
"P25","El deporte y la cultura",0.084,0.005,0.074,0.075,0,0,0.015
"P25","La obra pública",0.013,0.076,0.055,0.009,0.023,0.016,0.064
"P25","La luminaria",0.008,0.032,0.02,0.005,0,0.214,0.065
"P25","No sabe",0.176,0.096,0.044,0.08,0.009,0.064,0.215
"P26","Agua corriente y cloacas",0.39,0.354,0.499,0.471,0.368,0.692,0.298
"P26","Energía eléctrica",0.111,0.077,0.144,0.178,0.209,0.122,0.137
"P26","Red de gas natural",0.148,0.004,0.064,0.021,0.094,0.056,0.049
"P26","Recolección de residuos",0.055,0.334,0.144,0.179,0.125,0.07,0.055
"P26","Ninguno",0.296,0.231,0.149,0.151,0.204,0.06,0.461
"P27","Los robos",0.186,0.363,0.294,0.241,0.238,0.564,0.262
"P27","El narcotráfico",0.279,0.19,0.37,0.371,0.202,0.119,0.248
"P27","La ausencia de patrulleros y personal policial",0.129,0.205,0.167,0.25,0.152,0.196,0.096
"P27","Otro",0.168,0.085,0.103,0.13,0.198,0.033,0.313
"P27","Ninguno",0.238,0.157,0.066,0.008,0.21,0.088,0.081
"P28","Frente de Todos y el peronismo",0.677,0.615,0.064,0.092,0.073,0.137,0.05
"P28","Cambiemos",0.127,0.046,0.656,0.545,0.101,0,0.209
"P28","Liberales Libertarios",0.027,0.176,0.195,0.294,0.818,0.007,0.088
"P28","Izquierda",0.059,0.008,0.004,0.057,0.002,0.56,0
"P28","No sabe",0.11,0.155,0.081,0.012,0.006,0.296,0.653
"P30","A Alberto Fernández",0.352,0.073,0.211,0,0.02,0.076,0.339
"P30","A Sergio Massa",0.285,0.574,0.157,0.165,0.206,0.198,0.021
"P30","A algún candidato del peronismo",0.101,0.333,0.603,0.679,0.576,0.029,0.53
"P30","A algún candidato del kirchnerismo",0.262,0.02,0.029,0.156,0.198,0.697,0.11
"P31","A Alberto Fernández",0.286,0.291,0.167,0,0.2,0.076,0.831
"P31","A Sergio Massa",0.311,0.4,0.155,0.176,0.228,0.164,0.016
"P31","A algún candidato del peronismo",0.066,0.063,0.578,0.8,0.572,0.03,0.057
"P31","A Cristina Fernández de Kirchner",0.337,0.246,0.1,0.024,0,0.73,0.096
"P32","A Horacio Rodriguez Larreta",0.299,0.277,0.273,0.134,0.053,0.404,0.587
"P32","A Mauricio Macri",0.143,0,0.395,0.253,0.066,0.323,0.193
"P32","A Patricia Bullrich",0.085,0.025,0.222,0.561,0.822,0.054,0.098
"P32","A Facundo Manes",0.271,0.453,0.096,0.012,0.059,0.171,0.037
"P32","A Gerardo Morales",0.202,0.245,0.014,0.04,0,0.048,0.085
"P33","Seguro lo votaria",0.075,0.028,0.362,0.313,0.55,0.105,0.063
"P33","Quizás lo votaría",0.262,0.104,0.211,0.471,0.144,0.323,0.234
"P33","Nunca lo votaría",0.663,0.868,0.427,0.216,0.306,0.572,0.703
"P34","Muy buena",0.17,0.186,0.043,0.07,0.101,0.106,0.074
"P34","Buena",0.257,0.217,0.092,0.005,0.006,0.311,0.085
"P34","Ni buena ni mala",0.309,0.305,0.148,0.051,0.094,0.235,0.207
"P34","Mala",0.144,0.082,0.094,0.115,0.053,0.249,0.256
"P34","Muy mala",0.12,0.21,0.611,0.754,0.746,0.099,0.287
"P34","No sabe",0,0,0.012,0.005,0,0,0.091
"P35","Muy buena",0.08,0.014,0.343,0.312,0.204,0.036,0.151
"P35","Buena",0.083,0.061,0.29,0.173,0.184,0.291,0.181
"P35","Ni buena ni mala",0.138,0.122,0.161,0.222,0.2,0.044,0.334
"P35","Mala",0.21,0.161,0.094,0.167,0.182,0.26,0.037
"P35","Muy mala",0.47,0.633,0.105,0.113,0.23,0.369,0.233
"P35","No sabe",0.019,0.009,0.007,0.013,0,0,0.064
"P36","Muy buena",0.417,0.485,0.147,0.112,0.094,0.191,0.163
"P36","Buena",0.166,0.141,0.023,0,0.087,0.289,0.026
"P36","Ni buena ni mala",0.205,0.056,0.064,0.026,0.028,0.118,0.197
"P36","Mala",0.051,0.024,0.065,0.011,0.014,0.08,0.045
"P36","Muy mala",0.148,0.294,0.695,0.851,0.777,0.322,0.472
"P36","No sabe",0.013,0,0.006,0,0,0,0.097
"P37","Muy buena",0.09,0.069,0.213,0.067,0.051,0.107,0.138
"P37","Buena",0.105,0.17,0.357,0.292,0.126,0.009,0.216
"P37","Ni buena ni mala",0.317,0.208,0.169,0.206,0.185,0.35,0.39
"P37","Mala",0.125,0.22,0.029,0.132,0.193,0.239,0.03
"P37","Muy mala",0.274,0.31,0.223,0.29,0.445,0.274,0.107
"P37","No sabe",0.089,0.023,0.009,0.013,0,0.021,0.119
"P38","Muy buena",0.103,0.461,0.045,0,0.003,0.142,0.106
"P38","Buena",0.238,0.226,0.125,0.043,0.068,0,0.02
"P38","Ni buena ni mala",0.358,0.138,0.103,0.273,0.113,0.373,0.315
"P38","Mala",0.165,0.132,0.123,0.063,0.098,0.3,0.181
"P38","Muy mala",0.12,0.043,0.6,0.615,0.718,0.185,0.314
"P38","No sabe",0.016,0,0.004,0.006,0,0,0.064
"P39","Muy buena",0.051,0.047,0.539,0.358,0.296,0.037,0.177
"P39","Buena",0.058,0.037,0.173,0.177,0.355,0.009,0.182
"P39","Ni buena ni mala",0.249,0.108,0.15,0.194,0.182,0.341,0.204
"P39","Mala",0.174,0.145,0.049,0.005,0.038,0.105,0.069
"P39","Muy mala",0.443,0.654,0.089,0.247,0.129,0.508,0.122
"P39","No sabe",0.025,0.009,0,0.019,0,0,0.246
"P40","Muy buena",0.026,0.121,0.196,0.299,0.639,0.037,0.107
"P40","Buena",0.061,0.077,0.219,0.215,0.186,0.009,0.041
"P40","Ni buena ni mala",0.206,0.064,0.252,0.306,0.059,0.285,0.576
"P40","Mala",0.166,0.147,0.173,0.063,0.116,0.168,0.056
"P40","Muy mala",0.462,0.582,0.154,0.108,0,0.501,0.119
"P40","No sabe",0.079,0.009,0.006,0.009,0,0,0.101
