"var","categoria","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P35","Buena",0.028,0.307,0.164,0.023,0.212
"P35","Ni buena ni mala",0.112,0.155,0.211,0.007,0.308
"P35","Mala",0.217,0.093,0.185,0.224,0.137
"P35","Muy mala",0.503,0.154,0.164,0.746,0.282
"P35","No sabe",0.018,0.007,0,0,0.035
"P36","Muy buena",0.515,0.083,0.095,0.567,0.17
"P36","Buena",0.176,0.04,0.027,0.054,0.159
"P36","Ni buena ni mala",0.179,0.023,0.015,0.007,0.26
"P36","Mala",0.01,0.092,0.012,0.115,0.017
"P36","Muy mala",0.107,0.759,0.848,0.257,0.356
"P36","No sabe",0.013,0.003,0.003,0,0.038
"P37","Muy buena",0.047,0.2,0.059,0.234,0.074
"P37","Buena",0.118,0.331,0.124,0.006,0.197
"P37","Ni buena ni mala",0.287,0.197,0.159,0,0.436
"P37","Mala",0.142,0.07,0.207,0.167,0.096
"P37","Muy mala",0.318,0.185,0.448,0.564,0.154
"P37","No sabe",0.088,0.017,0.003,0.029,0.043
"P38","Muy buena",0.223,0.048,0,0.143,0.094
"P38","Buena",0.303,0.067,0.005,0.031,0.163
"P38","Ni buena ni mala",0.292,0.148,0.177,0.187,0.311
"P38","Mala",0.068,0.181,0.079,0.429,0.155
"P38","Muy mala",0.099,0.553,0.736,0.21,0.252
"P38","No sabe",0.015,0.003,0.003,0,0.025
"P39","Muy buena",0.085,0.422,0.376,0,0.099
"P39","Buena",0.067,0.226,0.214,0.014,0.128
"P39","Ni buena ni mala",0.124,0.165,0.2,0.085,0.432
"P39","Mala",0.142,0.052,0.039,0.234,0.104
"P39","Muy mala",0.53,0.129,0.171,0.638,0.196
"P39","No sabe",0.052,0.006,0,0.029,0.041
"P40","Muy buena",0.073,0.248,0.615,0,0.029
"P40","Buena",0.045,0.207,0.271,0.02,0.031
"P40","Ni buena ni mala",0.106,0.291,0.092,0.029,0.454
"P40","Mala",0.239,0.104,0,0.058,0.197
"P40","Muy mala",0.48,0.13,0.022,0.87,0.233
"P40","No sabe",0.057,0.02,0,0.023,0.056
