"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales Libertarios","Izquierda","No sabe"
"P36","Buena",0.202,0.02,0.015,0,0.202
"P36","Ni buena ni mala",0.165,0.028,0.023,0.112,0.31
"P36","Mala",0.011,0.074,0.038,0.103,0.05
"P36","Muy mala",0.102,0.785,0.791,0.365,0.28
"P36","No sabe",0,0.003,0.018,0,0.064
"P37","Muy buena",0.052,0.223,0.05,0.241,0.089
"P37","Buena",0.098,0.33,0.178,0,0.255
"P37","Ni buena ni mala",0.247,0.237,0.196,0.038,0.477
"P37","Mala",0.159,0.037,0.191,0.253,0.031
"P37","Muy mala",0.362,0.173,0.375,0.45,0.052
"P37","No sabe",0.082,0,0.01,0.018,0.096
"P38","Muy buena",0.228,0.05,0.002,0,0.137
"P38","Buena",0.3,0.051,0.024,0.087,0.158
"P38","Ni buena ni mala",0.28,0.155,0.172,0.201,0.364
"P38","Mala",0.086,0.153,0.132,0.565,0.099
"P38","Muy mala",0.104,0.591,0.651,0.147,0.196
"P38","No sabe",0.002,0,0.019,0,0.046
"P39","Muy buena",0.031,0.467,0.37,0.018,0.102
"P39","Buena",0.079,0.208,0.223,0.045,0.091
"P39","Ni buena ni mala",0.178,0.158,0.212,0.042,0.387
"P39","Mala",0.144,0.043,0.027,0.211,0.178
"P39","Muy mala",0.565,0.124,0.146,0.608,0.088
"P39","No sabe",0.003,0,0.022,0.076,0.154
"P40","Muy buena",0.018,0.151,0.642,0.043,0.049
"P40","Buena",0.041,0.161,0.288,0.009,0.028
"P40","Ni buena ni mala",0.116,0.409,0.045,0.052,0.47
"P40","Mala",0.181,0.183,0,0.114,0.239
"P40","Muy mala",0.602,0.084,0.007,0.782,0.096
"P40","No sabe",0.042,0.012,0.018,0,0.118
