"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P36","Aún no lo tengo decidido",0.043,0.089,0.069,0.065
"P37","Wado de Pedro por el Frente de Todos",0.294,0.293,0.237,0.217
"P37","Mauricio Macri por Juntos por el Cambio",0.364,0.317,0.321,0.21
"P37","Javier Milei por los liberales libertarios",0.156,0.162,0.191,0.253
"P37","Nicolás del Caño por la izquierda",0.032,0.027,0.014,0.068
"P37","Otro candidato",0.065,0.112,0.17,0.123
"P37","Aún no lo tengo decidido",0.089,0.089,0.067,0.129
"P38","Wado de Pedro por el Frente de Todos",0.278,0.297,0.227,0.223
"P38","Patricia Bullrich por Juntos por el Cambio",0.37,0.36,0.408,0.244
"P38","Javier Milei por los liberales libertarios",0.159,0.14,0.147,0.316
"P38","Nicolás del Caño por la izquierda",0.018,0.027,0.01,0.027
"P38","Otro candidato",0.089,0.093,0.113,0.092
"P38","Aún no lo tengo decidido",0.086,0.083,0.095,0.098
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.336,0.336,0.286,0.219
"P39","Patricia Bullrich por Juntos por el Cambio",0.378,0.352,0.385,0.306
"P39","Javier Milei por los liberales libertarios",0.165,0.148,0.156,0.286
"P39","Nicolás del Caño por la izquierda",0.009,0.024,0.01,0.027
"P39","Otro candidato",0.039,0.088,0.081,0.058
"P39","Aún no lo tengo decidido",0.073,0.052,0.082,0.104
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.386,0.363,0.293,0.221
"P40","Mauricio Macri por Juntos por el Cambio",0.427,0.457,0.506,0.473
"P40","No sabe",0.187,0.18,0.201,0.306
"P41","Wado de Pedro por el Frente de Todos",0.328,0.33,0.27,0.233
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.425,0.446,0.427,0.535
"P41","No sabe",0.247,0.224,0.303,0.232
"P42","Sergio Massa por el Frente de Todos",0.329,0.332,0.281,0.259
"P42","Patricia Bullrich por Juntos por el Cambio",0.492,0.478,0.495,0.527
"P42","No sabe",0.179,0.19,0.224,0.214
"P43","Sergio Massa por el Frente de Todos",0.347,0.329,0.301,0.212
"P43","Mauricio Macri por Juntos por el Cambio",0.469,0.477,0.49,0.461
"P43","No sabe",0.184,0.194,0.209,0.327
"P44","Sergio Massa por el Frente de Todos",0.335,0.33,0.296,0.255
"P44","Javier Milei por los liberales libertarios",0.367,0.362,0.385,0.46
"P44","No sabe",0.298,0.308,0.319,0.285
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.327,0.315,0.261,0.207
"P45","Javier Milei por los liberales libertarios",0.268,0.275,0.368,0.485
"P45","No sabe",0.405,0.41,0.371,0.308
"P46","Patricia Bullrich por Juntos por el Cambio",0.474,0.477,0.462,0.441
"P46","Wado de Pedro por el Frente de Todos",0.278,0.312,0.273,0.29
"P46","No sabe",0.248,0.211,0.265,0.269
"P47","Patricia Bullrich por Juntos por el Cambio",0.495,0.506,0.546,0.501
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.37,0.358,0.291,0.266
"P47","No sabe",0.135,0.136,0.163,0.233
"P48","Muy buena",0.111,0.074,0.127,0.069
"P48","Buena",0.163,0.168,0.144,0.13
"P48","Ni buena ni mala",0.126,0.139,0.131,0.184
"P48","Mala",0.084,0.112,0.092,0.103
"P48","Muy mala",0.51,0.497,0.485,0.514
"P48","No sabe",0.006,0.01,0.021,0
"P49","Muy buena",0.071,0.044,0.054,0.061
"P49","Buena",0.153,0.147,0.122,0.072
"P49","Ni buena ni mala",0.143,0.167,0.157,0.146
"P49","Mala",0.1,0.111,0.114,0.14
"P49","Muy mala",0.529,0.524,0.536,0.581
"P49","No sabe",0.004,0.007,0.017,0
"P50","Muy buena",0.304,0.238,0.221,0.164
"P50","Buena",0.037,0.085,0.078,0.069
"P50","Ni buena ni mala",0.058,0.084,0.058,0.046
"P50","Mala",0.04,0.024,0.059,0.094
"P50","Muy mala",0.554,0.564,0.582,0.624
