"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P33","Nicolás del Caño por la izquierda",0.023,0.006,0.005,0.522,0.007,0.045
"P33","Otro candidato",0.116,0.092,0.019,0.018,0.431,0.148
"P33","Aún no lo tengo decidido",0.101,0.042,0.039,0.115,0.052,0.493
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.89,0.057,0.022,0.058,0.06,0.073
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.05,0.661,0.063,0.052,0.375,0.22
"P35","Javier Milei por los liberales libertarios",0.016,0.152,0.868,0.116,0.034,0.044
"P35","Nicolás del Caño por la izquierda",0.001,0.001,0,0.385,0.015,0.056
"P35","Otro candidato",0.023,0.077,0.026,0.119,0.476,0.141
"P35","Aún no lo tengo decidido",0.02,0.052,0.021,0.27,0.04,0.466
"P36","Sergio Massa por el Frente de Todos",0.709,0.028,0.025,0.12,0.13,0.119
"P36","Mauricio Macri por Juntos por el Cambio",0.036,0.865,0.064,0.031,0.158,0.123
"P36","Javier Milei por los liberales libertarios",0.034,0.056,0.851,0.122,0.044,0.042
"P36","Nicolás del Caño por la izquierda",0.023,0.001,0.005,0.471,0.019,0.053
"P36","Otro candidato",0.114,0.033,0.02,0.076,0.571,0.134
"P36","Aún no lo tengo decidido",0.084,0.017,0.035,0.18,0.078,0.529
"P37","Wado de Pedro por el Frente de Todos",0.74,0.006,0.005,0.037,0.062,0.105
"P37","Mauricio Macri por Juntos por el Cambio",0.032,0.91,0.044,0.037,0.159,0.112
"P37","Javier Milei por los liberales libertarios",0.011,0.025,0.868,0.138,0.029,0.055
"P37","Nicolás del Caño por la izquierda",0.021,0.015,0.009,0.56,0.022,0.017
"P37","Otro candidato",0.088,0.036,0.042,0.088,0.676,0.17
"P37","Aún no lo tengo decidido",0.108,0.008,0.032,0.14,0.052,0.541
"P38","Wado de Pedro por el Frente de Todos",0.725,0.002,0.018,0.048,0.05,0.107
"P38","Patricia Bullrich por Juntos por el Cambio",0.021,0.86,0.19,0.067,0.352,0.242
"P38","Javier Milei por los liberales libertarios",0.009,0.063,0.745,0.146,0.023,0.054
"P38","Nicolás del Caño por la izquierda",0.016,0.001,0.009,0.446,0.028,0.014
"P38","Otro candidato",0.097,0.03,0.014,0.138,0.475,0.146
"P38","Aún no lo tengo decidido",0.132,0.044,0.024,0.155,0.072,0.437
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.903,0.013,0.008,0.052,0.055,0.047
"P39","Patricia Bullrich por Juntos por el Cambio",0.022,0.836,0.203,0.065,0.392,0.285
"P39","Javier Milei por los liberales libertarios",0.005,0.064,0.767,0.148,0.034,0.049
"P39","Nicolás del Caño por la izquierda",0.005,0.001,0,0.443,0.022,0.018
"P39","Otro candidato",0.023,0.036,0.018,0.006,0.458,0.17
"P39","Aún no lo tengo decidido",0.042,0.05,0.004,0.286,0.039,0.431
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.85,0.079,0.063,0.284,0.1,0.176
"P40","Mauricio Macri por Juntos por el Cambio",0.127,0.891,0.485,0.034,0.317,0.242
"P40","No sabe",0.023,0.03,0.452,0.682,0.583,0.582
"P41","Wado de Pedro por el Frente de Todos",0.82,0.009,0.025,0.224,0.07,0.135
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.828,0.487,0.318,0.553,0.356
"P41","No sabe",0.166,0.163,0.488,0.458,0.377,0.509
"P42","Sergio Massa por el Frente de Todos",0.784,0.023,0.059,0.422,0.133,0.16
"P42","Patricia Bullrich por Juntos por el Cambio",0.026,0.942,0.613,0.132,0.479,0.372
"P42","No sabe",0.19,0.035,0.328,0.446,0.388,0.468
"P43","Sergio Massa por el Frente de Todos",0.809,0.015,0.045,0.458,0.199,0.19
"P43","Mauricio Macri por Juntos por el Cambio",0.028,0.959,0.634,0.109,0.333,0.25
"P43","No sabe",0.163,0.026,0.321,0.433,0.468,0.56
"P44","Sergio Massa por el Frente de Todos",0.812,0.025,0.04,0.405,0.179,0.175
"P44","Javier Milei por los liberales libertarios",0.032,0.564,0.856,0.32,0.232,0.176
"P44","No sabe",0.156,0.411,0.104,0.275,0.589,0.649
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.384,0.308,0.059,0.585,0.373,0.287
"P45","Javier Milei por los liberales libertarios",0.034,0.391,0.88,0.094,0.156,0.155
"P45","No sabe",0.582,0.301,0.061,0.321,0.471,0.558
"P46","Patricia Bullrich por Juntos por el Cambio",0.085,0.856,0.588,0.118,0.491,0.319
"P46","Wado de Pedro por el Frente de Todos",0.679,0.063,0.143,0.278,0.094,0.118
"P46","No sabe",0.236,0.081,0.269,0.604,0.415,0.563
"P47","Patricia Bullrich por Juntos por el Cambio",0.035,0.957,0.695,0.132,0.52,0.369
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.918,0.012,0.031,0.339,0.11,0.168
"P47","No sabe",0.047,0.031,0.274,0.529,0.37,0.463
"P48","Muy buena",0.114,0.119,0.051,0.018,0.076,0.067
"P48","Buena",0.445,0,0.04,0.057,0.023,0.025
"P48","Ni buena ni mala",0.256,0.025,0.077,0.507,0.159,0.192
"P48","Mala",0.132,0.058,0.058,0.17,0.124,0.151
"P48","Muy mala",0.031,0.795,0.772,0.248,0.61,0.526
"P48","No sabe",0.022,0.003,0.002,0,0.008,0.039
"P49","Muy buena",0.139,0.014,0.01,0.032,0.013,0.04
"P49","Buena",0.357,0.005,0.038,0.057,0.034,0.046
"P49","Ni buena ni mala",0.336,0.022,0.059,0.411,0.129,0.186
"P49","Mala",0.11,0.103,0.054,0.259,0.216,0.112
"P49","Muy mala",0.046,0.849,0.839,0.241,0.595,0.58
"P49","No sabe",0.012,0.007,0,0,0.013,0.036
"P50","Muy buena",0.693,0.015,0.023,0.028,0.033,0.105
"P50","Buena",0.167,0.013,0.026,0.109,0.027,0.017
"P50","Ni buena ni mala",0.102,0.009,0.053,0.21,0.08,0.146
"P50","Mala",0.01,0.041,0.019,0.192,0.156,0.097
"P50","Muy mala",0.028,0.92,0.879,0.461,0.692,0.581
"P50","No sabe",0,0.002,0,0,0.012,0.054
"P51","Muy buena",0.13,0.453,0.061,0.018,0.035,0.03
"P51","Buena",0.05,0.311,0.198,0.058,0.158,0.13
"P51","Ni buena ni mala",0.024,0.114,0.323,0.156,0.291,0.18
"P51","Mala",0.191,0.014,0.148,0.016,0.202,0.189
"P51","Muy mala",0.588,0.108,0.27,0.752,0.305,0.401
"P51","No sabe",0.017,0,0,0,0.009,0.07
"P52","Muy buena",0.019,0.381,0.118,0.048,0.118,0.124
"P52","Buena",0.024,0.315,0.174,0.132,0.236,0.184
"P52","Ni buena ni mala",0.106,0.221,0.237,0.031,0.334,0.292
"P52","Mala",0.21,0.038,0.181,0.268,0.13,0.119
"P52","Muy mala",0.613,0.038,0.286,0.521,0.159,0.216
"P52","No sabe",0.028,0.007,0.004,0,0.023,0.065
"P53","Muy buena",0.184,0.027,0.045,0.018,0.032,0.057
"P53","Buena",0.339,0.049,0.051,0.063,0.097,0.131
"P53","Ni buena ni mala",0.246,0.092,0.066,0.175,0.24,0.181
"P53","Mala",0.109,0.148,0.114,0.352,0.137,0.222
"P53","Muy mala",0.105,0.682,0.721,0.392,0.451,0.361
"P53","No sabe",0.017,0.002,0.003,0,0.043,0.048
"P54","Muy buena",0.064,0.523,0.255,0.043,0.192,0.128
"P54","Buena",0.047,0.284,0.249,0.058,0.29,0.127
"P54","Ni buena ni mala",0.126,0.08,0.221,0.162,0.146,0.142
"P54","Mala",0.119,0.036,0.07,0.042,0.126,0.195
"P54","Muy mala",0.627,0.073,0.165,0.695,0.24,0.358
"P54","No sabe",0.017,0.004,0.04,0,0.006,0.05
"P55","Muy buena",0.023,0.166,0.56,0.058,0.027,0.041
"P55","Buena",0.022,0.205,0.317,0.058,0.1,0.081
"P55","Ni buena ni mala",0.097,0.396,0.103,0.215,0.33,0.4
"P55","Mala",0.175,0.115,0.003,0.068,0.263,0.119
"P55","Muy mala",0.662,0.097,0.014,0.601,0.272,0.283
"P55","No sabe",0.021,0.021,0.003,0,0.008,0.076
"P56","Muy buena",0.007,0.395,0.171,0.1,0.071,0.116
"P56","Buena",0.017,0.359,0.213,0.028,0.285,0.155
"P56","Ni buena ni mala",0.053,0.142,0.24,0.275,0.248,0.249
"P56","Mala",0.196,0.065,0.171,0.039,0.155,0.161
"P56","Muy mala",0.721,0.026,0.198,0.558,0.233,0.248
"P56","No sabe",0.006,0.013,0.007,0,0.008,0.071
"P57","Muy buena",0.372,0.05,0.04,0.085,0.047,0.053
"P57","Buena",0.269,0.052,0.013,0.024,0.054,0.027
"P57","Ni buena ni mala",0.162,0.143,0.169,0.176,0.17,0.285
"P57","Mala",0.095,0.191,0.174,0.204,0.266,0.161
"P57","Muy mala",0.068,0.538,0.506,0.274,0.385,0.36
"P57","No sabe",0.034,0.026,0.098,0.237,0.078,0.114
"P58","Muy buena",0.082,0.071,0.079,0.074,0.154,0.054
"P58","Buena",0.141,0.185,0.107,0.118,0.305,0.244
"P58","Ni buena ni mala",0.36,0.349,0.372,0.13,0.279,0.346
"P58","Mala",0.177,0.181,0.106,0.261,0.112,0.098
"P58","Muy mala",0.164,0.207,0.28,0.085,0.135,0.17
"P58","No sabe",0.076,0.007,0.056,0.332,0.015,0.088
"P59","Muy buena",0.013,0.074,0.05,0.043,0.092,0.03
"P59","Buena",0.025,0.262,0.091,0.057,0.269,0.124
"P59","Ni buena ni mala",0.23,0.362,0.283,0.139,0.356,0.425
"P59","Mala",0.154,0.105,0.116,0.233,0.129,0.105
"P59","Muy mala",0.493,0.127,0.284,0.153,0.121,0.144
"P59","No sabe",0.085,0.07,0.176,0.375,0.033,0.172
"P60","Siempre",0.314,0.309,0.247,0.269,0.178,0.217
"P60","Casi siempre",0.398,0.377,0.334,0.367,0.426,0.38
"P60","Casi nunca",0.21,0.256,0.287,0.226,0.297,0.261
"P60","Nunca, pero esta es una excepción",0.078,0.058,0.132,0.138,0.099,0.142
"P61","Si",0.643,0.514,0.51,0.442,0.433,0.39
"P61","No",0.357,0.486,0.49,0.558,0.567,0.61
