"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P57","Muy mala",0.058,0.544,0.489,0.257,0.355,0.278
"P57","No sabe",0.045,0.025,0.092,0.111,0.06,0.185
"P58","Muy buena",0.085,0.079,0.063,0.146,0.145,0.053
"P58","Buena",0.149,0.198,0.087,0.176,0.293,0.211
"P58","Ni buena ni mala",0.358,0.335,0.416,0.158,0.299,0.281
"P58","Mala",0.181,0.181,0.087,0.178,0.097,0.107
"P58","Muy mala",0.156,0.201,0.29,0.121,0.144,0.167
"P58","No sabe",0.071,0.006,0.057,0.221,0.022,0.181
"P59","Muy buena",0.014,0.079,0.036,0.018,0.089,0.023
"P59","Buena",0.03,0.268,0.056,0.067,0.197,0.123
"P59","Ni buena ni mala",0.215,0.373,0.284,0.291,0.325,0.401
"P59","Mala",0.143,0.113,0.148,0.199,0.089,0.108
"P59","Muy mala",0.507,0.133,0.273,0.151,0.152,0.119
"P59","No sabe",0.091,0.034,0.203,0.274,0.148,0.226
"P60","Siempre",0.3,0.29,0.276,0.149,0.156,0.293
"P60","Casi siempre",0.409,0.369,0.337,0.551,0.479,0.279
"P60","Casi nunca",0.228,0.265,0.233,0.155,0.29,0.293
"P60","Nunca, pero esta es una excepción",0.063,0.076,0.154,0.145,0.075,0.135
"P61","Si",0.607,0.5,0.52,0.449,0.507,0.486
"P61","No",0.393,0.5,0.48,0.551,0.493,0.514
