"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P13","Seguro lo votaria",0.049,0.133,0.686,0,0.062,0.126
"P13","Quizás lo votaría",0.141,0.377,0.201,0.496,0.213,0.45
"P13","Nunca lo votaría",0.81,0.49,0.113,0.504,0.725,0.424
"P14","Lo votaría",0.019,0.514,0.18,0,0.049,0.105
"P14","Puede que lo vote",0.02,0.295,0.342,0.102,0.155,0.119
"P14","Nunca lo votaría",0.888,0.13,0.366,0.791,0.677,0.642
"P14","No sabe",0.073,0.061,0.112,0.107,0.119,0.134
"P15","Lo votaría",0.282,0.042,0.03,0.068,0.101,0.112
"P15","Puede que lo vote",0.423,0.078,0.134,0.209,0.215,0.132
"P15","Nunca lo votaría",0.239,0.858,0.798,0.48,0.53,0.599
"P15","No sabe",0.056,0.022,0.038,0.243,0.154,0.157
"P16","Lo votaría",0.268,0.021,0.012,0.051,0.116,0.131
"P16","Puede que lo vote",0.472,0.014,0.054,0.275,0.177,0.203
"P16","Nunca lo votaría",0.188,0.958,0.909,0.44,0.566,0.537
"P16","No sabe",0.072,0.007,0.025,0.234,0.141,0.129
"P17","La votaría",0.795,0.017,0.018,0.247,0.257,0.32
"P17","Puede que la vote",0.121,0.002,0.039,0.172,0.115,0.095
"P17","Nunca la votaría",0.029,0.978,0.911,0.486,0.541,0.467
"P17","No sabe",0.055,0.003,0.032,0.095,0.087,0.118
"P18","Lo votaría",0.108,0.273,0.089,0.096,0.077,0.079
"P18","Puede que lo vote",0.057,0.424,0.223,0.134,0.323,0.175
"P18","Nunca lo votaría",0.832,0.238,0.617,0.64,0.5,0.606
"P18","No sabe",0.003,0.065,0.071,0.13,0.1,0.14
"P19","Lo votaría",0.024,0.095,0.071,0.139,0.21,0.059
"P19","Puede que lo vote",0.157,0.379,0.198,0.217,0.176,0.191
"P19","Nunca lo votaría",0.715,0.468,0.589,0.503,0.463,0.486
"P19","No sabe",0.104,0.058,0.142,0.141,0.151,0.264
"P20","La votaría",0.008,0.67,0.193,0.048,0.06,0.055
"P20","Puede que la vote",0.045,0.238,0.388,0.009,0.146,0.1
"P20","Nunca la votaría",0.899,0.072,0.327,0.863,0.709,0.659
"P20","No sabe",0.048,0.02,0.092,0.08,0.085,0.186
"P21","Lo votaría",0.019,0.204,0.718,0,0.024,0.026
"P21","Puede que lo vote",0.021,0.299,0.193,0.17,0.155,0.139
"P21","Nunca lo votaría",0.93,0.427,0.066,0.77,0.704,0.597
"P21","No sabe",0.03,0.07,0.023,0.06,0.117,0.238
"P22","La votaría",0.002,0.255,0.118,0.048,0.028,0.086
"P22","Puede que la vote",0.024,0.386,0.262,0.106,0.158,0.145
"P22","Nunca la votaría",0.94,0.266,0.519,0.741,0.674,0.607
"P22","No sabe",0.034,0.093,0.101,0.105,0.14,0.162
"P23","Lo votaría",0.443,0.038,0.041,0,0.04,0.023
"P23","Puede que lo vote",0.279,0.083,0.057,0.225,0.115,0.149
"P23","Nunca lo votaría",0.187,0.846,0.739,0.562,0.664,0.644
"P23","No sabe",0.091,0.033,0.163,0.213,0.181,0.184
"P24","Lo votaría",0.067,0.079,0.022,0,0.055,0.025
"P24","Puede que lo vote",0.096,0.285,0.118,0.126,0.19,0.119
"P24","Nunca lo votaría",0.705,0.551,0.675,0.66,0.513,0.581
"P24","No sabe",0.132,0.085,0.185,0.214,0.242,0.275
"P25","Mauricio Macri por Juntos por el Cambio",0.016,0.32,0.063,0.028,0.056,0.074
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.141,0.093,0.178,0.136,0.077
"P25","Patricia Bullrich por Juntos por el Cambio",0.001,0.396,0.084,0,0.022,0.068
"P25","Facundo Manes por Juntos por el Cambio",0.026,0.036,0.039,0.073,0.191,0.04
"P25","Alberto Fernández por el Frente de Todos",0.051,0.011,0.006,0,0.077,0.134
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.833,0.007,0.012,0.247,0.239,0.299
"P25","Javier Milei por los liberales libertarios",0.001,0.038,0.683,0,0.012,0.004
"P25","Nicolás del Caño por la izquierda",0.003,0.002,0,0.384,0,0.004
"P25","Otros candidatos",0.024,0.011,0.004,0.02,0.218,0.044
"P25","Aún no lo tengo decidido",0.029,0.038,0.016,0.07,0.049,0.256
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.004,0.194,0.118,0.127,0.129,0.104
"P26","Patricia Bullrich por Juntos por el Cambio",0.002,0.615,0.113,0.087,0.074,0.098
"P26","Facundo Manes por Juntos por el Cambio",0.024,0.095,0.042,0.073,0.197,0.052
"P26","Wado de Pedro por el Frente de Todos",0.494,0.012,0.009,0.007,0.078,0.037
"P26","Sergio Massa por el Frente de Todos",0.392,0.005,0.006,0.15,0.234,0.25
"P26","Javier Milei por los liberales libertarios",0.013,0.044,0.621,0.053,0.02,0.056
"P26","Nicolás del Caño por la izquierda",0.006,0.003,0.082,0.31,0.016,0.004
"P26","Otros candidatos",0.01,0.009,0.002,0.181,0.117,0.02
"P26","Aún no lo tengo decidido",0.055,0.023,0.007,0.012,0.135,0.379
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.925,0.021,0.017,0.242,0.306,0.398
"P27","Mauricio Macri por Juntos por el Cambio",0.002,0.709,0.106,0.009,0.079,0.112
"P27","Javier Milei por los liberales libertarios",0.013,0.102,0.813,0.076,0.023,0.04
"P27","Nicolás del Caño por la izquierda",0.005,0.005,0.022,0.498,0.033,0.035
"P27","Otro candidato",0.018,0.099,0.013,0.119,0.434,0.062
"P27","Aún no lo tengo decidido",0.037,0.064,0.029,0.056,0.125,0.353
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.107,0.593,0.081,0.132,0.215,0.155
"P29","Wado de Pedro por el Frente de Todos",0.774,0.077,0.03,0.057,0.11,0.159
"P29","Javier Milei por los liberales libertarios",0.028,0.149,0.856,0,0.022,0.021
"P29","Nicolás del Caño por la izquierda",0.005,0.003,0,0.599,0.013,0.009
"P29","Otro candidato",0.028,0.104,0.005,0.141,0.513,0.084
"P29","Aún no lo tengo decidido",0.058,0.074,0.028,0.071,0.127,0.572
"P31","Sergio Massa por el Frente de Todos",0.764,0.05,0.027,0.155,0.241,0.226
"P31","Patricia Bullrich por Juntos por el Cambio",0.032,0.866,0.048,0.009,0.1,0.128
"P31","Javier Milei por los liberales libertarios",0.015,0.041,0.871,0,0.026,0.023
"P31","Nicolás del Caño por la izquierda",0.018,0.001,0.021,0.717,0.052,0.006
"P31","Otro candidato",0.082,0.022,0.01,0.107,0.482,0.063
"P31","Aún no lo tengo decidido",0.089,0.02,0.023,0.012,0.099,0.554
"P33","Sergio Massa por el Frente de Todos",0.679,0.068,0.027,0.169,0.251,0.21
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.113,0.625,0.073,0.145,0.195,0.121
"P33","Javier Milei por los liberales libertarios",0.013,0.155,0.875,0.021,0.005,0.031
"P33","Nicolás del Caño por la izquierda",0.032,0.006,0,0.597,0.04,0.004
"P33","Otro candidato",0.094,0.09,0.009,0.031,0.432,0.144
"P33","Aún no lo tengo decidido",0.069,0.056,0.016,0.037,0.077,0.49
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.902,0.064,0.032,0.252,0.309,0.296
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.043,0.633,0.066,0.127,0.188,0.158
"P35","Javier Milei por los liberales libertarios",0.001,0.18,0.871,0.054,0.007,0.027
"P35","Nicolás del Caño por la izquierda",0.019,0.001,0,0.484,0.006,0.004
"P35","Otro candidato",0.016,0.091,0.028,0.073,0.391,0.074
"P35","Aún no lo tengo decidido",0.019,0.031,0.003,0.01,0.099,0.441
"P36","Sergio Massa por el Frente de Todos",0.781,0.032,0.02,0.163,0.293,0.221
"P36","Mauricio Macri por Juntos por el Cambio",0.021,0.734,0.086,0.061,0.095,0.19
"P36","Javier Milei por los liberales libertarios",0.002,0.1,0.868,0.054,0.024,0.018
"P36","Nicolás del Caño por la izquierda",0.032,0.002,0.001,0.659,0.039,0.009
"P36","Otro candidato",0.109,0.086,0.008,0.063,0.467,0.075
"P36","Aún no lo tengo decidido",0.055,0.046,0.017,0,0.082,0.487
"P37","Wado de Pedro por el Frente de Todos",0.925,0.009,0.009,0.02,0.096,0.063
"P37","Mauricio Macri por Juntos por el Cambio",0.009,0.78,0.081,0.015,0.078,0.12
"P37","Javier Milei por los liberales libertarios",0.014,0.081,0.867,0,0.011,0.014
"P37","Nicolás del Caño por la izquierda",0,0.007,0.02,0.844,0.047,0
"P37","Otro candidato",0.022,0.094,0.004,0.099,0.699,0.139
"P37","Aún no lo tengo decidido",0.03,0.029,0.019,0.022,0.069,0.664
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.911,0.014,0.004,0.207,0.315,0.326
"P39","Patricia Bullrich por Juntos por el Cambio",0.016,0.919,0.071,0.01,0.061,0.057
"P39","Javier Milei por los liberales libertarios",0.001,0.036,0.918,0.069,0.003,0.014
"P39","Nicolás del Caño por la izquierda",0.004,0.001,0,0.677,0,0
"P39","Otro candidato",0.042,0.017,0.003,0.037,0.557,0.026
"P39","Aún no lo tengo decidido",0.026,0.013,0.004,0,0.064,0.577
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.853,0.097,0.047,0.496,0.332,0.404
"P40","Mauricio Macri por Juntos por el Cambio",0.109,0.799,0.483,0.039,0.238,0.231
"P40","No sabe",0.038,0.104,0.47,0.465,0.43,0.365
"P41","Wado de Pedro por el Frente de Todos",0.95,0.035,0.023,0.355,0.15,0.134
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.788,0.463,0.231,0.344,0.217
"P41","No sabe",0.031,0.177,0.514,0.414,0.506,0.649
"P42","Sergio Massa por el Frente de Todos",0.845,0.026,0.06,0.623,0.28,0.281
"P42","Patricia Bullrich por Juntos por el Cambio",0.014,0.942,0.585,0.022,0.172,0.209
"P42","No sabe",0.141,0.032,0.355,0.355,0.548,0.51
"P43","Sergio Massa por el Frente de Todos",0.844,0.049,0.025,0.635,0.371,0.297
"P43","Mauricio Macri por Juntos por el Cambio",0.027,0.85,0.646,0.075,0.199,0.215
"P43","No sabe",0.129,0.101,0.329,0.29,0.43,0.488
"P44","Sergio Massa por el Frente de Todos",0.859,0.035,0.031,0.599,0.306,0.336
"P44","Javier Milei por los liberales libertarios",0.018,0.546,0.89,0.072,0.167,0.093
"P44","No sabe",0.123,0.419,0.079,0.329,0.527,0.571
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.404,0.328,0.04,0.424,0.326,0.27
"P45","Javier Milei por los liberales libertarios",0.04,0.376,0.899,0.072,0.134,0.078
"P45","No sabe",0.556,0.296,0.061,0.504,0.54,0.652
"P46","Patricia Bullrich por Juntos por el Cambio",0.062,0.883,0.553,0.062,0.158,0.228
"P46","Wado de Pedro por el Frente de Todos",0.787,0.044,0.179,0.413,0.192,0.071
"P46","No sabe",0.151,0.073,0.268,0.525,0.65,0.701
"P47","Patricia Bullrich por Juntos por el Cambio",0.041,0.962,0.656,0.032,0.215,0.216
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.917,0.013,0.056,0.573,0.331,0.367
"P47","No sabe",0.042,0.025,0.288,0.395,0.454,0.417
"P48","Muy buena",0.111,0.119,0.047,0.043,0.099,0.046
"P48","Buena",0.478,0.004,0.023,0.188,0.112,0.093
"P48","Ni buena ni mala",0.27,0.011,0.098,0.348,0.267,0.21
"P48","Mala",0.126,0.065,0.041,0.173,0.121,0.21
"P48","Muy mala",0.015,0.799,0.788,0.212,0.365,0.363
"P48","No sabe",0,0.002,0.003,0.036,0.036,0.078
"P49","Muy buena",0.138,0.012,0.011,0.04,0.067,0.067
"P49","Buena",0.379,0.006,0.012,0.169,0.106,0.134
"P49","Ni buena ni mala",0.346,0.019,0.055,0.273,0.254,0.25
"P49","Mala",0.106,0.109,0.069,0.26,0.133,0.139
"P49","Muy mala",0.03,0.848,0.85,0.222,0.403,0.374
"P49","No sabe",0.001,0.006,0.003,0.036,0.037,0.036
"P50","Muy buena",0.707,0.016,0.017,0.217,0.27,0.186
"P50","Buena",0.152,0.002,0.038,0.139,0.054,0.135
"P50","Ni buena ni mala",0.103,0.009,0.062,0.21,0.083,0.178
"P50","Mala",0.014,0.044,0.031,0.193,0.091,0.083
"P50","Muy mala",0.023,0.927,0.852,0.205,0.487,0.38
"P50","No sabe",0.001,0.002,0,0.036,0.015,0.038
"P51","Muy buena",0.125,0.364,0.082,0.021,0.1,0.08
"P51","Buena",0.046,0.29,0.189,0.056,0.093,0.159
"P51","Ni buena ni mala",0.019,0.174,0.299,0.132,0.132,0.136
"P51","Mala",0.174,0.034,0.167,0.159,0.232,0.169
"P51","Muy mala",0.632,0.137,0.263,0.595,0.428,0.36
"P51","No sabe",0.004,0.001,0,0.037,0.015,0.096
"P52","Muy buena",0.026,0.323,0.153,0.06,0.04,0.117
"P52","Buena",0.019,0.304,0.146,0.075,0.202,0.15
"P52","Ni buena ni mala",0.084,0.232,0.23,0.068,0.324,0.253
"P52","Mala",0.208,0.083,0.165,0.211,0.106,0.135
"P52","Muy mala",0.659,0.051,0.301,0.55,0.305,0.209
"P52","No sabe",0.004,0.007,0.005,0.036,0.023,0.136
"P53","Muy buena",0.185,0.026,0.05,0.053,0.035,0.137
"P53","Buena",0.37,0.046,0.044,0.133,0.193,0.117
"P53","Ni buena ni mala",0.24,0.102,0.073,0.266,0.265,0.174
"P53","Mala",0.102,0.148,0.123,0.296,0.132,0.207
"P53","Muy mala",0.098,0.674,0.704,0.216,0.354,0.274
"P53","No sabe",0.005,0.004,0.006,0.036,0.021,0.091
"P54","Muy buena",0.055,0.53,0.179,0,0.055,0.14
"P54","Buena",0.047,0.307,0.275,0,0.089,0.072
"P54","Ni buena ni mala",0.109,0.053,0.202,0.161,0.266,0.246
"P54","Mala",0.109,0.032,0.112,0.124,0.171,0.144
"P54","Muy mala",0.674,0.074,0.188,0.715,0.419,0.3
"P54","No sabe",0.006,0.004,0.044,0,0,0.098
"P55","Muy buena",0.024,0.166,0.571,0,0.014,0.035
"P55","Buena",0.008,0.226,0.277,0.012,0.047,0.092
"P55","Ni buena ni mala",0.063,0.373,0.125,0.053,0.316,0.377
"P55","Mala",0.163,0.124,0.003,0.172,0.246,0.116
"P55","Muy mala",0.734,0.094,0.021,0.763,0.368,0.251
"P55","No sabe",0.008,0.017,0.003,0,0.009,0.129
"P56","Muy buena",0.005,0.327,0.211,0.053,0.065,0.099
"P56","Buena",0.011,0.362,0.214,0.012,0.135,0.094
"P56","Ni buena ni mala",0.048,0.174,0.19,0.138,0.221,0.231
"P56","Mala",0.188,0.079,0.167,0.084,0.182,0.181
"P56","Muy mala",0.743,0.047,0.21,0.713,0.387,0.321
"P56","No sabe",0.005,0.011,0.008,0,0.01,0.074
"P57","Muy buena",0.433,0.043,0.057,0.056,0.085,0.041
"P57","Buena",0.312,0.04,0.028,0.07,0.043,0.055
"P57","Ni buena ni mala",0.143,0.142,0.176,0.351,0.233,0.236
"P57","Mala",0.036,0.211,0.147,0.235,0.267,0.222
"P57","Muy mala",0.061,0.535,0.494,0.197,0.292,0.25
"P57","No sabe",0.015,0.029,0.098,0.091,0.08,0.196
"P58","Muy buena",0.108,0.062,0.087,0.105,0.103,0.046
"P58","Buena",0.157,0.196,0.081,0.152,0.247,0.203
"P58","Ni buena ni mala",0.343,0.353,0.406,0.185,0.316,0.289
"P58","Mala",0.183,0.183,0.083,0.258,0.104,0.116
"P58","Muy mala",0.17,0.2,0.293,0.118,0.166,0.107
"P58","No sabe",0.039,0.006,0.05,0.182,0.064,0.239
"P59","Muy buena",0.03,0.072,0.035,0,0.063,0.011
"P59","Buena",0.024,0.283,0.039,0.055,0.148,0.093
"P59","Ni buena ni mala",0.187,0.358,0.296,0.304,0.295,0.487
"P59","Mala",0.165,0.107,0.148,0.204,0.106,0.066
"P59","Muy mala",0.526,0.126,0.292,0.212,0.216,0.164
"P59","No sabe",0.068,0.054,0.19,0.225,0.172,0.179
"P60","Siempre",0.29,0.284,0.274,0.242,0.255,0.272
"P60","Casi siempre",0.423,0.376,0.326,0.512,0.367,0.358
"P60","Casi nunca",0.212,0.28,0.225,0.127,0.292,0.27
"P60","Nunca, pero esta es una excepción",0.075,0.06,0.175,0.119,0.086,0.1
"P61","Si",0.608,0.508,0.502,0.439,0.536,0.516
"P61","No",0.392,0.492,0.498,0.561,0.464,0.484
