"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otros candidatos","Aún no lo tengo decidido"
"P16","Puede que lo vote",0.065,0.016,0.065,0.439,0.469,0.081,0.082,0.165,0.122
"P16","Nunca lo votaría",0.883,0.957,0.786,0.209,0.133,0.86,0.766,0.524,0.616
"P16","No sabe",0.026,0.012,0.077,0.12,0.057,0.042,0.02,0.266,0.193
"P17","La votaría",0.026,0.006,0.049,0.814,0.684,0.072,0.206,0.268,0.305
"P17","Puede que la vote",0.046,0.007,0.064,0.08,0.182,0.032,0.103,0.129,0.058
"P17","Nunca la votaría",0.922,0.978,0.851,0.05,0.09,0.867,0.677,0.446,0.472
"P17","No sabe",0.006,0.009,0.036,0.056,0.044,0.029,0.014,0.157,0.165
"P18","Lo votaría",0.495,0.174,0.118,0.101,0.102,0.086,0.043,0.05,0.014
"P18","Puede que lo vote",0.334,0.457,0.412,0.039,0.096,0.252,0.108,0.136,0.111
"P18","Nunca lo votaría",0.162,0.306,0.377,0.848,0.774,0.57,0.79,0.665,0.647
"P18","No sabe",0.009,0.063,0.093,0.012,0.028,0.092,0.059,0.149,0.228
"P19","Lo votaría",0.168,0.052,0.381,0.065,0.024,0.066,0.034,0.013,0.01
"P19","Puede que lo vote",0.354,0.355,0.335,0.122,0.141,0.202,0.152,0.142,0.15
"P19","Nunca lo votaría",0.348,0.534,0.237,0.742,0.654,0.578,0.803,0.687,0.521
"P19","No sabe",0.13,0.059,0.047,0.071,0.181,0.154,0.011,0.158,0.319
"P20","La votaría",0.231,0.752,0.262,0.03,0.02,0.179,0.118,0.063,0.036
"P20","Puede que la vote",0.385,0.156,0.349,0.039,0.025,0.343,0.236,0.078,0.084
"P20","Nunca la votaría",0.302,0.077,0.344,0.904,0.863,0.404,0.64,0.717,0.654
"P20","No sabe",0.082,0.015,0.045,0.027,0.092,0.074,0.006,0.142,0.226
"P21","Lo votaría",0.142,0.215,0.174,0.033,0.031,0.736,0.278,0.032,0.029
"P21","Puede que lo vote",0.249,0.308,0.35,0.011,0.041,0.142,0.193,0.141,0.096
"P21","Nunca lo votaría",0.512,0.4,0.398,0.934,0.849,0.108,0.523,0.636,0.708
"P21","No sabe",0.097,0.077,0.078,0.022,0.079,0.014,0.006,0.191,0.167
"P22","La votaría",0.284,0.204,0.109,0.023,0.017,0.132,0.049,0.101,0.044
"P22","Puede que la vote",0.341,0.383,0.303,0.026,0.043,0.258,0.184,0.157,0.106
"P22","Nunca la votaría",0.244,0.316,0.496,0.911,0.891,0.51,0.742,0.612,0.655
"P22","No sabe",0.131,0.097,0.092,0.04,0.049,0.1,0.025,0.13,0.195
"P23","Lo votaría",0.057,0.018,0.051,0.545,0.164,0.032,0.002,0.079,0.046
"P23","Puede que lo vote",0.104,0.051,0.15,0.234,0.265,0.095,0.115,0.157,0.185
"P23","Nunca lo votaría",0.691,0.903,0.697,0.164,0.419,0.722,0.797,0.529,0.534
"P23","No sabe",0.148,0.028,0.102,0.057,0.152,0.151,0.086,0.235,0.235
"P24","Lo votaría",0.074,0.049,0.113,0.044,0.073,0.032,0,0.026,0.017
"P24","Puede que lo vote",0.261,0.271,0.33,0.079,0.111,0.121,0.042,0.156,0.041
"P24","Nunca lo votaría",0.505,0.598,0.407,0.769,0.616,0.665,0.867,0.622,0.591
"P24","No sabe",0.16,0.082,0.15,0.108,0.2,0.182,0.091,0.196,0.351
"P25","Mauricio Macri por Juntos por el Cambio",0.396,0.294,0.043,0.001,0,0.056,0.008,0.032,0.048
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.456,0.12,0.029,0.019,0.006,0.023,0,0.03,0.004
"P25","Patricia Bullrich por Juntos por el Cambio",0.022,0.52,0.323,0.002,0.001,0.023,0,0.014,0.014
"P25","Facundo Manes por Juntos por el Cambio",0.03,0.007,0.434,0.051,0.012,0.047,0,0.005,0.015
"P25","Alberto Fernández por el Frente de Todos",0.022,0.001,0.018,0.104,0.17,0.018,0.131,0.034,0.048
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.014,0.005,0.028,0.765,0.717,0.067,0.095,0.207,0.282
"P25","Javier Milei por los liberales libertarios",0.003,0.032,0.017,0,0.003,0.731,0.524,0,0.008
"P25","Nicolás del Caño por la izquierda",0,0,0,0.005,0.009,0,0.225,0.179,0.023
"P25","Otros candidatos",0.028,0.005,0.035,0.035,0.04,0.002,0,0.369,0.161
"P25","Aún no lo tengo decidido",0.029,0.016,0.073,0.018,0.042,0.033,0.017,0.13,0.397
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.043,0.016,0.058,0.899,0.838,0.093,0.13,0.248,0.342
"P27","Mauricio Macri por Juntos por el Cambio",0.656,0.646,0.289,0.009,0.006,0.06,0.008,0.062,0.072
"P27","Javier Milei por los liberales libertarios",0.069,0.133,0.193,0.009,0.01,0.779,0.513,0,0.009
"P27","Nicolás del Caño por la izquierda",0.036,0.007,0.016,0.008,0.03,0.025,0.303,0.136,0.064
"P27","Otro candidato",0.097,0.125,0.267,0.038,0.063,0.03,0.005,0.385,0.148
"P27","Aún no lo tengo decidido",0.099,0.073,0.177,0.037,0.053,0.013,0.041,0.169,0.365
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.702,0.526,0.253,0.088,0.145,0.041,0.005,0.091,0.103
"P29","Wado de Pedro por el Frente de Todos",0.101,0.071,0.098,0.793,0.537,0.044,0.044,0.114,0.113
"P29","Javier Milei por los liberales libertarios",0.082,0.185,0.183,0.015,0.032,0.836,0.567,0.03,0.014
"P29","Nicolás del Caño por la izquierda",0.006,0.005,0.027,0,0.046,0,0.291,0.142,0.029
"P29","Otro candidato",0.04,0.134,0.318,0.042,0.11,0.027,0.069,0.508,0.172
"P29","Aún no lo tengo decidido",0.069,0.079,0.121,0.062,0.13,0.052,0.024,0.115,0.569
"P31","Sergio Massa por el Frente de Todos",0.105,0.038,0.106,0.611,0.835,0.031,0.005,0.088,0.083
"P31","Patricia Bullrich por Juntos por el Cambio",0.493,0.842,0.398,0.1,0.027,0.068,0.022,0.111,0.079
"P31","Javier Milei por los liberales libertarios",0.166,0.065,0.13,0.007,0.002,0.815,0.531,0.033,0.014
"P31","Nicolás del Caño por la izquierda",0.064,0.007,0.022,0.02,0.009,0.005,0.36,0.178,0.034
"P31","Otro candidato",0.08,0.025,0.25,0.152,0.047,0.028,0.082,0.47,0.188
"P31","Aún no lo tengo decidido",0.092,0.023,0.094,0.11,0.08,0.053,0,0.12,0.602
"P33","Sergio Massa por el Frente de Todos",0.071,0.048,0.159,0.645,0.756,0.03,0.005,0.106,0.045
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.695,0.544,0.311,0.065,0.119,0.016,0.008,0.141,0.085
"P33","Javier Milei por los liberales libertarios",0.105,0.198,0.15,0.008,0.023,0.865,0.55,0.045,0.011
"P33","Nicolás del Caño por la izquierda",0.032,0.011,0,0.022,0.008,0.016,0.375,0.146,0.07
"P33","Otro candidato",0.06,0.154,0.242,0.167,0.021,0.026,0.062,0.497,0.221
"P33","Aún no lo tengo decidido",0.037,0.045,0.138,0.093,0.073,0.047,0,0.065,0.568
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.066,0.059,0.123,0.839,0.807,0.046,0.175,0.258,0.313
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.73,0.53,0.317,0.065,0.065,0.027,0,0.111,0.091
"P35","Javier Milei por los liberales libertarios",0.096,0.226,0.174,0.011,0.009,0.847,0.556,0.032,0.016
"P35","Nicolás del Caño por la izquierda",0.005,0.008,0.003,0.004,0.017,0.004,0.254,0.153,0.035
"P35","Otro candidato",0.037,0.127,0.25,0.05,0.056,0.04,0.015,0.385,0.162
"P35","Aún no lo tengo decidido",0.066,0.05,0.133,0.031,0.046,0.036,0,0.061,0.383
"P36","Sergio Massa por el Frente de Todos",0.051,0.024,0.11,0.64,0.866,0.044,0.02,0.1,0.131
"P36","Mauricio Macri por Juntos por el Cambio",0.632,0.682,0.255,0.027,0.04,0.097,0.009,0.111,0.088
"P36","Javier Milei por los liberales libertarios",0.128,0.154,0.147,0.011,0.017,0.803,0.531,0.016,0.012
"P36","Nicolás del Caño por la izquierda",0.046,0.01,0,0.024,0.008,0.004,0.363,0.182,0.044
"P36","Otro candidato",0.081,0.1,0.287,0.199,0.022,0.028,0.077,0.506,0.211
"P36","Aún no lo tengo decidido",0.062,0.03,0.201,0.099,0.047,0.024,0,0.085,0.514
"P37","Wado de Pedro por el Frente de Todos",0.017,0.005,0.057,0.876,0.68,0.036,0.058,0.101,0.121
"P37","Mauricio Macri por Juntos por el Cambio",0.647,0.693,0.265,0.037,0.023,0.098,0.038,0.115,0.115
"P37","Javier Milei por los liberales libertarios",0.093,0.134,0.178,0.008,0.007,0.8,0.515,0.016,0.009
"P37","Nicolás del Caño por la izquierda",0.069,0.014,0.003,0,0.029,0.006,0.358,0.177,0
"P37","Otro candidato",0.097,0.12,0.354,0.065,0.118,0.029,0.016,0.469,0.239
"P37","Aún no lo tengo decidido",0.077,0.034,0.143,0.014,0.143,0.031,0.015,0.122,0.516
"P38","Wado de Pedro por el Frente de Todos",0.008,0.002,0.086,0.878,0.637,0.027,0.064,0.106,0.179
"P38","Patricia Bullrich por Juntos por el Cambio",0.575,0.839,0.437,0.027,0.01,0.114,0.046,0.119,0.098
"P38","Javier Milei por los liberales libertarios",0.172,0.076,0.096,0.01,0.006,0.787,0.535,0.016,0.015
"P38","Nicolás del Caño por la izquierda",0.025,0.008,0.022,0.001,0.021,0.009,0.272,0.166,0.003
"P38","Otro candidato",0.119,0.031,0.281,0.056,0.153,0.016,0.067,0.502,0.178
"P38","Aún no lo tengo decidido",0.101,0.044,0.078,0.028,0.173,0.047,0.016,0.091,0.527
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.041,0.006,0.074,0.857,0.836,0.046,0.17,0.262,0.314
"P39","Patricia Bullrich por Juntos por el Cambio",0.555,0.853,0.508,0.029,0.006,0.087,0.052,0.145,0.127
"P39","Javier Milei por los liberales libertarios",0.16,0.069,0.104,0.012,0.004,0.829,0.543,0.011,0.024
"P39","Nicolás del Caño por la izquierda",0.009,0.008,0.017,0.001,0.01,0.006,0.218,0.172,0
"P39","Otro candidato",0.122,0.026,0.24,0.041,0.073,0.013,0.017,0.351,0.164
"P39","Aún no lo tengo decidido",0.113,0.038,0.057,0.06,0.071,0.019,0,0.059,0.371
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.102,0.049,0.203,0.863,0.768,0.082,0.356,0.363,0.432
"P40","Mauricio Macri por Juntos por el Cambio",0.643,0.844,0.355,0.06,0.171,0.434,0.346,0.138,0.244
"P40","No sabe",0.255,0.107,0.442,0.077,0.061,0.484,0.298,0.499,0.324
"P41","Wado de Pedro por el Frente de Todos",0.004,0.006,0.019,0.934,0.779,0.089,0.164,0.251,0.179
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.867,0.756,0.596,0.01,0.013,0.381,0.476,0.276,0.134
"P41","No sabe",0.129,0.238,0.385,0.056,0.208,0.53,0.36,0.473,0.687
"P42","Sergio Massa por el Frente de Todos",0.101,0.001,0.119,0.76,0.894,0.048,0.182,0.384,0.204
"P42","Patricia Bullrich por Juntos por el Cambio",0.727,0.93,0.5,0.011,0.033,0.602,0.446,0.152,0.174
"P42","No sabe",0.172,0.069,0.381,0.229,0.073,0.35,0.372,0.464,0.622
"P43","Sergio Massa por el Frente de Todos",0.057,0.008,0.147,0.762,0.931,0.04,0.196,0.474,0.284
"P43","Mauricio Macri por Juntos por el Cambio",0.726,0.877,0.493,0.007,0.021,0.598,0.508,0.157,0.227
"P43","No sabe",0.217,0.115,0.36,0.231,0.048,0.362,0.296,0.369,0.489
"P44","Sergio Massa por el Frente de Todos",0.102,0.007,0.159,0.775,0.912,0.032,0.266,0.301,0.199
"P44","Javier Milei por los liberales libertarios",0.403,0.577,0.41,0.009,0.029,0.891,0.526,0.199,0.159
"P44","No sabe",0.495,0.416,0.431,0.216,0.059,0.077,0.208,0.5,0.642
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.441,0.284,0.24,0.355,0.399,0.082,0.168,0.36,0.205
"P45","Javier Milei por los liberales libertarios",0.248,0.416,0.476,0.019,0.049,0.855,0.638,0.076,0.105
"P45","No sabe",0.311,0.3,0.284,0.626,0.552,0.063,0.194,0.564,0.69
"P46","Patricia Bullrich por Juntos por el Cambio",0.716,0.877,0.513,0.046,0.098,0.531,0.315,0.136,0.191
"P46","Wado de Pedro por el Frente de Todos",0.047,0.041,0.116,0.822,0.561,0.156,0.38,0.325,0.198
"P46","No sabe",0.237,0.082,0.371,0.132,0.341,0.313,0.305,0.539,0.611
"P47","Patricia Bullrich por Juntos por el Cambio",0.78,0.959,0.6,0.01,0.049,0.611,0.475,0.17,0.237
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.037,0.014,0.097,0.905,0.863,0.068,0.266,0.448,0.369
"P47","No sabe",0.183,0.027,0.303,0.085,0.088,0.321,0.259,0.382,0.394
"P48","Muy buena",0.116,0.073,0.196,0.084,0.138,0.05,0.057,0.104,0.045
"P48","Buena",0.011,0.001,0.05,0.402,0.46,0.04,0.071,0.123,0.132
"P48","Ni buena ni mala",0.125,0.006,0.107,0.337,0.228,0.044,0.202,0.346,0.227
"P48","Mala",0.105,0.055,0.186,0.154,0.102,0.025,0.206,0.113,0.122
"P48","Muy mala",0.643,0.863,0.451,0.023,0.024,0.835,0.446,0.314,0.429
"P48","No sabe",0,0.002,0.01,0,0.048,0.006,0.018,0,0.045
"P49","Muy buena",0.007,0.014,0.009,0.102,0.18,0.007,0.059,0.059,0.061
"P49","Buena",0.009,0.005,0.092,0.387,0.311,0.037,0.024,0.172,0.094
"P49","Ni buena ni mala",0.132,0.014,0.108,0.368,0.343,0.04,0.145,0.207,0.18
"P49","Mala",0.123,0.098,0.224,0.099,0.097,0.04,0.109,0.187,0.175
"P49","Muy mala",0.723,0.863,0.561,0.044,0.046,0.87,0.663,0.375,0.43
"P49","No sabe",0.006,0.006,0.006,0,0.023,0.006,0,0,0.06
"P50","Muy buena",0,0.016,0.112,0.771,0.537,0.045,0.095,0.306,0.271
"P50","Buena",0.043,0.003,0.027,0.131,0.194,0.016,0.091,0.027,0.085
"P50","Ni buena ni mala",0.07,0.003,0.064,0.042,0.206,0.026,0.138,0.153,0.104
"P50","Mala",0.082,0.046,0.102,0.015,0.031,0.014,0.049,0.168,0.021
"P50","Muy mala",0.805,0.932,0.667,0.041,0.024,0.893,0.627,0.346,0.474
"P50","No sabe",0,0,0.028,0,0.008,0.006,0,0,0.045
"P51","Muy buena",0.321,0.334,0.155,0.094,0.124,0.119,0.027,0.042,0.109
"P51","Buena",0.268,0.304,0.199,0.062,0.041,0.167,0.1,0.049,0.085
"P51","Ni buena ni mala",0.168,0.194,0.101,0.038,0.036,0.328,0.039,0.246,0.106
"P51","Mala",0.05,0.046,0.173,0.191,0.219,0.116,0.253,0.169,0.143
"P51","Muy mala",0.193,0.122,0.345,0.609,0.547,0.264,0.581,0.494,0.492
"P51","No sabe",0,0,0.027,0.006,0.033,0.006,0,0,0.065
"P52","Muy buena",0.574,0.244,0.159,0.016,0.027,0.081,0.01,0.072,0.004
"P52","Buena",0.261,0.281,0.34,0.005,0.054,0.179,0.137,0.056,0.115
"P52","Ni buena ni mala",0.073,0.296,0.309,0.103,0.082,0.255,0.133,0.242,0.357
"P52","Mala",0,0.092,0.102,0.215,0.22,0.193,0.206,0.128,0.13
"P52","Muy mala",0.092,0.079,0.083,0.657,0.564,0.28,0.514,0.502,0.283
"P52","No sabe",0,0.008,0.007,0.004,0.053,0.012,0,0,0.111
"P53","Muy buena",0.064,0.022,0.05,0.077,0.3,0.028,0.024,0.048,0.051
"P53","Buena",0.099,0.03,0.144,0.37,0.374,0.033,0.025,0.014,0.092
"P53","Ni buena ni mala",0.158,0.091,0.134,0.324,0.139,0.05,0.092,0.36,0.317
"P53","Mala",0.168,0.154,0.14,0.12,0.077,0.121,0.263,0.203,0.17
"P53","Muy mala",0.511,0.702,0.483,0.103,0.08,0.758,0.596,0.375,0.305
"P53","No sabe",0,0.001,0.049,0.006,0.03,0.01,0,0,0.065
"P54","Muy buena",0.275,0.594,0.221,0.017,0.11,0.184,0.023,0.014,0.074
"P54","Buena",0.345,0.264,0.205,0.037,0.054,0.249,0.286,0.091,0.039
"P54","Ni buena ni mala",0.108,0.054,0.157,0.108,0.138,0.23,0.171,0.22,0.29
"P54","Mala",0.088,0.034,0.183,0.108,0.119,0.062,0.148,0.114,0.153
"P54","Muy mala",0.176,0.054,0.227,0.724,0.548,0.218,0.372,0.561,0.368
"P54","No sabe",0.008,0,0.007,0.006,0.031,0.057,0,0,0.076
"P55","Muy buena",0.144,0.169,0.165,0.01,0.038,0.602,0.255,0,0.021
"P55","Buena",0.17,0.231,0.132,0.011,0.027,0.251,0.401,0.074,0.028
"P55","Ni buena ni mala",0.393,0.366,0.422,0.046,0.135,0.078,0.029,0.249,0.311
"P55","Mala",0.109,0.143,0.118,0.162,0.171,0,0.05,0.047,0.228
"P55","Muy mala",0.172,0.072,0.155,0.763,0.596,0.067,0.265,0.63,0.289
"P55","No sabe",0.012,0.019,0.008,0.008,0.033,0.002,0,0,0.123
"P56","Muy buena",0.503,0.269,0.127,0.003,0.01,0.16,0.152,0.031,0.044
"P56","Buena",0.258,0.346,0.337,0.009,0.016,0.209,0.169,0.104,0.113
"P56","Ni buena ni mala",0.125,0.218,0.229,0.045,0.091,0.196,0.138,0.142,0.174
"P56","Mala",0.035,0.095,0.127,0.183,0.221,0.213,0,0.092,0.211
"P56","Muy mala",0.075,0.055,0.173,0.754,0.656,0.212,0.541,0.631,0.367
"P56","No sabe",0.004,0.017,0.007,0.006,0.006,0.01,0,0,0.091
"P57","Muy buena",0.093,0.039,0.026,0.524,0.258,0.026,0.025,0.141,0.054
"P57","Buena",0.074,0.011,0.089,0.314,0.247,0.013,0.032,0.054,0.082
"P57","Ni buena ni mala",0.152,0.122,0.288,0.062,0.241,0.18,0.279,0.145,0.299
"P57","Mala",0.184,0.219,0.221,0.025,0.133,0.192,0.094,0.179,0.158
"P57","Muy mala",0.421,0.592,0.327,0.061,0.062,0.459,0.502,0.481,0.225
"P57","No sabe",0.076,0.017,0.049,0.014,0.059,0.13,0.068,0,0.182
"P58","Muy buena",0.123,0.056,0.253,0.057,0.123,0.033,0.041,0,0.018
"P58","Buena",0.212,0.177,0.314,0.169,0.155,0.108,0,0.101,0.173
"P58","Ni buena ni mala",0.385,0.341,0.218,0.362,0.317,0.389,0.422,0.281,0.383
"P58","Mala",0.095,0.19,0.103,0.18,0.156,0.122,0.182,0.196,0.148
"P58","Muy mala",0.133,0.231,0.083,0.185,0.142,0.286,0.28,0.337,0.162
"P58","No sabe",0.052,0.005,0.029,0.047,0.107,0.062,0.075,0.085,0.116
"P59","Muy buena",0.101,0.056,0.155,0.027,0.003,0.028,0.011,0.012,0
"P59","Buena",0.209,0.263,0.261,0.046,0.026,0.05,0.046,0.084,0.085
"P59","Ni buena ni mala",0.355,0.373,0.333,0.139,0.333,0.294,0.141,0.224,0.374
"P59","Mala",0.103,0.121,0.066,0.13,0.18,0.145,0.106,0.109,0.121
"P59","Muy mala",0.089,0.135,0.075,0.58,0.346,0.293,0.512,0.485,0.31
"P59","No sabe",0.143,0.052,0.11,0.078,0.112,0.19,0.184,0.086,0.11
"P60","Siempre",0.397,0.259,0.168,0.312,0.27,0.275,0.181,0.188,0.294
"P60","Casi siempre",0.279,0.402,0.435,0.453,0.372,0.307,0.323,0.398,0.434
"P60","Casi nunca",0.212,0.256,0.307,0.164,0.286,0.324,0.311,0.23,0.19
"P60","Nunca, pero esta es una excepción",0.112,0.083,0.09,0.071,0.072,0.094,0.185,0.184,0.082
"P61","Si",0.537,0.498,0.496,0.652,0.58,0.514,0.391,0.41,0.501
"P61","No",0.463,0.502,0.504,0.348,0.42,0.486,0.609,0.59,0.499
