"var","categoria","Mauricio Macri por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Cristina Fernández de Kirchner por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otros candidatos","Aún no lo tengo decidido"
"P14","Puede que lo vote",0.118,0.355,0.351,0.268,0.037,0.034,0.392,0.065,0.091,0.169
"P14","Nunca lo votaría",0.057,0.262,0.198,0.554,0.852,0.892,0.377,0.8,0.615,0.56
"P14","No sabe",0.003,0.083,0.106,0.128,0.039,0.063,0.107,0,0.258,0.241
"P15","Lo votaría",0.081,0.051,0.016,0.035,0.465,0.257,0.02,0.02,0.134,0.051
"P15","Puede que lo vote",0.081,0.155,0.082,0.247,0.223,0.396,0.108,0.242,0.157,0.167
"P15","Nunca lo votaría",0.816,0.735,0.89,0.556,0.294,0.274,0.818,0.493,0.557,0.513
"P15","No sabe",0.022,0.059,0.012,0.162,0.018,0.073,0.054,0.245,0.152,0.269
"P16","Lo votaría",0.027,0.026,0.007,0.031,0.7,0.227,0.003,0.037,0.018,0.026
"P16","Puede que lo vote",0.031,0.08,0.015,0.148,0.237,0.465,0.009,0.249,0.142,0.13
"P16","Nunca lo votaría",0.925,0.86,0.965,0.742,0.051,0.22,0.958,0.429,0.62,0.645
"P16","No sabe",0.017,0.034,0.013,0.079,0.012,0.088,0.03,0.285,0.22,0.199
"P17","La votaría",0.007,0.002,0.002,0.039,0.654,0.867,0.005,0.086,0.083,0.077
"P17","Puede que la vote",0.024,0.046,0.009,0.074,0.29,0.075,0.012,0.222,0.113,0.095
"P17","Nunca la votaría",0.958,0.91,0.989,0.87,0.024,0.031,0.955,0.671,0.576,0.605
"P17","No sabe",0.011,0.042,0,0.017,0.032,0.027,0.028,0.021,0.228,0.223
"P18","Lo votaría",0.278,0.551,0.104,0.097,0.105,0.102,0.073,0,0.031,0.033
"P18","Puede que lo vote",0.419,0.286,0.454,0.473,0.097,0.037,0.219,0.147,0.179,0.243
"P18","Nunca lo votaría",0.261,0.144,0.367,0.323,0.791,0.829,0.606,0.839,0.639,0.501
"P18","No sabe",0.042,0.019,0.075,0.107,0.007,0.032,0.102,0.014,0.151,0.223
"P19","Lo votaría",0.07,0.178,0.024,0.558,0.099,0.027,0.051,0,0.027,0.027
"P19","Puede que lo vote",0.36,0.32,0.369,0.318,0.116,0.108,0.183,0.25,0.184,0.235
"P19","Nunca lo votaría",0.523,0.345,0.529,0.073,0.682,0.749,0.633,0.617,0.561,0.379
"P19","No sabe",0.047,0.157,0.078,0.051,0.103,0.116,0.133,0.133,0.228,0.359
"P20","La votaría",0.556,0.244,0.75,0.118,0.064,0.008,0.232,0.027,0.063,0.106
"P20","Puede que la vote",0.264,0.372,0.143,0.39,0.042,0.016,0.345,0.02,0.064,0.19
"P20","Nunca la votaría",0.146,0.29,0.09,0.462,0.84,0.917,0.349,0.944,0.63,0.484
"P20","No sabe",0.034,0.094,0.017,0.03,0.054,0.059,0.074,0.009,0.243,0.22
"P21","Lo votaría",0.227,0.135,0.288,0.06,0.126,0.014,0.783,0.027,0.026,0.06
"P21","Puede que lo vote",0.282,0.323,0.296,0.237,0.044,0.018,0.161,0.193,0.093,0.151
"P21","Nunca lo votaría",0.444,0.472,0.34,0.644,0.724,0.916,0.052,0.731,0.632,0.588
"P21","No sabe",0.047,0.07,0.076,0.059,0.106,0.052,0.004,0.049,0.249,0.201
"P22","La votaría",0.321,0.228,0.177,0.097,0.09,0.013,0.088,0,0.089,0.043
"P22","Puede que la vote",0.304,0.398,0.414,0.223,0.133,0.014,0.263,0.124,0.104,0.152
"P22","Nunca la votaría",0.291,0.201,0.353,0.589,0.712,0.933,0.554,0.867,0.592,0.54
"P22","No sabe",0.084,0.173,0.056,0.091,0.065,0.04,0.095,0.009,0.215,0.265
"P23","Lo votaría",0.054,0.08,0.008,0.021,0.072,0.346,0.021,0.026,0.108,0.031
"P23","Puede que lo vote",0.067,0.118,0.069,0.121,0.155,0.281,0.043,0.269,0.144,0.146
"P23","Nunca lo votaría",0.814,0.66,0.91,0.708,0.588,0.293,0.797,0.651,0.535,0.48
"P23","No sabe",0.065,0.142,0.013,0.15,0.185,0.08,0.139,0.054,0.213,0.343
"P24","Lo votaría",0.08,0.074,0.03,0.191,0.064,0.053,0.005,0,0.03,0.012
"P24","Puede que lo vote",0.301,0.229,0.267,0.299,0.083,0.071,0.109,0.185,0.136,0.087
"P24","Nunca lo votaría",0.546,0.488,0.624,0.348,0.61,0.758,0.725,0.619,0.516,0.467
"P24","No sabe",0.073,0.209,0.079,0.162,0.243,0.118,0.161,0.196,0.318,0.434
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.346,0.577,0.016,0.067,0.043,0.006,0.003,0,0.073,0.049
"P26","Patricia Bullrich por Juntos por el Cambio",0.527,0.311,0.804,0.034,0.002,0.004,0.059,0,0.027,0.056
"P26","Facundo Manes por Juntos por el Cambio",0.023,0.021,0.145,0.567,0.021,0.007,0.009,0,0.053,0.072
"P26","Wado de Pedro por el Frente de Todos",0.001,0.031,0.002,0.14,0.251,0.391,0,0.046,0.113,0.039
"P26","Sergio Massa por el Frente de Todos",0,0.011,0.001,0.037,0.488,0.434,0.005,0.103,0.155,0.103
"P26","Javier Milei por los liberales libertarios",0.06,0.036,0.021,0.125,0.043,0.034,0.806,0,0.007,0.068
"P26","Nicolás del Caño por la izquierda",0.002,0,0,0,0.06,0.009,0.112,0.397,0,0.007
"P26","Otros candidatos",0.006,0.009,0.002,0.003,0.015,0.019,0,0.308,0.221,0.05
"P26","Aún no lo tengo decidido",0.035,0.004,0.009,0.027,0.077,0.096,0.006,0.146,0.351,0.556
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.008,0.037,0.018,0.049,0.751,0.968,0.002,0.065,0.132,0.062
"P27","Mauricio Macri por Juntos por el Cambio",0.889,0.514,0.558,0.11,0.004,0.008,0.023,0.032,0.027,0.093
"P27","Javier Milei por los liberales libertarios",0.049,0.085,0.183,0.221,0.055,0,0.924,0,0.012,0.064
"P27","Nicolás del Caño por la izquierda",0.004,0.021,0.004,0.035,0.105,0.002,0.026,0.85,0.088,0.055
"P27","Otro candidato",0.021,0.177,0.154,0.35,0.045,0.005,0.01,0,0.63,0.179
"P27","Aún no lo tengo decidido",0.029,0.166,0.083,0.235,0.04,0.017,0.015,0.053,0.111,0.547
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.54,0.774,0.458,0.176,0.172,0.116,0.011,0.008,0.084,0.175
"P29","Wado de Pedro por el Frente de Todos",0.109,0.077,0.077,0.056,0.269,0.703,0,0.08,0.069,0.086
"P29","Javier Milei por los liberales libertarios",0.167,0.052,0.221,0.159,0.086,0.019,0.944,0,0.027,0.066
"P29","Nicolás del Caño por la izquierda",0.004,0.026,0.003,0.012,0.065,0.016,0,0.865,0,0.007
"P29","Otro candidato",0.083,0.039,0.158,0.446,0.182,0.062,0.005,0.014,0.48,0.136
"P29","Aún no lo tengo decidido",0.097,0.032,0.083,0.151,0.226,0.084,0.04,0.033,0.34,0.53
"P31","Sergio Massa por el Frente de Todos",0.052,0.141,0.038,0.108,0.506,0.687,0.017,0.103,0.185,0.107
"P31","Patricia Bullrich por Juntos por el Cambio",0.731,0.464,0.843,0.225,0.186,0.049,0.056,0.033,0.117,0.167
"P31","Javier Milei por los liberales libertarios",0.12,0.119,0.083,0.115,0.079,0.016,0.897,0,0.019,0.043
"P31","Nicolás del Caño por la izquierda",0.001,0.08,0,0.005,0.018,0.021,0,0.842,0.092,0.018
"P31","Otro candidato",0.041,0.088,0.024,0.375,0.079,0.102,0.008,0.022,0.456,0.117
"P31","Aún no lo tengo decidido",0.055,0.108,0.012,0.172,0.132,0.125,0.022,0,0.131,0.548
"P33","Sergio Massa por el Frente de Todos",0.068,0.039,0.063,0.208,0.613,0.64,0.004,0.103,0.135,0.105
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.594,0.763,0.478,0.19,0.141,0.08,0.011,0.033,0.082,0.14
"P33","Javier Milei por los liberales libertarios",0.16,0.086,0.236,0.072,0.088,0.031,0.951,0,0.032,0.084
"P33","Nicolás del Caño por la izquierda",0,0.014,0.014,0.004,0,0.022,0.007,0.864,0.095,0.07
"P33","Otro candidato",0.112,0.046,0.154,0.339,0.066,0.118,0.015,0,0.471,0.125
"P33","Aún no lo tengo decidido",0.066,0.052,0.055,0.187,0.092,0.109,0.012,0,0.185,0.476
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.06,0.075,0.057,0.068,0.515,0.935,0.002,0.098,0.102,0.081
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.594,0.797,0.446,0.305,0.171,0.02,0.005,0,0.034,0.232
"P35","Javier Milei por los liberales libertarios",0.187,0.023,0.278,0.136,0.108,0.006,0.973,0,0.031,0.071
"P35","Nicolás del Caño por la izquierda",0,0.024,0.001,0.004,0.017,0.001,0,0.732,0.009,0.072
"P35","Otro candidato",0.107,0.047,0.145,0.315,0.087,0.014,0.011,0,0.631,0.111
"P35","Aún no lo tengo decidido",0.052,0.034,0.073,0.172,0.102,0.024,0.009,0.17,0.193,0.433
"P36","Sergio Massa por el Frente de Todos",0.01,0.057,0.037,0.12,0.601,0.736,0.018,0,0.154,0.152
"P36","Mauricio Macri por Juntos por el Cambio",0.872,0.58,0.566,0.139,0.197,0.002,0.047,0.037,0.052,0.096
"P36","Javier Milei por los liberales libertarios",0.08,0.102,0.214,0.133,0.1,0.029,0.905,0,0.016,0.044
"P36","Nicolás del Caño por la izquierda",0,0.042,0.004,0,0,0.025,0.004,0.748,0.089,0.069
"P36","Otro candidato",0.027,0.15,0.125,0.372,0.035,0.107,0.022,0.027,0.511,0.175
"P36","Aún no lo tengo decidido",0.011,0.069,0.054,0.236,0.067,0.101,0.004,0.188,0.178,0.464
"P37","Wado de Pedro por el Frente de Todos",0.007,0.053,0.008,0.143,0.431,0.772,0.007,0.07,0.074,0.115
"P37","Mauricio Macri por Juntos por el Cambio",0.893,0.523,0.616,0.136,0.157,0.005,0.053,0.05,0.046,0.122
"P37","Javier Milei por los liberales libertarios",0.06,0.097,0.19,0.125,0.028,0.012,0.91,0,0.017,0.038
"P37","Nicolás del Caño por la izquierda",0.01,0.067,0.004,0.005,0.04,0.021,0,0.845,0.08,0.03
"P37","Otro candidato",0.025,0.154,0.143,0.465,0.123,0.076,0.007,0,0.647,0.226
"P37","Aún no lo tengo decidido",0.005,0.106,0.039,0.126,0.221,0.114,0.023,0.035,0.136,0.469
"P38","Wado de Pedro por el Frente de Todos",0.031,0.044,0.002,0.131,0.325,0.761,0.002,0.08,0.159,0.129
"P38","Patricia Bullrich por Juntos por el Cambio",0.787,0.507,0.847,0.236,0.091,0.009,0.1,0.056,0.1,0.222
"P38","Javier Milei por los liberales libertarios",0.076,0.164,0.089,0.126,0.026,0.007,0.885,0,0.017,0.046
"P38","Nicolás del Caño por la izquierda",0.004,0.042,0,0.031,0,0.019,0,0.825,0.011,0.027
"P38","Otro candidato",0.042,0.152,0.014,0.39,0.196,0.088,0.01,0,0.588,0.089
"P38","Aún no lo tengo decidido",0.06,0.091,0.048,0.086,0.362,0.116,0.003,0.039,0.125,0.487
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.029,0,0.002,0.02,0.715,0.932,0,0.15,0.176,0.106
"P39","Patricia Bullrich por Juntos por el Cambio",0.765,0.557,0.87,0.24,0.092,0.003,0.086,0.059,0.13,0.253
"P39","Javier Milei por los liberales libertarios",0.087,0.135,0.092,0.145,0.033,0.005,0.904,0,0.007,0.05
"P39","Nicolás del Caño por la izquierda",0,0.032,0,0.025,0,0.006,0,0.791,0.007,0.041
"P39","Otro candidato",0.053,0.156,0.01,0.423,0.031,0.028,0.006,0,0.462,0.112
"P39","Aún no lo tengo decidido",0.066,0.12,0.026,0.147,0.129,0.026,0.004,0,0.218,0.438
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.109,0.06,0.087,0.159,0.901,0.866,0.017,0.546,0.113,0.175
"P40","Mauricio Macri por Juntos por el Cambio",0.864,0.58,0.799,0.207,0.075,0.123,0.484,0.06,0.157,0.234
"P40","No sabe",0.027,0.36,0.114,0.634,0.024,0.011,0.499,0.394,0.73,0.591
"P41","Wado de Pedro por el Frente de Todos",0.006,0.037,0.017,0.12,0.504,0.87,0.032,0.481,0.121,0.171
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.798,0.889,0.721,0.442,0.069,0.004,0.404,0.182,0.236,0.293
"P41","No sabe",0.196,0.074,0.262,0.438,0.427,0.126,0.564,0.337,0.643,0.536
"P42","Sergio Massa por el Frente de Todos",0.042,0.098,0.001,0.094,0.848,0.8,0.023,0.614,0.255,0.232
"P42","Patricia Bullrich por Juntos por el Cambio",0.923,0.675,0.932,0.356,0.019,0.022,0.578,0.061,0.204,0.304
"P42","No sabe",0.035,0.227,0.067,0.55,0.133,0.178,0.399,0.325,0.541,0.464
"P43","Sergio Massa por el Frente de Todos",0.012,0.066,0.009,0.226,0.748,0.836,0.024,0.572,0.332,0.274
"P43","Mauricio Macri por Juntos por el Cambio",0.959,0.659,0.869,0.266,0.02,0.018,0.616,0.132,0.171,0.181
"P43","No sabe",0.029,0.275,0.122,0.508,0.232,0.146,0.36,0.296,0.497,0.545
"P44","Sergio Massa por el Frente de Todos",0.041,0.119,0.005,0.149,0.829,0.829,0.008,0.454,0.286,0.244
"P44","Javier Milei por los liberales libertarios",0.555,0.422,0.59,0.178,0.063,0.022,0.926,0.08,0.329,0.162
"P44","No sabe",0.404,0.459,0.405,0.673,0.108,0.149,0.066,0.466,0.385,0.594
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.321,0.464,0.231,0.242,0.544,0.371,0.028,0.378,0.292,0.254
"P45","Javier Milei por los liberales libertarios",0.42,0.209,0.469,0.338,0.05,0.036,0.922,0.08,0.109,0.162
"P45","No sabe",0.259,0.327,0.3,0.42,0.406,0.593,0.05,0.542,0.599,0.584
"P46","Patricia Bullrich por Juntos por el Cambio",0.87,0.655,0.869,0.301,0.183,0.068,0.507,0,0.21,0.275
"P46","Wado de Pedro por el Frente de Todos",0.046,0.104,0.058,0.134,0.34,0.71,0.172,0.575,0.162,0.185
"P46","No sabe",0.084,0.241,0.073,0.565,0.477,0.222,0.321,0.425,0.628,0.54
"P47","Patricia Bullrich por Juntos por el Cambio",0.956,0.691,0.974,0.29,0.092,0.025,0.651,0.056,0.211,0.349
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.011,0.034,0.016,0.171,0.838,0.943,0.037,0.521,0.212,0.163
"P47","No sabe",0.033,0.275,0.01,0.539,0.07,0.032,0.312,0.423,0.577,0.488
"P48","Muy buena",0.083,0.125,0.12,0.083,0.396,0.092,0.032,0.056,0.025,0.038
"P48","Buena",0.029,0.004,0.002,0.014,0.356,0.463,0.029,0,0.042,0.054
"P48","Ni buena ni mala",0.022,0.072,0.007,0.279,0.156,0.271,0.056,0.411,0.399,0.24
"P48","Mala",0.052,0.159,0.048,0.126,0.078,0.122,0.043,0.295,0.273,0.088
"P48","Muy mala",0.812,0.64,0.82,0.498,0.014,0.027,0.836,0.195,0.261,0.501
"P48","No sabe",0.002,0,0.003,0,0,0.025,0.004,0.043,0,0.079
"P49","Muy buena",0,0.009,0.025,0.02,0.535,0.108,0.002,0.043,0,0.043
"P49","Buena",0.035,0.026,0.003,0.014,0.295,0.374,0.014,0,0.058,0.067
"P49","Ni buena ni mala",0.022,0.056,0.012,0.309,0.072,0.354,0.035,0.411,0.409,0.176
"P49","Mala",0.079,0.198,0.115,0.128,0.043,0.11,0.048,0.291,0.169,0.105
"P49","Muy mala",0.862,0.687,0.845,0.529,0.055,0.04,0.901,0.255,0.364,0.523
"P49","No sabe",0.002,0.024,0,0,0,0.014,0,0,0,0.086
"P50","Muy buena",0.029,0.002,0.021,0.1,0.621,0.715,0.002,0.115,0.073,0.101
"P50","Buena",0,0.042,0.003,0.031,0.263,0.165,0.013,0.086,0.052,0.054
"P50","Ni buena ni mala",0.018,0.02,0.001,0.186,0.101,0.095,0.035,0.378,0.298,0.12
"P50","Mala",0.045,0.087,0.063,0.091,0.006,0.012,0.018,0.225,0.106,0.053
"P50","Muy mala",0.908,0.834,0.91,0.592,0.009,0.011,0.932,0.196,0.471,0.579
"P50","No sabe",0,0.015,0.002,0,0,0.002,0,0,0,0.093
"P51","Muy buena",0.6,0.134,0.226,0.02,0.218,0.117,0.063,0.057,0.057,0.072
"P51","Buena",0.232,0.266,0.387,0.121,0.016,0.05,0.143,0.071,0.053,0.095
"P51","Ni buena ni mala",0.051,0.282,0.215,0.234,0.011,0.025,0.286,0.218,0.117,0.252
"P51","Mala",0.007,0.087,0.047,0.205,0.368,0.178,0.177,0,0.23,0.157
"P51","Muy mala",0.11,0.216,0.122,0.42,0.345,0.612,0.331,0.654,0.543,0.342
"P51","No sabe",0,0.015,0.003,0,0.042,0.018,0,0,0,0.082
"P52","Muy buena",0.407,0.536,0.161,0.132,0.142,0.007,0.046,0.056,0.028,0.099
"P52","Buena",0.29,0.321,0.3,0.224,0.071,0.018,0.163,0.091,0.064,0.144
"P52","Ni buena ni mala",0.219,0.098,0.34,0.349,0.097,0.094,0.24,0.03,0.266,0.284
"P52","Mala",0.048,0.005,0.097,0.093,0.209,0.206,0.203,0.353,0.201,0.171
"P52","Muy mala",0.036,0.04,0.087,0.202,0.438,0.646,0.344,0.47,0.384,0.204
"P52","No sabe",0,0,0.015,0,0.043,0.029,0.004,0,0.057,0.098
"P53","Muy buena",0.024,0.047,0.011,0.108,0.323,0.176,0.022,0.056,0.072,0.051
"P53","Buena",0.068,0.123,0.033,0.074,0.285,0.35,0.021,0.021,0.079,0.196
"P53","Ni buena ni mala",0.102,0.124,0.09,0.176,0.187,0.262,0.041,0.328,0.261,0.214
"P53","Mala",0.161,0.188,0.152,0.159,0.032,0.111,0.131,0.437,0.091,0.126
"P53","Muy mala",0.645,0.513,0.707,0.483,0.13,0.084,0.781,0.158,0.497,0.288
"P53","No sabe",0,0.005,0.007,0,0.043,0.017,0.004,0,0,0.125
"P54","Muy buena",0.501,0.125,0.624,0.137,0.187,0.049,0.179,0,0.068,0.186
"P54","Buena",0.279,0.395,0.253,0.134,0.04,0.044,0.26,0,0.126,0.067
"P54","Ni buena ni mala",0.126,0.147,0.032,0.188,0.203,0.12,0.238,0.27,0.148,0.15
"P54","Mala",0.027,0.131,0.037,0.207,0.064,0.115,0.079,0.044,0.123,0.188
"P54","Muy mala",0.067,0.156,0.051,0.334,0.463,0.654,0.211,0.686,0.535,0.339
"P54","No sabe",0,0.046,0.003,0,0.043,0.018,0.033,0,0,0.07
"P55","Muy buena",0.166,0.13,0.209,0.097,0.054,0.02,0.615,0,0.023,0.042
"P55","Buena",0.221,0.109,0.262,0.025,0.047,0.025,0.312,0.02,0.067,0.054
"P55","Ni buena ni mala",0.369,0.369,0.366,0.412,0.229,0.089,0.05,0.057,0.283,0.332
"P55","Mala",0.106,0.233,0.09,0.115,0.151,0.152,0,0.171,0.163,0.235
"P55","Muy mala",0.118,0.147,0.049,0.351,0.476,0.691,0.019,0.752,0.464,0.246
"P55","No sabe",0.02,0.012,0.024,0,0.043,0.023,0.004,0,0,0.091
"P56","Muy buena",0.474,0.306,0.232,0.212,0.048,0,0.117,0.07,0.036,0.068
"P56","Buena",0.269,0.364,0.386,0.199,0.031,0.015,0.208,0.02,0.136,0.073
"P56","Ni buena ni mala",0.158,0.119,0.237,0.146,0.156,0.046,0.215,0.057,0.222,0.336
"P56","Mala",0.057,0.118,0.086,0.183,0.229,0.188,0.2,0,0.171,0.145
"P56","Muy mala",0.031,0.067,0.055,0.249,0.493,0.747,0.256,0.853,0.408,0.283
"P56","No sabe",0.011,0.026,0.004,0.011,0.043,0.004,0.004,0,0.027,0.095
"P57","Muy buena",0.066,0.057,0.018,0.119,0.18,0.409,0.015,0.057,0.068,0.053
"P57","Buena",0.033,0.092,0.051,0.034,0.255,0.251,0.01,0.087,0.173,0.005
"P57","Ni buena ni mala",0.186,0.165,0.106,0.275,0.192,0.16,0.168,0.295,0.181,0.266
"P57","Mala",0.142,0.316,0.179,0.187,0.173,0.082,0.17,0.199,0.183,0.216
"P57","Muy mala",0.521,0.305,0.619,0.374,0.054,0.069,0.55,0.336,0.232,0.271
"P57","No sabe",0.052,0.065,0.027,0.011,0.146,0.029,0.087,0.026,0.163,0.189
"P58","Muy buena",0.074,0.129,0.026,0.395,0.034,0.092,0.035,0.07,0.018,0.059
"P58","Buena",0.184,0.255,0.146,0.407,0.227,0.132,0.096,0,0.196,0.242
"P58","Ni buena ni mala",0.352,0.389,0.368,0.13,0.364,0.359,0.38,0.239,0.253,0.285
"P58","Mala",0.169,0.09,0.206,0.044,0,0.184,0.105,0.281,0.203,0.153
"P58","Muy mala",0.214,0.09,0.245,0.024,0.187,0.162,0.347,0.228,0.166,0.131
"P58","No sabe",0.007,0.047,0.009,0,0.188,0.071,0.037,0.182,0.164,0.13
"P59","Muy buena",0.114,0.045,0.035,0.227,0.018,0.014,0.01,0,0.043,0.044
"P59","Buena",0.251,0.223,0.242,0.196,0,0.021,0.063,0,0.167,0.207
"P59","Ni buena ni mala",0.286,0.425,0.431,0.316,0.362,0.208,0.264,0.135,0.358,0.314
"P59","Mala",0.132,0.05,0.136,0.108,0.064,0.162,0.124,0.311,0.056,0.119
"P59","Muy mala",0.161,0.039,0.11,0.05,0.347,0.526,0.372,0.299,0.226,0.157
"P59","No sabe",0.056,0.218,0.046,0.103,0.209,0.069,0.167,0.255,0.15,0.159
"P60","Siempre",0.398,0.245,0.174,0.286,0.342,0.321,0.242,0.085,0.193,0.28
"P60","Casi siempre",0.337,0.315,0.421,0.384,0.447,0.396,0.314,0.465,0.392,0.522
"P60","Casi nunca",0.244,0.257,0.283,0.23,0.129,0.214,0.326,0.247,0.415,0.118
"P60","Nunca, pero esta es una excepción",0.021,0.183,0.122,0.1,0.082,0.069,0.118,0.203,0,0.08
