"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P42","Sergio Massa por el Frente de Todos",0.847,0.931,0.554,0.74
"P42","Patricia Bullrich por Juntos por el Cambio",0,0.009,0.277,0.02
"P42","No sabe",0.153,0.06,0.169,0.24
"P43","Sergio Massa por el Frente de Todos",0.759,0.97,0.678,0.743
"P43","Mauricio Macri por Juntos por el Cambio",0,0.014,0.246,0.044
"P43","No sabe",0.241,0.016,0.076,0.213
"P44","Sergio Massa por el Frente de Todos",0.89,0.959,0.62,0.792
"P44","Javier Milei por los liberales libertarios",0,0.029,0.166,0.022
"P44","No sabe",0.11,0.012,0.214,0.186
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.508,0.422,0.339,0.35
"P45","Javier Milei por los liberales libertarios",0.075,0.016,0.154,0.037
"P45","No sabe",0.417,0.562,0.507,0.613
"P46","Patricia Bullrich por Juntos por el Cambio",0.229,0.075,0.233,0.044
"P46","Wado de Pedro por el Frente de Todos",0.56,0.56,0.513,0.791
"P46","No sabe",0.211,0.365,0.254,0.165
"P47","Patricia Bullrich por Juntos por el Cambio",0.119,0.06,0.285,0.036
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.795,0.845,0.561,0.932
"P47","No sabe",0.086,0.095,0.154,0.032
"P48","Muy buena",0.29,0.156,0.124,0.077
"P48","Buena",0.351,0.458,0.171,0.507
"P48","Ni buena ni mala",0.314,0.276,0.316,0.293
"P48","Mala",0.045,0.063,0.128,0.114
"P48","Muy mala",0,0.047,0.181,0.009
"P48","No sabe",0,0,0.08,0
"P49","Muy buena",0.404,0.144,0.045,0.106
"P49","Buena",0.375,0.339,0.133,0.428
"P49","Ni buena ni mala",0.078,0.387,0.267,0.353
"P49","Mala",0.143,0.06,0.167,0.085
"P49","Muy mala",0,0.07,0.299,0.026
"P49","No sabe",0,0,0.089,0.002
"P50","Muy buena",0.541,0.529,0.456,0.802
"P50","Buena",0.37,0.239,0.111,0.104
"P50","Ni buena ni mala",0.07,0.142,0.133,0.084
"P50","Mala",0.019,0.043,0.037,0.003
"P50","Muy mala",0,0.044,0.263,0.007
"P50","No sabe",0,0.003,0,0
"P51","Muy buena",0.084,0.167,0.051,0.137
"P51","Buena",0.027,0.09,0.172,0.048
"P51","Ni buena ni mala",0.127,0.012,0.099,0.013
"P51","Mala",0.311,0.201,0.229,0.124
"P51","Muy mala",0.343,0.524,0.449,0.678
"P51","No sabe",0.108,0.006,0,0
"P52","Muy buena",0.135,0.061,0.005,0.035
"P52","Buena",0.144,0.038,0.148,0
"P52","Ni buena ni mala",0.119,0.067,0.192,0.059
"P52","Mala",0.095,0.289,0.271,0.19
"P52","Muy mala",0.401,0.538,0.384,0.716
"P52","No sabe",0.106,0.007,0,0
"P53","Muy buena",0.167,0.412,0.031,0.089
"P53","Buena",0.471,0.257,0.293,0.383
