"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P09","Del Frente de Todos y el peronismo",0.819,0.073,0.03,0.188,0.298,0.309
"P09","De Juntos por el cambio",0.065,0.808,0.18,0.036,0.285,0.191
"P09","De los Liberales libertarios",0.03,0.061,0.682,0.026,0.076,0.022
"P09","De la Izquierda",0.009,0.001,0.008,0.453,0.032,0.015
"P09","No sabe",0.077,0.057,0.1,0.297,0.309,0.463
"P10","A Alberto Fernández",0.134,0.278,0,0,0.054,0.072
"P10","A Sergio Massa",0.344,0.216,0.493,0,0.123,0.031
"P10","A algún candidato del peronismo",0.089,0.362,0.297,0.381,0.197,0.142
"P10","A algún candidato del kirchnerismo",0.433,0.144,0.21,0.619,0.626,0.755
"P11","A Alberto Fernández",0.135,0.266,0,0,0.037,0.051
"P11","A Sergio Massa",0.187,0.366,0.32,0,0.053,0.018
"P11","A algún candidato del peronismo",0.051,0.312,0.298,0.269,0.141,0.134
"P11","A Cristina Fernández de Kirchner",0.627,0.056,0.382,0.731,0.769,0.797
"P12","A Horacio Rodriguez Larreta",0.22,0.192,0.257,1,0.201,0.238
"P12","A Mauricio Macri",0.177,0.411,0.1,0,0.137,0.128
"P12","A Patricia Bullrich",0.213,0.339,0.587,0,0.443,0.28
"P12","A Facundo Manes",0.256,0.025,0.052,0,0.16,0.304
"P12","A Gerardo Morales",0.134,0.033,0.004,0,0.059,0.05
"P13","Seguro lo votaria",0.217,0.148,0.6,0.168,0.089,0.1
"P13","Quizás lo votaría",0.086,0.377,0.242,0.832,0.262,0.473
"P13","Nunca lo votaría",0.697,0.475,0.158,0,0.649,0.427
"P14","Lo votaría",0.03,0.598,0.159,0,0.049,0.037
"P14","Puede que lo vote",0.043,0.281,0.369,0.065,0.129,0.104
"P14","Nunca lo votaría",0.86,0.076,0.366,0.861,0.705,0.692
"P14","No sabe",0.067,0.045,0.106,0.074,0.117,0.167
"P15","Lo votaría",0.347,0.051,0.051,0.007,0.025,0.017
"P15","Puede que lo vote",0.426,0.077,0.14,0.137,0.154,0.162
"P15","Nunca lo votaría",0.207,0.851,0.767,0.677,0.7,0.517
"P15","No sabe",0.02,0.021,0.042,0.179,0.121,0.304
"P16","Lo votaría",0.308,0.044,0.009,0.04,0.038,0.027
"P16","Puede que lo vote",0.442,0.033,0.072,0.134,0.162,0.199
"P16","Nunca lo votaría",0.2,0.916,0.888,0.645,0.666,0.555
"P16","No sabe",0.05,0.007,0.031,0.181,0.134,0.219
"P17","La votaría",0.737,0.025,0.045,0.28,0.255,0.29
"P17","Puede que la vote",0.143,0.033,0.018,0.14,0.041,0.062
"P17","Nunca la votaría",0.092,0.938,0.911,0.418,0.599,0.528
"P17","No sabe",0.028,0.004,0.026,0.162,0.105,0.12
"P18","Lo votaría",0.122,0.316,0.075,0.047,0.073,0.068
"P18","Puede que lo vote",0.081,0.402,0.248,0.217,0.293,0.172
"P18","Nunca lo votaría",0.775,0.229,0.604,0.679,0.575,0.544
"P18","No sabe",0.022,0.053,0.073,0.057,0.059,0.216
"P19","Lo votaría",0.048,0.091,0.046,0.05,0.161,0.102
"P19","Puede que lo vote",0.144,0.393,0.224,0.137,0.212,0.204
"P19","Nunca lo votaría",0.678,0.439,0.62,0.622,0.523,0.407
"P19","No sabe",0.13,0.077,0.11,0.191,0.104,0.287
"P20","La votaría",0.033,0.59,0.296,0.051,0.201,0.084
"P20","Puede que la vote",0.038,0.244,0.319,0.014,0.168,0.159
"P20","Nunca la votaría",0.855,0.121,0.338,0.902,0.592,0.6
"P20","No sabe",0.074,0.045,0.047,0.033,0.039,0.157
"P21","Lo votaría",0.03,0.171,0.714,0.014,0.061,0.016
"P21","Puede que lo vote",0.04,0.305,0.183,0.1,0.165,0.15
"P21","Nunca lo votaría",0.875,0.443,0.1,0.752,0.718,0.639
"P21","No sabe",0.055,0.081,0.003,0.134,0.056,0.195
"P22","La votaría",0.015,0.285,0.113,0.006,0.047,0.045
"P22","Puede que la vote",0.03,0.397,0.284,0.04,0.19,0.1
"P22","Nunca la votaría",0.911,0.217,0.53,0.676,0.689,0.634
"P22","No sabe",0.044,0.101,0.073,0.278,0.074,0.221
"P23","Lo votaría",0.318,0.059,0.019,0.064,0.155,0.053
"P23","Puede que lo vote",0.265,0.083,0.089,0.178,0.189,0.087
"P23","Nunca lo votaría",0.318,0.802,0.772,0.418,0.576,0.617
"P23","No sabe",0.099,0.056,0.12,0.34,0.08,0.243
"P24","Lo votaría",0.068,0.089,0.009,0.013,0.033,0.023
"P24","Puede que lo vote",0.108,0.31,0.12,0.078,0.178,0.089
"P24","Nunca lo votaría",0.679,0.497,0.729,0.582,0.606,0.56
"P24","No sabe",0.145,0.104,0.142,0.327,0.183,0.328
"P25","Mauricio Macri por Juntos por el Cambio",0.005,0.406,0.057,0,0.03,0.014
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.184,0.05,0.128,0.112,0.063
"P25","Patricia Bullrich por Juntos por el Cambio",0.021,0.301,0.174,0.021,0.157,0.083
"P25","Facundo Manes por Juntos por el Cambio",0.022,0.024,0.036,0,0.155,0.12
"P25","Alberto Fernández por el Frente de Todos",0.102,0.032,0.025,0,0.013,0.031
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.765,0.002,0.043,0.231,0.252,0.289
"P25","Javier Milei por los liberales libertarios",0.008,0.02,0.597,0.014,0.023,0.005
"P25","Nicolás del Caño por la izquierda",0,0.002,0,0.345,0.003,0.026
"P25","Otros candidatos",0.022,0.007,0.003,0.113,0.162,0.069
"P25","Aún no lo tengo decidido",0.036,0.022,0.015,0.148,0.093,0.3
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.25,0.078,0.174,0.075,0.071
"P26","Patricia Bullrich por Juntos por el Cambio",0.021,0.57,0.197,0.076,0.197,0.072
"P26","Facundo Manes por Juntos por el Cambio",0.028,0.063,0.056,0,0.167,0.143
"P26","Wado de Pedro por el Frente de Todos",0.334,0.014,0.008,0.114,0.234,0.141
"P26","Sergio Massa por el Frente de Todos",0.523,0.023,0.015,0.042,0.031,0.078
"P26","Javier Milei por los liberales libertarios",0.021,0.044,0.567,0.019,0.031,0.032
"P26","Nicolás del Caño por la izquierda",0.002,0.001,0.072,0.304,0.016,0
"P26","Otros candidatos",0.009,0.009,0.002,0.145,0.101,0.021
"P26","Aún no lo tengo decidido",0.041,0.026,0.005,0.126,0.148,0.442
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.857,0.042,0.06,0.248,0.311,0.277
"P27","Mauricio Macri por Juntos por el Cambio",0.027,0.823,0.082,0.006,0.074,0.047
"P27","Javier Milei por los liberales libertarios",0.016,0.039,0.794,0.03,0.03,0.061
"P27","Nicolás del Caño por la izquierda",0.014,0.003,0.021,0.494,0.02,0.057
"P27","Otro candidato",0.047,0.054,0.023,0.062,0.465,0.077
"P27","Aún no lo tengo decidido",0.039,0.039,0.02,0.16,0.1,0.481
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.148,0.632,0.071,0.085,0.206,0.154
"P29","Wado de Pedro por el Frente de Todos",0.652,0.11,0.026,0.262,0.187,0.135
"P29","Javier Milei por los liberales libertarios",0.025,0.093,0.859,0.027,0.024,0.044
"P29","Nicolás del Caño por la izquierda",0.022,0.004,0.002,0.418,0.014,0.026
"P29","Otro candidato",0.075,0.076,0.009,0.019,0.496,0.073
"P29","Aún no lo tengo decidido",0.078,0.085,0.033,0.189,0.073,0.568
"P31","Sergio Massa por el Frente de Todos",0.833,0.06,0.03,0.063,0.075,0.093
"P31","Patricia Bullrich por Juntos por el Cambio",0.063,0.805,0.156,0.03,0.235,0.167
"P31","Javier Milei por los liberales libertarios",0.008,0.059,0.792,0.007,0.021,0.004
"P31","Nicolás del Caño por la izquierda",0.009,0.012,0.005,0.7,0.018,0.026
"P31","Otro candidato",0.028,0.024,0.009,0.03,0.581,0.039
"P31","Aún no lo tengo decidido",0.059,0.04,0.008,0.17,0.07,0.671
"P33","Sergio Massa por el Frente de Todos",0.774,0.078,0.046,0.063,0.07,0.068
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.125,0.681,0.044,0.095,0.202,0.106
"P33","Javier Milei por los liberales libertarios",0.025,0.105,0.877,0.007,0.015,0.035
"P33","Nicolás del Caño por la izquierda",0.008,0.007,0.01,0.752,0.004,0.028
"P33","Otro candidato",0.024,0.081,0.009,0.036,0.669,0.085
"P33","Aún no lo tengo decidido",0.044,0.048,0.014,0.047,0.04,0.678
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.871,0.067,0.043,0.274,0.28,0.202
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.054,0.723,0.028,0.052,0.187,0.144
"P35","Javier Milei por los liberales libertarios",0.01,0.108,0.897,0.02,0.028,0.04
"P35","Nicolás del Caño por la izquierda",0.006,0.001,0,0.53,0.003,0
"P35","Otro candidato",0.031,0.062,0.025,0.022,0.479,0.085
"P35","Aún no lo tengo decidido",0.028,0.039,0.007,0.102,0.023,0.529
"P37","Wado de Pedro por el Frente de Todos",0.784,0.005,0.017,0.274,0.201,0.129
"P37","Mauricio Macri por Juntos por el Cambio",0.027,0.905,0.074,0,0.066,0.032
"P37","Javier Milei por los liberales libertarios",0.012,0.02,0.875,0.007,0.018,0.024
"P37","Nicolás del Caño por la izquierda",0.017,0.015,0.004,0.621,0.014,0.007
"P37","Otro candidato",0.084,0.032,0.007,0.052,0.627,0.192
"P37","Aún no lo tengo decidido",0.076,0.023,0.023,0.046,0.074,0.616
"P38","Wado de Pedro por el Frente de Todos",0.736,0.018,0.003,0.284,0.242,0.151
"P38","Patricia Bullrich por Juntos por el Cambio",0.039,0.826,0.183,0.025,0.248,0.164
"P38","Javier Milei por los liberales libertarios",0.012,0.048,0.783,0.008,0.011,0.029
"P38","Nicolás del Caño por la izquierda",0.013,0.005,0.007,0.507,0.012,0
"P38","Otro candidato",0.111,0.033,0.013,0.142,0.417,0.09
"P38","Aún no lo tengo decidido",0.089,0.07,0.011,0.034,0.07,0.566
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.876,0.023,0.007,0.236,0.336,0.195
"P39","Patricia Bullrich por Juntos por el Cambio",0.038,0.831,0.178,0.032,0.253,0.195
"P39","Javier Milei por los liberales libertarios",0.012,0.047,0.794,0.046,0.009,0.031
"P39","Nicolás del Caño por la izquierda",0.006,0.003,0.004,0.412,0.011,0
"P39","Otro candidato",0.046,0.037,0.008,0.119,0.334,0.121
"P39","Aún no lo tengo decidido",0.022,0.059,0.009,0.155,0.057,0.458
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.799,0.105,0.074,0.514,0.321,0.364
"P40","Mauricio Macri por Juntos por el Cambio",0.153,0.858,0.504,0,0.21,0.122
"P40","No sabe",0.048,0.037,0.422,0.486,0.469,0.514
"P41","Wado de Pedro por el Frente de Todos",0.825,0.02,0.036,0.399,0.27,0.235
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.057,0.823,0.457,0.324,0.302,0.235
"P41","No sabe",0.118,0.157,0.507,0.277,0.428,0.53
"P42","Sergio Massa por el Frente de Todos",0.89,0.064,0.03,0.486,0.143,0.118
"P42","Patricia Bullrich por Juntos por el Cambio",0.035,0.902,0.644,0.031,0.294,0.31
"P42","No sabe",0.075,0.034,0.326,0.483,0.563,0.572
"P43","Sergio Massa por el Frente de Todos",0.931,0.038,0.025,0.49,0.184,0.217
"P43","Mauricio Macri por Juntos por el Cambio",0.041,0.916,0.666,0.033,0.186,0.144
"P43","No sabe",0.028,0.046,0.309,0.477,0.63,0.639
"P44","Sergio Massa por el Frente de Todos",0.911,0.057,0.004,0.482,0.196,0.145
"P44","Javier Milei por los liberales libertarios",0.043,0.507,0.908,0.187,0.144,0.141
"P44","No sabe",0.046,0.436,0.088,0.331,0.66,0.714
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.44,0.353,0.04,0.528,0.258,0.171
"P45","Javier Milei por los liberales libertarios",0.055,0.333,0.897,0.041,0.123,0.152
"P45","No sabe",0.505,0.314,0.063,0.431,0.619,0.677
"P46","Patricia Bullrich por Juntos por el Cambio",0.102,0.857,0.569,0.051,0.306,0.263
"P46","Wado de Pedro por el Frente de Todos",0.657,0.042,0.17,0.445,0.267,0.243
"P46","No sabe",0.241,0.101,0.261,0.504,0.427,0.494
"P47","Patricia Bullrich por Juntos por el Cambio",0.066,0.932,0.692,0.059,0.349,0.273
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.869,0.024,0.048,0.523,0.344,0.317
"P47","No sabe",0.065,0.044,0.26,0.418,0.307,0.41
"P48","Muy buena",0.141,0.087,0.061,0,0.093,0.071
"P48","Buena",0.44,0.013,0.026,0.096,0.118,0.101
"P48","Ni buena ni mala",0.255,0.024,0.073,0.393,0.196,0.261
"P48","Mala",0.103,0.062,0.042,0.245,0.196,0.171
"P48","Muy mala",0.034,0.812,0.792,0.247,0.397,0.356
"P48","No sabe",0.027,0.002,0.006,0.019,0,0.04
"P49","Muy buena",0.149,0.013,0.011,0.063,0.039,0.032
"P49","Buena",0.363,0.015,0.012,0.052,0.099,0.134
"P49","Ni buena ni mala",0.348,0.021,0.061,0.383,0.186,0.197
"P49","Mala",0.074,0.116,0.062,0.244,0.202,0.153
"P49","Muy mala",0.052,0.828,0.848,0.258,0.474,0.439
"P49","No sabe",0.014,0.007,0.006,0,0,0.045
"P50","Muy buena",0.635,0.024,0.014,0.186,0.283,0.255
"P50","Buena",0.171,0.012,0.02,0.16,0.045,0.051
"P50","Ni buena ni mala",0.12,0.011,0.055,0.191,0.077,0.115
"P50","Mala",0.03,0.051,0.023,0.137,0.062,0.078
"P50","Muy mala",0.042,0.9,0.884,0.326,0.521,0.459
"P50","No sabe",0.002,0.002,0.004,0,0.012,0.042
"P51","Muy buena",0.124,0.428,0.056,0.023,0.069,0.091
"P51","Buena",0.054,0.299,0.215,0.058,0.111,0.106
"P51","Ni buena ni mala",0.031,0.149,0.305,0.099,0.177,0.11
"P51","Mala",0.209,0.014,0.154,0.081,0.126,0.254
"P51","Muy mala",0.563,0.11,0.266,0.732,0.505,0.373
"P51","No sabe",0.019,0,0.004,0.007,0.012,0.066
"P52","Muy buena",0.025,0.375,0.109,0.07,0.075,0.113
"P52","Buena",0.053,0.311,0.172,0.041,0.159,0.115
"P52","Ni buena ni mala",0.089,0.244,0.254,0.025,0.284,0.218
"P52","Mala",0.218,0.036,0.181,0.268,0.125,0.149
"P52","Muy mala",0.583,0.027,0.276,0.596,0.349,0.322
"P52","No sabe",0.032,0.007,0.008,0,0.008,0.083
"P53","Muy buena",0.213,0.042,0.037,0.026,0.01,0.027
"P53","Buena",0.396,0.068,0.029,0.021,0.098,0.069
"P53","Ni buena ni mala",0.216,0.111,0.075,0.249,0.237,0.223
"P53","Mala",0.073,0.138,0.126,0.333,0.21,0.241
"P53","Muy mala",0.083,0.638,0.723,0.371,0.428,0.377
"P53","No sabe",0.019,0.003,0.01,0,0.017,0.063
"P54","Muy buena",0.075,0.5,0.279,0,0.124,0.094
"P54","Buena",0.054,0.305,0.248,0.013,0.151,0.102
"P54","Ni buena ni mala",0.124,0.102,0.176,0.129,0.176,0.124
"P54","Mala",0.12,0.035,0.079,0.131,0.115,0.199
"P54","Muy mala",0.607,0.053,0.179,0.727,0.434,0.419
"P54","No sabe",0.02,0.005,0.039,0,0,0.062
"P55","Muy buena",0.03,0.133,0.583,0.012,0.024,0.017
"P55","Buena",0.029,0.183,0.32,0.021,0.089,0.068
"P55","Ni buena ni mala",0.088,0.45,0.074,0.15,0.25,0.342
"P55","Mala",0.177,0.126,0.004,0.157,0.209,0.109
"P55","Muy mala",0.651,0.088,0.014,0.66,0.426,0.375
"P55","No sabe",0.025,0.02,0.005,0,0.002,0.089
"P56","Muy buena",0.021,0.366,0.187,0.079,0.058,0.069
"P56","Buena",0.018,0.353,0.221,0.01,0.138,0.224
"P56","Ni buena ni mala",0.068,0.171,0.216,0.244,0.192,0.134
"P56","Mala",0.204,0.078,0.182,0.022,0.12,0.155
"P56","Muy mala",0.682,0.022,0.187,0.645,0.484,0.321
"P56","No sabe",0.007,0.01,0.007,0,0.008,0.097
"P57","Muy buena",0.376,0.049,0.046,0.094,0.119,0.094
"P57","Buena",0.248,0.036,0.018,0.081,0.17,0.083
"P57","Ni buena ni mala",0.147,0.169,0.164,0.212,0.182,0.241
"P57","Mala",0.11,0.195,0.17,0.15,0.171,0.175
"P57","Muy mala",0.074,0.51,0.522,0.236,0.324,0.297
"P57","No sabe",0.045,0.041,0.08,0.227,0.034,0.11
"P58","Muy buena",0.101,0.08,0.06,0.121,0.101,0.027
"P58","Buena",0.147,0.187,0.102,0.028,0.285,0.239
"P58","Ni buena ni mala",0.344,0.395,0.352,0.22,0.222,0.375
"P58","Mala",0.147,0.17,0.134,0.218,0.191,0.087
"P58","Muy mala",0.174,0.164,0.297,0.11,0.192,0.165
"P58","No sabe",0.087,0.004,0.055,0.303,0.009,0.107
"P59","Muy buena",0.018,0.087,0.035,0.034,0.044,0.028
"P59","Buena",0.049,0.245,0.093,0,0.199,0.096
"P59","Ni buena ni mala",0.266,0.39,0.275,0.132,0.211,0.388
"P59","Mala",0.14,0.1,0.151,0.198,0.092,0.173
"P59","Muy mala",0.434,0.112,0.282,0.299,0.353,0.205
"P59","No sabe",0.093,0.066,0.164,0.337,0.101,0.11
"P60","Siempre",0.302,0.295,0.287,0.352,0.216,0.175
"P60","Casi siempre",0.373,0.368,0.343,0.429,0.416,0.491
"P60","Casi nunca",0.261,0.266,0.244,0.12,0.218,0.25
"P60","Nunca, pero esta es una excepción",0.064,0.071,0.126,0.099,0.15,0.084
"P61","Si",0.606,0.506,0.513,0.569,0.547,0.414
"P61","No",0.394,0.494,0.487,0.431,0.453,0.586
