"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Axel Kicillof","Neutra",0.132,0.144,0.119,0.117,0.144,0.116,0.144,0.145,0.166,0.066,0.165,0.085,0.068,0.15,0.086,0.148,0.098,0.231
"Axel Kicillof","Negativa",0.518,0.527,0.508,0.573,0.544,0.506,0.386,0.513,0.516,0.525,0.41,0.763,0.32,0.188,0.833,0.538,0.505,0.416
"Axel Kicillof","No sabe",0.015,0.009,0.023,0,0.011,0.008,0.06,0.023,0.018,0.003,0.012,0.008,0,0.007,0.009,0.015,0.015,0.021
"Mauricio Macri","Positiva",0.271,0.245,0.297,0.38,0.22,0.226,0.319,0.272,0.295,0.232,0.193,0.48,0.211,0.13,0.433,0.257,0.305,0.16
"Mauricio Macri","Neutra",0.156,0.184,0.128,0.139,0.165,0.166,0.142,0.149,0.173,0.139,0.14,0.232,0.123,0.097,0.226,0.18,0.127,0.146
"Mauricio Macri","Negativa",0.558,0.565,0.552,0.46,0.602,0.606,0.51,0.553,0.521,0.621,0.648,0.286,0.661,0.765,0.328,0.553,0.549,0.67
"Mauricio Macri","No sabe",0.015,0.006,0.023,0.021,0.013,0.002,0.029,0.026,0.011,0.008,0.019,0.002,0.005,0.008,0.013,0.01,0.019,0.024
"Sergio Massa","Positiva",0.245,0.212,0.279,0.284,0.189,0.266,0.302,0.234,0.248,0.251,0.329,0.13,0.398,0.474,0.07,0.22,0.273,0.271
"Sergio Massa","Neutra",0.173,0.178,0.168,0.15,0.192,0.148,0.195,0.132,0.201,0.177,0.201,0.099,0.292,0.258,0.084,0.172,0.181,0.131
"Sergio Massa","Negativa",0.573,0.6,0.545,0.566,0.609,0.576,0.482,0.617,0.541,0.571,0.464,0.765,0.31,0.264,0.841,0.6,0.539,0.561
"Sergio Massa","No sabe",0.009,0.01,0.008,0,0.01,0.01,0.021,0.017,0.01,0.001,0.006,0.006,0,0.004,0.005,0.008,0.007,0.037
