"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P21","Vanina Biasi por el Frente de Izquierda",0.135,0.011,0.011,0.55,0.155,0,0.032
"P21","Otros",0.108,0.022,0.057,0.075,0.08,0.197,0
"P21","En blanco",0.044,0.008,0.041,0,0.122,0.247,0.179
"P21","No sabe",0.036,0.015,0.02,0.019,0.125,0,0.263
"P25","Totalmente seguro",0.705,0.685,0.711,0.424,0.48,0.387,0.515
"P25","Bastante seguro",0.212,0.206,0.107,0.15,0.126,0.371,0.105
"P25","Algo seguro",0.053,0.068,0.123,0.299,0.281,0.064,0.045
"P25","Para nada seguro",0.03,0.041,0.059,0.127,0.113,0.178,0.335
"P26","Tiene Decidido que va a ir a votar",0.962,0.929,0.935,0.756,0.755,0.877,0.783
"P26","Tiene dudas sobre si va a ir a  votar",0.035,0.057,0.042,0.209,0.07,0.048,0.115
"P26","Tiene Decidido que no va a ir a votar",0.003,0.014,0.023,0.035,0.175,0.075,0.102
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.865,0.084,0.018,0.123,0.125,0,0.046
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.009,0.774,0.167,0.189,0.256,0.289,0.28
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.02,0.092,0.753,0,0.167,0.287,0.017
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.051,0.015,0.015,0.555,0.063,0,0.104
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0.01,0.047,0,0.125,0,0.037
"P27","Otros",0.03,0.012,0,0.088,0.213,0.298,0.059
"P27","En blanco",0.003,0.005,0,0.045,0,0.064,0.121
"P27","No sabe",0.018,0.008,0,0,0.051,0.062,0.336
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.863,0.021,0.059,0.268,0.109,0,0.045
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.033,0.735,0.066,0.208,0.274,0.229,0.252
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.022,0.142,0.812,0,0.269,0.287,0.017
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.041,0.001,0.015,0.433,0.073,0,0.139
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0.026,0.016,0,0.099,0,0.013
"P28","Otros",0.016,0.023,0,0.035,0.134,0.38,0
"P28","En blanco",0.003,0.028,0.032,0.019,0.018,0.104,0.204
"P28","No sabe",0.018,0.024,0,0.037,0.024,0,0.33
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.89,0.013,0.051,0.035,0.078,0,0
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.081,0.785,0.167,0.296,0.409,0.412,0.374
"P30","Ramiro Marra por la Libertad Avanza",0,0.095,0.776,0.036,0.054,0,0.018
"P30","Vanina Biasi por el Frente de Izquierda",0.007,0,0,0.633,0.02,0,0
"P30","Otros",0.01,0.03,0,0,0.408,0.067,0.018
"P30","En blanco",0,0.029,0.006,0,0.031,0.521,0.079
"P30","No sabe",0.012,0.048,0,0,0,0,0.511
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.906,0.1,0.168,0.367,0.245,0.448,0.078
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.029,0.845,0.534,0.218,0.434,0.396,0.434
"P33","En blanco",0.047,0.042,0.266,0.245,0.104,0.156,0.133
"P33","No sabe",0.018,0.013,0.032,0.17,0.217,0,0.355
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.072,0.785,0.347,0.372,0.401,0.763,0.393
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.042,0.162,0.603,0.042,0.172,0.078,0.094
"P34","En blanco",0.72,0.041,0.033,0.502,0.307,0.159,0.139
"P34","No sabe",0.166,0.012,0.017,0.084,0.12,0,0.374
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.897,0.065,0.177,0.481,0.147,0.057,0.08
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.047,0.773,0.224,0.256,0.576,0.709,0.324
"P35","En blanco",0.032,0.098,0.538,0.227,0.086,0.234,0.131
"P35","No sabe",0.024,0.064,0.061,0.036,0.191,0,0.465
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.188,0.692,0.209,0.443,0.318,0.517,0.249
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.022,0.225,0.696,0.059,0.292,0.261,0.028
"P36","En blanco",0.669,0.039,0.085,0.46,0.174,0.156,0.156
"P36","No sabe",0.121,0.044,0.01,0.038,0.216,0.066,0.567
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.893,0.197,0.118,0.553,0.24,0.236,0.141
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.026,0.404,0.771,0,0.289,0.073,0.102
"P37","En blanco",0.061,0.202,0.057,0.249,0.193,0.575,0.106
"P37","No sabe",0.02,0.197,0.054,0.198,0.278,0.116,0.651
"P38","Lo votaría",0.793,0.106,0.118,0.118,0.133,0.197,0.161
"P38","Puede que lo vote",0.153,0.194,0.111,0.413,0.15,0.388,0.068
"P38","Nunca lo votaría",0.039,0.683,0.698,0.239,0.511,0.379,0.51
"P38","No sabe",0.015,0.017,0.073,0.23,0.206,0.036,0.261
"P39","Lo votaría",0.534,0.012,0.092,0.188,0.218,0.036,0.161
"P39","Puede que lo vote",0.273,0.1,0.095,0.276,0.098,0.309,0.087
"P39","Nunca lo votaría",0.153,0.855,0.783,0.536,0.637,0.655,0.6
"P39","No sabe",0.04,0.033,0.03,0,0.047,0,0.152
"P40","Lo votaría",0.092,0.716,0.282,0.103,0.317,0.444,0.45
"P40","Puede que lo vote",0.06,0.114,0.34,0.309,0.159,0.351,0.057
"P40","Nunca lo votaría",0.832,0.147,0.348,0.588,0.388,0.205,0.32
"P40","No sabe",0.016,0.023,0.03,0,0.136,0,0.173
"P41","Lo votaría",0.042,0.597,0.148,0.063,0.305,0.665,0.31
"P41","Puede que lo vote",0.138,0.299,0.292,0.225,0.403,0.276,0.216
"P41","Nunca lo votaría",0.803,0.084,0.495,0.657,0.258,0.059,0.15
"P41","No sabe",0.017,0.02,0.065,0.055,0.034,0,0.324
"P42","Lo votaría",0.02,0.2,0.778,0.064,0.095,0.455,0.117
"P42","Puede que lo vote",0.021,0.33,0.136,0.078,0.298,0,0.084
"P42","Nunca lo votaría",0.944,0.426,0.038,0.858,0.551,0.48,0.53
"P42","No sabe",0.015,0.044,0.048,0,0.056,0.065,0.269
"P43","Lo votaría",0.104,0.029,0.27,0.36,0.054,0,0
"P43","Puede que lo vote",0.447,0.047,0.048,0.324,0.168,0.343,0.082
"P43","Nunca lo votaría",0.388,0.906,0.682,0.316,0.744,0.657,0.597
"P43","No sabe",0.061,0.018,0,0,0.034,0,0.321
"P44","Lo votaría",0.023,0.045,0.116,0,0.069,0,0.061
"P44","Puede que lo vote",0.207,0.136,0.055,0.307,0.13,0.305,0.192
"P44","Nunca lo votaría",0.678,0.765,0.772,0.466,0.679,0.695,0.461
"P44","No sabe",0.092,0.054,0.057,0.227,0.122,0,0.286
"P52","Si",0.531,0.481,0.458,0.535,0.504,0.58,0.187
"P52","No",0.469,0.519,0.542,0.465,0.496,0.42,0.813
