"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P27","No sabe",0.013,0.011,0.008,0.033,0.038,0.087,0.133,0.018,0.053,0.506
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.747,0.644,0.071,0.114,0.137,0.445,0.271,0.322,0.159,0.073
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.118,0.077,0.506,0.651,0.145,0.158,0.438,0.074,0.053,0.322
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.04,0.058,0.27,0.174,0.566,0.011,0,0.147,0.391,0.021
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.048,0.129,0.011,0.01,0.017,0.228,0,0.207,0.015,0
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.014,0.014,0.033,0.053,0,0.136,0,0,0.05
"P28","Otros",0.026,0.042,0.048,0.007,0.022,0.049,0.155,0.048,0,0.05
"P28","En blanco",0.007,0.019,0.05,0.006,0.014,0,0,0.112,0.307,0.026
"P28","No sabe",0.007,0.017,0.03,0.005,0.046,0.109,0,0.09,0.075,0.458
"P29","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.718,0.717,0.061,0.138,0.156,0.519,0.289,0.626,0.232,0.069
"P29","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.156,0.109,0.639,0.61,0.367,0.064,0.108,0,0.075,0.384
"P29","Ramiro Marra por la Libertad Avanza",0.053,0.013,0.197,0.09,0.285,0.117,0,0,0.354,0
"P29","Vanina Biasi por el Frente de Izquierda",0.039,0.087,0.012,0.03,0.008,0.12,0,0.146,0,0.035
"P29","Otros",0.022,0.004,0.028,0.066,0.13,0.063,0.35,0.105,0.146,0
"P29","En blanco",0,0.038,0.041,0.036,0.037,0,0,0.061,0.056,0.096
"P29","No sabe",0.012,0.032,0.022,0.03,0.017,0.117,0.253,0.062,0.137,0.416
"P30","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.644,0.704,0.073,0.117,0.152,0.454,0.288,0.599,0.274,0.069
"P30","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.206,0.103,0.618,0.728,0.239,0.304,0.712,0.165,0.053,0.388
"P30","Ramiro Marra por la Libertad Avanza",0.043,0.046,0.204,0.087,0.377,0.016,0,0,0.41,0.035
"P30","Vanina Biasi por el Frente de Izquierda",0.02,0.068,0,0.02,0.008,0.189,0,0.112,0,0.035
"P30","Otros",0.053,0,0.018,0.014,0.134,0.037,0,0,0,0.027
"P30","En blanco",0.003,0.037,0.042,0.016,0.043,0,0,0.124,0.188,0.063
"P30","No sabe",0.031,0.042,0.045,0.018,0.047,0,0,0,0.075,0.383
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.824,0.739,0.127,0.206,0.153,0.807,0.526,0.555,0.089,0.163
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.131,0.105,0.818,0.636,0.579,0.017,0.155,0.146,0.255,0.415
"P33","En blanco",0.035,0.094,0.046,0.093,0.218,0.176,0.237,0.129,0.593,0.103
"P33","No sabe",0.01,0.062,0.009,0.065,0.05,0,0.082,0.17,0.063,0.319
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.227,0.109,0.663,0.659,0.443,0.18,0.222,0.195,0.344,0.443
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.083,0.083,0.293,0.123,0.354,0.013,0.062,0,0.103,0
"P34","En blanco",0.544,0.677,0.038,0.177,0.135,0.793,0.537,0.486,0.478,0.177
"P34","No sabe",0.146,0.131,0.006,0.041,0.068,0.014,0.179,0.319,0.075,0.38
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.821,0.753,0.052,0.155,0.146,0.826,0.277,0.488,0.228,0.166
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.137,0.087,0.633,0.785,0.347,0.015,0.5,0.102,0.076,0.449
"P35","En blanco",0.015,0.104,0.226,0.057,0.4,0.159,0.047,0.213,0.571,0.149
"P35","No sabe",0.027,0.056,0.089,0.003,0.107,0,0.176,0.197,0.125,0.236
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.295,0.115,0.569,0.717,0.198,0.133,0.279,0.128,0.284,0.374
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.078,0.108,0.315,0.191,0.538,0.016,0,0.03,0.13,0.049
"P36","En blanco",0.532,0.629,0.075,0.073,0.202,0.834,0.649,0.466,0.412,0.166
"P36","No sabe",0.095,0.148,0.041,0.019,0.062,0.017,0.072,0.376,0.174,0.411
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.846,0.786,0.121,0.3,0.187,0.618,0.581,0.554,0.231,0.294
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.061,0.098,0.501,0.273,0.628,0.078,0.121,0,0.407,0.027
"P37","En blanco",0.057,0.073,0.175,0.261,0.106,0.276,0.132,0.201,0.186,0.14
"P37","No sabe",0.036,0.043,0.203,0.166,0.079,0.028,0.166,0.245,0.176,0.539
"P38","Lo votaría",0.735,0.644,0.1,0.171,0.244,0.382,0.215,0.545,0.346,0.093
"P38","Puede que lo vote",0.17,0.167,0.147,0.24,0.055,0.3,0.446,0.185,0,0.064
"P38","Nunca lo votaría",0.057,0.163,0.727,0.53,0.628,0.271,0.339,0.25,0.55,0.635
"P38","No sabe",0.038,0.026,0.026,0.059,0.073,0.047,0,0.02,0.104,0.208
"P39","Lo votaría",0.441,0.482,0.06,0.09,0.174,0.544,0.124,0.254,0.235,0.034
"P39","Puede que lo vote",0.251,0.352,0.031,0.132,0.112,0.08,0.304,0.314,0,0
"P39","Nunca lo votaría",0.252,0.123,0.873,0.773,0.714,0.303,0.572,0.404,0.661,0.843
"P39","No sabe",0.056,0.043,0.036,0.005,0,0.073,0,0.028,0.104,0.123
"P40","Lo votaría",0.141,0.158,0.613,0.582,0.519,0.144,0.051,0.222,0.389,0.131
"P40","Puede que lo vote",0.097,0.056,0.161,0.173,0.18,0.017,0.091,0,0.051,0.282
"P40","Nunca lo votaría",0.715,0.753,0.197,0.23,0.301,0.792,0.858,0.778,0.456,0.461
"P40","No sabe",0.047,0.033,0.029,0.015,0,0.047,0,0,0.104,0.126
"P41","Lo votaría",0.109,0.063,0.463,0.555,0.197,0.017,0.62,0.213,0.029,0.481
"P41","Puede que lo vote",0.162,0.127,0.26,0.319,0.33,0.031,0.142,0.362,0.227,0.065
"P41","Nunca lo votaría",0.698,0.78,0.225,0.126,0.462,0.905,0.165,0.303,0.594,0.305
"P41","No sabe",0.031,0.03,0.052,0,0.011,0.047,0.073,0.122,0.15,0.149
"P42","Lo votaría",0.071,0.054,0.375,0.154,0.497,0.017,0,0,0.1,0
"P42","Puede que lo vote",0.084,0.107,0.202,0.299,0.214,0.076,0,0.053,0.029,0.189
"P42","Nunca lo votaría",0.822,0.812,0.374,0.528,0.289,0.835,0.783,0.892,0.719,0.675
"P42","No sabe",0.023,0.027,0.049,0.019,0,0.072,0.217,0.055,0.152,0.136
"P43","Lo votaría",0.12,0.122,0.098,0.022,0.13,0.184,0,0.096,0.028,0
"P43","Puede que lo vote",0.431,0.427,0.022,0.128,0.113,0.452,0.051,0.347,0.05,0.154
"P43","Nunca lo votaría",0.43,0.393,0.872,0.825,0.728,0.292,0.876,0.208,0.676,0.745
"P43","No sabe",0.019,0.058,0.008,0.025,0.029,0.072,0.073,0.349,0.246,0.101
"P44","Lo votaría",0.088,0.028,0.041,0.043,0.018,0,0.214,0,0,0.065
"P44","Puede que lo vote",0.144,0.194,0.095,0.177,0.157,0.173,0.623,0.198,0.091,0.377
"P44","Nunca lo votaría",0.648,0.703,0.815,0.696,0.825,0.755,0.163,0.406,0.661,0.398
"P44","No sabe",0.12,0.075,0.049,0.084,0,0.072,0,0.396,0.248,0.16
"P52","Si",0.475,0.551,0.487,0.521,0.546,0.54,0.344,0.15,0.545,0.279
"P52","No",0.525,0.449,0.513,0.479,0.454,0.46,0.656,0.85,0.455,0.721
