"var","categoria","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P09","No sabe",0.018,0.014,0.029,0.025,0.021,0.076,0.328
"P12","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.338,0.043,0.036,0.044,0.047,0.094,0.057
"P12","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.518,0.042,0.088,0.062,0.265,0.283,0.363
"P12","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.044,0.796,0.119,0.12,0.015,0.044,0.033
"P12","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.036,0.05,0.64,0.018,0.101,0.04,0.022
"P12","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.027,0.044,0.068,0.696,0.184,0.097,0.057
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.005,0.025,0.038,0.279,0.073,0.019
"P12","En blanco",0.006,0.001,0.007,0.002,0.083,0.295,0.061
"P12","No sabe",0.017,0.019,0.017,0.02,0.026,0.074,0.388
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.737,0.044,0.085,0.061,0.05,0.057,0.086
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.107,0.032,0.052,0.036,0.091,0.116,0.127
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.041,0.805,0.115,0.066,0.019,0.063,0.042
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.033,0.032,0.636,0.043,0.06,0.027,0.018
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.029,0.063,0.084,0.758,0.193,0.049,0.048
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.006,0.007,0.006,0.514,0.18,0.021
"P15","En blanco",0.01,0.003,0.003,0.006,0.021,0.424,0.072
"P15","No sabe",0.035,0.015,0.018,0.024,0.052,0.084,0.586
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.73,0.058,0.134,0.061,0.236,0.232,0.364
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.088,0.046,0.046,0.042,0.086,0.114,0.082
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.025,0.785,0.103,0.113,0.013,0.06,0.024
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.045,0.04,0.618,0.025,0.147,0.005,0.02
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.04,0.055,0.047,0.739,0.132,0.061,0.043
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.004,0.011,0.004,0.359,0.211,0.017
"P18","En blanco",0.014,0.001,0.008,0.003,0.018,0.216,0.08
"P18","No sabe",0.048,0.011,0.033,0.013,0.009,0.101,0.37
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.592,0.056,0.313,0.073,0.243,0.224,0.268
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.066,0.558,0.087,0.258,0.034,0.033,0.029
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.22,0.056,0.488,0.046,0.106,0.092,0.116
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.038,0.318,0.077,0.585,0.101,0.012,0.052
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.002,0.002,0.009,0.475,0.046,0.011
"P24","En blanco",0.011,0.002,0.002,0.011,0.03,0.54,0.02
"P24","No sabe",0.057,0.008,0.031,0.018,0.011,0.053,0.504
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.63,0.06,0.306,0.048,0.191,0.175,0.237
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.035,0.578,0.074,0.256,0.021,0.055,0.044
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.222,0.041,0.515,0.03,0.147,0.078,0.068
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.031,0.309,0.061,0.637,0.096,0.008,0.061
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.005,0.003,0.004,0.464,0.107,0.028
"P25","En blanco",0.02,0.002,0.006,0.001,0.021,0.496,0.029
"P25","No sabe",0.047,0.005,0.035,0.024,0.06,0.081,0.533
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.859,0.033,0.142,0.057,0.166,0.142,0.201
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.037,0.9,0.429,0.087,0.07,0.03,0.087
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.051,0.088,0.809,0.131,0.009,0.076
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.002,0.023,0.012,0.541,0.125,0.016
"P26","En blanco",0.02,0.006,0.083,0.011,0.02,0.479,0.089
"P26","No sabe",0.044,0.008,0.235,0.024,0.072,0.215,0.531
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.86,0.032,0.118,0.053,0.131,0.185,0.189
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.043,0.53,0.724,0.063,0.069,0.026,0.043
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.159,0.072,0.825,0.152,0.028,0.094
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.028,0.006,0.007,0.015,0.558,0.093,0.007
"P27","En blanco",0.014,0.07,0.026,0.011,0.058,0.546,0.105
"P27","No sabe",0.035,0.203,0.053,0.033,0.032,0.122,0.562
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.84,0.032,0.145,0.055,0.297,0.375,0.414
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.036,0.88,0.489,0.101,0.064,0.065,0.071
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.026,0.053,0.078,0.795,0.173,0.022,0.071
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.004,0.022,0.019,0.4,0.071,0.018
"P28","En blanco",0.025,0.007,0.098,0.016,0.018,0.368,0.056
"P28","No sabe",0.053,0.024,0.168,0.014,0.048,0.099,0.37
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.843,0.036,0.134,0.059,0.277,0.392,0.446
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.041,0.533,0.729,0.075,0.094,0.049,0.052
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.032,0.176,0.065,0.812,0.14,0.013,0.089
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.009,0.008,0.017,0.385,0.059,0.014
"P29","En blanco",0.021,0.07,0.021,0.008,0.064,0.362,0.053
"P29","No sabe",0.047,0.176,0.043,0.029,0.04,0.125,0.346
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.857,0.048,0.159,0.05,0.276,0.267,0.344
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.036,0.874,0.471,0.1,0.07,0.056,0.076
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.025,0.049,0.105,0.806,0.111,0.008,0.075
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.001,0.023,0.003,0.418,0.107,0.033
"P30","En blanco",0.023,0.003,0.099,0.009,0.041,0.429,0.062
"P30","No sabe",0.043,0.025,0.143,0.032,0.084,0.133,0.41
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.857,0.049,0.13,0.05,0.229,0.237,0.354
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.033,0.549,0.72,0.07,0.095,0.043,0.035
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.027,0.186,0.077,0.832,0.118,0.033,0.092
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.002,0.011,0.009,0.481,0.145,0.012
"P31","En blanco",0.027,0.086,0.021,0.01,0.039,0.406,0.062
"P31","No sabe",0.038,0.128,0.041,0.029,0.038,0.136,0.445
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.586,0.044,0.122,0.059,0.07,0.24,0.197
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.038,0.846,0.486,0.099,0.114,0.03,0.066
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.025,0.06,0.087,0.808,0.109,0.009,0.075
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.057,0.002,0.029,0.009,0.615,0.142,0.025
"P32","En blanco",0.128,0.025,0.093,0.007,0.003,0.464,0.1
"P32","No sabe",0.166,0.023,0.183,0.018,0.089,0.115,0.537
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.57,0.052,0.095,0.056,0.083,0.222,0.202
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.048,0.558,0.729,0.07,0.132,0.015,0.043
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.028,0.19,0.059,0.836,0.119,0.102,0.083
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.06,0.004,0.021,0.007,0.554,0.105,0.021
"P33","En blanco",0.138,0.071,0.028,0.011,0.032,0.467,0.111
"P33","No sabe",0.156,0.125,0.068,0.02,0.08,0.089,0.54
"P34","Axel Kicillof por Unión por la Patria",0.897,0.035,0.172,0.083,0.36,0.449,0.512
"P34","Nestor Grindetti por Juntos por el Cambio",0.037,0.845,0.553,0.14,0.087,0.038,0.034
"P34","Guillermo Britos por la Libertad Avanza",0.027,0.046,0.049,0.68,0.082,0.004,0.078
"P34","Al candidato del Frente de Izquierda",0.012,0.004,0.009,0.003,0.424,0.059,0.008
"P34","En blanco",0.009,0.019,0.059,0.032,0.019,0.337,0.068
"P34","No sabe",0.018,0.051,0.158,0.062,0.028,0.113,0.3
"P35","Axel Kicillof por Unión por la Patria",0.906,0.038,0.15,0.074,0.366,0.465,0.513
"P35","Diego Santilli por Juntos por el Cambio",0.034,0.704,0.748,0.138,0.106,0.089,0.086
"P35","Guillermo Britos por la Libertad Avanza",0.026,0.113,0.043,0.69,0.076,0.004,0.071
"P35","Al candidato del Frente de Izquierda",0.011,0.002,0.001,0,0.443,0.044,0.015
"P35","En blanco",0.007,0.062,0.011,0.043,0,0.319,0.072
"P35","No sabe",0.016,0.081,0.047,0.055,0.009,0.079,0.243
"P36","Sergio Massa por Unión por la Patria",0.832,0.043,0.15,0.066,0.109,0.252,0.254
"P36","Nestor Grindetti por Juntos por el Cambio",0.032,0.822,0.586,0.153,0.127,0.078,0.06
"P36","Guillermo Britos por la Libertad Avanza",0.028,0.071,0.063,0.701,0.087,0.055,0.071
"P36","Al candidato del Frente de Izquierda",0.021,0.002,0.009,0.009,0.603,0.076,0.031
"P36","En blanco",0.027,0.018,0.082,0.03,0.005,0.43,0.13
"P36","No sabe",0.06,0.044,0.11,0.041,0.069,0.109,0.454
"P37","Sergio Massa por Unión por la Patria",0.804,0.047,0.141,0.066,0.13,0.264,0.249
"P37","Diego Santilli por Juntos por el Cambio",0.045,0.692,0.723,0.145,0.096,0.035,0.072
"P37","Guillermo Britos por la Libertad Avanza",0.033,0.119,0.048,0.715,0.08,0.019,0.073
"P37","Al candidato del Frente de Izquierda",0.023,0.003,0.005,0.015,0.644,0.094,0.029
"P37","En blanco",0.036,0.058,0.017,0.023,0.018,0.451,0.147
"P37","No sabe",0.059,0.081,0.066,0.036,0.032,0.137,0.43
"P38","Victoria Tolosa Paz por Unión por la Patria",0.586,0.036,0.137,0.052,0.131,0.266,0.216
"P38","Nestor Grindetti por Juntos por el Cambio",0.044,0.833,0.543,0.122,0.085,0.082,0.053
"P38","Guillermo Britos por la Libertad Avanza",0.034,0.058,0.057,0.747,0.088,0.009,0.082
"P38","Al candidato del Frente de Izquierda",0.059,0.007,0.031,0.013,0.621,0.143,0.031
"P38","En blanco",0.138,0.017,0.096,0.025,0.025,0.469,0.154
"P38","No sabe",0.139,0.049,0.136,0.041,0.05,0.031,0.464
"P39","Victoria Tolosa Paz por Unión por la Patria",0.584,0.037,0.109,0.051,0.136,0.237,0.257
"P39","Diego Santilli por Juntos por el Cambio",0.053,0.696,0.719,0.149,0.121,0.112,0.061
"P39","Guillermo Britos por la Libertad Avanza",0.025,0.112,0.056,0.723,0.095,0.015,0.088
"P39","Al candidato del Frente de Izquierda",0.055,0.003,0.022,0.009,0.559,0.092,0.045
"P39","En blanco",0.14,0.074,0.025,0.032,0.035,0.513,0.111
"P39","No sabe",0.143,0.078,0.069,0.036,0.054,0.031,0.438
"P40","Lo votaría",0.856,0.072,0.138,0.083,0.374,0.432,0.56
"P40","Puede que lo vote",0.063,0.049,0.064,0.085,0.092,0.087,0.049
"P40","Nunca lo votaría",0.066,0.856,0.757,0.817,0.467,0.381,0.278
"P40","No sabe",0.015,0.023,0.041,0.015,0.067,0.1,0.113
"P41","La votaría",0.368,0.036,0.101,0.044,0.108,0.194,0.174
"P41","Puede que la vote",0.348,0.057,0.113,0.054,0.159,0.108,0.251
"P41","Nunca la votaría",0.213,0.889,0.742,0.866,0.61,0.613,0.398
"P41","No sabe",0.071,0.018,0.044,0.036,0.123,0.085,0.177
"P42","Lo votaría",0.063,0.694,0.24,0.156,0.04,0.056,0.065
"P42","Puede que lo vote",0.056,0.151,0.356,0.274,0.064,0.089,0.104
"P42","Nunca lo votaría",0.829,0.124,0.334,0.468,0.853,0.746,0.582
"P42","No sabe",0.052,0.031,0.07,0.102,0.043,0.109,0.249
"P43","Lo votaría",0.039,0.531,0.565,0.147,0.105,0.104,0.07
"P43","Puede que lo vote",0.054,0.288,0.262,0.283,0.063,0.159,0.126
"P43","Nunca lo votaría",0.863,0.137,0.156,0.527,0.81,0.716,0.654
"P43","No sabe",0.044,0.044,0.017,0.043,0.022,0.021,0.15
"P44","Lo votaría",0.026,0.124,0.115,0.549,0.116,0.041,0.043
"P44","Puede que lo vote",0.061,0.256,0.149,0.22,0.022,0.074,0.066
"P44","Nunca lo votaría",0.873,0.514,0.622,0.195,0.813,0.818,0.699
"P44","No sabe",0.04,0.106,0.114,0.036,0.049,0.067,0.192
"P45","Muy buena",0.711,0.04,0.103,0.124,0.278,0.429,0.421
"P45","Buena",0.123,0.031,0.072,0.036,0.089,0.062,0.087
"P45","Ni buena ni mala",0.132,0.083,0.23,0.069,0.24,0.131,0.173
"P45","Mala",0.007,0.139,0.091,0.136,0.06,0.161,0.05
"P45","Muy mala",0.027,0.703,0.499,0.627,0.333,0.163,0.187
"P45","No sabe",0,0.004,0.005,0.008,0,0.054,0.082
"P46","Muy buena",0.223,0.02,0.038,0.03,0.052,0.094,0.145
"P46","Buena",0.276,0.028,0.075,0.044,0.14,0.14,0.144
"P46","Ni buena ni mala",0.289,0.094,0.243,0.067,0.241,0.243,0.303
"P46","Mala",0.103,0.195,0.141,0.167,0.184,0.256,0.123
"P46","Muy mala",0.089,0.647,0.469,0.658,0.337,0.213,0.18
"P46","No sabe",0.02,0.016,0.034,0.034,0.046,0.054,0.105
"P47","Muy buena",0.037,0.349,0.129,0.078,0.053,0.075,0.019
"P47","Buena",0.045,0.343,0.258,0.171,0.015,0.091,0.098
"P47","Ni buena ni mala",0.227,0.165,0.262,0.286,0.202,0.18,0.31
"P47","Mala",0.295,0.028,0.08,0.083,0.21,0.253,0.104
"P47","Muy mala",0.325,0.091,0.131,0.243,0.5,0.336,0.264
"P47","No sabe",0.071,0.024,0.14,0.139,0.02,0.065,0.205
"P48","Muy buena",0.027,0.31,0.414,0.121,0.067,0.073,0.021
"P48","Buena",0.041,0.398,0.289,0.203,0.033,0.04,0.095
"P48","Ni buena ni mala",0.178,0.203,0.145,0.27,0.199,0.215,0.256
"P48","Mala",0.341,0.042,0.058,0.134,0.131,0.3,0.165
"P48","Muy mala",0.377,0.03,0.076,0.225,0.517,0.309,0.315
"P48","No sabe",0.036,0.017,0.018,0.047,0.053,0.063,0.148
"P49","Muy buena",0.025,0.064,0.073,0.302,0.005,0.042,0.012
"P49","Buena",0.042,0.13,0.058,0.297,0.064,0.065,0.061
"P49","Ni buena ni mala",0.176,0.43,0.37,0.239,0.114,0.178,0.304
"P49","Mala",0.212,0.103,0.103,0.04,0.082,0.2,0.175
"P49","Muy mala",0.425,0.115,0.19,0.052,0.571,0.385,0.237
"P49","No sabe",0.12,0.158,0.206,0.07,0.164,0.13,0.211
"P50","Siempre",0.335,0.367,0.358,0.36,0.259,0.307,0.237
"P50","Casi siempre",0.419,0.373,0.429,0.328,0.459,0.348,0.476
"P50","Casi nunca",0.162,0.201,0.149,0.257,0.118,0.259,0.158
"P50","Nunca, pero esta es una excepción",0.084,0.059,0.064,0.055,0.164,0.086,0.129
"P51","Si",0.584,0.512,0.535,0.598,0.475,0.505,0.477
"P51","No",0.416,0.488,0.465,0.402,0.525,0.495,0.523
