"var","categoria","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.014,0.054,0.737,0.005,0.002,0.003
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.012,0.004,0.452,0.02,0.008
"P28","En blanco",0.035,0.035,0.007,0.004,0.153,0.018
"P28","No sabe",0.042,0.058,0.01,0.049,0.033,0.253
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.862,0.012,0.011,0.525,0.569,0.488
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.03,0.857,0.045,0.009,0.054,0.078
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.025,0.043,0.897,0.028,0.002,0.004
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.009,0.008,0.385,0.022,0
"P29","En blanco",0.034,0.017,0.016,0.005,0.313,0.012
"P29","No sabe",0.033,0.062,0.023,0.048,0.04,0.418
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.874,0.03,0.016,0.46,0.525,0.454
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.032,0.815,0.205,0.022,0.221,0.227
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.013,0.035,0.754,0.028,0.004,0.006
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.017,0.001,0.423,0.018,0.001
"P30","En blanco",0.037,0.049,0.004,0.004,0.182,0.008
"P30","No sabe",0.034,0.054,0.02,0.063,0.05,0.304
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.871,0.028,0.014,0.435,0.522,0.431
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.019,0.901,0.019,0.008,0.029,0.043
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.029,0.028,0.92,0,0.005,0.007
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.003,0.01,0.481,0.016,0.013
"P31","En blanco",0.03,0.015,0.018,0.032,0.39,0.011
"P31","No sabe",0.032,0.025,0.019,0.044,0.038,0.495
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.915,0.023,0.009,0.065,0.086,0.065
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.016,0.848,0.197,0.021,0.182,0.217
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.016,0.023,0.765,0.003,0,0.005
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.007,0.006,0.883,0.032,0.015
"P32","En blanco",0.013,0.037,0.007,0.011,0.647,0.03
"P32","No sabe",0.03,0.062,0.016,0.017,0.053,0.668
"P34","Axel Kicillof por Unión por la Patria",0.904,0.037,0.02,0.523,0.627,0.559
"P34","Nestor Grindetti por Juntos por el Cambio",0.034,0.827,0.236,0.023,0.206,0.201
"P34","Guillermo Britos por la Libertad Avanza",0.007,0.022,0.637,0,0.002,0.007
"P34","Al candidato del Frente de Izquierda",0.005,0.009,0,0.391,0.024,0.008
"P34","En blanco",0.025,0.028,0.037,0.03,0.129,0.012
"P34","No sabe",0.025,0.077,0.07,0.033,0.012,0.213
"P35","Axel Kicillof por Unión por la Patria",0.898,0.037,0.02,0.563,0.618,0.561
"P35","Diego Santilli por Juntos por el Cambio",0.048,0.897,0.165,0.025,0.095,0.156
"P35","Guillermo Britos por la Libertad Avanza",0.005,0.022,0.715,0,0.006,0.009
"P35","Al candidato del Frente de Izquierda",0.005,0.007,0.001,0.382,0.017,0.009
"P35","En blanco",0.017,0.011,0.043,0.03,0.247,0.013
"P35","No sabe",0.027,0.026,0.056,0,0.017,0.252
"P36","Sergio Massa por Unión por la Patria",0.855,0.041,0.01,0.344,0.456,0.386
"P36","Nestor Grindetti por Juntos por el Cambio",0.024,0.841,0.244,0.023,0.207,0.213
"P36","Guillermo Britos por la Libertad Avanza",0.008,0.026,0.687,0,0.006,0.01
"P36","Al candidato del Frente de Izquierda",0.021,0.007,0.002,0.584,0.022,0.004
"P36","En blanco",0.033,0.034,0.022,0.031,0.269,0.019
"P36","No sabe",0.059,0.051,0.035,0.018,0.04,0.368
"P37","Sergio Massa por Unión por la Patria",0.853,0.032,0.023,0.324,0.374,0.392
"P37","Diego Santilli por Juntos por el Cambio",0.025,0.903,0.167,0.019,0.105,0.152
"P37","Guillermo Britos por la Libertad Avanza",0.015,0.017,0.743,0.031,0.005,0.012
"P37","Al candidato del Frente de Izquierda",0.025,0.009,0.002,0.594,0.041,0.004
"P37","En blanco",0.032,0.014,0.02,0.002,0.427,0.026
"P37","No sabe",0.05,0.025,0.045,0.03,0.048,0.414
"P38","Victoria Tolosa Paz por Unión por la Patria",0.861,0.026,0.015,0.13,0.114,0.111
"P38","Nestor Grindetti por Juntos por el Cambio",0.019,0.84,0.22,0.023,0.189,0.242
"P38","Guillermo Britos por la Libertad Avanza",0.012,0.021,0.699,0.033,0,0.013
"P38","Al candidato del Frente de Izquierda",0.024,0.017,0.011,0.732,0.042,0.031
"P38","En blanco",0.033,0.041,0.012,0.01,0.608,0.087
"P38","No sabe",0.051,0.055,0.043,0.072,0.047,0.516
"P39","Victoria Tolosa Paz por Unión por la Patria",0.865,0.017,0.026,0.149,0.118,0.094
"P39","Diego Santilli por Juntos por el Cambio",0.033,0.924,0.169,0.021,0.095,0.152
"P39","Guillermo Britos por la Libertad Avanza",0.008,0.02,0.743,0.001,0.002,0.015
"P39","Al candidato del Frente de Izquierda",0.016,0.003,0,0.795,0.013,0.025
"P39","En blanco",0.032,0.013,0.027,0.011,0.717,0.098
"P39","No sabe",0.046,0.023,0.035,0.023,0.055,0.616
"P40","Lo votaría",0.82,0.074,0.033,0.503,0.643,0.592
"P40","Puede que lo vote",0.072,0.073,0.085,0.094,0.017,0.021
"P40","Nunca lo votaría",0.09,0.836,0.863,0.297,0.295,0.317
"P40","No sabe",0.018,0.017,0.019,0.106,0.045,0.07
"P41","La votaría",0.526,0.021,0.019,0.105,0.112,0.123
"P41","Puede que la vote",0.376,0.076,0.05,0.23,0.189,0.18
"P41","Nunca la votaría",0.061,0.877,0.912,0.584,0.633,0.486
"P41","No sabe",0.037,0.026,0.019,0.081,0.066,0.211
"P42","Lo votaría",0.079,0.565,0.249,0.022,0.183,0.194
"P42","Puede que lo vote",0.078,0.203,0.28,0.06,0.091,0.059
"P42","Nunca lo votaría",0.771,0.188,0.385,0.884,0.698,0.593
"P42","No sabe",0.072,0.044,0.086,0.034,0.028,0.154
"P43","Lo votaría",0.038,0.7,0.161,0.019,0.066,0.138
"P43","Puede que lo vote",0.061,0.231,0.355,0.012,0.15,0.123
"P43","Nunca lo votaría",0.853,0.045,0.442,0.949,0.738,0.627
"P43","No sabe",0.048,0.024,0.042,0.02,0.046,0.112
"P44","Lo votaría",0.023,0.144,0.487,0.006,0,0.006
"P44","Puede que lo vote",0.052,0.218,0.287,0.032,0.062,0.052
"P44","Nunca lo votaría",0.873,0.529,0.182,0.927,0.884,0.791
"P44","No sabe",0.052,0.109,0.044,0.035,0.054,0.151
"P45","Muy buena",0.69,0.032,0.092,0.413,0.52,0.445
"P45","Buena",0.127,0.054,0.044,0.129,0.057,0.052
"P45","Ni buena ni mala",0.132,0.14,0.062,0.218,0.105,0.177
"P45","Mala",0.013,0.133,0.129,0.046,0.067,0.059
"P45","Muy mala",0.033,0.637,0.667,0.183,0.232,0.231
"P45","No sabe",0.005,0.004,0.006,0.011,0.019,0.036
"P46","Muy buena",0.303,0.009,0.008,0.034,0.106,0.1
"P46","Buena",0.359,0.03,0.04,0.123,0.074,0.119
"P46","Ni buena ni mala",0.245,0.145,0.055,0.394,0.245,0.304
"P46","Mala",0.065,0.207,0.168,0.167,0.206,0.13
"P46","Muy mala",0.021,0.594,0.694,0.274,0.325,0.247
"P46","No sabe",0.007,0.015,0.035,0.008,0.044,0.1
"P47","Muy buena",0.04,0.272,0.15,0.013,0.142,0.078
"P47","Buena",0.08,0.307,0.228,0.012,0.075,0.108
"P47","Ni buena ni mala",0.25,0.203,0.259,0.195,0.177,0.227
"P47","Mala",0.297,0.04,0.052,0.213,0.173,0.21
"P47","Muy mala",0.274,0.118,0.206,0.501,0.377,0.215
"P47","No sabe",0.059,0.06,0.105,0.066,0.056,0.162
"P48","Muy buena",0.03,0.432,0.118,0.008,0.06,0.081
"P48","Buena",0.052,0.377,0.247,0.021,0.105,0.123
"P48","Ni buena ni mala",0.191,0.166,0.277,0.166,0.176,0.216
"P48","Mala",0.349,0.012,0.12,0.217,0.237,0.207
"P48","Muy mala",0.336,0.01,0.195,0.575,0.379,0.26
"P48","No sabe",0.042,0.003,0.043,0.013,0.043,0.113
"P49","Muy buena",0.025,0.068,0.253,0.003,0.016,0.015
"P49","Buena",0.041,0.12,0.304,0.002,0.015,0.017
"P49","Ni buena ni mala",0.206,0.435,0.299,0.114,0.203,0.211
"P49","Mala",0.237,0.084,0.021,0.172,0.153,0.215
"P49","Muy mala",0.384,0.109,0.06,0.59,0.504,0.273
"P49","No sabe",0.107,0.184,0.063,0.119,0.109,0.269
"P50","Siempre",0.341,0.403,0.325,0.245,0.317,0.29
"P50","Casi siempre",0.467,0.366,0.348,0.408,0.369,0.426
"P50","Casi nunca",0.117,0.19,0.273,0.168,0.19,0.168
"P50","Nunca, pero esta es una excepción",0.075,0.041,0.054,0.179,0.124,0.116
"P51","Si",0.626,0.54,0.559,0.487,0.505,0.456
"P51","No",0.374,0.46,0.441,0.513,0.495,0.544
