"var","categoria","Victoria Tolosa Paz por Unión por la Patria","Diego Santilli por Juntos por el Cambio","Guillermo Britos por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.018,0.727,0.028,0.011,0.022,0.058
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.03,0.127,0.923,0.002,0.066,0.068
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.008,0.003,0.508,0.021,0.004
"P31","En blanco",0.026,0.04,0,0.039,0.308,0.025
"P31","No sabe",0.043,0.077,0.028,0.028,0.054,0.378
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.812,0.027,0.02,0.099,0.138,0.12
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.013,0.806,0.15,0.014,0.163,0.166
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.028,0.052,0.822,0.005,0.041,0.059
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.037,0.006,0.001,0.781,0.058,0.007
"P32","En blanco",0.048,0.035,0,0.032,0.48,0.046
"P32","No sabe",0.062,0.074,0.007,0.069,0.12,0.602
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.827,0.025,0.01,0.07,0.076,0.094
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.017,0.753,0.028,0.016,0.034,0.05
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.023,0.122,0.948,0.002,0.06,0.067
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.035,0.004,0.001,0.829,0.007,0.011
"P33","En blanco",0.046,0.029,0.001,0.022,0.688,0.045
"P33","No sabe",0.052,0.067,0.012,0.061,0.135,0.733
"P34","Axel Kicillof por Unión por la Patria",0.906,0.029,0.026,0.527,0.644,0.553
"P34","Nestor Grindetti por Juntos por el Cambio",0.028,0.823,0.163,0.004,0.168,0.134
"P34","Guillermo Britos por la Libertad Avanza",0.003,0.039,0.771,0.007,0.024,0
"P34","Al candidato del Frente de Izquierda",0.002,0.009,0,0.42,0.023,0.009
"P34","En blanco",0.03,0.027,0.012,0.033,0.124,0.03
"P34","No sabe",0.031,0.073,0.028,0.009,0.017,0.274
"P35","Axel Kicillof por Unión por la Patria",0.907,0.026,0.017,0.543,0.649,0.566
"P35","Diego Santilli por Juntos por el Cambio",0.034,0.913,0.058,0.004,0.016,0.053
"P35","Guillermo Britos por la Libertad Avanza",0.01,0.024,0.901,0,0.023,0.003
"P35","Al candidato del Frente de Izquierda",0.001,0.005,0.005,0.417,0.017,0.012
"P35","En blanco",0.021,0.016,0.014,0.033,0.26,0.024
"P35","No sabe",0.027,0.016,0.005,0.003,0.035,0.342
"P36","Sergio Massa por Unión por la Patria",0.853,0.034,0.011,0.329,0.471,0.385
"P36","Nestor Grindetti por Juntos por el Cambio",0.022,0.843,0.145,0.011,0.16,0.146
"P36","Guillermo Britos por la Libertad Avanza",0.011,0.04,0.821,0,0.026,0.02
"P36","Al candidato del Frente de Izquierda",0.029,0.007,0.003,0.579,0.019,0.003
"P36","En blanco",0.037,0.028,0.016,0.044,0.267,0.015
"P36","No sabe",0.048,0.048,0.004,0.037,0.057,0.431
"P37","Sergio Massa por Unión por la Patria",0.859,0.021,0.016,0.346,0.405,0.368
"P37","Diego Santilli por Juntos por el Cambio",0.018,0.92,0.025,0.003,0.036,0.042
"P37","Guillermo Britos por la Libertad Avanza",0.015,0.018,0.937,0.04,0.018,0.001
"P37","Al candidato del Frente de Izquierda",0.029,0.009,0.004,0.591,0.036,0.004
"P37","En blanco",0.037,0.007,0.012,0.012,0.46,0.014
"P37","No sabe",0.042,0.025,0.006,0.008,0.045,0.571
"P38","Victoria Tolosa Paz por Unión por la Patria",0.919,0.018,0.006,0.042,0.062,0.04
"P38","Nestor Grindetti por Juntos por el Cambio",0.017,0.839,0.123,0.004,0.161,0.144
"P38","Guillermo Britos por la Libertad Avanza",0.008,0.033,0.861,0.033,0.023,0.001
"P38","Al candidato del Frente de Izquierda",0.005,0.021,0.004,0.884,0.04,0.015
"P38","En blanco",0.019,0.034,0.002,0.014,0.701,0.041
"P38","No sabe",0.032,0.055,0.004,0.023,0.013,0.759
"P40","Lo votaría",0.836,0.058,0.05,0.511,0.629,0.58
"P40","Puede que lo vote",0.061,0.076,0.097,0.068,0.024,0.02
"P40","Nunca lo votaría",0.091,0.852,0.845,0.306,0.3,0.288
"P40","No sabe",0.012,0.014,0.008,0.115,0.047,0.112
"P41","La votaría",0.543,0.025,0.013,0.038,0.102,0.092
"P41","Puede que la vote",0.397,0.063,0.054,0.227,0.114,0.207
"P41","Nunca la votaría",0.03,0.893,0.911,0.607,0.715,0.451
"P41","No sabe",0.03,0.019,0.022,0.128,0.069,0.25
"P42","Lo votaría",0.064,0.584,0.2,0.014,0.152,0.121
"P42","Puede que lo vote",0.098,0.202,0.293,0.03,0.058,0.057
"P42","Nunca lo votaría",0.768,0.168,0.428,0.92,0.768,0.615
"P42","No sabe",0.07,0.046,0.079,0.036,0.022,0.207
"P43","Lo votaría",0.032,0.714,0.067,0.011,0.014,0.034
"P43","Puede que lo vote",0.068,0.23,0.351,0.012,0.149,0.166
"P43","Nunca lo votaría",0.858,0.032,0.536,0.949,0.796,0.657
"P43","No sabe",0.042,0.024,0.046,0.028,0.041,0.143
"P44","Lo votaría",0.015,0.143,0.583,0,0.015,0.005
"P44","Puede que lo vote",0.046,0.252,0.254,0.033,0.052,0.046
"P44","Nunca lo votaría",0.88,0.507,0.156,0.921,0.883,0.741
"P44","No sabe",0.059,0.098,0.007,0.046,0.05,0.208
"P45","Muy buena",0.675,0.036,0.106,0.444,0.497,0.484
"P45","Buena",0.141,0.04,0.049,0.083,0.07,0.051
"P45","Ni buena ni mala",0.14,0.117,0.052,0.227,0.149,0.171
"P45","Mala",0.02,0.124,0.116,0.061,0.065,0.079
"P45","Muy mala",0.019,0.68,0.67,0.174,0.197,0.173
"P45","No sabe",0.005,0.003,0.007,0.011,0.022,0.042
"P46","Muy buena",0.319,0.005,0.012,0.034,0.115,0.045
"P46","Buena",0.393,0.026,0.03,0.078,0.032,0.118
"P46","Ni buena ni mala",0.226,0.125,0.053,0.42,0.266,0.355
"P46","Mala",0.046,0.197,0.175,0.187,0.22,0.149
"P46","Muy mala",0.011,0.635,0.695,0.273,0.32,0.196
"P46","No sabe",0.005,0.012,0.035,0.008,0.047,0.137
"P47","Muy buena",0.035,0.299,0.103,0.004,0.106,0.058
"P47","Buena",0.079,0.314,0.203,0.004,0.074,0.087
"P47","Ni buena ni mala",0.255,0.194,0.282,0.198,0.196,0.214
"P47","Mala",0.3,0.043,0.062,0.248,0.158,0.187
"P47","Muy mala",0.27,0.1,0.247,0.516,0.396,0.221
"P47","No sabe",0.061,0.05,0.103,0.03,0.07,0.233
"P48","Muy buena",0.021,0.439,0.074,0.004,0.017,0.03
"P48","Buena",0.048,0.387,0.211,0.009,0.101,0.099
"P48","Ni buena ni mala",0.205,0.148,0.292,0.155,0.203,0.248
"P48","Mala",0.345,0.012,0.144,0.21,0.282,0.192
"P48","Muy mala",0.351,0.005,0.242,0.61,0.343,0.274
"P48","No sabe",0.03,0.009,0.037,0.012,0.054,0.157
"P49","Muy buena",0.016,0.083,0.29,0.004,0.013,0.015
"P49","Buena",0.036,0.125,0.347,0.005,0.012,0.019
"P49","Ni buena ni mala",0.214,0.424,0.248,0.116,0.249,0.186
"P49","Mala",0.231,0.076,0.024,0.205,0.184,0.183
"P49","Muy mala",0.402,0.111,0.059,0.6,0.432,0.26
"P49","No sabe",0.101,0.181,0.032,0.07,0.11,0.337
"P50","Siempre",0.328,0.388,0.346,0.247,0.321,0.273
"P50","Casi siempre",0.455,0.373,0.362,0.452,0.377,0.38
"P50","Casi nunca",0.143,0.194,0.242,0.157,0.166,0.213
"P50","Nunca, pero esta es una excepción",0.074,0.045,0.05,0.144,0.136,0.134
"P51","Si",0.608,0.548,0.558,0.513,0.481,0.465
"P51","No",0.392,0.452,0.442,0.487,0.519,0.535
