"var","categoria","Unión por la Patria y el peronismo","Juntos por el Cambio ","De los Liberales libertarios","De la Izquierda","No sabe"
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.664,0.058,0.04,0.124,0.166
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.054,0.603,0.097,0.123,0.116
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.041,0.224,0.037,0.011,0.084
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.039,0.064,0.755,0.075,0.108
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.038,0.017,0.034,0.481,0.047
"P21","En blanco",0.042,0.012,0.015,0.106,0.119
"P21","No sabe",0.122,0.022,0.022,0.08,0.36
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.601,0.113,0.031,0.143,0.113
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.054,0.425,0.274,0.063,0.114
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.212,0.188,0.041,0.046,0.085
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.036,0.243,0.597,0.061,0.132
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.003,0.017,0.526,0.047
"P24","En blanco",0.017,0.007,0.02,0.104,0.132
"P24","No sabe",0.066,0.021,0.02,0.057,0.377
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.602,0.111,0.028,0.097,0.128
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.035,0.439,0.261,0.057,0.122
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.198,0.182,0.027,0.059,0.112
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.03,0.237,0.641,0.08,0.12
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.021,0.006,0.007,0.563,0.05
"P25","En blanco",0.027,0.007,0.018,0.07,0.116
"P25","No sabe",0.087,0.018,0.018,0.074,0.352
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.747,0.055,0.025,0.116,0.198
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.048,0.785,0.091,0.077,0.164
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.009,0.047,0.834,0.095,0.139
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.04,0.009,0.016,0.632,0.02
"P26","En blanco",0.056,0.027,0.008,0.048,0.124
"P26","No sabe",0.1,0.077,0.026,0.032,0.355
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.755,0.045,0.021,0.082,0.206
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.041,0.608,0.052,0.063,0.15
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.024,0.112,0.862,0.082,0.132
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.046,0.007,0.011,0.637,0.021
"P27","En blanco",0.049,0.058,0.014,0.097,0.162
"P27","No sabe",0.085,0.17,0.04,0.039,0.329
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.834,0.049,0.025,0.061,0.177
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.042,0.798,0.096,0.087,0.15
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.013,0.047,0.82,0.141,0.161
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.005,0.017,0.616,0.02
"P28","En blanco",0.022,0.036,0.019,0.055,0.185
"P28","No sabe",0.066,0.065,0.023,0.04,0.307
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.837,0.043,0.025,0.148,0.186
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.048,0.618,0.038,0.047,0.184
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.013,0.132,0.879,0.079,0.137
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.009,0.009,0.566,0.005
"P29","En blanco",0.022,0.061,0.013,0.082,0.171
"P29","No sabe",0.06,0.137,0.036,0.078,0.317
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.819,0.05,0.027,0.105,0.198
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.045,0.79,0.087,0.073,0.176
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.011,0.053,0.829,0.089,0.153
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.01,0.001,0.583,0.022
"P30","En blanco",0.035,0.033,0.012,0.087,0.159
"P30","No sabe",0.067,0.064,0.044,0.063,0.292
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.81,0.049,0.026,0.084,0.166
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.035,0.634,0.039,0.067,0.142
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.01,0.142,0.875,0.096,0.192
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.034,0.004,0.005,0.643,0.011
"P31","En blanco",0.04,0.066,0.008,0.069,0.184
"P31","No sabe",0.071,0.105,0.047,0.041,0.305
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.541,0.055,0.03,0.078,0.118
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.039,0.784,0.085,0.108,0.146
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.012,0.049,0.851,0.052,0.182
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.075,0.007,0.008,0.685,0.062
"P32","En blanco",0.131,0.043,0.004,0.019,0.177
"P32","No sabe",0.202,0.062,0.022,0.058,0.315
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.534,0.049,0.023,0.066,0.133
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.039,0.644,0.025,0.142,0.156
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.014,0.144,0.91,0.054,0.164
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.07,0.005,0.003,0.682,0.046
"P33","En blanco",0.147,0.055,0.011,0.025,0.185
"P33","No sabe",0.196,0.103,0.028,0.031,0.316
"P34","Axel Kicillof por Unión por la Patria",0.897,0.051,0.03,0.119,0.263
"P34","Nestor Grindetti por Juntos por el Cambio",0.048,0.8,0.118,0.07,0.103
"P34","Guillermo Britos por la Libertad Avanza",0.007,0.037,0.734,0.061,0.122
"P34","Al candidato del Frente de Izquierda",0.009,0.01,0.001,0.657,0.022
"P34","En blanco",0.008,0.032,0.042,0.039,0.188
"P34","No sabe",0.031,0.07,0.075,0.054,0.302
"P35","Axel Kicillof por Unión por la Patria",0.894,0.049,0.041,0.11,0.259
"P35","Diego Santilli por Juntos por el Cambio",0.049,0.74,0.124,0.073,0.183
"P35","Guillermo Britos por la Libertad Avanza",0.009,0.082,0.742,0.065,0.136
"P35","Al candidato del Frente de Izquierda",0.005,0.008,0.001,0.696,0.03
"P35","En blanco",0.014,0.046,0.038,0.044,0.185
"P35","No sabe",0.029,0.075,0.054,0.012,0.207
"P36","Sergio Massa por Unión por la Patria",0.747,0.049,0.035,0.046,0.223
"P36","Nestor Grindetti por Juntos por el Cambio",0.043,0.798,0.125,0.091,0.144
"P36","Guillermo Britos por la Libertad Avanza",0.008,0.05,0.783,0.071,0.136
"P36","Al candidato del Frente de Izquierda",0.042,0.007,0.003,0.739,0.02
"P36","En blanco",0.051,0.033,0.026,0.015,0.203
"P36","No sabe",0.109,0.063,0.028,0.038,0.274
"P37","Sergio Massa por Unión por la Patria",0.744,0.042,0.035,0.057,0.176
"P37","Diego Santilli por Juntos por el Cambio",0.031,0.755,0.103,0.072,0.18
"P37","Guillermo Britos por la Libertad Avanza",0.008,0.08,0.785,0.077,0.174
"P37","Al candidato del Frente de Izquierda",0.046,0.009,0.002,0.742,0.044
"P37","En blanco",0.07,0.042,0.021,0.019,0.185
"P37","No sabe",0.101,0.072,0.054,0.033,0.241
"P38","Victoria Tolosa Paz por Unión por la Patria",0.552,0.041,0.035,0.062,0.147
"P38","Nestor Grindetti por Juntos por el Cambio",0.041,0.81,0.087,0.049,0.135
"P38","Guillermo Britos por la Libertad Avanza",0.015,0.037,0.796,0.081,0.179
"P38","Al candidato del Frente de Izquierda",0.07,0.017,0.015,0.745,0.069
"P38","En blanco",0.161,0.036,0.017,0.034,0.159
"P38","No sabe",0.161,0.059,0.05,0.029,0.311
"P39","Victoria Tolosa Paz por Unión por la Patria",0.553,0.042,0.026,0.036,0.17
"P39","Diego Santilli por Juntos por el Cambio",0.043,0.759,0.124,0.046,0.164
"P39","Guillermo Britos por la Libertad Avanza",0.012,0.077,0.774,0.109,0.139
"P39","Al candidato del Frente de Izquierda",0.068,0.005,0.004,0.77,0.051
"P39","En blanco",0.165,0.049,0.031,0.031,0.165
"P39","No sabe",0.159,0.068,0.041,0.008,0.311
"P40","Lo votaría",0.847,0.083,0.057,0.119,0.269
"P40","Puede que lo vote",0.049,0.059,0.083,0.135,0.096
"P40","Nunca lo votaría",0.08,0.848,0.842,0.633,0.454
"P40","No sabe",0.024,0.01,0.018,0.113,0.181
"P41","La votaría",0.362,0.038,0.026,0.04,0.105
"P41","Puede que la vote",0.326,0.073,0.043,0.145,0.158
"P41","Nunca la votaría",0.222,0.881,0.905,0.75,0.527
"P41","No sabe",0.09,0.008,0.026,0.065,0.21
"P42","Lo votaría",0.072,0.595,0.155,0.037,0.059
"P42","Puede que lo vote",0.06,0.191,0.303,0.035,0.158
"P42","Nunca lo votaría",0.796,0.17,0.453,0.846,0.614
"P42","No sabe",0.072,0.044,0.089,0.082,0.169
"P43","Lo votaría",0.047,0.569,0.144,0.062,0.124
"P43","Puede que lo vote",0.043,0.283,0.309,0.057,0.226
"P43","Nunca lo votaría",0.867,0.112,0.504,0.824,0.52
"P43","No sabe",0.043,0.036,0.043,0.057,0.13
"P44","Lo votaría",0.025,0.122,0.563,0.062,0.048
"P44","Puede que lo vote",0.031,0.256,0.21,0.039,0.136
"P44","Nunca lo votaría",0.897,0.528,0.176,0.814,0.601
"P44","No sabe",0.047,0.094,0.051,0.085,0.215
"P45","Muy buena",0.72,0.048,0.11,0.091,0.118
"P45","Buena",0.096,0.052,0.044,0.116,0.104
"P45","Ni buena ni mala",0.13,0.109,0.063,0.265,0.28
"P45","Mala",0.012,0.131,0.135,0.127,0.091
"P45","Muy mala",0.038,0.658,0.646,0.393,0.298
"P45","No sabe",0.004,0.002,0.002,0.008,0.109
"P46","Muy buena",0.238,0.008,0.016,0.007,0.044
"P46","Buena",0.249,0.054,0.027,0.139,0.107
"P46","Ni buena ni mala",0.302,0.118,0.062,0.191,0.283
"P46","Mala",0.12,0.188,0.188,0.134,0.085
"P46","Muy mala",0.076,0.624,0.663,0.505,0.28
"P46","No sabe",0.015,0.008,0.044,0.024,0.201
"P47","Muy buena",0.042,0.297,0.082,0.014,0.065
"P47","Buena",0.063,0.316,0.184,0.038,0.071
"P47","Ni buena ni mala",0.199,0.18,0.318,0.223,0.384
"P47","Mala",0.278,0.051,0.076,0.121,0.101
"P47","Muy mala",0.34,0.109,0.23,0.53,0.148
"P47","No sabe",0.078,0.047,0.11,0.074,0.231
"P48","Muy buena",0.029,0.357,0.122,0.003,0.075
"P48","Buena",0.045,0.375,0.183,0.101,0.146
"P48","Ni buena ni mala",0.165,0.183,0.266,0.201,0.371
"P48","Mala",0.32,0.046,0.15,0.082,0.117
"P48","Muy mala",0.396,0.03,0.231,0.581,0.137
"P48","No sabe",0.045,0.009,0.048,0.032,0.154
"P49","Muy buena",0.015,0.066,0.298,0.043,0.048
"P49","Buena",0.025,0.126,0.313,0.012,0.08
"P49","Ni buena ni mala",0.172,0.427,0.229,0.16,0.331
"P49","Mala",0.229,0.089,0.043,0.125,0.071
"P49","Muy mala",0.444,0.124,0.049,0.594,0.139
"P49","No sabe",0.115,0.168,0.068,0.066,0.331
"P50","Siempre",0.323,0.372,0.338,0.257,0.296
"P50","Casi siempre",0.429,0.392,0.333,0.431,0.379
"P50","Casi nunca",0.151,0.196,0.261,0.146,0.189
"P50","Nunca, pero esta es una excepción",0.097,0.04,0.068,0.166,0.136
"P51","Si",0.576,0.55,0.541,0.494,0.417
"P51","No",0.424,0.45,0.459,0.506,0.583
