"var","categoria","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.025,0.174,0.524,0.768,0.066,0.04,0.028,0.071
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.025,0.167,0.16,0.048,0.839,0.057,0.055,0.048
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.04,0.059,0.013,0.008,0.015,0.667,0,0.008
"P27","En blanco",0.047,0.102,0.072,0.014,0.008,0.02,0.491,0.09
"P27","No sabe",0.083,0.117,0.203,0.059,0.026,0.085,0.13,0.483
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.885,0.453,0.019,0.098,0.068,0.181,0.126,0.124
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.03,0.21,0.905,0.533,0.077,0.02,0.038,0.081
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.135,0.041,0.074,0.823,0.084,0.061,0.048
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.028,0.011,0.02,0.01,0.591,0,0.024
"P28","En blanco",0.011,0.094,0.003,0.094,0.011,0.042,0.606,0.121
"P28","No sabe",0.031,0.08,0.021,0.181,0.011,0.082,0.169,0.602
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.901,0.417,0.025,0.075,0.056,0.256,0.124,0.174
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.032,0.184,0.542,0.769,0.058,0.027,0.049,0.077
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.017,0.186,0.178,0.04,0.837,0.06,0.075,0.043
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.024,0.015,0.019,0.01,0.539,0,0.02
"P29","En blanco",0.009,0.091,0.069,0.036,0.012,0.009,0.625,0.111
"P29","No sabe",0.028,0.098,0.171,0.061,0.027,0.109,0.127,0.575
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.841,0.488,0.021,0.117,0.06,0.184,0.241,0.307
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.024,0.141,0.898,0.544,0.09,0.034,0.025,0.077
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.015,0.146,0.058,0.067,0.808,0.054,0.083,0.044
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.049,0.002,0.024,0.001,0.579,0,0.023
"P30","En blanco",0.032,0.082,0.003,0.102,0.008,0.037,0.466,0.107
"P30","No sabe",0.065,0.094,0.018,0.146,0.033,0.112,0.185,0.442
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.834,0.46,0.023,0.101,0.055,0.136,0.234,0.306
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.031,0.181,0.539,0.812,0.051,0,0.04,0.054
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.02,0.116,0.204,0.038,0.845,0.098,0.084,0.051
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.025,0.039,0.003,0.005,0.019,0.65,0,0.013
"P31","En blanco",0.031,0.108,0.097,0.003,0.007,0.019,0.529,0.085
"P31","No sabe",0.059,0.096,0.134,0.041,0.023,0.097,0.113,0.491
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.532,0.572,0.024,0.093,0.059,0.056,0.102,0.123
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.037,0.135,0.881,0.562,0.074,0.005,0.017,0.063
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.023,0.124,0.042,0.055,0.834,0.08,0.096,0.042
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.083,0.038,0.002,0.015,0.003,0.767,0.088,0.027
"P32","En blanco",0.136,0.037,0.027,0.091,0.007,0.013,0.575,0.147
"P32","No sabe",0.189,0.094,0.024,0.184,0.023,0.079,0.122,0.598
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.528,0.572,0.025,0.049,0.065,0.048,0.061,0.128
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.031,0.158,0.557,0.84,0.061,0.01,0.033,0.066
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.015,0.121,0.21,0.031,0.845,0.1,0.097,0.046
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.08,0.03,0.004,0.002,0.002,0.743,0.036,0.034
"P33","En blanco",0.155,0.02,0.085,0.013,0.008,0.014,0.618,0.139
"P33","No sabe",0.191,0.099,0.119,0.065,0.019,0.085,0.155,0.587
"P34","Axel Kicillof por Unión por la Patria",0.926,0.469,0.027,0.132,0.071,0.226,0.309,0.415
"P34","Nestor Grindetti por Juntos por el Cambio",0.029,0.239,0.864,0.593,0.101,0.006,0.032,0.033
"P34","Guillermo Britos por la Libertad Avanza",0.013,0.08,0.048,0.049,0.702,0.018,0.12,0.039
"P34","Al candidato del Frente de Izquierda",0.01,0.012,0.005,0.026,0.001,0.63,0,0.02
"P34","En blanco",0.002,0.134,0.01,0.06,0.049,0.039,0.398,0.08
"P34","No sabe",0.02,0.066,0.046,0.14,0.076,0.081,0.141,0.413
"P35","Axel Kicillof por Unión por la Patria",0.932,0.472,0.025,0.12,0.08,0.232,0.319,0.372
"P35","Diego Santilli por Juntos por el Cambio",0.028,0.268,0.711,0.785,0.11,0.006,0.073,0.133
"P35","Guillermo Britos por la Libertad Avanza",0.016,0.065,0.117,0.031,0.708,0.019,0.122,0.046
"P35","Al candidato del Frente de Izquierda",0.007,0.018,0.002,0.023,0,0.66,0,0.02
"P35","En blanco",0.003,0.099,0.071,0,0.038,0.07,0.353,0.088
"P35","No sabe",0.014,0.078,0.074,0.041,0.064,0.013,0.133,0.341
"P36","Sergio Massa por Unión por la Patria",0.777,0.453,0.027,0.112,0.072,0.127,0.226,0.287
"P36","Nestor Grindetti por Juntos por el Cambio",0.029,0.189,0.845,0.622,0.121,0.006,0.134,0.086
"P36","Guillermo Britos por la Libertad Avanza",0.014,0.083,0.068,0.041,0.735,0.067,0.109,0.066
"P36","Al candidato del Frente de Izquierda",0.04,0.054,0.001,0.019,0,0.734,0.022,0.019
"P36","En blanco",0.05,0.113,0.021,0.082,0.024,0.04,0.366,0.093
"P36","No sabe",0.09,0.108,0.038,0.124,0.048,0.026,0.143,0.449
"P37","Sergio Massa por Unión por la Patria",0.75,0.436,0.028,0.111,0.085,0.151,0.145,0.29
"P37","Diego Santilli por Juntos por el Cambio",0.03,0.216,0.715,0.769,0.115,0.006,0.038,0.098
"P37","Guillermo Britos por la Libertad Avanza",0.019,0.12,0.124,0.024,0.727,0.018,0.114,0.058
"P37","Al candidato del Frente de Izquierda",0.044,0.047,0.001,0.015,0.006,0.741,0.173,0.02
"P37","En blanco",0.073,0.08,0.06,0.007,0.025,0.011,0.386,0.101
"P37","No sabe",0.084,0.101,0.072,0.074,0.042,0.073,0.144,0.433
"P38","Victoria Tolosa Paz por Unión por la Patria",0.546,0.524,0.025,0.097,0.069,0.185,0.073,0.081
"P38","Nestor Grindetti por Juntos por el Cambio",0.037,0.124,0.869,0.575,0.097,0.018,0.039,0.079
"P38","Guillermo Britos por la Libertad Avanza",0.015,0.14,0.06,0.055,0.755,0.018,0.114,0.066
"P38","Al candidato del Frente de Izquierda",0.083,0.054,0.002,0.025,0.012,0.735,0.151,0.037
"P38","En blanco",0.159,0.071,0.014,0.094,0.02,0.011,0.477,0.228
"P38","No sabe",0.16,0.087,0.03,0.154,0.047,0.033,0.146,0.509
"P39","Victoria Tolosa Paz por Unión por la Patria",0.547,0.556,0.022,0.07,0.08,0.084,0.073,0.133
"P39","Diego Santilli por Juntos por el Cambio",0.036,0.198,0.716,0.787,0.114,0.098,0.068,0.102
"P39","Guillermo Britos por la Libertad Avanza",0.018,0.095,0.119,0.036,0.729,0.029,0.116,0.058
"P39","Al candidato del Frente de Izquierda",0.082,0.041,0.001,0.005,0.005,0.687,0.041,0.04
"P39","En blanco",0.16,0.043,0.075,0.024,0.03,0.069,0.545,0.152
"P39","No sabe",0.157,0.067,0.067,0.078,0.042,0.033,0.157,0.515
"P40","Lo votaría",0.89,0.397,0.054,0.17,0.092,0.254,0.274,0.372
"P40","Puede que lo vote",0.048,0.138,0.035,0.075,0.086,0.154,0.157,0.055
"P40","Nunca lo votaría",0.039,0.429,0.899,0.739,0.805,0.541,0.494,0.302
"P40","No sabe",0.023,0.036,0.012,0.016,0.017,0.051,0.075,0.271
"P41","La votaría",0.334,0.404,0.024,0.1,0.06,0.124,0.074,0.067
"P41","Puede que la vote",0.359,0.261,0.036,0.108,0.057,0.107,0.118,0.161
"P41","Nunca la votaría",0.222,0.299,0.929,0.765,0.85,0.718,0.707,0.442
"P41","No sabe",0.085,0.036,0.011,0.027,0.033,0.051,0.101,0.33
"P42","Lo votaría",0.05,0.148,0.705,0.273,0.154,0.053,0.009,0.046
"P42","Puede que lo vote",0.052,0.165,0.146,0.345,0.262,0.026,0.281,0.126
"P42","Nunca lo votaría",0.843,0.576,0.121,0.317,0.495,0.799,0.685,0.483
"P42","No sabe",0.055,0.111,0.028,0.065,0.089,0.122,0.025,0.345
"P43","Lo votaría",0.026,0.137,0.548,0.621,0.157,0.046,0.039,0.06
"P43","Puede que lo vote",0.045,0.217,0.294,0.244,0.249,0.085,0.31,0.173
"P43","Nunca lo votaría",0.902,0.589,0.121,0.108,0.546,0.837,0.561,0.487
"P43","No sabe",0.027,0.057,0.037,0.027,0.048,0.032,0.09,0.28
"P44","Lo votaría",0.015,0.083,0.135,0.119,0.543,0.046,0.023,0.042
"P44","Puede que lo vote",0.045,0.131,0.291,0.151,0.172,0.01,0.252,0.021
"P44","Nunca lo votaría",0.914,0.671,0.49,0.596,0.231,0.889,0.706,0.575
"P44","No sabe",0.026,0.115,0.084,0.134,0.054,0.055,0.019,0.362
"P45","Muy buena",0.779,0.246,0.041,0.053,0.125,0.186,0.192,0.217
"P45","Buena",0.105,0.194,0.026,0.069,0.034,0.105,0.142,0.063
"P45","Ni buena ni mala",0.085,0.253,0.073,0.241,0.091,0.301,0.265,0.293
"P45","Mala",0.01,0.068,0.126,0.112,0.14,0.075,0.178,0.072
"P45","Muy mala",0.021,0.219,0.731,0.521,0.602,0.333,0.223,0.194
"P45","No sabe",0,0.02,0.003,0.004,0.008,0,0,0.161
"P46","Muy buena",0.212,0.238,0.008,0.016,0.048,0.064,0.042,0.065
"P46","Buena",0.266,0.207,0.028,0.08,0.048,0.139,0.154,0.049
"P46","Ni buena ni mala",0.313,0.254,0.074,0.236,0.042,0.269,0.276,0.337
"P46","Mala",0.123,0.063,0.191,0.172,0.19,0.118,0.207,0.08
"P46","Muy mala",0.077,0.206,0.693,0.462,0.629,0.395,0.211,0.188
"P46","No sabe",0.009,0.032,0.006,0.034,0.043,0.015,0.11,0.281
"P47","Muy buena",0.028,0.069,0.358,0.118,0.099,0.061,0.033,0.021
"P47","Buena",0.042,0.176,0.355,0.229,0.175,0.005,0.143,0.012
"P47","Ni buena ni mala",0.198,0.301,0.153,0.322,0.28,0.186,0.452,0.314
"P47","Mala",0.297,0.186,0.024,0.093,0.076,0.225,0.123,0.084
"P47","Muy mala",0.376,0.183,0.083,0.122,0.247,0.485,0.162,0.166
"P47","No sabe",0.059,0.085,0.027,0.116,0.123,0.038,0.087,0.403
"P48","Muy buena",0.021,0.084,0.306,0.435,0.145,0.068,0.023,0.011
"P48","Buena",0.042,0.215,0.405,0.262,0.167,0.022,0.195,0.063
"P48","Ni buena ni mala",0.131,0.346,0.201,0.218,0.265,0.157,0.24,0.344
"P48","Mala",0.33,0.16,0.039,0.067,0.138,0.196,0.395,0.12
"P48","Muy mala",0.437,0.166,0.042,0.015,0.23,0.534,0.021,0.183
"P48","No sabe",0.039,0.029,0.007,0.003,0.055,0.023,0.126,0.279
"P49","Muy buena",0.01,0.11,0.069,0.042,0.3,0.037,0,0
"P49","Buena",0.029,0.063,0.138,0.096,0.281,0.076,0.154,0.027
"P49","Ni buena ni mala",0.159,0.353,0.412,0.428,0.244,0.092,0.322,0.248
"P49","Mala",0.225,0.158,0.109,0.081,0.029,0.183,0.175,0.068
"P49","Muy mala",0.47,0.218,0.119,0.116,0.082,0.551,0.086,0.203
"P49","No sabe",0.107,0.098,0.153,0.237,0.064,0.061,0.263,0.454
"P50","Siempre",0.339,0.278,0.396,0.365,0.307,0.254,0.16,0.264
"P50","Casi siempre",0.429,0.443,0.365,0.371,0.375,0.346,0.606,0.382
"P50","Casi nunca",0.148,0.186,0.193,0.214,0.261,0.157,0.096,0.162
"P50","Nunca, pero esta es una excepción",0.084,0.093,0.046,0.05,0.057,0.243,0.138,0.192
"P51","Si",0.565,0.669,0.557,0.494,0.551,0.516,0.219,0.425
"P51","No",0.435,0.331,0.443,0.506,0.449,0.484,0.781,0.575
