"var","categoria","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P42","Lo votaría",0.049,0.668,0.131,0.038,0.05,0.059
"P42","Puede que lo vote",0.056,0.193,0.292,0.029,0.176,0.125
"P42","Nunca lo votaría",0.836,0.111,0.484,0.873,0.727,0.552
"P42","No sabe",0.059,0.028,0.093,0.06,0.047,0.264
"P43","Lo votaría",0.014,0.583,0.143,0.135,0.174,0.199
"P43","Puede que lo vote",0.056,0.286,0.322,0.013,0.171,0.096
"P43","Nunca lo votaría",0.886,0.094,0.492,0.83,0.612,0.58
"P43","No sabe",0.044,0.037,0.043,0.022,0.043,0.125
"P44","Lo votaría",0.008,0.129,0.574,0.042,0.047,0.012
"P44","Puede que lo vote",0.045,0.275,0.2,0.027,0.082,0.032
"P44","Nunca lo votaría",0.907,0.497,0.197,0.845,0.792,0.725
"P44","No sabe",0.04,0.099,0.029,0.086,0.079,0.231
"P45","Muy buena",0.719,0.035,0.105,0.299,0.362,0.357
"P45","Buena",0.115,0.037,0.051,0.11,0.075,0.073
"P45","Ni buena ni mala",0.157,0.095,0.062,0.241,0.157,0.187
"P45","Mala",0.004,0.123,0.138,0.064,0.147,0.095
"P45","Muy mala",0.005,0.705,0.637,0.286,0.213,0.22
"P45","No sabe",0,0.005,0.007,0,0.046,0.068
"P46","Muy buena",0.229,0.018,0.017,0.113,0.084,0.098
"P46","Buena",0.281,0.022,0.048,0.146,0.118,0.135
"P46","Ni buena ni mala",0.314,0.092,0.065,0.212,0.303,0.319
"P46","Mala",0.109,0.189,0.167,0.14,0.212,0.13
"P46","Muy mala",0.043,0.659,0.671,0.382,0.237,0.209
"P46","No sabe",0.024,0.02,0.032,0.007,0.046,0.109
"P47","Muy buena",0.024,0.335,0.082,0.06,0.016,0.041
"P47","Buena",0.038,0.352,0.173,0.055,0.111,0.078
"P47","Ni buena ni mala",0.242,0.174,0.296,0.132,0.33,0.216
"P47","Mala",0.301,0.03,0.057,0.18,0.12,0.199
"P47","Muy mala",0.327,0.075,0.266,0.552,0.345,0.196
"P47","No sabe",0.068,0.034,0.126,0.021,0.078,0.27
"P48","Muy buena",0.009,0.35,0.136,0.05,0.11,0.151
"P48","Buena",0.03,0.402,0.208,0.047,0.122,0.083
"P48","Ni buena ni mala",0.188,0.188,0.265,0.181,0.272,0.181
"P48","Mala",0.349,0.032,0.114,0.116,0.186,0.2
"P48","Muy mala",0.377,0.017,0.233,0.59,0.262,0.255
"P48","No sabe",0.047,0.011,0.044,0.016,0.048,0.13
"P49","Muy buena",0.014,0.08,0.289,0.007,0.01,0.009
"P49","Buena",0.026,0.124,0.324,0.021,0.027,0.039
"P49","Ni buena ni mala",0.175,0.425,0.238,0.122,0.378,0.26
"P49","Mala",0.225,0.095,0.029,0.095,0.135,0.182
"P49","Muy mala",0.434,0.104,0.062,0.667,0.342,0.232
"P49","No sabe",0.126,0.172,0.058,0.088,0.108,0.278
"P50","Siempre",0.332,0.375,0.333,0.372,0.238,0.268
"P50","Casi siempre",0.435,0.36,0.359,0.37,0.503,0.427
"P50","Casi nunca",0.146,0.204,0.254,0.142,0.18,0.172
"P50","Nunca, pero esta es una excepción",0.087,0.061,0.054,0.116,0.079,0.133
"P51","Si",0.57,0.534,0.561,0.53,0.468,0.518
"P51","No",0.43,0.466,0.439,0.47,0.532,0.482
