"var","categoria","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P12","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.006,0.043,0.004,0.037,0.06,0.553,0.019,0.006
"P12","En blanco",0.001,0.001,0.07,0.001,0.002,0.008,0.237,0.444,0.07
"P12","No sabe",0.035,0.006,0.192,0.018,0.031,0.022,0.035,0.291,0.673
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.807,0.534,0.158,0.029,0.042,0.029,0.027,0.014,0.103
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.061,0.115,0.597,0.016,0.034,0.019,0.054,0.063,0.022
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.053,0.011,0.108,0.835,0.099,0.064,0.029,0.028,0.032
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.028,0.039,0.019,0.049,0.719,0.024,0,0.007,0.05
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.027,0.037,0.038,0.048,0.048,0.823,0.045,0.083,0.071
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.004,0.054,0.034,0.002,0.01,0.016,0.674,0.044,0.023
"P15","En blanco",0.004,0.045,0.007,0.002,0.011,0.006,0.12,0.569,0.072
"P15","No sabe",0.016,0.165,0.039,0.019,0.037,0.019,0.051,0.192,0.627
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.586,0.864,0.12,0.031,0.058,0.033,0.077,0.041,0.098
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.133,0.027,0.569,0.018,0.04,0.052,0.023,0.032,0.031
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.035,0.018,0.088,0.826,0.091,0.052,0.043,0.034,0.062
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.05,0.024,0.046,0.052,0.729,0.02,0.025,0.007,0.036
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.044,0.016,0.085,0.046,0.028,0.807,0.026,0.015,0.076
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.02,0.013,0.001,0.011,0.016,0.74,0.049,0.02
"P18","En blanco",0.027,0.009,0.013,0.002,0.015,0.002,0.051,0.603,0.069
"P18","No sabe",0.102,0.022,0.066,0.024,0.028,0.018,0.015,0.219,0.608
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.814,0.636,0.32,0.031,0.058,0.052,0.088,0.058,0.102
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.038,0.028,0.131,0.832,0.115,0.066,0.014,0.019,0.069
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.027,0.039,0.098,0.05,0.72,0.035,0.01,0.013,0.058
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.052,0.042,0.087,0.056,0.039,0.771,0.014,0.035,0.09
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.055,0.088,0.005,0.045,0.041,0.608,0.12,0.019
"P21","En blanco",0.019,0.05,0.116,0.005,0.013,0.015,0.141,0.456,0.056
"P21","No sabe",0.04,0.15,0.16,0.021,0.01,0.02,0.125,0.299,0.606
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.512,0.663,0.335,0.043,0.269,0.039,0.012,0.044,0.078
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.048,0.026,0.115,0.565,0.098,0.266,0.013,0.06,0.096
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.207,0.231,0.078,0.06,0.542,0.026,0.123,0.008,0.046
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.041,0.021,0.132,0.307,0.075,0.617,0.029,0.007,0.091
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.017,0.075,0.003,0.006,0.02,0.675,0.079,0.023
"P24","En blanco",0.037,0.013,0.094,0.003,0.002,0.016,0.096,0.518,0.046
"P24","No sabe",0.132,0.029,0.171,0.019,0.008,0.016,0.052,0.284,0.62
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.533,0.647,0.382,0.041,0.26,0.036,0.019,0.063,0.083
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.055,0.013,0.066,0.599,0.054,0.241,0.011,0.031,0.098
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.234,0.194,0.118,0.036,0.585,0.028,0.075,0.006,0.056
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.03,0.021,0.104,0.308,0.051,0.662,0.008,0.014,0.08
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.029,0.052,0.002,0.018,0.007,0.743,0.057,0.042
"P25","En blanco",0.027,0.025,0.098,0.006,0.004,0.01,0.051,0.569,0.035
"P25","No sabe",0.099,0.071,0.18,0.008,0.028,0.016,0.093,0.26,0.606
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.881,0.74,0.444,0.018,0.058,0.029,0.03,0.142,0.081
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.029,0.009,0.153,0.938,0.487,0.061,0.03,0.029,0.089
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.006,0.009,0.082,0.024,0.085,0.874,0.077,0.036,0.137
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.046,0.106,0.003,0.044,0.005,0.807,0.005,0.034
"P26","En blanco",0.013,0.069,0.105,0.005,0.081,0.004,0.036,0.54,0.074
"P26","No sabe",0.048,0.127,0.11,0.012,0.245,0.027,0.02,0.248,0.585
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.879,0.768,0.421,0.02,0.035,0.02,0.003,0.004,0.078
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.034,0.008,0.129,0.552,0.84,0.036,0.015,0.08,0.115
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.007,0.01,0.106,0.14,0.032,0.893,0.122,0.045,0.126
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.028,0.058,0.102,0.004,0.014,0.008,0.796,0.005,0.034
"P27","En blanco",0.009,0.056,0.138,0.073,0.012,0.012,0.048,0.682,0.097
"P27","No sabe",0.043,0.1,0.104,0.211,0.067,0.031,0.016,0.184,0.55
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.745,0.938,0.4,0.013,0.055,0.033,0.008,0.026,0.076
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.03,0.007,0.175,0.919,0.56,0.059,0.083,0.029,0.104
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.018,0.004,0.09,0.029,0.065,0.859,0.141,0.1,0.151
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.027,0.076,0.003,0.019,0.016,0.73,0.005,0.039
"P28","En blanco",0.049,0.012,0.148,0.004,0.119,0.013,0.022,0.637,0.056
"P28","No sabe",0.138,0.012,0.111,0.032,0.182,0.02,0.016,0.203,0.574
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.751,0.954,0.388,0.019,0.018,0.025,0.072,0.031,0.093
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.047,0.011,0.171,0.561,0.852,0.033,0.027,0.009,0.136
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.024,0.004,0.126,0.157,0.027,0.889,0.1,0.128,0.103
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.017,0.072,0.009,0.012,0.017,0.694,0.006,0.019
"P29","En blanco",0.043,0.005,0.11,0.073,0.027,0.008,0.052,0.654,0.115
"P29","No sabe",0.125,0.009,0.133,0.181,0.064,0.028,0.055,0.172,0.534
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.837,0.867,0.476,0.018,0.073,0.028,0.079,0.024,0.068
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.033,0.007,0.107,0.916,0.573,0.058,0.024,0.035,0.108
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.016,0.009,0.106,0.038,0.058,0.86,0.062,0.029,0.091
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.029,0.077,0.002,0.021,0.001,0.756,0.101,0.048
"P30","En blanco",0.034,0.028,0.122,0.004,0.11,0.01,0.018,0.59,0.135
"P30","No sabe",0.071,0.06,0.112,0.022,0.165,0.043,0.061,0.221,0.55
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.805,0.869,0.416,0.022,0.024,0.033,0.031,0.129,0.072
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.022,0.008,0.114,0.566,0.898,0.033,0,0.024,0.128
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.024,0.01,0.135,0.176,0.018,0.881,0.068,0.025,0.135
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.032,0.089,0.002,0.019,0.011,0.849,0.014,0.023
"P31","En blanco",0.042,0.027,0.113,0.098,0.004,0.009,0.033,0.656,0.09
"P31","No sabe",0.089,0.054,0.133,0.136,0.037,0.033,0.019,0.152,0.552
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.569,0.529,0.624,0.018,0.066,0.036,0.014,0,0.095
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.023,0.012,0.075,0.901,0.582,0.059,0.012,0.148,0.106
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.018,0.006,0.087,0.028,0.061,0.878,0.065,0.036,0.099
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.069,0.096,0.038,0.002,0.013,0.007,0.859,0.119,0.032
"P32","En blanco",0.106,0.157,0.062,0.031,0.084,0.005,0.032,0.539,0.055
"P32","No sabe",0.215,0.2,0.114,0.02,0.194,0.015,0.018,0.158,0.613
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.605,0.49,0.635,0.033,0.018,0.031,0,0,0.112
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.045,0.008,0.096,0.584,0.87,0.039,0.014,0.153,0.14
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.004,0.004,0.068,0.18,0.04,0.915,0.07,0.029,0.115
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.07,0.097,0,0.003,0.003,0,0.865,0.015,0.02
"P33","En blanco",0.086,0.186,0.089,0.074,0.01,0.007,0.032,0.655,0.063
"P33","No sabe",0.19,0.215,0.112,0.126,0.059,0.008,0.019,0.148,0.55
"P34","Axel Kicillof por Unión por la Patria",0.896,0.966,0.478,0.02,0.052,0.026,0.081,0.197,0.201
"P34","Nestor Grindetti por Juntos por el Cambio",0.011,0.009,0.213,0.882,0.638,0.083,0.012,0.148,0.117
"P34","Guillermo Britos por la Libertad Avanza",0.014,0.003,0.04,0.028,0.025,0.772,0.07,0,0.057
"P34","Al candidato del Frente de Izquierda",0.007,0.01,0.064,0.004,0.017,0.001,0.823,0,0.015
"P34","En blanco",0.031,0.002,0.117,0.013,0.077,0.043,0.014,0.508,0.108
"P34","No sabe",0.041,0.01,0.088,0.053,0.191,0.075,0,0.147,0.502
"P35","Axel Kicillof por Unión por la Patria",0.899,0.965,0.453,0.02,0.039,0.034,0.082,0.32,0.159
"P35","Diego Santilli por Juntos por el Cambio",0.025,0.012,0.254,0.73,0.875,0.086,0.008,0.039,0.232
"P35","Guillermo Britos por la Libertad Avanza",0.007,0.003,0.045,0.096,0.015,0.781,0.076,0,0.056
"P35","Al candidato del Frente de Izquierda",0.01,0.007,0.07,0.002,0.014,0.001,0.819,0,0.026
"P35","En blanco",0.017,0.001,0.087,0.07,0.001,0.047,0.015,0.501,0.123
"P35","No sabe",0.042,0.012,0.091,0.082,0.056,0.051,0,0.14,0.404
"P36","Sergio Massa por Unión por la Patria",0.866,0.751,0.463,0.02,0.052,0.035,0,0.158,0.087
"P36","Nestor Grindetti por Juntos por el Cambio",0.019,0.01,0.16,0.871,0.696,0.087,0.008,0.142,0.141
"P36","Guillermo Britos por la Libertad Avanza",0.007,0.003,0.043,0.048,0.03,0.816,0.087,0,0.08
"P36","Al candidato del Frente de Izquierda",0.014,0.049,0.131,0.001,0.022,0.001,0.87,0,0.025
"P36","En blanco",0.024,0.067,0.094,0.02,0.071,0.029,0.035,0.523,0.117
"P36","No sabe",0.07,0.12,0.109,0.04,0.129,0.032,0,0.177,0.55
"P37","Sergio Massa por Unión por la Patria",0.849,0.732,0.468,0.017,0.063,0.038,0.015,0.03,0.074
"P37","Diego Santilli por Juntos por el Cambio",0.027,0.009,0.196,0.74,0.83,0.087,0.008,0.173,0.171
"P37","Guillermo Britos por la Libertad Avanza",0.023,0.001,0.069,0.105,0.015,0.805,0.073,0,0.076
"P37","Al candidato del Frente de Izquierda",0.023,0.054,0.135,0.001,0.018,0.001,0.87,0.124,0.025
"P37","En blanco",0.006,0.097,0.073,0.062,0.008,0.023,0.034,0.513,0.107
"P37","No sabe",0.072,0.107,0.059,0.075,0.066,0.046,0,0.16,0.547
"P38","Victoria Tolosa Paz por Unión por la Patria",0.618,0.534,0.569,0.018,0.053,0.034,0.014,0,0.093
"P38","Nestor Grindetti por Juntos por el Cambio",0.046,0.007,0.103,0.89,0.675,0.054,0.023,0.032,0.102
"P38","Guillermo Britos por la Libertad Avanza",0.031,0.007,0.028,0.036,0.032,0.831,0.073,0,0.112
"P38","Al candidato del Frente de Izquierda",0.045,0.091,0.09,0.004,0.025,0.011,0.856,0.25,0.048
"P38","En blanco",0.124,0.182,0.113,0.02,0.08,0.015,0.034,0.536,0.084
"P38","No sabe",0.136,0.179,0.097,0.032,0.135,0.055,0,0.182,0.561
"P39","Victoria Tolosa Paz por Unión por la Patria",0.629,0.518,0.647,0.021,0.059,0.029,0,0,0.1
"P39","Diego Santilli por Juntos por el Cambio",0.032,0.019,0.163,0.741,0.854,0.093,0.008,0.182,0.2
"P39","Guillermo Britos por la Libertad Avanza",0.004,0.007,0.039,0.092,0.021,0.815,0.089,0,0.08
"P39","Al candidato del Frente de Izquierda",0.053,0.097,0.022,0,0.004,0.003,0.869,0,0.04
"P39","En blanco",0.112,0.19,0.094,0.071,0.007,0.023,0.034,0.639,0.051
"P39","No sabe",0.17,0.169,0.035,0.075,0.055,0.037,0,0.179,0.529
"P40","Lo votaría",0.849,0.919,0.479,0.053,0.078,0.053,0.069,0.166,0.171
"P40","Puede que lo vote",0.073,0.039,0.076,0.038,0.08,0.102,0.184,0.153,0.053
"P40","Nunca lo votaría",0.068,0.017,0.406,0.892,0.817,0.826,0.647,0.511,0.482
"P40","No sabe",0.01,0.025,0.039,0.017,0.025,0.019,0.1,0.17,0.294
"P41","La votaría",0.429,0.327,0.527,0.027,0.026,0.025,0.02,0.011,0.028
"P41","Puede que la vote",0.322,0.347,0.258,0.036,0.108,0.052,0.181,0.137,0.166
"P41","Nunca la votaría",0.176,0.224,0.199,0.921,0.827,0.9,0.771,0.682,0.497
"P41","No sabe",0.073,0.102,0.016,0.016,0.039,0.023,0.028,0.17,0.309
"P42","Lo votaría",0.048,0.036,0.147,0.731,0.274,0.122,0.015,0.13,0.073
"P42","Puede que lo vote",0.053,0.053,0.231,0.137,0.353,0.289,0.107,0.155,0.083
"P42","Nunca lo votaría",0.819,0.858,0.529,0.103,0.288,0.479,0.85,0.682,0.464
"P42","No sabe",0.08,0.053,0.093,0.029,0.085,0.11,0.028,0.033,0.38
"P43","Lo votaría",0.017,0.008,0.126,0.561,0.737,0.125,0.015,0.022,0.126
"P43","Puede que lo vote",0.039,0.028,0.291,0.291,0.205,0.314,0.097,0.331,0.202
"P43","Nunca lo votaría",0.893,0.934,0.54,0.104,0.041,0.517,0.855,0.57,0.345
"P43","No sabe",0.051,0.03,0.043,0.044,0.017,0.044,0.033,0.077,0.327
"P44","Lo votaría",0.01,0.003,0.072,0.14,0.136,0.563,0.014,0,0.027
"P44","Puede que lo vote",0.044,0.032,0.1,0.271,0.193,0.188,0.075,0.317,0.065
"P44","Nunca lo votaría",0.897,0.94,0.709,0.494,0.524,0.197,0.84,0.651,0.509
"P44","No sabe",0.049,0.025,0.119,0.095,0.147,0.052,0.071,0.032,0.399
"P45","Muy buena",0.604,0.794,0.326,0.036,0.034,0.122,0.078,0.032,0.148
"P45","Buena",0.147,0.082,0.279,0.022,0.072,0.032,0.157,0.168,0.048
"P45","Ni buena ni mala",0.211,0.104,0.151,0.08,0.215,0.065,0.29,0.278,0.252
"P45","Mala",0.031,0.012,0.047,0.124,0.094,0.134,0.085,0.18,0.183
"P45","Muy mala",0.007,0.006,0.162,0.733,0.581,0.64,0.39,0.205,0.234
"P45","No sabe",0,0.002,0.035,0.005,0.004,0.007,0,0.137,0.135
"P46","Muy buena",0.24,0.193,0.386,0.016,0.01,0.024,0,0,0.03
"P46","Buena",0.283,0.274,0.273,0.016,0.039,0.022,0.154,0.025,0.104
"P46","Ni buena ni mala",0.355,0.32,0.151,0.075,0.219,0.064,0.207,0.178,0.242
"P46","Mala",0.062,0.144,0.08,0.187,0.194,0.179,0.11,0.201,0.095
"P46","Muy mala",0.043,0.054,0.078,0.696,0.502,0.667,0.516,0.339,0.288
"P46","No sabe",0.017,0.015,0.032,0.01,0.036,0.044,0.013,0.257,0.241
"P47","Muy buena",0.026,0.01,0.11,0.375,0.129,0.084,0,0.134,0.041
"P47","Buena",0.046,0.042,0.215,0.363,0.258,0.134,0.08,0.032,0.087
"P47","Ni buena ni mala",0.338,0.173,0.221,0.139,0.293,0.312,0.16,0.428,0.293
"P47","Mala",0.306,0.292,0.229,0.019,0.071,0.077,0.136,0.048,0.048
"P47","Muy mala",0.163,0.435,0.114,0.085,0.117,0.259,0.596,0.184,0.173
"P47","No sabe",0.121,0.048,0.111,0.019,0.132,0.134,0.028,0.174,0.358
"P48","Muy buena",0.017,0.004,0.066,0.329,0.486,0.126,0,0.008,0.098
"P48","Buena",0.046,0.023,0.343,0.414,0.264,0.17,0.087,0.06,0.105
"P48","Ni buena ni mala",0.295,0.118,0.194,0.198,0.199,0.266,0.147,0.345,0.283
"P48","Mala",0.389,0.316,0.176,0.027,0.026,0.148,0.081,0.269,0.065
"P48","Muy mala",0.218,0.504,0.178,0.023,0.006,0.241,0.657,0.052,0.137
"P48","No sabe",0.035,0.035,0.043,0.009,0.019,0.049,0.028,0.266,0.312
"P49","Muy buena",0.004,0.002,0.057,0.082,0.046,0.298,0,0.134,0.057
"P49","Buena",0.035,0.023,0.073,0.14,0.078,0.306,0.074,0.024,0.009
"P49","Ni buena ni mala",0.243,0.124,0.407,0.42,0.438,0.228,0.076,0.27,0.379
"P49","Mala",0.246,0.234,0.169,0.096,0.043,0.034,0.095,0.149,0.044
"P49","Muy mala",0.289,0.528,0.189,0.106,0.16,0.064,0.682,0.101,0.117
"P49","No sabe",0.183,0.089,0.105,0.156,0.235,0.07,0.073,0.322,0.394
"P50","Siempre",0.344,0.321,0.301,0.393,0.339,0.35,0.206,0.071,0.196
"P50","Casi siempre",0.411,0.441,0.369,0.371,0.42,0.322,0.494,0.627,0.388
"P50","Casi nunca",0.163,0.15,0.191,0.19,0.199,0.26,0.106,0.159,0.201
"P50","Nunca, pero esta es una excepción",0.082,0.088,0.139,0.046,0.042,0.068,0.194,0.143,0.215
"P51","Si",0.577,0.549,0.623,0.554,0.504,0.573,0.467,0.276,0.424
"P51","No",0.423,0.451,0.377,0.446,0.496,0.427,0.533,0.724,0.576
