"var","categoria","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza","Los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P29","En blanco",0.013,0.054,0.006,0.018,0.486,0.031
"P29","No sabe",0.03,0.137,0.014,0.023,0.008,0.525
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.946,0.004,0.007,0.114,0.079,0.044
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.012,0.659,0.042,0.049,0.301,0.187
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.006,0.142,0.928,0.003,0.027,0.055
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.008,0.003,0.784,0.004,0.01
"P31","En blanco",0.004,0.08,0.011,0.011,0.582,0.027
"P31","No sabe",0.016,0.107,0.009,0.039,0.007,0.677
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.596,0.023,0.019,0.067,0.234,0.097
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.009,0.918,0.049,0.105,0.075,0.065
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.011,0.018,0.918,0.005,0.039,0.053
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.072,0.002,0.012,0.782,0.005,0.067
"P32","En blanco",0.124,0.025,0.002,0.01,0.583,0.035
"P32","No sabe",0.188,0.014,0,0.031,0.064,0.683
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.582,0.024,0.017,0.074,0.218,0.103
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.021,0.661,0.049,0.135,0.311,0.181
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.01,0.146,0.919,0.006,0.019,0.059
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.071,0.004,0.008,0.727,0.005,0.044
"P33","En blanco",0.136,0.064,0.002,0.053,0.419,0.06
"P33","No sabe",0.18,0.101,0.005,0.005,0.028,0.553
"P34","Axel Kicillof por Unión por la Patria",0.951,0.019,0.023,0.208,0.272,0.308
"P34","Nestor Grindetti por Juntos por el Cambio",0.015,0.884,0.1,0.077,0.133,0.134
"P34","Guillermo Britos por la Libertad Avanza",0.007,0.025,0.768,0.003,0,0.002
"P34","Al candidato del Frente de Izquierda",0.009,0.003,0.002,0.68,0.026,0.017
"P34","En blanco",0.001,0.013,0.039,0,0.518,0.075
"P34","No sabe",0.017,0.056,0.068,0.032,0.051,0.464
"P35","Axel Kicillof por Unión por la Patria",0.945,0.009,0.022,0.267,0.27,0.348
"P35","Diego Santilli por Juntos por el Cambio",0.024,0.786,0.112,0.046,0.302,0.242
"P35","Guillermo Britos por la Libertad Avanza",0.006,0.087,0.757,0.003,0.003,0.009
"P35","Al candidato del Frente de Izquierda",0.006,0.001,0.002,0.676,0.027,0.025
"P35","En blanco",0.003,0.053,0.048,0,0.39,0.039
"P35","No sabe",0.016,0.064,0.059,0.008,0.008,0.337
"P36","Sergio Massa por Unión por la Patria",0.834,0.013,0.025,0.093,0.143,0.154
"P36","Nestor Grindetti por Juntos por el Cambio",0.01,0.894,0.105,0.012,0.173,0.141
"P36","Guillermo Britos por la Libertad Avanza",0.009,0.04,0.788,0.003,0,0.077
"P36","Al candidato del Frente de Izquierda",0.033,0,0.004,0.86,0.014,0.02
"P36","En blanco",0.034,0.017,0.041,0.011,0.624,0.054
"P36","No sabe",0.08,0.036,0.037,0.021,0.046,0.554
"P37","Sergio Massa por Unión por la Patria",0.824,0.012,0.027,0.014,0.112,0.149
"P37","Diego Santilli por Juntos por el Cambio",0.013,0.783,0.125,0.093,0.29,0.207
"P37","Guillermo Britos por la Libertad Avanza",0.009,0.087,0.795,0.003,0.01,0.031
"P37","Al candidato del Frente de Izquierda",0.036,0.003,0.003,0.848,0.017,0.049
"P37","En blanco",0.049,0.052,0.021,0.015,0.504,0.048
"P37","No sabe",0.069,0.063,0.029,0.027,0.067,0.516
"P38","Victoria Tolosa Paz por Unión por la Patria",0.604,0.015,0.022,0.071,0.225,0.114
"P38","Nestor Grindetti por Juntos por el Cambio",0.018,0.895,0.086,0.013,0.083,0.129
"P38","Guillermo Britos por la Libertad Avanza",0.011,0.036,0.834,0.003,0,0.034
"P38","Al candidato del Frente de Izquierda",0.068,0.005,0.004,0.876,0.007,0.085
"P38","En blanco",0.154,0.017,0.014,0.022,0.606,0.07
"P38","No sabe",0.145,0.032,0.04,0.015,0.079,0.568
"P39","Victoria Tolosa Paz por Unión por la Patria",0.6,0.008,0.03,0.064,0.209,0.15
"P39","Diego Santilli por Juntos por el Cambio",0.016,0.789,0.115,0.135,0.283,0.259
"P39","Guillermo Britos por la Libertad Avanza",0.01,0.086,0.787,0.003,0,0.041
"P39","Al candidato del Frente de Izquierda",0.074,0,0.015,0.723,0.003,0.024
"P39","En blanco",0.145,0.054,0.03,0.075,0.43,0.089
"P39","No sabe",0.155,0.063,0.023,0,0.075,0.437
"P40","Lo votaría",0.89,0.048,0.061,0.244,0.259,0.317
"P40","Puede que lo vote",0.047,0.051,0.098,0.105,0.075,0.1
"P40","Nunca lo votaría",0.042,0.884,0.832,0.522,0.584,0.438
"P40","No sabe",0.021,0.017,0.009,0.129,0.082,0.145
"P41","La votaría",0.378,0.023,0.02,0.129,0.154,0.119
"P41","Puede que la vote",0.351,0.048,0.055,0.147,0.198,0.14
"P41","Nunca la votaría",0.179,0.912,0.901,0.665,0.581,0.575
"P41","No sabe",0.092,0.017,0.024,0.059,0.067,0.166
"P42","Lo votaría",0.05,0.672,0.134,0.065,0.05,0.053
"P42","Puede que lo vote",0.059,0.182,0.304,0.011,0.193,0.157
"P42","Nunca lo votaría",0.82,0.115,0.477,0.9,0.727,0.519
"P42","No sabe",0.071,0.031,0.085,0.024,0.03,0.271
"P43","Lo votaría",0.019,0.605,0.138,0.07,0.218,0.195
"P43","Puede que lo vote",0.053,0.268,0.333,0.072,0.165,0.166
"P43","Nunca lo votaría",0.888,0.093,0.488,0.833,0.565,0.472
"P43","No sabe",0.04,0.034,0.041,0.025,0.052,0.167
"P44","Lo votaría",0.011,0.143,0.555,0.045,0.031,0.008
"P44","Puede que lo vote",0.03,0.259,0.234,0.06,0.097,0.082
"P44","Nunca lo votaría",0.915,0.504,0.182,0.874,0.813,0.587
"P44","No sabe",0.044,0.094,0.029,0.021,0.059,0.323
"P45","Muy buena",0.74,0.032,0.095,0.195,0.157,0.225
"P45","Buena",0.111,0.026,0.06,0.128,0.08,0.092
"P45","Ni buena ni mala",0.132,0.097,0.074,0.253,0.222,0.255
"P45","Mala",0.01,0.119,0.135,0.086,0.161,0.119
"P45","Muy mala",0.007,0.72,0.629,0.32,0.327,0.235
"P45","No sabe",0,0.006,0.007,0.018,0.053,0.074
"P46","Muy buena",0.236,0.013,0.009,0.096,0.035,0.063
"P46","Buena",0.279,0.018,0.044,0.1,0.15,0.104
"P46","Ni buena ni mala",0.304,0.096,0.072,0.218,0.283,0.313
"P46","Mala",0.123,0.199,0.153,0.081,0.182,0.114
"P46","Muy mala",0.039,0.659,0.69,0.495,0.287,0.243
"P46","No sabe",0.019,0.015,0.032,0.01,0.063,0.163
"P47","Muy buena",0.021,0.339,0.073,0.116,0.017,0.052
"P47","Buena",0.052,0.347,0.193,0.014,0.089,0.042
"P47","Ni buena ni mala",0.214,0.174,0.294,0.171,0.493,0.253
"P47","Mala",0.303,0.034,0.057,0.111,0.115,0.142
"P47","Muy mala",0.342,0.079,0.26,0.55,0.19,0.183
"P47","No sabe",0.068,0.027,0.123,0.038,0.096,0.328
"P48","Muy buena",0.014,0.36,0.128,0.013,0.153,0.159
"P48","Buena",0.033,0.4,0.208,0.082,0.144,0.094
"P48","Ni buena ni mala",0.178,0.182,0.276,0.212,0.244,0.233
"P48","Mala",0.336,0.037,0.112,0.115,0.235,0.131
"P48","Muy mala",0.4,0.019,0.233,0.557,0.167,0.169
"P48","No sabe",0.039,0.002,0.043,0.021,0.057,0.214
"P49","Muy buena",0.011,0.076,0.282,0.059,0.003,0.036
"P49","Buena",0.022,0.124,0.329,0.003,0.048,0.05
"P49","Ni buena ni mala",0.173,0.422,0.249,0.141,0.448,0.254
"P49","Mala",0.222,0.097,0.023,0.118,0.125,0.159
"P49","Muy mala",0.458,0.107,0.065,0.587,0.258,0.129
"P49","No sabe",0.114,0.174,0.052,0.092,0.118,0.372
"P50","Siempre",0.321,0.396,0.331,0.307,0.185,0.285
"P50","Casi siempre",0.451,0.359,0.347,0.404,0.489,0.36
"P50","Casi nunca",0.14,0.197,0.269,0.119,0.269,0.17
"P50","Nunca, pero esta es una excepción",0.088,0.048,0.053,0.17,0.057,0.185
"P51","Si",0.574,0.532,0.57,0.539,0.482,0.45
"P51","No",0.426,0.468,0.43,0.461,0.518,0.55
