"var","categoria","Sergio Massa por Unión por la Patria","Nestor Grindetti por Juntos por el Cambio","Guillermo Britos por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P15","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.706,0.027,0.007,0.12,0.138,0.212
"P15","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.133,0.023,0.04,0.1,0.116,0.065
"P15","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.03,0.686,0.097,0.005,0.092,0.114
"P15","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.024,0.178,0.031,0.021,0.159,0.127
"P15","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.028,0.061,0.791,0.033,0.104,0.084
"P15","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.008,0.024,0.632,0.013,0.003
"P15","En blanco",0.016,0.012,0,0.018,0.256,0.036
"P15","No sabe",0.045,0.005,0.01,0.071,0.122,0.359
"P18","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.765,0.029,0.027,0.309,0.315,0.324
"P18","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.079,0.034,0.03,0.073,0.127,0.069
"P18","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.021,0.673,0.107,0.009,0.104,0.11
"P18","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.032,0.18,0.024,0.042,0.149,0.128
"P18","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.037,0.063,0.768,0,0.078,0.09
"P18","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.001,0.013,0.536,0.024,0.009
"P18","En blanco",0.011,0.007,0.011,0.008,0.113,0.025
"P18","No sabe",0.043,0.013,0.02,0.023,0.09,0.245
"P21","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.786,0.031,0.053,0.153,0.164,0.209
"P21","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.034,0.672,0.116,0.012,0.095,0.127
"P21","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.045,0.178,0.038,0.02,0.156,0.12
"P21","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.034,0.079,0.722,0.036,0.097,0.076
"P21","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.018,0.025,0.662,0.005,0.036
"P21","En blanco",0.026,0.008,0.012,0.061,0.285,0.041
"P21","No sabe",0.06,0.014,0.034,0.056,0.198,0.391
"P24","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.612,0.083,0.032,0.284,0.283,0.274
"P24","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.039,0.499,0.29,0.004,0.079,0.087
"P24","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.242,0.152,0.048,0.145,0.197,0.17
"P24","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.031,0.244,0.603,0.007,0.122,0.16
"P24","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.002,0.004,0.508,0.034,0.01
"P24","En blanco",0.019,0.006,0.012,0.019,0.19,0.015
"P24","No sabe",0.05,0.014,0.011,0.033,0.095,0.284
"P25","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.665,0.071,0.024,0.243,0.286,0.22
"P25","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.011,0.516,0.283,0,0.09,0.059
"P25","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.247,0.142,0.029,0.108,0.145,0.152
"P25","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.021,0.253,0.64,0.009,0.114,0.125
"P25","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.002,0.003,0.587,0,0.013
"P25","En blanco",0.013,0.006,0.011,0.016,0.276,0.012
"P25","No sabe",0.036,0.01,0.01,0.037,0.089,0.419
"P26","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.868,0.009,0.005,0.136,0.127,0.274
"P26","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.021,0.871,0.095,0,0.118,0.117
"P26","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.016,0.058,0.862,0.012,0.106,0.088
"P26","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.014,0.007,0.768,0.015,0.008
"P26","En blanco",0.026,0.017,0.004,0.03,0.437,0.016
"P26","No sabe",0.057,0.031,0.027,0.054,0.197,0.497
"P27","Sergio Massa presidente y Axel Kicillof gobernador por Unión por la Patria",0.87,0.009,0.006,0.144,0.142,0.263
"P27","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.025,0.643,0.044,0.021,0.191,0.152
"P27","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.019,0.142,0.898,0.002,0.129,0.095
"P27","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0.005,0.013,0.777,0.011,0.024
"P27","En blanco",0.015,0.066,0.015,0.016,0.444,0.024
"P27","No sabe",0.053,0.135,0.024,0.04,0.083,0.442
"P28","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.887,0.012,0.017,0.328,0.379,0.37
"P28","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.02,0.895,0.093,0.012,0.114,0.115
"P28","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.021,0.048,0.864,0.012,0.097,0.086
"P28","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.004,0.008,0.621,0.011,0.01
"P28","En blanco",0.023,0.016,0,0.008,0.336,0.009
"P28","No sabe",0.041,0.025,0.018,0.019,0.063,0.41
"P29","Wado de Pedro presidente y  Axel Kicillof gobernador por Unión por la Patria",0.894,0.009,0.015,0.379,0.336,0.368
"P29","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.029,0.652,0.032,0.014,0.192,0.17
"P29","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.025,0.143,0.914,0.007,0.126,0.087
"P29","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.005,0.01,0.001,0.571,0.008,0.001
"P29","En blanco",0.011,0.07,0.012,0.005,0.285,0.02
"P29","No sabe",0.036,0.116,0.026,0.024,0.053,0.354
"P30","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.915,0.011,0.019,0.285,0.239,0.32
"P30","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.012,0.878,0.078,0.003,0.102,0.126
"P30","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.013,0.058,0.867,0.016,0.142,0.074
"P30","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.001,0.001,0.65,0.007,0.007
"P30","En blanco",0.016,0.019,0,0.011,0.432,0.018
"P30","No sabe",0.035,0.033,0.035,0.035,0.078,0.455
"P31","Axel Kicillof presidente y Sergio Massa gobernador por Unión por la Patria",0.91,0.006,0.019,0.238,0.22,0.285
"P31","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.017,0.662,0.026,0.047,0.14,0.145
"P31","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.025,0.153,0.92,0.002,0.09,0.093
"P31","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.002,0.012,0.003,0.675,0,0.025
"P31","En blanco",0.014,0.074,0.006,0.008,0.452,0.013
"P31","No sabe",0.032,0.093,0.026,0.03,0.098,0.439
"P32","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.626,0.016,0.02,0.117,0.187,0.176
"P32","Patricia Bullrich presidenta y Nestor Grindetti gobernador por Juntos por el Cambio",0.019,0.869,0.073,0.028,0.094,0.12
"P32","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.015,0.048,0.887,0.007,0.103,0.079
"P32","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.057,0.006,0,0.807,0.057,0.007
"P32","En blanco",0.123,0.024,0.003,0.028,0.51,0.031
"P32","No sabe",0.16,0.037,0.017,0.013,0.049,0.587
"P33","Daniel Scioli presidente y Victoria Tolosa Paz gobernadora por Unión por la Patria",0.609,0.017,0.012,0.118,0.15,0.153
"P33","Horacio Rodriguez Larreta presidente y Diego Santilli gobernador por Juntos por el Cambio",0.031,0.659,0.04,0.042,0.168,0.143
"P33","Javier Milei presidente y  Guillermo Britos por la Libertad Avanza",0.007,0.167,0.935,0.011,0.096,0.085
"P33","Los candidatos a presidente y a gobernador del Frente de Izquierda",0.058,0.004,0,0.768,0.034,0.011
"P33","En blanco",0.132,0.061,0.004,0.049,0.501,0.042
"P33","No sabe",0.163,0.092,0.009,0.012,0.051,0.566
"P34","Axel Kicillof por Unión por la Patria",0.941,0.018,0.018,0.403,0.37,0.421
"P34","Nestor Grindetti por Juntos por el Cambio",0.021,0.916,0.06,0,0.1,0.042
"P34","Guillermo Britos por la Libertad Avanza",0.005,0.018,0.864,0.005,0.027,0.007
"P34","Al candidato del Frente de Izquierda",0.006,0.002,0,0.574,0.009,0.011
"P34","En blanco",0.01,0.011,0.013,0.008,0.449,0.045
"P34","No sabe",0.017,0.035,0.045,0.01,0.045,0.474
"P35","Axel Kicillof por Unión por la Patria",0.953,0.011,0.024,0.404,0.365,0.398
"P35","Diego Santilli por Juntos por el Cambio",0.024,0.828,0.055,0.014,0.157,0.166
"P35","Guillermo Britos por la Libertad Avanza",0.001,0.067,0.898,0,0.017,0.009
"P35","Al candidato del Frente de Izquierda",0.005,0.001,0.002,0.575,0,0.011
"P35","En blanco",0.009,0.043,0.014,0.007,0.431,0.021
"P35","No sabe",0.008,0.05,0.007,0,0.03,0.395
"P37","Sergio Massa por Unión por la Patria",0.926,0.011,0.006,0.018,0.024,0.116
"P37","Diego Santilli por Juntos por el Cambio",0.015,0.819,0.057,0.013,0.164,0.171
"P37","Guillermo Britos por la Libertad Avanza",0.005,0.075,0.902,0,0.062,0.005
"P37","Al candidato del Frente de Izquierda",0.006,0.009,0.002,0.962,0,0.001
"P37","En blanco",0.026,0.036,0.005,0,0.734,0.017
"P37","No sabe",0.022,0.05,0.028,0.007,0.016,0.69
"P38","Victoria Tolosa Paz por Unión por la Patria",0.644,0.017,0.006,0.167,0.17,0.125
"P38","Nestor Grindetti por Juntos por el Cambio",0.015,0.916,0.046,0.008,0.05,0.059
"P38","Guillermo Britos por la Libertad Avanza",0.012,0.028,0.913,0,0.091,0.004
"P38","Al candidato del Frente de Izquierda",0.057,0.011,0.012,0.82,0,0.028
"P38","En blanco",0.144,0.009,0.002,0,0.663,0.07
"P38","No sabe",0.128,0.019,0.021,0.005,0.026,0.714
"P39","Victoria Tolosa Paz por Unión por la Patria",0.633,0.017,0.017,0.165,0.176,0.14
"P39","Diego Santilli por Juntos por el Cambio",0.031,0.802,0.076,0.047,0.169,0.177
"P39","Guillermo Britos por la Libertad Avanza",0.006,0.078,0.878,0.01,0.056,0.007
"P39","Al candidato del Frente de Izquierda",0.055,0.002,0,0.727,0.048,0.024
"P39","En blanco",0.141,0.049,0.015,0.043,0.518,0.066
"P39","No sabe",0.134,0.052,0.014,0.008,0.033,0.586
"P40","Lo votaría",0.871,0.048,0.049,0.416,0.393,0.46
"P40","Puede que lo vote",0.066,0.051,0.101,0.07,0.064,0.035
"P40","Nunca lo votaría",0.044,0.887,0.827,0.404,0.484,0.387
"P40","No sabe",0.019,0.014,0.023,0.11,0.059,0.118
"P41","La votaría",0.389,0.019,0.017,0.201,0.125,0.156
"P41","Puede que la vote",0.362,0.064,0.045,0.167,0.155,0.128
"P41","Nunca la votaría",0.171,0.904,0.911,0.569,0.668,0.481
"P41","No sabe",0.078,0.013,0.027,0.063,0.052,0.235
"P42","Lo votaría",0.05,0.669,0.114,0.003,0.094,0.04
"P42","Puede que lo vote",0.079,0.184,0.323,0.028,0.123,0.068
"P42","Nunca lo votaría",0.811,0.109,0.475,0.932,0.733,0.628
"P42","No sabe",0.06,0.038,0.088,0.037,0.05,0.264
"P43","Lo votaría",0.025,0.601,0.118,0.043,0.118,0.184
"P43","Puede que lo vote",0.065,0.279,0.343,0.012,0.16,0.081
"P43","Nunca lo votaría",0.869,0.079,0.504,0.921,0.66,0.607
"P43","No sabe",0.041,0.041,0.035,0.024,0.062,0.128
"P44","Lo votaría",0.015,0.132,0.622,0.04,0.023,0.004
"P44","Puede que lo vote",0.046,0.263,0.198,0.007,0.102,0.088
"P44","Nunca lo votaría",0.899,0.501,0.163,0.895,0.793,0.662
"P44","No sabe",0.04,0.104,0.017,0.058,0.082,0.246
"P45","Muy buena",0.725,0.024,0.121,0.329,0.3,0.312
"P45","Buena",0.12,0.03,0.05,0.116,0.083,0.07
"P45","Ni buena ni mala",0.129,0.116,0.065,0.21,0.144,0.223
"P45","Mala",0.011,0.125,0.123,0.064,0.118,0.111
"P45","Muy mala",0.015,0.701,0.633,0.267,0.312,0.217
"P45","No sabe",0,0.004,0.008,0.014,0.043,0.067
"P46","Muy buena",0.246,0.009,0.01,0.123,0.058,0.066
"P46","Buena",0.288,0.023,0.03,0.141,0.117,0.126
"P46","Ni buena ni mala",0.291,0.112,0.06,0.246,0.231,0.336
"P46","Mala",0.111,0.2,0.161,0.128,0.169,0.118
"P46","Muy mala",0.045,0.64,0.694,0.341,0.369,0.244
"P46","No sabe",0.019,0.016,0.045,0.021,0.056,0.11
"P47","Muy buena",0.027,0.34,0.075,0.053,0.012,0.015
"P47","Buena",0.044,0.36,0.156,0.008,0.139,0.055
"P47","Ni buena ni mala",0.234,0.152,0.313,0.177,0.356,0.268
"P47","Mala",0.289,0.034,0.065,0.184,0.132,0.192
"P47","Muy mala",0.329,0.088,0.268,0.546,0.261,0.189
"P47","No sabe",0.077,0.026,0.123,0.032,0.1,0.281
"P48","Muy buena",0.02,0.371,0.113,0.01,0.086,0.099
"P48","Buena",0.042,0.387,0.208,0.056,0.129,0.087
"P48","Ni buena ni mala",0.186,0.184,0.264,0.17,0.27,0.219
"P48","Mala",0.337,0.03,0.128,0.156,0.202,0.186
"P48","Muy mala",0.374,0.018,0.24,0.591,0.255,0.258
"P48","No sabe",0.041,0.01,0.047,0.017,0.058,0.151
"P49","Muy buena",0.025,0.074,0.306,0.003,0.01,0.011
"P49","Buena",0.03,0.122,0.363,0,0.021,0.024
"P49","Ni buena ni mala",0.17,0.428,0.224,0.138,0.397,0.248
"P49","Mala",0.227,0.093,0.019,0.147,0.138,0.147
"P49","Muy mala",0.429,0.111,0.048,0.597,0.348,0.229
"P49","No sabe",0.119,0.172,0.04,0.115,0.086,0.341
"P50","Siempre",0.323,0.377,0.332,0.346,0.253,0.308
"P50","Casi siempre",0.436,0.368,0.341,0.404,0.428,0.439
"P50","Casi nunca",0.147,0.198,0.27,0.1,0.257,0.144
"P50","Nunca, pero esta es una excepción",0.094,0.057,0.057,0.15,0.062,0.109
"P51","Si",0.582,0.525,0.545,0.536,0.569,0.485
"P51","No",0.418,0.475,0.455,0.464,0.431,0.515
