"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P45","Lo votaría",0.771,0.041,0.11,0.241,0.302,0.388,0,0.175
"P45","Puede que lo vote",0.087,0.065,0.102,0.213,0.183,0.135,0.09,0.184
"P45","Nunca lo votaría",0.115,0.846,0.747,0.425,0.515,0.414,0.91,0.225
"P45","No sabe",0.027,0.048,0.041,0.121,0,0.063,0,0.416
"P46","Lo votaría",0.09,0.752,0.395,0.139,0.286,0.425,0.133,0.22
"P46","Puede que lo vote",0.073,0.104,0.292,0.229,0.127,0.095,0.09,0.121
"P46","Nunca lo votaría",0.813,0.122,0.294,0.544,0.587,0.48,0.732,0.47
"P46","No sabe",0.024,0.022,0.019,0.088,0,0,0.045,0.189
"P52","Si",0.43,0.512,0.429,0.286,0.41,0.164,0.653,0.258
"P52","No",0.57,0.488,0.571,0.714,0.59,0.836,0.347,0.742
