"var","categoria","Eduardo Costa por Cambia Santa Cruz","Pablo Grasso por el Frente de Todos","Javier Belloni por el Frente de Todos","Alicia Kirchner por el Frente de Todos","Pablo González por el Frente de Todos","Fernando Cotillo por el Frente de Todos","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER","Roxana Reyes por Cambia Santa Cruz","No sabe"
"P12","Eduardo Costa por Cambia Santa Cruz",0.802,0.005,0.021,0.05,0.054,0,0.015,0.092,0.008
"P12","Javier Belloni por el Frente de Todos",0.009,0.188,0.73,0.111,0.135,0.062,0.026,0,0.032
"P12","Pablo Grasso por el Frente de Todos",0.046,0.685,0.079,0.316,0.066,0,0.012,0,0.062
"P12","Pablo González por el Frente de Todos",0.014,0.049,0.059,0.15,0.378,0.068,0.011,0,0.011
"P12","Fernando Cotillo por el Frente de Todos",0,0.014,0,0.093,0.345,0.405,0.007,0.011,0
"P12","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER",0.051,0.033,0.025,0.086,0.008,0.44,0.556,0.074,0.025
"P12","Roxana Reyes por Cambia Santa Cruz",0.028,0,0.021,0,0,0,0.33,0.571,0.079
"P12","No sabe",0.05,0.026,0.065,0.194,0.014,0.025,0.043,0.252,0.783
"P13","Lo votaría",0.155,0.215,0.149,0.658,0.318,0.151,0.045,0.033,0.084
"P13","Puede que lo vote",0.048,0.201,0.247,0.146,0.257,0.165,0.102,0,0.128
"P13","Nunca lo votaría",0.779,0.477,0.443,0.088,0.381,0.577,0.761,0.942,0.561
"P13","No sabe",0.018,0.107,0.161,0.108,0.044,0.107,0.092,0.025,0.227
"P14","Lo votaría",0.07,0.227,0.173,0.744,0.415,0.099,0.029,0.033,0.047
"P14","Puede que lo vote",0.037,0.211,0.205,0.104,0.26,0.114,0.134,0.09,0.057
"P14","Nunca lo votaría",0.86,0.47,0.521,0.045,0.225,0.559,0.702,0.856,0.64
"P14","No sabe",0.033,0.092,0.101,0.107,0.1,0.228,0.135,0.021,0.256
"P15","Lo votaría",0.389,0.088,0.068,0.094,0.073,0,0.046,0.715,0.014
"P15","Puede que lo vote",0.249,0.113,0.136,0.064,0.144,0.018,0.201,0.145,0.107
"P15","Nunca lo votaría",0.289,0.641,0.661,0.659,0.679,0.401,0.621,0.075,0.582
"P15","No sabe",0.073,0.158,0.135,0.183,0.104,0.581,0.132,0.065,0.297
"P16","Lo votaría",0.166,0.139,0.061,0.045,0.045,0.548,0.763,0.116,0.017
"P16","Puede que lo vote",0.164,0.215,0.226,0.085,0.233,0.118,0.114,0.254,0.135
"P16","Nunca lo votaría",0.658,0.577,0.633,0.667,0.555,0.191,0.085,0.562,0.577
"P16","No sabe",0.012,0.069,0.08,0.203,0.167,0.143,0.038,0.068,0.271
"P17","Lo votaría",0.035,0.129,0.093,0.184,0.56,0.078,0.059,0.07,0.01
"P17","Puede que lo vote",0.084,0.223,0.119,0.244,0.215,0.194,0.076,0.047,0.109
"P17","Nunca lo votaría",0.853,0.548,0.593,0.397,0.225,0.131,0.772,0.801,0.68
"P17","No sabe",0.028,0.1,0.195,0.175,0,0.597,0.093,0.082,0.201
"P18","Lo votaría",0.052,0.18,0.758,0.179,0.305,0.142,0.072,0.039,0.021
"P18","Puede que lo vote",0.11,0.247,0.067,0.266,0.366,0.016,0.186,0.033,0.189
"P18","Nunca lo votaría",0.805,0.465,0.155,0.378,0.297,0.301,0.64,0.841,0.51
"P18","No sabe",0.033,0.108,0.02,0.177,0.032,0.541,0.102,0.087,0.28
"P19","Lo votaría",0.715,0.082,0.14,0.026,0.012,0,0.033,0.29,0.059
"P19","Puede que lo vote",0.146,0.028,0.032,0.074,0.025,0.018,0.122,0.25,0.171
"P19","Nunca lo votaría",0.125,0.84,0.707,0.8,0.963,0.455,0.785,0.384,0.563
"P19","No sabe",0.014,0.05,0.121,0.1,0,0.527,0.06,0.076,0.207
"P20","Lo votaría",0.08,0.649,0.205,0.249,0.164,0.048,0.026,0.13,0.056
"P20","Puede que lo vote",0.093,0.191,0.146,0.16,0.378,0.103,0.131,0.088,0.226
"P20","Nunca lo votaría",0.792,0.103,0.503,0.435,0.404,0.218,0.748,0.743,0.491
"P20","No sabe",0.035,0.057,0.146,0.156,0.054,0.631,0.095,0.039,0.227
"P21","Lo votaría",0.016,0.072,0.029,0.164,0.089,0.41,0.022,0.006,0.006
"P21","Puede que lo vote",0.008,0.124,0.097,0.14,0.14,0,0.066,0,0.096
"P21","Nunca lo votaría",0.931,0.69,0.736,0.498,0.677,0.149,0.788,0.964,0.67
"P21","No sabe",0.045,0.114,0.138,0.198,0.094,0.441,0.124,0.03,0.228
"P22","Muy buena",0.063,0.124,0.053,0.112,0.534,0.155,0.002,0.01,0.017
"P22","Buena",0.024,0.161,0.155,0.192,0.053,0.047,0.047,0.021,0.015
"P22","Ni buena ni mala",0.361,0.437,0.551,0.373,0.288,0.425,0.362,0.393,0.273
"P22","Mala",0.345,0.181,0.082,0.134,0.054,0.296,0.197,0.22,0.133
"P22","Muy mala",0.168,0.048,0.024,0.046,0,0,0.213,0.316,0.19
"P22","No sabe",0.039,0.049,0.135,0.143,0.071,0.077,0.179,0.04,0.372
"P23","Muy buena",0.076,0.233,0.187,0.603,0.324,0.036,0.019,0.007,0.031
"P23","Buena",0.013,0.092,0.119,0.239,0.232,0.158,0.043,0.087,0.062
"P23","Ni buena ni mala",0.162,0.295,0.225,0.087,0.205,0.205,0.203,0.188,0.112
"P23","Mala",0.271,0.231,0.291,0.024,0.168,0.115,0.207,0.252,0.195
"P23","Muy mala",0.478,0.144,0.165,0.03,0.071,0.403,0.446,0.439,0.471
"P23","No sabe",0,0.005,0.013,0.017,0,0.083,0.082,0.027,0.129
"P24","Muy buena",0.357,0.048,0.041,0.119,0.096,0,0.043,0.137,0
"P24","Buena",0.248,0.026,0.024,0.021,0.043,0.098,0.092,0.246,0.061
"P24","Ni buena ni mala",0.165,0.195,0.202,0.205,0.128,0.527,0.212,0.294,0.228
"P24","Mala",0.146,0.328,0.426,0.34,0.327,0.243,0.262,0.202,0.242
"P24","Muy mala",0.084,0.358,0.228,0.241,0.406,0.048,0.299,0.091,0.226
"P24","No sabe",0,0.045,0.079,0.074,0,0.084,0.092,0.03,0.243
"P25","Muy buena",0.068,0.171,0.103,0.602,0.21,0.053,0.029,0.008,0.044
"P25","Buena",0.06,0.196,0.156,0.107,0.189,0.179,0.107,0.073,0.051
"P25","Ni buena ni mala",0.105,0.132,0.289,0.128,0.316,0.146,0.146,0.055,0.138
"P25","Mala",0.18,0.216,0.202,0.06,0.028,0.196,0.169,0.182,0.067
"P25","Muy mala",0.587,0.279,0.238,0.062,0.113,0.326,0.487,0.648,0.558
"P25","No sabe",0,0.006,0.012,0.041,0.144,0.1,0.062,0.034,0.142
"P26","Muy buena",0.069,0.19,0.037,0.125,0.12,0.324,0.532,0.017,0.012
"P26","Buena",0.085,0.127,0.088,0.07,0.088,0.36,0.258,0.183,0.043
"P26","Ni buena ni mala",0.232,0.207,0.483,0.299,0.397,0.112,0.162,0.232,0.267
"P26","Mala",0.2,0.237,0.18,0.325,0.144,0,0.005,0.161,0.168
"P26","Muy mala",0.392,0.193,0.177,0.119,0.224,0.119,0.036,0.369,0.276
"P26","No sabe",0.022,0.046,0.035,0.062,0.027,0.085,0.007,0.038,0.234
"P27","Muy buena",0.04,0.15,0.571,0.227,0.26,0,0.126,0.006,0
"P27","Buena",0.038,0.292,0.289,0.15,0.324,0.147,0.175,0.107,0.071
"P27","Ni buena ni mala",0.296,0.201,0.12,0.272,0.164,0.604,0.248,0.183,0.437
"P27","Mala",0.25,0.129,0.02,0.203,0.022,0.134,0.152,0.302,0.113
"P27","Muy mala",0.303,0.157,0,0.052,0.082,0.03,0.19,0.326,0.205
"P27","No sabe",0.073,0.071,0,0.096,0.148,0.085,0.109,0.076,0.174
"P28","Muy buena",0.353,0.073,0.093,0.097,0,0,0.045,0.431,0
"P28","Buena",0.157,0.036,0.053,0.082,0.017,0.017,0.119,0.202,0.123
"P28","Ni buena ni mala",0.293,0.196,0.512,0.118,0.232,0.322,0.297,0.139,0.204
"P28","Mala",0.089,0.266,0.125,0.3,0.138,0.442,0.223,0.133,0.143
"P28","Muy mala",0.1,0.298,0.124,0.256,0.455,0.131,0.219,0.095,0.273
"P28","No sabe",0.008,0.131,0.093,0.147,0.158,0.088,0.097,0,0.257
"P29","Muy buena",0.093,0.077,0.064,0.072,0.03,0.197,0.006,0.025,0.002
"P29","Buena",0.014,0.064,0.072,0.04,0.13,0.245,0.109,0.01,0.058
"P29","Ni buena ni mala",0.189,0.386,0.425,0.353,0.234,0.114,0.206,0.252,0.197
"P29","Mala",0.27,0.141,0.195,0.253,0.129,0,0.15,0.297,0.159
"P29","Muy mala",0.429,0.234,0.134,0.143,0.221,0.03,0.385,0.348,0.31
"P29","No sabe",0.005,0.098,0.11,0.139,0.256,0.414,0.144,0.068,0.274
"P30","Muy buena",0.085,0.605,0.161,0.184,0.216,0,0.035,0.006,0.019
"P30","Buena",0.076,0.102,0.202,0.209,0.281,0.1,0.107,0.089,0.1
"P30","Ni buena ni mala",0.132,0.18,0.287,0.256,0.279,0.402,0.293,0.112,0.232
"P30","Mala",0.19,0.038,0.168,0.168,0.056,0.017,0.16,0.338,0.106
"P30","Muy mala",0.517,0.039,0.078,0.086,0.135,0.066,0.309,0.405,0.32
"P30","No sabe",0,0.036,0.104,0.097,0.033,0.415,0.096,0.05,0.223
