"var","categoria","Eduardo Costa por Cambia Santa Cruz","Máximo Kirchner por el Frente de Todos","Pablo Grasso por el Frente de Todos","Javier Belloni por el Frente de Todos","Pablo González por el Frente de Todos","Fernando Cotillo por el Frente de Todos","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER","Roxana Reyes por Cambia Santa Cruz","No sabe"
"P13","No sabe",0.021,0.022,0.12,0.179,0.07,0.045,0.121,0.031,0.2
"P14","Lo votaría",0.079,0.669,0.199,0.121,0.356,0.099,0.026,0.024,0.081
"P14","Puede que lo vote",0.016,0.142,0.214,0.217,0.248,0.13,0.097,0.019,0.11
"P14","Nunca lo votaría",0.83,0.142,0.487,0.536,0.304,0.447,0.736,0.908,0.617
"P14","No sabe",0.075,0.047,0.1,0.126,0.092,0.324,0.141,0.049,0.192
"P15","Lo votaría",0.485,0.118,0.049,0.093,0.13,0,0.039,0.723,0.024
"P15","Puede que lo vote",0.184,0.109,0.112,0.154,0.131,0,0.184,0.18,0.147
"P15","Nunca lo votaría",0.269,0.64,0.668,0.619,0.687,0.505,0.595,0.077,0.547
"P15","No sabe",0.062,0.133,0.171,0.134,0.052,0.495,0.182,0.02,0.282
"P16","Lo votaría",0.197,0.096,0.169,0.082,0.053,0.393,0.696,0.102,0.026
"P16","Puede que lo vote",0.102,0.131,0.2,0.191,0.273,0.111,0.14,0.254,0.182
"P16","Nunca lo votaría",0.644,0.649,0.591,0.598,0.625,0.179,0.13,0.567,0.534
"P16","No sabe",0.057,0.124,0.04,0.129,0.049,0.317,0.034,0.077,0.258
"P17","Lo votaría",0.055,0.208,0.11,0.039,0.594,0.099,0.059,0.035,0.045
"P17","Puede que lo vote",0.047,0.207,0.221,0.157,0.175,0.183,0.076,0.073,0.117
"P17","Nunca lo votaría",0.8,0.434,0.604,0.615,0.231,0.311,0.758,0.829,0.663
"P17","No sabe",0.098,0.151,0.065,0.189,0,0.407,0.107,0.063,0.175
"P18","Lo votaría",0.085,0.219,0.092,0.733,0.288,0.07,0.074,0.007,0.026
"P18","Puede que lo vote",0.101,0.175,0.255,0.084,0.428,0.242,0.175,0.078,0.189
"P18","Nunca lo votaría",0.741,0.48,0.552,0.12,0.264,0.243,0.636,0.826,0.551
"P18","No sabe",0.073,0.126,0.101,0.063,0.02,0.445,0.115,0.089,0.234
"P19","Lo votaría",0.741,0.077,0.037,0.167,0.032,0.302,0.031,0.248,0.064
"P19","Puede que lo vote",0.082,0.079,0.086,0.074,0.01,0,0.087,0.308,0.175
"P19","Nunca lo votaría",0.134,0.749,0.847,0.626,0.958,0.473,0.781,0.378,0.594
"P19","No sabe",0.043,0.095,0.03,0.133,0,0.225,0.101,0.066,0.167
"P20","Lo votaría",0.143,0.25,0.672,0.177,0.049,0.097,0.06,0.049,0.01
"P20","Puede que lo vote",0.093,0.136,0.219,0.15,0.407,0.131,0.112,0.071,0.236
"P20","Nunca lo votaría",0.69,0.492,0.087,0.518,0.499,0.22,0.695,0.833,0.566
"P20","No sabe",0.074,0.122,0.022,0.155,0.045,0.552,0.133,0.047,0.188
"P21","Lo votaría",0.042,0.125,0.062,0.012,0.143,0.58,0.019,0.008,0
"P21","Puede que lo vote",0.008,0.184,0.08,0.066,0.15,0,0.055,0,0.121
"P21","Nunca lo votaría",0.85,0.534,0.745,0.749,0.606,0.308,0.795,0.96,0.693
"P21","No sabe",0.1,0.157,0.113,0.173,0.101,0.112,0.131,0.032,0.186
"P22","Muy buena",0.026,0.138,0.138,0.031,0.571,0.199,0.003,0.008,0.02
"P22","Buena",0.032,0.209,0.113,0.158,0.029,0.097,0.043,0.017,0.02
"P22","Ni buena ni mala",0.387,0.364,0.388,0.521,0.19,0.704,0.357,0.396,0.324
"P22","Mala",0.278,0.151,0.158,0.106,0.134,0,0.217,0.239,0.186
"P22","Muy mala",0.184,0.018,0.093,0.07,0,0,0.188,0.304,0.189
"P22","No sabe",0.093,0.12,0.11,0.114,0.076,0,0.192,0.036,0.261
"P23","Muy buena",0.028,0.547,0.199,0.148,0.354,0.078,0.018,0.008,0.065
"P23","Buena",0.014,0.131,0.11,0.147,0.232,0.162,0.067,0.04,0.063
"P23","Ni buena ni mala",0.195,0.171,0.238,0.24,0.071,0.556,0.196,0.167,0.099
"P23","Mala",0.252,0.065,0.216,0.273,0.249,0.11,0.201,0.262,0.236
"P23","Muy mala",0.465,0.073,0.199,0.168,0.094,0.094,0.453,0.489,0.46
"P23","No sabe",0.046,0.013,0.038,0.024,0,0,0.065,0.034,0.077
"P24","Muy buena",0.427,0.096,0.015,0.097,0.105,0,0.032,0.093,0.004
"P24","Buena",0.225,0.027,0.028,0.043,0.109,0.113,0.063,0.316,0.093
"P24","Ni buena ni mala",0.097,0.227,0.139,0.205,0.103,0.533,0.267,0.306,0.256
"P24","Mala",0.124,0.327,0.424,0.392,0.256,0.279,0.257,0.15,0.205
"P24","Muy mala",0.076,0.254,0.346,0.221,0.427,0.075,0.26,0.096,0.258
"P24","No sabe",0.051,0.069,0.048,0.042,0,0,0.121,0.039,0.184
"P25","Muy buena",0.07,0.58,0.152,0.05,0.28,0.096,0.001,0,0.034
"P25","Buena",0.039,0.215,0.144,0.109,0.203,0.169,0.127,0.008,0.069
"P25","Ni buena ni mala",0.044,0.049,0.177,0.305,0.298,0.168,0.143,0.094,0.165
"P25","Mala",0.188,0.031,0.193,0.227,0.03,0.528,0.168,0.21,0.057
"P25","Muy mala",0.608,0.068,0.328,0.285,0.189,0.019,0.501,0.645,0.558
"P25","No sabe",0.051,0.057,0.006,0.024,0,0.02,0.06,0.043,0.117
"P26","Muy buena",0.079,0.162,0.089,0.116,0.137,0.339,0.512,0.009,0.007
"P26","Buena",0.059,0.1,0.211,0.061,0.071,0.395,0.216,0.167,0.056
"P26","Ni buena ni mala",0.185,0.311,0.197,0.476,0.277,0.129,0.185,0.298,0.246
"P26","Mala",0.144,0.227,0.264,0.211,0.26,0,0.009,0.173,0.178
"P26","Muy mala",0.471,0.163,0.197,0.096,0.224,0.137,0.064,0.318,0.288
"P26","No sabe",0.062,0.037,0.042,0.04,0.031,0,0.014,0.035,0.225
"P27","Muy buena",0.034,0.206,0.098,0.589,0.269,0.035,0.1,0.008,0.004
"P27","Buena",0.039,0.18,0.232,0.237,0.361,0.513,0.179,0.06,0.105
"P27","Ni buena ni mala",0.221,0.21,0.232,0.117,0.164,0.318,0.305,0.283,0.427
"P27","Mala",0.204,0.235,0.201,0.039,0.112,0.134,0.104,0.317,0.1
"P27","Muy mala",0.4,0.064,0.137,0.005,0.094,0,0.224,0.213,0.204
"P27","No sabe",0.102,0.105,0.1,0.013,0,0,0.088,0.119,0.16
"P28","Muy buena",0.46,0.134,0.026,0.105,0.087,0,0.045,0.378,0.012
"P28","Buena",0.155,0.048,0.08,0.07,0.02,0,0.101,0.27,0.105
"P28","Ni buena ni mala",0.133,0.194,0.205,0.482,0.197,0.394,0.276,0.192,0.277
"P28","Mala",0.085,0.233,0.31,0.112,0.178,0.453,0.238,0.137,0.098
"P28","Muy mala",0.148,0.203,0.293,0.148,0.518,0.153,0.224,0.023,0.254
"P28","No sabe",0.019,0.188,0.086,0.083,0,0,0.116,0,0.254
"P29","Muy buena",0.107,0.128,0.033,0.042,0.035,0.285,0.006,0.027,0.004
"P29","Buena",0.026,0.046,0.054,0.043,0.149,0.286,0.093,0.013,0.083
"P29","Ni buena ni mala",0.124,0.277,0.361,0.444,0.305,0.114,0.23,0.304,0.21
"P29","Mala",0.19,0.249,0.169,0.223,0.207,0.315,0.13,0.295,0.155
"P29","Muy mala",0.533,0.101,0.245,0.166,0.21,0,0.35,0.287,0.364
"P29","No sabe",0.02,0.199,0.138,0.082,0.094,0,0.191,0.074,0.184
"P30","Muy buena",0.094,0.302,0.529,0.129,0.067,0.036,0.068,0.008,0.013
"P30","Buena",0.041,0.151,0.151,0.202,0.332,0.118,0.094,0.041,0.125
"P30","Ni buena ni mala",0.096,0.196,0.141,0.311,0.276,0.478,0.29,0.155,0.269
"P30","Mala",0.139,0.197,0.019,0.167,0.17,0.326,0.144,0.365,0.109
"P30","Muy mala",0.62,0.044,0.092,0.123,0.155,0.042,0.254,0.392,0.321
"P30","No sabe",0.01,0.11,0.068,0.068,0,0,0.15,0.039,0.163
