"var","categoria","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio","Al candidato de José Luis Espert por Juntos por el Cambio","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","No sabe"
"P12","Lo votaria",0.707,0.23,0.098,0.075,0.055,0.186,0.064,0.109,0.068
"P12","Puede que lo vote",0.117,0.428,0.159,0.175,0.111,0.118,0.16,0.199,0.168
"P12","Nunca lo votaría",0.042,0.119,0.65,0.575,0.739,0.575,0.518,0.518,0.406
"P12","No sabe",0.134,0.223,0.093,0.175,0.095,0.121,0.258,0.174,0.358
"P13","Lo votaria",0.079,0.087,0.366,0.243,0.142,0.093,0.075,0.059,0.029
"P13","Puede que lo vote",0.07,0.201,0.296,0.347,0.375,0.15,0.183,0.057,0.101
"P13","Nunca lo votaría",0.719,0.462,0.243,0.216,0.407,0.65,0.422,0.761,0.481
"P13","No sabe",0.132,0.25,0.095,0.194,0.076,0.107,0.32,0.123,0.389
"P14","Lo votaria",0.01,0.036,0.089,0.181,0.026,0.041,0.048,0.041,0
"P14","Puede que lo vote",0.085,0.228,0.152,0.163,0.324,0.081,0.119,0.024,0.054
"P14","Nunca lo votaría",0.543,0.457,0.505,0.187,0.367,0.598,0.346,0.597,0.396
"P14","No sabe",0.362,0.279,0.254,0.469,0.283,0.28,0.487,0.338,0.55
"P15","Lo votaria",0.017,0.054,0.038,0.062,0.03,0.029,0.065,0.059,0.006
"P15","Puede que lo vote",0.164,0.42,0.116,0.1,0.063,0.071,0.09,0.11,0.079
"P15","Nunca lo votaría",0.459,0.239,0.592,0.386,0.64,0.655,0.33,0.503,0.347
"P15","No sabe",0.36,0.287,0.254,0.452,0.267,0.245,0.515,0.328,0.568
"P16","Lo votaria",0.023,0,0.037,0.067,0.008,0.057,0.03,0.1,0
"P16","Puede que lo vote",0.051,0.191,0.085,0.084,0.081,0.023,0.096,0,0.048
"P16","Nunca lo votaría",0.508,0.47,0.589,0.315,0.435,0.671,0.325,0.436,0.334
"P16","No sabe",0.418,0.339,0.289,0.534,0.476,0.249,0.549,0.464,0.618
"P17","Lo votaria",0.024,0,0.031,0.075,0.045,0.021,0.04,0.1,0
"P17","Puede que lo vote",0.042,0.214,0.089,0.077,0.153,0.008,0.068,0,0.05
"P17","Nunca lo votaría",0.559,0.418,0.61,0.293,0.409,0.754,0.345,0.586,0.382
"P17","No sabe",0.375,0.368,0.27,0.555,0.393,0.217,0.547,0.314,0.568
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.673,0.163,0.083,0.08,0,0.305,0.047,0,0.008
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.088,0.447,0.021,0.023,0,0.021,0.064,0.098,0.006
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.015,0.012,0.373,0.171,0.08,0.11,0.017,0.03,0.086
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.014,0.081,0.246,0.555,0.311,0.074,0.051,0,0.056
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.014,0.112,0.163,0.106,0.438,0.222,0.736,0.083,0.135
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.04,0.015,0.01,0.002,0,0.075,0.008,0.473,0.037
"P19","No sabe",0.156,0.17,0.104,0.063,0.171,0.193,0.077,0.316,0.672
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.914,0.57,0.103,0.074,0.019,0.209,0.076,0.106,0.024
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.011,0.086,0.565,0.603,0.362,0.22,0.026,0.033,0.041
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.017,0.094,0.112,0.154,0.431,0.333,0.692,0.114,0.104
"P20","Al candidato del Frente de Izquierda",0.014,0.078,0.085,0.05,0,0.052,0.057,0.499,0.025
"P20","No sabe",0.044,0.172,0.135,0.119,0.188,0.186,0.149,0.248,0.806
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.936,0.637,0.142,0.057,0,0.249,0.067,0.185,0.064
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.03,0.194,0.502,0.722,0.543,0.172,0.038,0,0.075
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.008,0.107,0.164,0.133,0.337,0.314,0.789,0.091,0.115
"P21","Al candidato del Frente de Izquierda",0.003,0.005,0.002,0.045,0,0.042,0.03,0.562,0.022
"P21","No sabe",0.023,0.057,0.19,0.043,0.12,0.223,0.076,0.162,0.724
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.76,0.634,0.112,0.045,0,0.253,0.031,0.055,0.013
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.015,0.127,0.539,0.468,0.291,0.16,0.048,0.127,0.063
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.03,0.073,0.192,0.234,0.548,0.308,0.83,0.089,0.214
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.048,0.01,0.009,0.057,0,0.019,0.034,0.507,0.038
"P22","No sabe",0.147,0.156,0.148,0.196,0.161,0.26,0.057,0.222,0.672
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.775,0.577,0.104,0.043,0,0.242,0.042,0.074,0.04
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.026,0.117,0.471,0.699,0.347,0.179,0.069,0.02,0.108
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.026,0.134,0.229,0.135,0.469,0.319,0.822,0.11,0.166
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.02,0,0.01,0.045,0.027,0.035,0.034,0.5,0.025
"P23","No sabe",0.153,0.172,0.186,0.078,0.157,0.225,0.033,0.296,0.661
"P24","Muy buena",0.552,0.215,0.099,0.079,0.046,0.117,0.09,0,0.092
"P24","Buena",0.228,0.321,0.129,0.092,0.063,0.145,0.045,0.218,0.044
"P24","Ni buena ni mala",0.121,0.312,0.225,0.238,0.218,0.237,0.238,0.271,0.19
"P24","Mala",0.009,0.062,0.26,0.24,0.142,0.145,0.147,0.096,0.159
"P24","Muy mala",0.012,0,0.272,0.289,0.49,0.282,0.309,0.415,0.328
"P24","No sabe",0.032,0.06,0.003,0.045,0,0.007,0.056,0,0.059
"P24","No lo conozco",0.046,0.03,0.012,0.017,0.041,0.067,0.115,0,0.128
"P25","Muy buena",0.053,0.203,0.029,0.055,0,0.036,0.019,0,0.015
"P25","Buena",0.13,0.104,0.029,0.035,0.008,0.047,0.053,0,0.008
"P25","Ni buena ni mala",0.409,0.389,0.331,0.224,0.338,0.28,0.358,0.127,0.18
"P25","Mala",0.085,0.071,0.173,0.198,0.122,0.205,0.149,0.263,0.088
"P25","Muy mala",0.057,0,0.23,0.181,0.357,0.174,0.174,0.452,0.172
"P25","No sabe",0.124,0.146,0.139,0.193,0.047,0.119,0.078,0.038,0.243
"P25","No lo conozco",0.142,0.087,0.069,0.114,0.128,0.139,0.169,0.12,0.294
"P26","Muy buena",0.003,0.051,0.246,0.144,0.024,0.028,0.01,0,0
"P26","Buena",0.042,0.14,0.236,0.261,0.113,0.104,0.067,0,0.189
"P26","Ni buena ni mala",0.15,0.281,0.265,0.274,0.497,0.328,0.321,0.111,0.126
"P26","Mala",0.234,0.247,0.069,0.163,0.118,0.237,0.251,0.092,0.105
"P26","Muy mala",0.473,0.121,0.114,0.082,0.155,0.231,0.138,0.734,0.325
"P26","No sabe",0.035,0.129,0.03,0.039,0.031,0.037,0.071,0,0.089
"P26","No lo conozco",0.063,0.031,0.04,0.037,0.062,0.035,0.142,0.063,0.166
"P27","Muy buena",0.018,0.069,0.074,0.167,0.03,0.032,0.036,0,0
"P27","Buena",0.021,0.154,0.109,0.203,0.045,0.079,0.032,0,0.011
"P27","Ni buena ni mala",0.212,0.193,0.309,0.288,0.333,0.327,0.346,0.019,0.152
"P27","Mala",0.185,0.139,0.087,0.043,0.031,0.118,0.142,0.235,0.039
"P27","Muy mala",0.233,0.079,0.108,0.038,0.13,0.194,0.103,0.535,0.211
"P27","No sabe",0.12,0.148,0.165,0.13,0.228,0.137,0.131,0.035,0.17
"P27","No lo conozco",0.211,0.218,0.148,0.131,0.203,0.113,0.21,0.176,0.417
"P28","Muy buena",0.007,0.114,0.062,0.056,0,0.08,0.035,0,0
"P28","Buena",0.019,0.136,0.071,0.057,0.016,0.059,0,0,0.019
"P28","Ni buena ni mala",0.222,0.177,0.3,0.274,0.245,0.219,0.351,0,0.153
"P28","Mala",0.143,0.123,0.082,0.057,0.09,0.096,0.096,0.198,0.008
"P28","Muy mala",0.158,0.039,0.078,0.049,0.068,0.135,0.078,0.54,0.186
"P28","No sabe",0.15,0.2,0.194,0.213,0.278,0.139,0.219,0,0.18
"P28","No lo conozco",0.301,0.211,0.213,0.294,0.303,0.272,0.221,0.262,0.454
"P29","Muy buena",0.005,0.044,0.074,0.05,0.034,0.013,0.221,0,0
"P29","Buena",0.022,0.123,0.033,0.111,0.045,0.027,0.075,0,0.012
"P29","Ni buena ni mala",0.149,0.246,0.272,0.269,0.315,0.275,0.299,0.019,0.171
"P29","Mala",0.192,0.081,0.126,0.081,0.031,0.192,0.059,0.126,0.016
"P29","Muy mala",0.238,0.103,0.145,0.067,0.142,0.133,0.017,0.647,0.221
"P29","No sabe",0.113,0.18,0.146,0.172,0.199,0.122,0.132,0.035,0.242
"P29","No lo conozco",0.281,0.223,0.204,0.25,0.234,0.238,0.197,0.173,0.338
"P30","Muy buena",0.42,0.113,0.026,0.05,0,0.189,0.086,0,0
"P30","Buena",0.34,0.213,0.057,0.099,0,0.113,0.056,0.134,0.131
"P30","Ni buena ni mala",0.103,0.377,0.262,0.185,0.176,0.221,0.156,0.277,0.147
"P30","Mala",0.083,0.13,0.226,0.283,0.194,0.221,0.264,0.16,0.086
"P30","Muy mala",0.018,0.083,0.406,0.332,0.52,0.246,0.371,0.363,0.471
"P30","No sabe",0.036,0.084,0.023,0.051,0.11,0.01,0.067,0.066,0.165
"P31","Que continúe el intendente Lucas Gui",0.461,0.115,0.078,0.035,0.009,0.189,0.038,0,0
"P31","Que continúe Lucas Gui pero con mejoras",0.416,0.435,0.099,0.123,0.091,0.253,0.177,0.278,0.22
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.063,0.193,0.153,0.097,0.161,0.092,0.133,0.076,0.077
"P31","Que cambie el intendente Lucas Gui",0.06,0.257,0.67,0.745,0.739,0.466,0.652,0.646,0.703
"P32","La seguridad",0.102,0.071,0.082,0.075,0,0.116,0.036,0.08,0.098
"P32","El tránsito",0.062,0.151,0.05,0.012,0,0.098,0.076,0.115,0
"P32","El arreglo de las calles",0.162,0.13,0.1,0.074,0.174,0.096,0.079,0.081,0.121
"P32","Los parques y espacios públicos",0.168,0.241,0.18,0.124,0.04,0.256,0.155,0.141,0.107
"P32","El sistema de salud",0.124,0.064,0.06,0.019,0.069,0.012,0.01,0.081,0.073
"P32","La limpieza de las calles",0.062,0.03,0.065,0.07,0.044,0.052,0.086,0,0.103
"P32","El deporte y la cultura",0.178,0.061,0.06,0.069,0.102,0.094,0.039,0.22,0.021
"P32","La luminaria",0.053,0.07,0.072,0.085,0.04,0.035,0.036,0.101,0.043
"P32","No sabe",0.089,0.182,0.331,0.472,0.531,0.241,0.483,0.181,0.434
"P33","La seguridad",0.288,0.346,0.559,0.578,0.594,0.397,0.595,0.316,0.439
"P33","El tránsito",0.098,0.071,0.039,0.028,0.032,0.108,0.016,0.196,0.03
"P33","El arreglo de las calles",0.218,0.288,0.164,0.17,0.135,0.236,0.145,0.226,0.154
"P33","Los parques y espacios públicos",0.041,0.052,0.028,0.043,0.01,0.065,0.021,0.041,0.007
"P33","El sistema de salud",0.071,0.02,0.059,0.036,0.119,0.019,0.021,0.18,0.035
"P33","La limpieza de las calles",0.06,0.038,0.026,0.026,0.013,0.008,0.032,0,0.056
"P33","El deporte y la cultura",0.031,0.009,0.048,0.011,0.023,0.004,0.016,0.041,0.01
"P33","La luminaria",0.023,0.058,0.01,0.008,0.054,0.052,0,0,0
"P33","No sabe",0.17,0.118,0.067,0.1,0.02,0.111,0.154,0,0.269
"P34","Agua corriente y cloacas",0.217,0.23,0.279,0.27,0.28,0.232,0.314,0.287,0.149
"P34","Energía eléctrica",0.108,0.167,0.178,0.145,0.183,0.134,0.172,0.284,0.17
"P34","Red de gas natural",0.038,0.124,0.082,0.058,0.206,0.085,0.07,0.046,0
"P34","Recolección de residuos",0.232,0.099,0.221,0.288,0.078,0.29,0.295,0.231,0.248
"P34","Ninguno",0.405,0.38,0.24,0.239,0.253,0.259,0.149,0.152,0.433
"P35","Los robos",0.491,0.3,0.47,0.429,0.573,0.402,0.41,0.475,0.385
"P35","El narcotráfico",0.062,0.233,0.127,0.117,0.036,0.081,0.157,0.086,0.166
"P35","La ausencia de patrulleros y personal policial",0.202,0.174,0.214,0.291,0.378,0.246,0.164,0.022,0.287
"P35","Otro",0.126,0.132,0.127,0.139,0.013,0.161,0.21,0.371,0.09
"P35","Ninguno",0.119,0.161,0.062,0.024,0,0.11,0.059,0.046,0.072
"P36","Muy buena",0.156,0.232,0.108,0.102,0,0.15,0.133,0.356,0.045
"P36","Buena",0.229,0.18,0.1,0.043,0.062,0.07,0.105,0.164,0.19
"P36","Ni buena ni mala",0.262,0.366,0.297,0.268,0.304,0.312,0.319,0.13,0.216
"P36","Mala",0.105,0,0.261,0.247,0.179,0.196,0.167,0.045,0.098
"P36","Muy mala",0.06,0.134,0.098,0.12,0.374,0.1,0.124,0.26,0.048
"P36","No sabe",0.188,0.088,0.136,0.22,0.081,0.172,0.152,0.045,0.403
"P37","Lo votaria",0.206,0.122,0.069,0.051,0,0.08,0.033,0.101,0
"P37","Puede que lo vote",0.381,0.322,0.043,0.006,0.012,0.093,0.121,0,0.137
"P37","Nunca lo votaría",0.289,0.45,0.804,0.887,0.976,0.629,0.812,0.612,0.525
"P37","No sabe",0.124,0.106,0.084,0.056,0.012,0.198,0.034,0.287,0.338
"P38","Lo votaria",0.197,0.294,0.067,0.049,0,0.076,0.011,0.102,0.02
"P38","Puede que lo vote",0.434,0.252,0.082,0.048,0.027,0.122,0.083,0.047,0.233
"P38","Nunca lo votaría",0.21,0.386,0.799,0.855,0.947,0.7,0.795,0.659,0.514
"P38","No sabe",0.159,0.068,0.052,0.048,0.026,0.102,0.111,0.192,0.233
"P39","Lo votaria",0.228,0.166,0.083,0.05,0,0.088,0.018,0.102,0
"P39","Puede que lo vote",0.479,0.3,0.054,0.023,0,0.084,0.056,0.047,0.242
"P39","Nunca lo votaría",0.161,0.492,0.795,0.882,0.983,0.709,0.894,0.71,0.507
"P39","No sabe",0.132,0.042,0.068,0.045,0.017,0.119,0.032,0.141,0.251
"P40","Lo votaria",0.041,0.119,0.258,0.163,0.051,0.115,0.071,0.153,0.057
"P40","Puede que lo vote",0.059,0.251,0.325,0.459,0.409,0.21,0.197,0.025,0.26
"P40","Nunca lo votaría",0.836,0.582,0.324,0.313,0.523,0.613,0.679,0.822,0.394
"P40","No sabe",0.064,0.048,0.093,0.065,0.017,0.062,0.053,0,0.289
"P41","Lo votaria",0.02,0.188,0.391,0.705,0.468,0.175,0.201,0.101,0.056
"P41","Puede que lo vote",0.057,0.089,0.265,0.144,0.288,0.271,0.313,0,0.306
"P41","Nunca lo votaría",0.863,0.709,0.277,0.126,0.232,0.534,0.376,0.899,0.501
"P41","No sabe",0.06,0.014,0.067,0.025,0.012,0.02,0.11,0,0.137
"P42","Lo votaria",0.012,0.123,0.141,0.133,0.085,0.335,0.023,0.127,0.01
"P42","Puede que lo vote",0.131,0.155,0.324,0.261,0.325,0.229,0.21,0.099,0.245
"P42","Nunca lo votaría",0.741,0.611,0.421,0.5,0.489,0.367,0.491,0.722,0.569
"P42","No sabe",0.116,0.111,0.114,0.106,0.101,0.069,0.276,0.052,0.176
"P43","Lo votaria",0.021,0.071,0.09,0.12,0.029,0.266,0.008,0.102,0
"P43","Puede que lo vote",0.065,0.156,0.265,0.23,0.189,0.143,0.219,0,0.269
"P43","Nunca lo votaría",0.812,0.687,0.469,0.496,0.717,0.527,0.576,0.769,0.498
"P43","No sabe",0.102,0.086,0.176,0.154,0.065,0.064,0.197,0.129,0.233
"P44","Lo votaria",0.028,0.161,0.185,0.265,0.597,0.394,0.756,0.052,0.249
"P44","Puede que lo vote",0.039,0.16,0.266,0.295,0.178,0.051,0.065,0,0.348
"P44","Nunca lo votaría",0.865,0.621,0.477,0.383,0.225,0.519,0.119,0.948,0.294
"P44","No sabe",0.068,0.058,0.072,0.057,0,0.036,0.06,0,0.109
"P45","Lo votaria",0.011,0.19,0.103,0.206,0.61,0.212,0.232,0,0.047
"P45","Puede que lo vote",0.038,0.165,0.308,0.377,0.296,0.156,0.29,0.025,0.289
"P45","Nunca lo votaría",0.886,0.581,0.495,0.328,0.07,0.605,0.29,0.975,0.546
"P45","No sabe",0.065,0.064,0.094,0.089,0.024,0.027,0.188,0,0.118
"P46","Muy buena",0.103,0.197,0.062,0.041,0,0.056,0.055,0,0
"P46","Buena",0.254,0.325,0.057,0.026,0.025,0.075,0.053,0,0
"P46","Ni buena ni mala",0.412,0.24,0.112,0.074,0.053,0.141,0.086,0,0.137
"P46","Mala",0.188,0.125,0.206,0.168,0.059,0.168,0.228,0.831,0.193
"P46","Muy mala",0.043,0.113,0.557,0.691,0.863,0.553,0.578,0.169,0.611
"P46","No sabe",0,0,0.006,0,0,0.007,0,0,0.059
"P47","Muy buena",0.008,0.132,0.262,0.416,0.114,0.114,0.008,0,0.239
"P47","Buena",0.038,0.187,0.236,0.303,0.247,0.07,0.201,0,0.041
"P47","Ni buena ni mala",0.081,0.155,0.137,0.097,0.224,0.143,0.257,0.155,0.166
"P47","Mala",0.194,0.279,0.165,0.095,0.068,0.218,0.314,0.32,0.252
"P47","Muy mala",0.678,0.231,0.2,0.079,0.347,0.441,0.22,0.525,0.18
"P47","No sabe",0.001,0.016,0,0.01,0,0.014,0,0,0.122
"P48","Muy buena",0.701,0.46,0.092,0.107,0,0.249,0.074,0.102,0.017
"P48","Buena",0.132,0.11,0.026,0.047,0,0.018,0.052,0.175,0.021
"P48","Ni buena ni mala",0.026,0.12,0.006,0.016,0,0.054,0.075,0.181,0.083
"P48","Mala",0.054,0.126,0.156,0.127,0.156,0.076,0.122,0.212,0.216
"P48","Muy mala",0.084,0.184,0.72,0.69,0.832,0.589,0.663,0.33,0.593
"P48","No sabe",0.003,0,0,0.013,0.012,0.014,0.014,0,0.07
"P49","Muy buena",0.084,0.045,0.229,0.167,0.106,0.205,0.028,0,0.065
"P49","Buena",0.037,0.256,0.228,0.241,0.237,0.145,0.153,0.052,0.16
"P49","Ni buena ni mala",0.128,0.199,0.244,0.295,0.151,0.21,0.238,0.227,0.264
"P49","Mala",0.226,0.29,0.119,0.143,0.225,0.142,0.186,0.14,0.072
"P49","Muy mala",0.518,0.159,0.172,0.127,0.269,0.298,0.37,0.581,0.342
"P49","No sabe",0.007,0.051,0.008,0.027,0.012,0,0.025,0,0.097
"P50","Muy buena",0.073,0.133,0.06,0.055,0.013,0.124,0.02,0,0.038
"P50","Buena",0.355,0.375,0.066,0.034,0,0.095,0.111,0,0.011
"P50","Ni buena ni mala",0.325,0.232,0.116,0.119,0.106,0.103,0.149,0.202,0.277
"P50","Mala",0.142,0.094,0.213,0.167,0.053,0.229,0.181,0.386,0.098
"P50","Muy mala",0.1,0.138,0.531,0.612,0.828,0.449,0.525,0.412,0.479
"P50","No sabe",0.005,0.028,0.014,0.013,0,0,0.014,0,0.097
"P51","Muy buena",0.019,0.099,0.339,0.646,0.279,0.123,0.151,0,0.131
"P51","Buena",0.052,0.21,0.213,0.111,0.097,0.127,0.378,0.102,0.264
"P51","Ni buena ni mala",0.077,0.075,0.147,0.089,0.269,0.116,0.286,0.052,0.084
"P51","Mala",0.181,0.179,0.102,0.027,0.022,0.236,0.082,0.206,0.016
"P51","Muy mala",0.671,0.402,0.191,0.114,0.333,0.398,0.083,0.64,0.361
"P51","No sabe",0,0.035,0.008,0.013,0,0,0.02,0,0.144
"P52","Muy buena",0.032,0.07,0.154,0.259,0.412,0.153,0.626,0.155,0.183
"P52","Buena",0.024,0.237,0.214,0.221,0.203,0.146,0.167,0,0.155
"P52","Ni buena ni mala",0.057,0.165,0.276,0.275,0.263,0.168,0.04,0.025,0.293
"P52","Mala",0.171,0.15,0.165,0.103,0.065,0.146,0.08,0,0.015
"P52","Muy mala",0.707,0.333,0.177,0.097,0.057,0.387,0.073,0.82,0.21
"P52","No sabe",0.009,0.045,0.014,0.045,0,0,0.014,0,0.144
